页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4906862292505816,北京青年报,2023-05-29 22:29:58,#官方通报男子砍杀柯基威胁妻子#【山东郓城：“柯基被砍”事件属实，将对发帖人的正当权益提供全方位保护】#男子砍杀柯基威胁妻子被行拘# 据“郓城发布”微信公众号，5月29日，郓城县政府发布情况通报。内容如下：2023年5月28日，我县一居民在网上发布其丈夫砍杀宠物犬并对其暴力威胁的帖文。郓城县政府对此高度重视，即部署公安、发帖人所在街道办事处等部门开展多方调查。经立案调查，发帖人反映情况属实。针对其丈夫的违法行为，属地派出所已依法作出行政拘留12天、罚款300元的处罚。对发帖人的正当权益，我县有关部门将提供全方位保护。同时，将进一步加强动物保护等方面工作。 #官方通报男子砍杀柯基事件#,5477,14829,255577,,北京,北京,中国,star 4
2,4907015354714997,云胡不喜云胡不夷,2023-05-30 08:38:11,#官方通报男子砍杀柯基威胁妻子#担心12天这个渣男出来后，会不会报复 ,0,0,0,辽宁,鞍山,辽宁,中国,star 5
2,4907015279740265,爱吃钵钵鸡的400,2023-05-30 08:37:53,#官方通报男子砍杀柯基威胁妻子#害，小狗太惨了，远离暴躁家暴男（我也害怕以后我老公会打我的猫） ,0,0,0,四川,绵阳,四川,中国,star 5
2,4907015241468419,成都市中级人民法院,2023-05-30 08:37:44,【#官方将对柯基被砍发帖人提供保护#】#官方通报男子砍杀柯基威胁妻子# 5月29日晚，山东省菏泽市郓城县委宣传部官方微信公众号“郓城发布”发布《情况通报》称：2023年5月28日，我县一居民在网上发布其丈夫砍杀宠物犬并对其暴力威胁的帖文。郓城县政府对此高度重视，即部署公安、发帖人所在街道办事处等部门开展多方调查。经立案调查，发帖人反映情况属实。针对其丈夫的违法行为，属地派出所已依法作出行政拘留12天、罚款300元的处罚。对发帖人的正当权益，我县有关部门将提供全方位保护。同时，将进一步加强动物保护等方面工作。       据了解，5月28日，郓城县一女子在社交平台发文求助，称丈夫李某喝醉后，持刀砍死了家中宠物狗柯基，砍杀过程中威胁自己不许救狗，否则一起砍，并持刀指着她威胁说：“你不听话，以后也这样！”女子表示非常害怕，要求和李某离婚，并让其受到相应处罚。而对方及家人“还说不是大事，要再给我买个狗”。帖文内，女网友还称此前就遭遇丈夫家暴。这一《情况通报》，是对这一事件的回应。（全媒体记者 姜东良 李娜）,0,0,0,,成都,四川,中国,star 5
2,4907015228361085,木子藤,2023-05-30 08:37:41,#子藤说事# 人生晚霞别样红，消遥自在乐其中，虽说岁月不饶人，仍要活得似顽童，乐观向上心态好，长寿健康不老松。早上好！ #官方通报男子砍杀柯基威胁妻子# ,0,0,1,河南,,河南,中国,star 5
2,4907015196116796,总有人在热河路谈恋爱呢,2023-05-30 08:37:33,#官方通报男子砍杀柯基威胁妻子#一条狗命12天+300块钱犯罪成本真低 ,0,0,0,,,,中国,star 4
2,4907015141066809,Slrrew-jominy,2023-05-30 08:37:20,#官方通报男子砍杀柯基威胁妻子#这处罚...玩儿呢？等这男的出来了，怎么保证女方一家的生命安全...？ ,0,0,1,浙江,金华,浙江,中国,star 1
2,4907015036735128,杨春祥律师,2023-05-30 08:36:55,#官方通报男子砍杀柯基威胁妻子#1.在亲密关系中，妻子也要给丈夫足够的尊重，有句话说的很好:男人靠捧，女人靠哄。2.狗狗再可爱，没有老公更重要，在二者之间，要更偏爱你的老公，而不是狗狗，这更容易改善老公和狗狗之间的关系。3.除非特别有钱，否则不要接受索要彩礼的女生，很多惨剧因彩礼而起，执意索要彩礼的女生，肯定不爱你。4.如果仅仅结婚半年就离婚，女方最好主动退还部分彩礼，这也是避免矛盾冲突更积极的态度。凡事都要全方位多角度去思考，这起事件也不例外，希望我们的社会更加理性，而不是只会简单思维。,0,1,1,北京,北京,北京,中国,star 5
2,4907015032276121,烨烨软绵绵,2023-05-30 08:36:54,#官方通报男子砍杀柯基威胁妻子#如果是我 赶紧收拾收拾 在他没放出来之前带上父母远走他乡保命了。 ,0,0,1,浙江,杭州,浙江,中国,star 5
2,4906868490895551,特蕾茜Tracy,2023-05-29 22:54:35,#官方通报男子砍杀柯基威胁妻子# 这个案件的重点是动物保护吗？明明是用当面杀死宠物来对妻子进行死亡威胁非常等到它把妻子砍死了才管是吧 ,12,367,5646,广西,柳州,广西,中国,star 3
3,4907014901466065,梧桐树下的守望,2023-05-30 08:36:23,#官方通报男子砍杀柯基威胁妻子#感觉下一个新闻应该就是他把他老婆砍死吧，这样的人，出来后估计会恼羞成怒。 ,0,0,2,湖北,武汉,湖北,中国,star 3
3,4907014843795959,面面眠了,2023-05-30 08:36:09,#官方通报男子砍杀柯基威胁妻子#这未免罚的太轻了吧？  有暴力倾向的人真别结婚祸害人 哦不 准确的来说是别出生 ,0,0,0,陕西,安康,陕西,中国,star 3
3,4906870772599028,龙猫自在,2023-05-29 23:03:40,#官方通报男子砍杀柯基威胁妻子#  男的家暴妻子的时候他没有寒意，二十多刀砍死柯基血溅满地的时候他没有寒意，女方把事实公之于众希望离婚保命的时候，它感觉到寒意了 ,60,38,5657,天津,天津,天津,中国,star 3
3,4906875156697915,康斯坦丁,2023-05-29 23:21:05,#官方通报男子砍杀柯基威胁妻子#当今社会，家暴还是无处不在，只是这个事件被报道出来了，同时也是很多女性的心声。家暴只有零次和无数次，强烈建议该女子不能心软，趁事情还没发展到无可挽回的地步早点离开人渣，离开这种不健康的家庭。但也要做好保护自己和娘家人的措施，小心行事，没必要在去激怒对方，也无需和他们再沟通，直接把证据交给警方和法院处理就行。要知道家本应是温暖的港湾，不是充满硝烟的战场。每一个家庭都应树立优良家风，弘扬家庭美德，保障弱势家庭成员合法权益，形成平等和睦文明的家庭关系。#男子砍杀柯基威胁妻子被行拘##鸿儒计划#,115,261,842,湖北,武汉,湖北,中国,star 5
3,4907014717443582,浅吟听雨声,2023-05-30 08:35:39,#官方通报男子砍杀柯基威胁妻子# 这回去法院起诉离婚不会还不判离吧？？？？ ,0,0,0,湖南,,湖南,中国,star 1
3,4906967670456533,不人云亦云2021,2023-05-30 05:28:42,#官方通报男子砍杀柯基威胁妻子# 半年不到，净赚30万天价彩礼，收入可观。  狗的真心哪有钱重要，对吧？@姬颜baby   #男子砍杀柯基威胁妻子被行拘# ,11,50,118,上海,上海,上海,中国,star 4
3,4906812699315945,红星新闻,2023-05-29 19:12:54,【#柯基被砍当事女子称已圆满解决#】5月28日，山东菏泽。一女子爆料称自己遭到家暴，他的丈夫当着她的面砍死了家中的宠物柯基。刚刚，当事人@姬颜baby 发微博称：郓城县公安局领导彻夜办案，已给出回复，家暴及持刀威胁砍狗合并处理拘留12天，罚款300元，此事圆满解决，谢谢大家的陪伴与支持。#官方通报男子砍杀柯基威胁妻子# 红星新闻的微博视频,1059,1983,21090,,成都,四川,中国,star 5
3,4907014578242676,江苏看客,2023-05-30 08:35:06,#官方通报男子砍杀柯基威胁妻子# 官方通报男子砍杀柯基威胁妻子#新闻看点# 官方通报男子砍杀柯基威胁妻子 ,0,0,0,江苏,无锡,江苏,中国,star 5
3,4907014558318972,光芒万丈奔跑的兔子,2023-05-30 08:35:01,#官方通报男子砍杀柯基威胁妻子#这种情况就是警方介入了，要是女方要离婚可能男方还是会伤害她或者她的家人。心在我在我们山东，不止一次听到男的说“要离婚我就🔪你全家”“要离婚你自己走孩子留下，要带走孩子我🔪你全家”别问我为啥知道，我那不成器的渣弟就这样说过 ,0,0,1,山东,青岛,山东,中国,star 1
3,4907014482299092,烫头孙师傅,2023-05-30 08:34:43,#官方通报男子砍杀柯基威胁妻子#才行政拘留12天实在是太轻了。之前就遇过，警方介入之后觉得事不大，把人又放回去了，结果真的就出大事了，希望这次不要是这样。而且像西方那样的人生限制令，不知道可不可以也引入一下，也就是那种不可以接近到被保护人多少米距离内的规定。虽然不是说虐杀动物就一定是杀人犯，但是这种用这个行为来威胁别人的大概率就是犯罪预备军了。,0,0,0,广东,深圳,广东,中国,star 4
4,4907014272845411,樱木花道式天才,2023-05-30 08:33:53,#官方通报男子砍杀柯基威胁妻子# 退一万步，不说生命啥的了……就～300能买一条柯基么？ ,0,1,1,四川,,四川,中国,star 1
4,4907014231163496,在小鸽子,2023-05-30 08:33:43,#官方通报男子砍杀柯基威胁妻子#婚前婚后两幅面孔，防不胜防。婚姻多少有点赌的成份，敢于结婚的都是勇士。 ,0,0,3,江苏,无锡,江苏,中国,star 4
4,4907014184504715,连小魏Ariel,2023-05-30 08:33:32,#官方通报男子砍杀柯基威胁妻子# 官方通报先不说，rs里的有些言论真的是...感觉我找不到对象是正常的，毕竟不同性别的人，大家想法不同三观不同，硬凑一起也是长久不了了 ,0,1,1,山东,淄博,山东,中国,star 4
4,4906966315172411,快乐的60后小胖子,2023-05-30 05:23:19,#官方通报男子砍杀柯基威胁妻子# 这样的事情现实中比较难处理。 男方是什么样的人，女方心里应该清楚。如何保护自己，自己应该有想法，有措施。 ,0,31,57,黑龙江,绥化,黑龙江,中国,star 4
4,4906998103803104,小莲花-17,2023-05-30 07:29:38,#官方通报男子砍杀柯基威胁妻子# 这处罚是不是有点轻十二天他出来了会不会把他妻子坎了？这种人不配有媳妇，太恐怖了 ,0,0,16,江苏,苏州,江苏,中国,star 3
4,4906967514480894,假如熊猫会说话,2023-05-30 05:28:05,考考眼力 你能精准认出每只熊吗？ #官方通报男子砍杀柯基威胁妻子#孟菲斯的丫丫乐乐#假如熊猫会说话# ,4,31,95,北京,北京,北京,中国,star 5
4,4907013954339770,不加班你拿我怎样,2023-05-30 08:32:37,#官方通报男子砍杀柯基威胁妻子#………重果完了 ,0,0,2,广东,广州,广东,中国,star 5
4,4907006958504368,轻武器高工王_辉,2023-05-30 08:04:49,#官方通报男子砍杀柯基威胁妻子# 太可笑了，请问什么叫“动物保护”?狗是国家的几级保护动物?如果是杀一只鸡呢？是不是也要拘留?女拳＋狗奴，无敌。西方白左意识形态向中国的渗透大业取得了阶段性成果。 ,10,19,47,北京,北京,北京,中国,star 4
4,4907013639244025,熠熠生辉的译,2023-05-30 08:31:22,#官方通报男子砍杀柯基威胁妻子# 知道了知道了 家暴➕对妻子死亡威胁➕砍杀宠物狗就只是拘留12天罚款300什么阴间新闻 又是恐婚的一天 ,1,0,6,山东,,山东,中国,star 1
4,4907013526523269,马老拾,2023-05-30 08:30:55,#官方通报男子砍杀柯基威胁妻子#警方通报发帖人所发内容属实，而昨天当地有关部门通报，说家暴十几次情况失实，这不矛盾吗？这个时候，我还是更相信警方调查的结果，毕竟人家是经过调查得出的结论，不像有些人，张口就来。父而且这种情况，真的应该离婚。 ,0,0,0,青海,海西,青海,中国,star 4
5,4907013178392577,好想睡满八小时啊,2023-05-30 08:29:31,#官方通报男子砍杀柯基威胁妻子#拘留12天罚款300元 现在的犯罪成本可真低 ,0,0,4,河北,保定,河北,中国,star 4
5,4907013093721231,酸梅也很甜,2023-05-30 08:29:12,#官方通报男子砍杀柯基威胁妻子#趁着这12天 女方能走多远走多远  安全第一 ,0,0,2,辽宁,朝阳,辽宁,中国,star 5
5,4907013085858209,Vmericano_HT,2023-05-30 08:29:10,#官方通报男子砍杀柯基威胁妻子# 这个真的很吓人诶 这种男的还是早点离了吧 之前不是有一部电视剧讲的就是这种 太吓人了 还是单身好啊 ,0,0,1,浙江,台州,浙江,中国,star 3
5,4906887532775384,汪祖亦,2023-05-30 00:10:16,#官方通报男子砍杀柯基威胁妻子#这个300块12天的通报，对不起当事女子的勇气。要不以后这种新闻就别报了，此种新闻只会一次次让“善”者骂娘，“恶”者“有法可依”，久而久之，倒真是善恶无法可依了。 ,3,6,94,北京,北京,北京,中国,star 3
5,4907013035786639,山月风禾,2023-05-30 08:28:58,#官方通报男子砍杀柯基威胁妻子# 12天之后这位女士的人身安全怎么办？他对柯基所做的是否也是他想对妻子做的？细思极恐。真令人害怕。 ,0,3,10,上海,上海,上海,中国,star 4
5,4906898631690916,不出意外的话就是搞砸啦,2023-05-30 00:54:22,#官方通报男子砍杀柯基威胁妻子#没打拳还说别人打拳 那就打一下吧 ,2,13,130,湖北,武汉,湖北,中国,star 1
5,4907012906026922,一曲乱心,2023-05-30 08:28:27,#官方通报男子砍杀柯基威胁妻子#十二天？？出来怕不是要砍人了，女主一家赶紧逃走吧 ,0,0,1,河南,漯河,河南,中国,star 5
5,4906932924580266,幸子小姐拜托辣_,2023-05-30 03:10:38,#官方通报男子砍杀柯基威胁妻子#我们国家是懂怎么降低结婚率的 ,1,2,90,河南,平顶山,河南,中国,star 3
5,4907012883743719,92N_,2023-05-30 08:28:22,#官方通报男子砍杀柯基威胁妻子#  所以同意了这个女孩子的离婚申请了吗？ ,0,0,0,广东,广州,广东,中国,star 5
