页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907011218604039,央视新闻,2023-05-30 08:21:44,【同款安排一下！#航天人早餐包成功一定橙#】#中国航天仪式感有多细节#？今天一早，为欢送神十六航天员出征，发射场食堂准备了“成功包”。“圆圆满满”“一丝不苟”“牛气冲天”↓↓六六大顺，你最想吃哪个？别忘记再吃个橙子，心想事“橙”，一定“橙”！#直播神舟十六号发射#（总台记者林琳） ,138,244,1398,,北京,北京,中国,star 5
2,4907006446013803,共青团中央,2023-05-30 08:02:47,【祝一切顺利！神十六航天员领命出征】刚刚，在酒泉卫星发射中心问天阁圆梦园广场，神十六航天员出征仪式举行。#景海鹏朱杨柱桂海潮领命出征#。一起为中国航天加油！#为神舟十六号喝彩#央视新闻的微博视频 ,88,157,684,,北京,北京,中国,star 5
2,4907015434141885,衢州检察,2023-05-30 08:38:29,【#送航天员出征现场合唱歌唱祖国#】神舟十六号今日发射，景海鹏、朱杨柱、桂海潮领命出征。出征仪式现场集体合唱《歌唱祖国》。一起为中国航天加油！祝一切顺利！#神十六航天员出征现场合唱歌唱祖国##神舟十六号今日发射# 中国新闻网的微博视频 ,0,0,0,,衢州,浙江,中国,star 5
2,4907015430210869,酒泉公安,2023-05-30 08:38:29,【#神十六航天员乘组出征仪式#】5月30日，神舟十六号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行。#神十六航天员领命出征##聚焦神舟十六号#（记者：黎云、李国利、黄一宸） ,0,0,0,,酒泉,甘肃,中国,star 5
2,4907008722995067,虎扑的步行街,2023-05-30 08:11:50,祝神舟十六号任务一切顺利！  #神十六出征仪式##神十六航天员领命出征# 虎扑的步行街的微博视频 ,7,5,110,浙江,衢州,浙江,中国,star 5
2,4906998125300688,新华社,2023-05-30 07:29:43,【#发条微博祝福神十六#】5月30日，神舟十六号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行。戳视频↓↓看#来自问天阁前的祝福#。#聚焦神舟十六号# 新华社的微博视频 ,826,588,4118,,北京,北京,中国,star 5
2,4907015376473766,And星星YRQ,2023-05-30 08:38:16,#神十六出征仪式#顺利出发，平安归来。 ,0,0,1,河南,商丘,河南,中国,star 5
2,4907015295993996,安徽反邪教,2023-05-30 08:37:57,#早安#  回顾30载飞天路，我们把漫游太空的美丽幻想谱写成了纪实的诗篇，镌刻荣耀的背后，每一步走得踏实而坚定。#神十六出征仪式##一人一句祝福神十六# 安徽反邪教的微博视频 ,8,3,2,,合肥,安徽,中国,star 5
2,4907015207912330,-在日落大道浪漫出逃,2023-05-30 08:37:36,#神十六出征仪式#离得好近！！！ 酒泉 ,0,0,0,甘肃,兰州,甘肃,中国,star 3
2,4907015162299544,康斯坦丁,2023-05-30 08:37:25,#神十六航天员领命出征#从这次的仪式就能看出我们载人航天的巨大变化，只有景海鹏一个人敬礼，而且在请示的时候也省去了“中国人民解放军航天员大队”这个前缀。这说明了我们已经从完全只由人民军队航天员执行航天任务向由更加专精的科学家执行任务，能够带来更大的成就。#中国人筑起攀向太空的天梯##神十六出征仪式,1,1,1,湖北,武汉,湖北,中国,star 5
3,4907015149982534,热爱火锅葡萄的小吴,2023-05-30 08:37:22,#神十六出征仪式#冲啊！我们的梦想是星辰大海！ ,0,0,1,福建,南平,福建,中国,star 5
3,4907011415999435,金陵上空的鹰,2023-05-30 08:22:32,#神十六出征仪式# 按照传统，今天东风发射场的早饭是包子 ,1,7,18,江苏,南京,江苏,中国,star 5
3,4907010124940782,大风吹奏,2023-05-30 08:17:24,#神十六出征仪式# 从神五到神十六，每一次都看的热血澎湃。 中国航天稳扎稳打，步步为营，不玩花活，不忽悠，在全世界有资格上牌桌的国家中，这种稳健的风格也是独树一帜的。👍👍 ,1,1,41,浙江,宁波,浙江,中国,star 5
3,4907015095192009,锥生采鸣,2023-05-30 08:37:09,#神十六出征仪式#英雄们平安顺利 ,0,0,1,上海,上海,上海,中国,star 5
3,4907015090734916,张慧林,2023-05-30 08:37:08,#神十六出征仪式#5月30日，酒泉卫星发射中心，神十六航天员出征仪式，景海鹏、朱杨柱、桂海潮领命出征，祝福！#神十六航天员领命出征# 张慧林的微博视频 ,7,34,46,辽宁,,辽宁,中国,star 5
3,4907015048266423,花七与陆小鸡,2023-05-30 08:36:58,#神十六出征仪式#顺利出发，平安回来 ,0,0,0,上海,上海,上海,中国,star 5
