页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907015669286072,莫染纤埃,2023-05-30 08:39:26,#考研进清华和高考进清华的区别#有区别也不重要，都是非常优秀!给娃看看，祝今后逢考必过，逢考必优 ,0,0,1,江苏,苏州,江苏,中国,star 5
2,4907015661422390,萤光入竹去,2023-05-30 08:39:24,#考研进清华和高考进清华的区别#讨论这个话题 自己考进去才有话语权吧 一群考不进去的人在这儿用自己的偏见瞎猜 ,0,0,1,江苏,徐州,江苏,中国,star 3
2,4907015644381811,Votexetine,2023-05-30 08:39:20,#考研进清华和高考进清华的区别#没区别 我都没考上 ,0,0,1,北京,北京,北京,中国,star 2
2,4907015543459580,Sylviasylvias,2023-05-30 08:38:56,#考研进清华和高考进清华的区别#看毕业后发展吧。发展好的不问出身，都是优秀校友。发展不好的可能并没什么区别 ,0,0,2,江苏,镇江,江苏,中国,star 3
2,4907015351044976,有匪市民,2023-05-30 08:38:10,#考研进清华和高考进清华的区别#智商差别还是挺大的 ,0,0,0,美国,,美国,美国,star 3
2,4907015316439166,开酒馆的小王,2023-05-30 08:38:01,#考研进清华和高考进清华的区别##考研进清华和高考进清华的区别# 没区别作用都很有限 ,0,0,0,安徽,马鞍山,安徽,中国,star 2
2,4907015204505045,happy_叮叮当,2023-05-30 08:37:35,#考研进清华和高考进清华的区别#有什么区别，能考进哪个都能笑醒 ,0,0,1,天津,天津,天津,中国,star 3
2,4907012154198966,茉荼,2023-05-30 08:25:28,#考研进清华和高考进清华的区别# 我的天哪， 对我来说进了清华就很牛啊！ 不过高考进清华的还是更厉害一点吧， 毕竟高考更难！ ,5,8,32,河南,安阳,河南,中国,star 4
2,4907011639086821,贼叉,2023-05-30 08:23:25,#考研进清华和高考进清华的区别#不管你承不承认，高考进清华和考研进清华的，各方面的认同感是不一样的。  当然，如果今后混的好了，哪怕就清华呆了一天，那也是杰出校友。 ,0,6,56,黑龙江,哈尔滨,黑龙江,中国,star 5
2,4907010334132207,眼科小超人老梁,2023-05-30 08:18:14,#考研进清华和高考进清华的区别# 做为熟悉清华教育的旁观者，给大家划几个重点：1. 清华本科毕业的群体，外校考入清华的研究生群体，它们是彼此不亲近的群体，智商和社会资源有显著差别，也没有共同语言；2. 清华本科毕业就到社会找工作的，说明是该专业的差生，成绩垫底；3. 清华本科毕业，到国内其它院校读研究生的，说明是该专业的怪人，人品或性格极端得没有一个教授敢留下TA读研；4. 做题家考入清华的，通常是高级打工仔，不会做生意赚钱；5. 美国某大学某专业，如果连续三年没有清华学生去读博士或者博士后，说明这个专业很水，或者之前有清华怪人去过并搞砸了口碑。,26,19,352,北京,北京,北京,中国,star 3
3,4907014600524621,祁人祁语,2023-05-30 08:35:11,#考研进清华和高考进清华的区别#考研进清华和高考进清华难度是大不一样的。本科生进清华，难度最大，那是在1000万考生当中选拔出来的，而且清华大学的本科生招生数量很少，只有三千多人。而研究生的招生数量要比本科生数量多得多。虽然说能考入清华研究生也是非常难的，但相对于本科来说要容易的多。能考入清华的本科，除了智商不低之外，就是学习要很勤奋。因为都是聪明人和聪明人比，单靠聪明是不够的。研究生考进清华的，未必说智商就低很多，因为有的人高中阶段并没有激发出自己的全部潜力。但大学阶段很努力，潜能逐渐被激发出来。如果在一个学习环境不入清华的环境里拔尖出来，说明这个同学更不容易。意味着他的综合素质很可能是强的，特别是对于环境的适应能力比较强。从其他学校考入清华的同学，对于清华的环境是一种丰富。他们也会把新鲜的因素带入清华。清华的生命力很大程度在于开放，在于包容。不管是从什么途径来到清华，都应该互相学习，互相借鉴，才更有利于成长成才，也更有利于清华的可持续发展。,2,1,1,北京,北京,北京,中国,star 4
3,4907009956123691,百家散粉,2023-05-30 08:16:44,无聊不无聊，宣扬出身论？ 真是为了制造话题而制造话题 毕业后谁赚的多才是硬道理，管你什么本科研究生 #考研进清华和高考进清华的区别# ,0,0,54,上海,上海,上海,中国,star 1
3,4907014566445737,啵儿宁Burning,2023-05-30 08:35:03,#考研进清华和高考进清华的区别#  还是考虑西北工业大学或者哈尔滨工业大学吧 ,0,0,0,浙江,温州,浙江,中国,star 3
3,4907014507990362,上海奉贤发布,2023-05-30 08:34:49,你有考研的打算吗 #考研进清华和高考进清华的区别#  网页链接 ,0,0,19,,上海,上海,中国,star 4
3,4907014440092066,soooandy_xiaozhu,2023-05-30 08:34:33,#考研进清华和高考进清华的区别#反正我都考不上，过 ,0,0,0,吉林,长春,吉林,中国,star 3
3,4907013869405891,雨丽洛,2023-05-30 08:32:17,#考研进清华和高考进清华的区别# 说得好像我都能考进去一样。 ,0,0,3,广东,广州,广东,中国,star 3
3,4907013820122857,非必要不何作,2023-05-30 08:32:05,#考研进清华和高考进清华的区别#对我来说没有区别 ,0,0,0,广东,东莞,广东,中国,star 3
3,4907013672798390,爱昕爵螺,2023-05-30 08:31:30,#考研进清华和高考进清华的区别#说下保研和高考进去的差别。就是难度系数差距很大！比如北京几所高校学校，以工科为例，每个学院都有保送的名额，如果你是年级前百分之三，基本就可以联系导师，然后就有机会拿到保送名额。那么以一个大的学院为例，500人的大年级，基本前10的就可以去联系导师了。当然一个隐藏得难度是，你本科要考上这些学校，比如北邮，北航这些。高考上清华的难度，大家都知道了吧。可能就是几十万里取前几十个。差不多万里挑一的难度。,0,2,2,上海,上海,上海,中国,star 3
3,4907013626923875,戨-_-,2023-05-30 08:31:19,#考研进清华和高考进清华的区别#这群yxh主持话题就这么随意空降热搜 ,0,0,2,陕西,西安,陕西,中国,star 1
4,4907013529928634,聚募海哥,2023-05-30 08:30:56,#考研进清华和高考进清华的区别# 高考进清华的人里天赋+努力型选手，而考研进清华的人里努力型选手居多。  高考进清华万里挑一，考研进清华最多千里挑一。  高考想进清华必须要有硬实力，即非常高的高考分数，但考研还有一定几率利用信息差等优势捡漏。  所以两者都很难，但是难度还不是在一个级别。 ,0,7,7,浙江,杭州,浙江,中国,star 4
4,4907009344012779,被逼牛逼,2023-05-30 08:14:17,#考研进清华和高考进清华的区别#没那么复杂，本科算校友，考研不算 ,0,5,29,四川,广元,四川,中国,star 3
4,4907009646791288,near-perfect_hexagons,2023-05-30 08:15:30,#考研进清华和高考进清华的区别#其实这个热搜就是卷 告诉你本科进的看不起研究生进的。 这算是学业歧视么 ,0,7,52,澳大利亚,,澳大利亚,澳大利亚,star 3
4,4907006832674651,lmgluepudding,2023-05-30 08:04:19,#考研进清华和高考进清华的区别#一个确定下限一个确定上限叭 ,0,0,36,广东,茂名,广东,中国,star 4
4,4907012666429890,____青璃,2023-05-30 08:27:30,#考研进清华和高考进清华的区别# 对我来说没区别，反正我又考不上 ,0,2,11,湖北,武汉,湖北,中国,star 3
4,4907011831759551,释放----自己,2023-05-30 08:24:11,#考研进清华和高考进清华的区别#或许你们可以问问直博到清华和这些的区别。 ,0,0,2,山东,青岛,山东,中国,star 5
4,4907003689832201,譚旌傑,2023-05-30 07:51:50,#考研进清华和高考进清华的区别#有什么区别？难道毕业证上还能印北大嘛 ,1,6,102,江苏,苏州,江苏,中国,star 2
5,4907011320055597,烨磊新蕾,2023-05-30 08:22:09,#考研进清华和高考进清华的区别#区别特别大，高考进清华，就业到处都要你，考研进清华，你还是会受到限制的，毕竟你不是清华的嫡系。 ,1,5,6,陕西,西安,陕西,中国,star 2
5,4907011290434469,大众网·菏泽,2023-05-30 08:22:02,#考研进清华和高考进清华的区别# 不管怎么样 能够进清华就很了不起了 ,0,0,1,,菏泽,山东,中国,star 3
5,4907011214935703,锦鲤空大了,2023-05-30 08:21:44,#考研进清华和高考进清华的区别# 高考进清华含金量比考研进清华更高？戳视频了解 锦鲤空大了的微博视频 ,0,2,6,宁夏,吴忠,宁夏,中国,star 5
