页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4906995376718147,上海成雨,2023-05-30 07:18:48,#韩亚航空事件中空姐一直用身体挡住舱门#200米有五六层楼高，空姐冒着风险保护大家安全，敬业精神可嘉。 ,0,4,22,上海,上海,上海,中国,star 5
2,4906873582780955,桃花岛唐三,2023-05-29 23:14:49,#韩亚航空事件中空姐一直用身体挡住舱门# 提议女性乘务员穿裤子和运动鞋工作，本来因为气流抖动而不安全，还不如穿裤子和运动鞋提供更安全的服务！ ,0,2,344,四川,成都,四川,中国,star 3
2,4907011538684301,lisa爱桃桃,2023-05-30 08:23:01,#韩亚航空事件中空姐一直用身体挡住舱门#这个空姐挺有责任心也很勇敢，那个想提前下飞机的不知道想干嘛，自己活腻了别带着别人。 ,0,0,1,湖北,随州,湖北,中国,star 5
2,4906878649238207,农民频道,2023-05-29 23:34:58,5月29日，#韩亚航空事件中空姐一直用身体挡住舱门# 引热议。有网友提议论女乘务员穿裤子和运动鞋工作，会方便提供更安全的服务，你支持空姐穿裤子和运动鞋工作吗？  网页链接 ,9,1,9720,,,陕西,中国,star 4
2,4907010791312541,一杯柠檬茶柠檬香,2023-05-30 08:20:03,#韩亚航空事件中空姐一直用身体挡住舱门#这个男乘客是不是有毒，置别人的生命于不顾。 ,0,0,1,广东,佛山,广东,中国,star 5
2,4906874489014435,二叉树_冒泡,2023-05-29 23:18:26,#韩亚航空事件中空姐一直用身体挡住舱门# 这是空服员，不是“空姐”，空姐是degrading物化的称呼，显得轻佻不礼貌，时代进步了思想也要跟上  ,0,8,57,美国,,美国,美国,star 3
2,4907009293418706,金陵布衣JLBY,2023-05-30 08:14:05,韩亚航空空中事故原因:  一男子因想快点下飞机提前打开了舱门，（此时离地面只有200多米） 落地后该男子仍然想直接跳出正在滑行的飞机 ，所以一空姐在此途中给大敞着的舱门设置了安全带，并直接用身体堵住了舱门，直到飞机停稳 ……  #韩亚航空事件中空姐一直用身体挡住舱门# ,0,0,0,江苏,,江苏,中国,star 5
2,4907008601887383,西瓜瓶子没有盖,2023-05-30 08:11:21,#韩亚航空事件中空姐一直用身体挡住舱门#这男的有没有想过，其实给乘客设计的路线已经是最快的了！这么做只会更耽误时间啊 ,0,0,0,广东,深圳,广东,中国,star 3
2,4907006764781916,空天砺剑,2023-05-30 08:04:03,#韩亚航空事件中空姐一直用身体挡住舱门# 这也能打拳，有些人总是把事情搞成男女对立。 ,1,3,12,山东,,山东,中国,star 5
2,4907006575774229,尙方,2023-05-30 08:03:18,#韩亚航空事件中空姐一直用身体挡住舱门#根据韩国的航空安全法，他或许将面临十年监禁。这样挺好，起码生命是保住了，有人天天看着。 ,0,1,1,辽宁,大连,辽宁,中国,star 4
