页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907021809749870,清漪白露,2023-05-30 09:03:50,#你管周也这张脸叫普普通通# 这张脸还不美？！真想看你长啥啥样，你担长啥样。她就是95🌸中最美的那一个啊，少年的你时就吃她的颜，现在更吃 ,0,0,0,广东,深圳,广东,中国,star 3
2,4907021743164536,大眼睛琳,2023-05-30 09:03:34,#你管周也这张脸叫普普通通#审美降级了，现在的小朋友是没见过以前的大美女，一睁眼满社交网络都这样的所以他们就觉得是美女了 ,0,0,4,广东,深圳,广东,中国,star 3
2,4907011228042289,落羽不闻,2023-05-30 08:21:47,#你管周也这张脸叫普普通通# 主要是没气质小家子气撑不起，而且演技也差 ,0,7,49,重庆,重庆,重庆,中国,star 2
2,4907004580334206,蓝色牵牛花开,2023-05-30 07:55:22,#你管周也这张脸叫普普通通#不说比不上杨幂、迪丽热巴、古丽娜扎、杨超越这些，都不如已婚已育的张伯芝、张馨予这些。 ,0,10,56,福建,莆田,福建,中国,star 3
2,4907021356500827,开心酱zzz,2023-05-30 09:02:02,#你管周也这张脸叫普普通通#冷脸可以，美妆广告很美，剧里完全get不到五官都挺精致，但是发际线，肤色，骨架还没有达到以前大美女的程度 ,0,0,1,广东,广州,广东,中国,star 3
2,4907021168804222,努力站桩的雪桃,2023-05-30 09:01:16,#你管周也这张脸叫普普通通#说普通的不得看看本人什么绝世 ,0,0,0,浙江,宁波,浙江,中国,star 3
2,4907021088588980,还是不混圈,2023-05-30 09:00:58,#你管周也这张脸叫普普通通#本来就不该吹太高，在同批艺人堆里顶多就是略胜一筹，因为矮子里拔高个，放以前她就是普通的，不止她，粉丝吹上天的那批年轻的我都觉得没有像以前一样惊艳到，那就是普，你要跟素人比，那我依然觉得有些路人小姐姐长得也不比她们差，更别说如果有妆造加持。内🐟不管颜值演技仪态气质没有青出于蓝就算了还倒退,0,1,7,广东,汕头,广东,中国,star 3
2,4907021017024188,迟迟讨厌香菜,2023-05-30 09:00:41,#你管周也这张脸叫普普通通#这还不好看啊，行吧行吧，回家对着你那个丑哥哥丑姐姐说好帅好美去吧，审美问题，掰不回来了 ,0,0,3,江西,南昌,江西,中国,star 5
2,4907021003919066,免税店,2023-05-30 09:00:38,#你管周也这张脸叫普普通通# 她真的很好看啊路透简直杀我  演技也挺好的呀 ,0,0,0,山西,运城,山西,中国,star 4
2,4907018890773895,焦磊jl05,2023-05-30 08:52:14,#你管周也这张脸叫普普通通#和普通人她确实挺美，但是在娱乐圈那么多美女面前，可只能说普普通通.....这话没说错.... ,0,5,34,辽宁,沈阳,辽宁,中国,star 3
3,4907020879135588,马真明Eric,2023-05-30 09:00:08,#你管周也这张脸叫普普通通# 被周也秒了！好伟大的一张脸😢 你管这叫普普通通认真的吗？？？ 马真明Eric的微博视频 ,0,0,1,四川,成都,四川,中国,star 4
3,4907020878614927,叶叶吃饱没,2023-05-30 09:00:08,#你管周也这张脸叫普普通通#哈？点进去真有说也子普通的，当时在电影院看少年的你，真的一秒看呆，也子太好看了。 ,0,0,3,黑龙江,伊春,黑龙江,中国,star 5
3,4907020832477378,小句读子w,2023-05-30 08:59:57,#你管周也这张脸叫普普通通#居然那么多人觉得她普通!!我觉得她是内娱新生代演员里的top长相了，很温和很可爱的美 ,0,0,4,山东,泰安,山东,中国,star 4
3,4907020790530579,萝卜大人i,2023-05-30 08:59:47,#你管周也这张脸叫普普通通#周也是美的，但这个古装扮相确实普通 ,0,0,2,江苏,无锡,江苏,中国,star 3
3,4907020723422804,L颖红一,2023-05-30 08:59:31,#你管周也这张脸叫普普通通#也子90后女明星里真的好看标致东方美女 承认别人的优点那么难吗 ,0,0,4,海南,海口,海南,中国,star 5
