页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907022086046147,淮阴区法院,2023-05-30 09:04:55,桂海潮戴眼镜会有影响吗？飞船发射时能不能戴？#发射阶段桂海潮没戴眼镜##神十六出征仪式# 津彩青春的微博视频 ,0,0,1,,淮安,江苏,中国,star 4
2,4907013643962613,环球时报,2023-05-30 08:31:23,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！（人民日报）人民日报的微博视频 ,19,14,152,,北京,北京,中国,star 5
2,4907021625983037,西安青年聚,2023-05-30 09:03:05,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,0,0,0,,西安,陕西,中国,star 5
2,4907021570673984,昆明市西山区发布,2023-05-30 09:02:53,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！（@人民日报 ） 人民日报的微博视频 ,0,0,0,,昆明,云南,中国,star 5
2,4907021134988536,中国经营报,2023-05-30 09:01:09,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,1,0,3,,北京,北京,中国,star 5
2,4907021034587561,中国反邪教,2023-05-30 09:00:45,桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！（人民日报）  #神十六航天员进舱前比大拇指##发射阶段桂海潮没戴眼镜# 中国反邪教的微博视频 ,21,2,17,,太原,山西,中国,star 5
2,4907020828280748,新浪航天,2023-05-30 08:59:56,【表情包预定！#神十六航天员进舱前比大拇指#】#为什么57岁的景海鹏能四上太空# 桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：航天员为你点赞表情包上新！ 人民日报的微博视频 ,0,0,0,,,,,star 5
2,4907020828280308,新浪新闻滚动,2023-05-30 08:59:56,【表情包预定！#神十六航天员进舱前比大拇指#】#为什么57岁的景海鹏能四上太空# 桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：航天员为你点赞表情包上新！ 人民日报的微博视频 ,0,0,0,,,,,star 5
2,4907020827755481,微资讯,2023-05-30 08:59:56,【表情包预定！#神十六航天员进舱前比大拇指#】#为什么57岁的景海鹏能四上太空# 桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：航天员为你点赞表情包上新！ 人民日报的微博视频 ,0,0,0,,,,,star 5
2,4907020568495031,投资四川,2023-05-30 08:58:54,【表情包预定！神十六航天员进舱前比大拇指】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,0,0,0,,成都,四川,中国,star 5
3,4907021315345467,中国科技工作者之家,2023-05-30 09:01:52,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,0,0,0,,北京,北京,中国,star 5
3,4907021289917591,贺州共青团,2023-05-30 09:01:46,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ （来源：人民日报） 贺州共青团的微博视频 ,0,0,1,,贺州,广西,中国,star 5
3,4907018797715537,衝鋒号角,2023-05-30 08:51:52,#神十六航天员进舱前比大拇指# 桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,4,7,33,江苏,,江苏,中国,star 5
3,4906991375615827,人民日报,2023-05-30 07:02:54,【祝福！#神十六航天员出征画面#】#发射阶段桂海潮没戴眼镜# 5月30日6时42分，神舟十六号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行。6时44分，景海鹏、朱杨柱、桂海潮3名航天员领命出征。截至今日，神舟十五号航天员乘组进驻空间站已满半年，正在准备迎接即将到来的神舟十六号航天员乘组。（刘诗瑶 喻思南 林渊 王云杉）,956,673,4803,,北京,北京,中国,star 5
3,4907020223778495,柳州消防,2023-05-30 08:57:32,柳州消防【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,0,0,3,,柳州,广西,中国,star 5
3,4907020208309707,敦煌发布,2023-05-30 08:57:28,36岁，大学教授，戴着一副近视镜......博导桂海潮&quot;变身&quot;航天员，用实力和汗水证明了自己。今天出征，加油！ #发射阶段桂海潮没戴眼镜##景海鹏朱杨柱桂海潮出征太空#辽宁共青团的微博视频 ,0,0,0,,酒泉,甘肃,中国,star 5
3,4907019956126640,夏津公安,2023-05-30 08:56:28,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！！！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#人民日报的微博视频 ,0,0,0,,德州,山东,中国,star 5
4,4907019578378079,美丽开远,2023-05-30 08:54:58,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ （人民日报）人民日报的微博视频 ,0,0,2,,红河哈尼族彝族自治州,云南,中国,star 5
4,4907019456221370,宿州网警巡查执法,2023-05-30 08:54:29,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,0,0,0,,宿州,安徽,中国,star 5
4,4907019322525308,西安鹅毛扇,2023-05-30 08:53:57,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频 ,0,0,0,陕西,西安,陕西,中国,star 5
4,4907019288710369,宜昌发布,2023-05-30 08:53:49,#神舟十六号发射# 【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：航天员为你点赞表情包上新（人民日报）中国战略支援的微博视频 ,0,0,0,,宜昌,湖北,中国,star 5
4,4907019281368689,山东长安网,2023-05-30 08:53:47,【表情包预定！#神十六航天员进舱前比大拇指#】桂海潮进舱前向大家比大拇指，热情挥手。一切顺利，等你们凯旋！#发射阶段桂海潮没戴眼镜# 网友：#航天员为你点赞表情包上新#！ 人民日报的微博视频  济南 ,1,1,2,,济南,山东,中国,star 5
4,4907011085435138,央广军事,2023-05-30 08:21:13,【祝福！#神舟十六号#航天员出征仪式现场画面】#发射阶段桂海潮没戴眼镜# 5月30日，神舟十六号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行。#神舟十六号发射#（新华社） ,7,8,41,,北京,北京,中国,star 5
