页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907011018590353,美婷聊生活,2023-05-30 08:20:57,#教育局回应小学不让打伞进校#放过学校吧，我们现在的学校就是个委曲求全的小媳妇，谁都来指指点点，谁都来打一棒。教书育人，校方应该有充分的管理权自主权。否则弯着腰的学校能教出挺起胸膛的学生？ ,4,24,165,江苏,南京,江苏,中国,star 4
2,4907021235128360,IF枕边育儿经,2023-05-30 09:01:33,小学生撑雨伞不让进学校，是哪门子规定？这几天多地降雨，不少学生是需要穿雨衣、雨伞去学校的，但有些孩子去年的雨衣小了，今年还没来得及买，就只能撑着雨伞去学校。可走到学校门口，老师就拦住了，说不能带着雨伞进入学校。看到这则消息下，很多家长愤愤不平：“小学生撑雨伞不让进学校，是哪门子规定？”作为小学生妈妈，我是表示理解的。因为小孩子力气小，撑雨伞很容易歪，尤其是刮起风来，很危险的。上学放学时孩子那么多，一不注意戳到眼睛，就真的很危险了！如果没给孩子准备雨衣，其实可以披着衣服（如果雨不大），雨水很大，就建议去小商店买个雨衣，也别撑着伞去学校。你家孩子是宝贝，别人家也是啊！这种有明显风险的事情，还是尽量规避一下吧！您觉得呢？家庭陪伴计划#育儿知识##教育局回应小学不让打伞进校#,0,0,0,山东,,山东,中国,star 4
2,4907020928946422,课小妖,2023-05-30 09:00:20,#教育局回应小学不让打伞进校#  这个热搜好，正好普及一下常识。 小学生本身安全意识就差，又爱打闹，老师也不可能无缝衔接式看管，打伞进校安全隐患较大。我们常说防患于未然，学校这样做就是消除隐患，再说打伞又不是唯一防雨方法，也值得大呼小叫？ ,0,0,0,安徽,,安徽,中国,star 4
2,4907009507590759,MD_沉默的拥抱,2023-05-30 08:14:57,#教育局回应小学不让打伞进校# 是不是怕孩子打伞互相碰撞扎了眼睛？这也确实是隐患，孩子尽量穿雨衣好一些，不过让孩子淋雨会生病的呀…怎么两全 ,11,14,114,黑龙江,佳木斯,黑龙江,中国,star 3
2,4907020900108194,有才终于可以改名了,2023-05-30 09:00:13,#教育局回应小学不让打伞进校#  就是问问现在这些孩子的父母 上小学的时候 打不打伞 ,0,0,0,山东,,山东,中国,star 4
2,4907020798659119,奇变偶不变XI,2023-05-30 08:59:49,#教育局回应小学不让打伞进校#穿雨衣挺好的，小朋友，如果打伞风一大。真的就很危险，更别说把伞吹走了，还不是淋的满身湿。 ,0,0,0,湖南,长沙,湖南,中国,star 3
2,4907020618829673,蘅潇儿,2023-05-30 08:59:06,#教育局回应小学不让打伞进校#伞是伞，笔是笔……能不能不要混为一谈……一堆小孩子们打伞跑跑跳跳本来就可能会出现碰撞的情况……这跟笔有什么关系……正常孩子到了一定年纪都有安全意识，谁拿着笔戳人啊……再说了，一堆大人们举伞也有可能会撞到啊，照这么说，大人们也别用笔了，也有可能会扎到人……有规定也都提前通知了，不遵守规定觉得自己利益有损就投诉……真是服了……就好比上班的时候，发了系统使用说明，偏偏有人就是不看，不会用或者有问题就来找你,0,0,0,北京,北京,北京,中国,star 2
2,4907020551193018,不带电的我不爱听啊,2023-05-30 08:58:50,#教育局回应小学不让打伞进校#我们这里也是在下雨天接送孩子之前提前通知，让孩子穿雨衣，不要打伞，强调过好多次，打伞危险，这个家长是没看到通知呢，还是看到通知了也不想遵守呢？ ,0,0,1,河南,新乡,河南,中国,star 2
2,4907020506104296,乡下老白菜,2023-05-30 08:58:39,#教育局回应小学不让打伞进校#任何我们看着很奇怪的规定，这背后肯定有深刻的教训，甚至是血的教训。我们也不要揪着一点就说的不停，如果不是有孩子拿着伞打斗玩出过事，学校肯定不会有这样的规定。很多规定确实不方便，但是大家也要想想自家熊孩子是啥样子，孩子在学校出了事学校都要吓死，学校也不想提心吊胆的。,0,1,1,上海,上海,上海,中国,star 4
2,4907020412522665,打奥特曼de小怪兽,2023-05-30 08:58:17,#教育局回应小学不让打伞进校#我家孩子的学校也是这么规定的，因为带脑子也明白，孩子上下学如果每人一把雨伞，相互拥挤就特别容易扎伤，学校是为孩子的安全考虑，家长不会异议，但确实有个别家长不守规矩的现象。不过这件事奇葩在：1.家长都成年人了居然没有一点规则意识，学校是给你家孩子一个人开的？不守规矩还有理了？2.现在在媒体当记者都不需要带脑子吗？家长说不让打伞，你记者不过脑子想想为什么？还是记者本身也和这家长一样就是没规矩没原则的人？#家长曝小学不让打伞进校#,1,3,12,河南,信阳,河南,中国,star 3
