页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907022229177386,粘杆小吏,2023-05-30 09:05:30,#视频还原航天员搭飞船全流程#了解一下#神十六航天员领命出征# 央视新闻的微博视频 ,0,0,0,河南,濮阳,河南,中国,star 5
2,4907005666395831,贵州共青团,2023-05-30 07:59:41,出发！骄傲！神十六航天员，首位载荷专家，云南保山人桂海潮！  #神十六航天员领命出征# ,22,3,121,,贵阳,贵州,中国,star 5
2,4907022195884419,糖都给小俊,2023-05-30 09:05:21,#神十六航天员领命出征#圆满成功，平安而归 ,0,0,0,,,,中国,star 5
2,4907022174916319,北京政法,2023-05-30 09:05:17,【#神十六航天员领命出征# 祝一切顺利！】一切顺利！,0,0,0,,北京,北京,中国,star 5
2,4907022162330526,昆明官渡发布,2023-05-30 09:05:14,【太可爱！请查收#桂海潮点赞表情包#】#桂海潮进舱前比大拇指#，热情挥手，还和景海鹏、朱杨柱开心击掌。一切顺利，等你们凯旋！#神十六航天员领命出征# 人民日报的微博视频 ,0,0,0,,昆明,云南,中国,star 5
2,4907022157874447,北京青年说,2023-05-30 09:05:13,#为什么57岁的景海鹏能四上太空#【景海鹏每日标配运动清单】#神十六航天员领命出征# 时刻准备着！飞天在即，景海鹏此时心情很平静！他每天的标配是：做600个俯卧撑、600个仰卧起坐、上千次跳绳！中国航天科技集团的微博视频 ,0,0,0,,南京,江苏,中国,star 5
2,4907022125106391,一只小玉玦,2023-05-30 09:05:05,#神十六航天员领命出征#一定要顺利到达星辰大海并平安归来 ,0,0,0,黑龙江,佳木斯,黑龙江,中国,star 5
2,4907022124320021,青春河边巢,2023-05-30 09:05:05,传承✖️继承｜爱国主义教育进行时，走进辽宁省沈阳市抗美援朝烈士陵园。作为华夏儿女，每一次带娃走进烈士陵园都会有很多感触。要让孩子们懂得今天的生活得来不易，追寻红色文化足迹、传承英烈精神活动，向革命英雄敬献花篮、为烈士墓描红等，都是很好的教育方式。在这里还有郭沫若于1962年夏的题词，“煌煌烈士尽功臣，不灭光辉不朽身。鸭绿江南花胜锦，北陵园畔草成茵。”回顾革命历史，缅怀先烈精神。在这里再次感谢今天的生活和学习，感恩前辈们的付出。#神十六航天员领命出征##网红打卡地 辽宁杠杠滴#,0,0,1,辽宁,沈阳,辽宁,中国,star 5
2,4907016827177565,马尾公安,2023-05-30 08:44:02,#神十六航天员领命出征# 早  中国航天加油 ,5,33,53,,福州,福建,中国,star 5
2,4907022103873648,行天无涯,2023-05-30 09:05:00,#神十六航天员领命出征# 普通人去太空，还是要有良好的前庭功能！这失重失方向的感觉会让前庭功能有问题的人很难受！反正我不行 ,0,0,0,上海,上海,上海,中国,star 2
3,4907022069269673,挑食但不拒绝零食,2023-05-30 09:04:52,#神十六航天员领命出征#我国航空航天事业探索不止，一路前行！ ,0,0,0,广东,深圳,广东,中国,star 5
