页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907012896588043,小袁爱吃香酥鸡,2023-05-30 08:28:24,#网友点评赵露思虞书欣是韩式演技#是赵露思和白鹿，别扯其他人 ,0,0,41,河南,许昌,河南,中国,star 3
2,4907010997619292,超爱lily,2023-05-30 08:20:52,#网友点评赵露思虞书欣是韩式演技# 其他先不说了，就单拿别人的感情史来黑挺下头的，我不信它们查到这些图片不知道俩人什么关系，女生是最懂戳女生痛处的… ,0,1,33,广西,崇左,广西,中国,star 2
2,4907022535622708,柠在瓜田,2023-05-30 09:06:42,#网友点评赵露思虞书欣是韩式演技# 你觉得内娱哪些演员是韩式演技？ ,0,0,1,安徽,合肥,安徽,中国,star 3
2,4907022530906738,吧唧一笑yyds,2023-05-30 09:06:42,#网友点评赵露思虞书欣是韩式演技# 内娱小花撕的挺厉害 ,0,0,0,四川,眉山,四川,中国,star 3
2,4907022489226679,Snower不忘小初心,2023-05-30 09:06:32,#网友点评赵露思虞书欣是韩式演技#看了一圈，个人感觉赵最韩🐟还阔以，白不评价 ,0,0,4,云南,丽江,云南,中国,star 4
2,4907022476906122,懒羊羊让我起个短且有趣的名字,2023-05-30 09:06:29,#网友点评赵露思虞书欣是韩式演技# 新余人民感谢400e老赖，隐藏籍贯就是为新余争光了 ,0,0,3,甘肃,兰州,甘肃,中国,star 5
2,4907012838395765,做个快乐笨蛋呀,2023-05-30 08:28:11,#网友点评赵露思虞书欣是韩式演技#🍵有一种想拉🐟共沉沦的感觉 ,0,3,140,广东,广州,广东,中国,star 4
2,4907022455147926,朧-小丸,2023-05-30 09:06:24,#网友点评赵露思虞书欣是韩式演技#虞书欣是有演技的，而且看到了她的努力和成果，声台形表都在进步 ,0,0,1,上海,上海,上海,中国,star 4
2,4907022417400379,yoloyolo1121,2023-05-30 09:06:15,#网友点评赵露思虞书欣是韩式演技#昨天还没点名 不是三家都有人说 咋今天白某美美隐身了 不会是要他两共沉沦买的这条吧 ,0,0,3,河北,保定,河北,中国,star 5
2,4907019381244990,小原相子Hillin,2023-05-30 08:54:11,#网友点评赵露思虞书欣是韩式演技#虞书欣踢出去，她不韩。 ,0,0,16,河南,周口,河南,中国,star 3
