页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907041866388569,展展展展展展施展一下吧,2023-05-30 10:23:32,刘逸云#Amber说我比所有韩剧欧巴的吻技都好#真的是真的 我可以作证#amber读饥渴推文视频# ,0,0,4,甘肃,天水,甘肃,中国,star 5
2,4907041581176122,综艺星私藏,2023-05-30 10:22:24,#Amber说我比所有韩剧欧巴的吻技都好#  get到Amber是人气第一的原因了    好羡慕amber的勇气和自信！！ 综艺星私藏的微博视频 ,0,0,3,天津,天津,天津,中国,star 5
2,4907021792708324,第一娱闻联播,2023-05-30 09:03:46,#Amber说我比所有韩剧欧巴的吻技都好#  真的被Amber读粉丝的狂热评论视频震惊到了，这都是可以说的吗？保护我方纯爱宝宝，不过吻技真的很好嘛，我不信，我没试过 第一娱闻联播的微博视频 ,352,426,4895,河南,郑州,河南,中国,star 5
2,4907041107738633,在逃圈主,2023-05-30 10:20:30,#Amber说我比所有韩剧欧巴的吻技都好#  二公选人轮到汁芙难过了~ 在逃圈主的微博视频 ,0,0,3,天津,天津,天津,中国,star 5
2,4907040537318283,古装影视局,2023-05-30 10:18:15,#Amber说我比所有韩剧欧巴的吻技都好#  amber的记忆口诀该说不说是真的很实用嘞，学到了，最后姐姐们的舞台真的泰酷辣！！！ 古装影视局的微博视频 ,0,1,4,天津,天津,天津,中国,star 5
2,4907040494851478,车载典藏音乐,2023-05-30 10:18:05,Amber说我比所有韩剧欧巴的吻技都好 amber刘逸云 这是真的吗，我不信，除非让我试试+#亿点曝光计划##给视频加buff##搞笑##幽默吐槽# 车载典藏音乐的微博视频 ,0,1,0,河北,保定,河北,中国,star 3
2,4907040307155132,精神病人电波站,2023-05-30 10:17:20,#Amber说我比所有韩剧欧巴的吻技都好#我不信，让我试试让我试试我可以作证的 ,0,0,3,北京,北京,北京,中国,star 5
2,4907040289330210,MINIlarme,2023-05-30 10:17:16,我不信，除非让我试试#amber说我比所有韩剧欧巴的吻技都好#,0,0,0,北京,北京,北京,中国,star 3
2,4907040105302038,w_chanbaek_,2023-05-30 10:16:32,刘逸云  哈哈哈哈看来这下这件事全国人民都要知道了瞒不过了我说强烈建议大家去看other people的mv入股不亏😉还有就是不要只关注这些o，ber身上还有好多好多闪光点呢(图源侵删)#Amber说我比所有韩剧欧巴的吻技都好##刘逸云amber#  @刘逸云Amber ,0,11,23,北京,北京,北京,中国,star 5
2,4907040059163121,陪我一起来看流行剧,2023-05-30 10:16:20,#Amber说我比所有韩剧欧巴的吻技都好#  考古Amber有点被帅到，还得是Amber！！ 陪我一起来看流行剧的微博视频 ,0,0,1,天津,天津,天津,中国,star 5
3,4907039786273848,飞驰的叭叭怪,2023-05-30 10:15:16,#乘风2023##Amber说我比所有韩剧欧巴的吻技都好#    Amber一下子劈了7个木板，不愧是我们跆拳道黑带选手刘逸云！ 飞驰的叭叭怪的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
3,4907039677745508,Verinalll,2023-05-30 10:14:50,#amber说我比所有韩剧欧巴的吻技都好# 我不信，除非你给我试试来看看Amber欣姐的live现场,1,1,6,北京,北京,北京,中国,star 5
3,4907038981228941,峡谷老玩家,2023-05-30 10:12:04,#Amber说我比所有韩剧欧巴的吻技都好#   amber刘逸云称蜜声带教官为理想型，真的有被帅到！ 峡谷老玩家的微博视频 ,1,0,8,天津,天津,天津,中国,star 5
3,4907038914120105,我有Magic,2023-05-30 10:11:48,Amber的中文小课堂之第二课，一起来学东北话“油儿～”  #Amber说我比所有韩剧欧巴的吻技都好#  #amber#   我有Magic的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
3,4907038905995989,是羊驼呀-,2023-05-30 10:11:46,#amber读饥渴推文视频#☁️ #amber说我比所有韩剧欧巴的吻技都好#  ,0,0,4,山东,东营,山东,中国,star 4
3,4907038901011519,奇妙物语Disney,2023-05-30 10:11:45,#Amber说我比所有韩剧欧巴的吻技都好#   当amber活跃在各个姐姐的volg，教越南姐姐中文：“棒死了”太可爱了叭~这波糖我吃了 奇妙物语Disney的微博视频 ,0,0,5,天津,天津,天津,中国,star 5
3,4907038871917502,风车若葵one,2023-05-30 10:11:38,#amber说我比所有韩剧欧巴的吻技都好# amber，我在评论区排着队拿着啵啵的号码牌@刘逸云Amber ,0,5,4,山东,,山东,中国,star 5
3,4907038775444280,猫猫爱娱,2023-05-30 10:11:15,#Amber说我比所有韩剧欧巴的吻技都好#真的被Amber对粉丝的狂热评论视频震惊到了哈哈哈哈哈，这是可以说的吗？我不信哈哈哈 猫猫爱娱的微博视频 ,32,35,49,河北,唐山,河北,中国,star 5
3,4907038751066857,浪里白龙薛宝玉,2023-05-30 10:11:09,#Amber说我比所有韩剧欧巴的吻技都好#  真的吗，我不信，让我试试 看Amber 跟朋友看自己的吻戏，全程害羞，好可爱啊～ 浪里白龙薛宝玉的微博视频 ,0,0,7,河北,石家庄,河北,中国,star 5
3,4907030458925393,羊驼爱吃橘子_,2023-05-30 09:38:11,#Amber说我比所有韩剧欧巴的吻技都好#  哈哈哈我不信 除非给我亲亲 想看amber吻戏这边推荐可以去看看《other people》MV  @刘逸云Amber ,1,36,132,上海,上海,上海,中国,star 5
4,4907038679761960,一只没心没肺的小玳竹fox,2023-05-30 10:10:52,#Amber说我比所有韩剧欧巴的吻技都好# 或许你们看过她other people的mv嘛 ,0,2,2,河北,沧州,河北,中国,star 3
4,4907038368861219,东北艾夫斯,2023-05-30 10:09:38,#Amber说我比所有韩剧欧巴的吻技都好#   美依礼芽带手套带了个寂寞，小美又在散发可爱魅力了！ 东北艾夫斯的微博视频 ,0,0,2,天津,天津,天津,中国,star 5
4,4907037862135381,一萌甜宠在冒泡,2023-05-30 10:07:37,#Amber说我比所有韩剧欧巴的吻技都好#   刘逸云Amber：我吻技很好哦；Acloud：让我试试让我试试。 一萌甜宠在冒泡的微博视频 ,0,0,1,天津,天津,天津,中国,star 5
4,4907037726870380,awal17,2023-05-30 10:07:05,#Amber说我比所有韩剧欧巴的吻技都好# 到現在還一直在循環《從頭》舞台和 #amber新歌ily##ILY-刘逸云 Amber Liu[音乐]# ，太帥了 刘逸云Amber的微博视频 ,0,0,2,中国台湾,高雄市,台湾,中国,star 5
4,4907037551493380,十三亿少女的尖叫,2023-05-30 10:06:22,#Amber说我比所有韩剧欧巴的吻技都好#    感谢芝芙的舞蹈课，我也是可以跳《叮叮当当》的！ 十三亿少女的尖叫的微博视频 ,0,0,2,天津,天津,天津,中国,star 5
4,4907037382938648,即日飞升顶流小花,2023-05-30 10:05:43,你吃藕成这样..啊这很难评，韩剧欧巴其实脸都过得去的#Amber说我比所有韩剧欧巴的吻技都好# ,0,4,5,重庆,重庆,重庆,中国,star 1
