页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907042458832427,烟雨巷沫,2023-05-30 10:25:53,#吴谢宇死刑#只想说一句，他的死刑遭的不冤！ ,0,0,0,四川,成都,四川,中国,star 4
2,4907042454899843,小懒猫八个卦,2023-05-30 10:25:52,#吴谢宇死刑#成年人应该为自己的行为负责任！即使他遭受过艰难而禁锢的成长经历，都不是他杀害亲生母亲的理由！！ ,0,0,0,山东,济南,山东,中国,star 4
2,4907042449391920,S_n_o_w1011,2023-05-30 10:25:50,#吴谢宇死刑#还上诉？哪来的脸上诉的？可惜不能处决的时候用杠铃砸死它 ,0,0,0,湖北,武汉,湖北,中国,star 1
2,4907042433664571,en和bs,2023-05-30 10:25:47,#吴谢宇死刑#替吴谢宇说话的，就是欺负死者开不了口罢了，什么都是死者逼得，吴谢宇虽然杀人，嫖娼，赌博，但它是一朵白莲花 ,0,0,0,广东,佛山,广东,中国,star 1
2,4907042428684475,风水命理吕元嘉,2023-05-30 10:25:46,吴谢宇八字  #吴谢宇死刑##弑母案吴谢宇自称考试机器值得警醒##吴谢宇弑母案二审今开庭# 风水命理吕元嘉的微博视频 ,0,0,0,上海,上海,上海,中国,star 5
2,4907042420032102,孔易师,2023-05-30 10:25:44,#吴谢宇死刑#  恶魔除尽，人间太平～～ ,0,0,0,河南,焦作,河南,中国,star 5
2,4907042412171317,插耳机别听,2023-05-30 10:25:42,#吴谢宇死刑#这人真的很可怕！！！ ,0,0,0,甘肃,陇南,甘肃,中国,star 1
2,4907042369702921,多多赚钱养娃,2023-05-30 10:25:32,#吴谢宇死刑#这种如果不是死刑，那死刑，就没有存在的意义？，建议尽快执行，不要再浪费粮食了！ ,0,0,0,江苏,苏州,江苏,中国,star 3
2,4907042362363498,钟国浅浅,2023-05-30 10:25:30,#吴谢宇死刑#多活了八年呵呵 ,0,0,0,广东,,广东,中国,star 5
2,4907042357383238,郑好饿,2023-05-30 10:25:29,#吴谢宇死刑# 好多活佛啊 现在连自己连弑母都可以原谅了…… 真想把有些人的评论给他/她妈看看 生了个什么chu生 ,0,0,2,浙江,衢州,浙江,中国,star 4
3,4907042323564460,我真得好好睡觉了-,2023-05-30 10:25:21,#吴谢宇死刑#终于审判结束了！想知道现在执行死刑的方式是什么？安乐死吗？ ,0,0,0,宁夏,,宁夏,中国,star 1
3,4907042295253593,西北旅游,2023-05-30 10:25:14,#吴谢宇死刑#浪费时间，浪费空气，拿起刀的那一刻就已经是死人了！！ ,0,0,0,陕西,西安,陕西,中国,star 1
3,4907042265631970,华图李梦娇,2023-05-30 10:25:07,#吴谢宇死刑#(单选题) 死刑是剥夺犯罪分子生命的刑罚，关于死刑，下列认识错误的是：  网页链接 ,0,1,19,北京,北京,北京,中国,star 3
3,4907042253308815,香韵知寒,2023-05-30 10:25:04,#吴谢宇死刑# 维持原判，罪无可恕。 ,0,0,0,黑龙江,鹤岗,黑龙江,中国,star 4
3,4907031121890324,张三同学,2023-05-30 09:40:50,#吴谢宇死刑#  二审维持原判，吴谢宇死刑。 ,15,41,623,北京,北京,北京,中国,star 4
3,4907042236270673,重庆巴南检察院,2023-05-30 10:25:00,【#吴谢宇案时间轴#】#吴谢宇二审死刑#2023年5月30日，福建省高级人民法院对吴谢宇故意杀人、诈骗、买卖身份证件上诉一案二审公开宣判，裁定驳回上诉，维持原判。#吴谢宇案二审今日宣判# 吴谢宇案时间轴↓ ,0,0,0,,重庆,重庆,中国,star 5
3,4907042194590182,大象新闻,2023-05-30 10:24:50,【#吴谢宇弑母案二审维持原判# 二审辩护律师称将继续代理死刑复核阶段】2023年5月30日，福建省高级人民法院对吴谢宇故意杀人、诈骗、买卖身份证件上诉一案二审公开宣判，裁定驳回上诉，维持原判。详情点击：网页链接 ,0,0,0,,郑州,河南,中国,star 3
3,4907042189350269,德阳公安,2023-05-30 10:24:49,警惕修复征信诈骗 国家反诈中心的微博视频  #吴谢宇死刑# ,0,0,0,,德阳,四川,中国,star 5
3,4907042186199321,清风绕乌云,2023-05-30 10:24:47,#吴谢宇死刑#早该死了，让他多活了这么久！ ,0,0,1,江西,景德镇,江西,中国,star 5
3,4907042185939495,整点读书,2023-05-30 10:24:48,#吴谢宇死刑#对于这个结果，并不意外，亲手杀了母亲，又外逃，情节恶劣。 8年了，这些年也不知道他有没有在心里觉得对不起自己的母亲。 ,0,0,3,辽宁,营口,辽宁,中国,star 4
4,4907042169687331,Young_forever01,2023-05-30 10:24:44,#吴谢宇死刑# 再怎么样也不是你杀害母亲的理由 ,0,0,0,江西,南昌,江西,中国,star 5
4,4907042139538476,19系大鹅,2023-05-30 10:24:37,#吴谢宇死刑# 渣滓毫无人性，高院驳回得好 ,0,0,0,四川,成都,四川,中国,star 1
4,4907042119094271,我担真绝世美颜,2023-05-30 10:24:32,#吴谢宇死刑# 弑母应该死刑     只是浪费了一个北大的名额 ,0,3,11,湖南,怀化,湖南,中国,star 3
4,4907042114372980,亚洲游,2023-05-30 10:24:31,#吴谢宇死刑#吴谢宇弑母案时间线 ,0,0,1,浙江,绍兴,浙江,中国,star 5
4,4907042101268043,水母网,2023-05-30 10:24:28,【#吴谢宇律师称继续代理死刑复核阶段#】 2023年5月30日，福建省高级人民法院对吴谢宇故意杀人、诈骗、买卖身份证件上诉一案二审公开宣判，裁定驳回上诉，维持原判。#吴谢宇死刑# 开庭前，吴谢宇二审两位辩护人均未到场。宣判后，记者从吴谢宇二审辩护人郑晓静处了解到，她将继续代理#吴谢宇# 案件死刑复核的阶段。郑晓静表示，会争取安排时间再与吴谢宇进行会见。@猛犸新闻  吴谢宇二审维持死刑，二审辩护律师称将继续代理死刑复核阶段,0,0,0,,烟台,山东,中国,star 5
4,4907042097075954,斗城半夏,2023-05-30 10:24:27,#吴谢宇死刑#坏且狡诈，明明是有预谋有计划的谋杀，上诉还撒谎伪装成受害者。枉为人子，死不足惜 ,0,0,1,四川,遂宁,四川,中国,star 1
4,4907042071910183,执笔女公子,2023-05-30 10:24:21,多活了八年！#吴谢宇死刑#这次判了，死刑。 ,0,0,0,河南,三门峡,河南,中国,star 5
