页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907042836317814,蘅点点,2023-05-30 10:27:23,#坐火箭太爽了#好羡慕这既“没见过世面”又很凡尔赛的样子，好想体验一下 ,0,0,1,山东,威海,山东,中国,star 5
2,4907034179537818,方向舵舵机改,2023-05-30 09:52:59,某个乘员：坐火箭太爽了 现场学生们：呵呵呵呵呵 主持人：这是谁说的？ 聂海胜：洞叁（桂海潮老师） 现场学生们：哈哈哈哈哈哈哈哈哈哈！ ,16,11,79,北京,北京,北京,中国,star 5
2,4907042673001626,China-vi,2023-05-30 10:26:44,#坐火箭太爽了#我能不能去呀 ,0,0,0,广西,北海,广西,中国,star 5
2,4907042613499030,是Elaine也是gungun,2023-05-30 10:26:30,坐火箭太爽了！博士生导师太牛了！这下子实践到位了,0,0,0,福建,厦门,福建,中国,star 5
2,4907042588069800,斗城半夏,2023-05-30 10:26:24,#坐火箭太爽了#神十六发射升空，航天员说坐火箭太爽了！#博士乘组上天的反应# ,0,0,1,四川,遂宁,四川,中国,star 5
2,4907041447218363,MrHyperbolaaaa,2023-05-30 10:21:52,#坐火箭太爽了#   肉眼可见桂老师的开心 ,2,1,51,北京,北京,北京,中国,star 5
2,4907042487666374,一叶知庐,2023-05-30 10:25:59,#神舟十六号发射##坐火箭太爽了# 85后戴眼镜非军人“小镇做题家”坐上火箭了🚀🚀🚀,2,0,7,安徽,合肥,安徽,中国,star 5
2,4907042449393794,林盈同学,2023-05-30 10:25:51,#坐火箭太爽了# 就是这么直接了当，不玩弄文绉绉的文字。 ,0,0,2,广东,江门,广东,中国,star 3
2,4907031397403969,央视新闻,2023-05-30 09:41:56,【#博士乘组上天的反应#】“很舒服！”刚刚，神十六发射升空，航天员说#坐火箭太爽了#~#直播神舟十六号发射# 央视新闻的微博视频 ,663,455,4587,,北京,北京,中国,star 5
2,4907034838043619,王者丸子酱,2023-05-30 09:55:36,#坐火箭太爽了#坐火箭真的爽呀 我们国家好厉害的 连火箭都可以自己制造了 太厉害了 我是中国人感到骄傲 中国真的很优秀 在慢慢的变好起来呢 加油中国 火箭制造的很不错 争取制造出更高端的火箭哦 加油 我们都是最棒的中国人 支持国家 希望国家强大起来 ,0,1,15,河南,南阳,河南,中国,star 5
3,4907042026294692,K日日是好日K,2023-05-30 10:24:10,#神十六发射圆满成功# “坐火箭太爽了！”中国航天，勇往直前！,1,0,0,广西,南宁,广西,中国,star 5
3,4907037245048940,观察者网,2023-05-30 10:05:10,神舟十六发射成功！航天员说：坐火箭太爽了  #神舟十六号航天员称坐火箭太爽了# 观察者网的微博视频 ,19,25,254,,上海,上海,中国,star 5
3,4907019465920119,新华网,2023-05-30 08:54:31,【太可爱！请查收#桂海潮点赞表情包#】#桂海潮进舱前比大拇指#，热情挥手，还和景海鹏、朱杨柱开心击掌。一切顺利，等你们凯旋！#坐火箭太爽了# 人民日报的微博视频 ,64,69,998,,北京,北京,中国,star 5
3,4907041501741301,改名的时候来电话了,2023-05-30 10:22:04,#坐火箭太爽了# 看得也挺爽滴 ,1,0,5,重庆,重庆,重庆,中国,star 5
3,4907033331499836,好难说故事,2023-05-30 09:49:37,#坐火箭太爽了#  真离谱，坐火箭怎么会舒服……  一般人上去，在那种升空压力下，基本上是直接昏迷。  少半条命还差不多，哪儿来的舒服可言！  这他喵的是妥妥的凡尔赛！ ,0,8,20,江苏,苏州,江苏,中国,star 1
3,4907041123994609,蔡阳的微博,2023-05-30 10:20:35,#坐火箭太爽了#我与春风皆过客，你携秋水揽星河。 ,0,1,7,海南,三亚,海南,中国,star 5
