页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907033772427615,西南鹰狼,2023-05-30 09:51:22,#新娘坐婚车睡着新郎一路托着头#这就嫁对人了？？？想不明白想表达什么意思？？新娘都困成这样了，为啥要托着头，让他趴着或者靠着你睡，不舒服点吗还自拍出来得瑟。 ,0,5,23,广西,,广西,中国,star 1
2,4907038390096319,T城女明星,2023-05-30 10:09:43,#新娘坐婚车睡着新郎一路托着头#这点事就嫁对人啦对婚姻的期望真低呀 ,0,0,5,安徽,合肥,安徽,中国,star 2
2,4907038020471899,浅浅de海洋,2023-05-30 10:08:15,#新娘坐婚车睡着新郎一路托着头# 因为爱情？可是新娘这样被托着下巴很不舒服吧，然而新郎还在一边忙着拍视频，爱情～而已？ ,0,0,11,广东,深圳,广东,中国,star 3
2,4907037857681736,归港老船,2023-05-30 10:07:36,#新娘坐婚车睡着新郎一路托着头#尽管新郎直摇头表示无奈，但手还是紧紧的托着新娘的头，小小细节也体现一个人，嫁对人了，没错！ 归港老船的微博视频 ,0,13,20,浙江,宁波,浙江,中国,star 5
2,4907037760947918,翟海潮,2023-05-30 10:07:13,#新娘坐婚车睡着新郎一路托着头# 新娘坐在婚车上睡着了，新郎全程托着新娘的头，满脸无奈的表情太可爱了。结婚当天的一道流程下来真的很累人，你结婚的当天感觉累吗？ ,11,42,88,江苏,盐城,江苏,中国,star 2
2,4907037698296503,晨视频,2023-05-30 10:06:58,#新娘坐婚车睡着新郎一路托着头#,0,1,0,,长沙,湖南,中国,star 5
2,4907037639838830,是唯一ya,2023-05-30 10:06:44,#新娘坐婚车睡着新郎一路托着头#以后再怎么吵架是以后的事，人家刚结婚恩爱一点不是很正常吗，有问题也是以后的事怎么非得在人家结婚没几天的时候挑刺呢 ,0,0,1,辽宁,沈阳,辽宁,中国,star 5
2,4907037396303947,贾复,2023-05-30 10:05:45,#新娘坐婚车睡着新郎一路托着头#就不能让人躺下睡吗，非要拖着。 ,0,1,0,江苏,苏州,江苏,中国,star 2
2,4907035370459286,潇湘晨报,2023-05-30 09:57:43,【#新娘坐婚车睡着新郎一路托着头#】5月26日，山东临沂。新娘在婚车里困得呼呼大睡，新郎一路贴心托腮。网友：自己的媳妇自己宠！临沂 潇湘晨报的微博视频 ,5,5,33,,长沙,湖南,中国,star 5
2,4907034661357605,繁华落尽-尘埃落定,2023-05-30 09:54:54,#新娘坐婚车睡着新郎一路托着头#不要在微博秀恩爱了，要不然一群人在下面劝分的，微博上她们只喜欢看坏的打人离婚的 ,0,1,2,广东,广州,广东,中国,star 5
3,4907034136807199,梓若夕,2023-05-30 09:52:49,#新娘坐婚车睡着新郎一路托着头#可爱的新娘和温柔体贴的新郎，祝你们幸福美满，白头偕老 ,0,0,0,湖北,武汉,湖北,中国,star 5
3,4907034082544076,型男之夏,2023-05-30 09:52:36,愿你此生寻得良人，白头偕老#如何看待男子砍杀柯基##新娘坐婚车睡着新郎一路托着头# ,0,0,3,广西,南宁,广西,中国,star 5
3,4907034024347426,桃心小语,2023-05-30 09:52:22,#新娘坐婚车睡着新郎一路托着头# 睡眠质量好的人只要想睡觉随时随地能睡着，结婚是累并快乐着，在喜欢的人，爱的人旁边，毫无戒备的安心睡觉，祝新婚快乐，百年好合。永远幸福。 ,0,0,0,湖南,株洲,湖南,中国,star 5
3,4907033965625981,第一幸运儿非我莫属,2023-05-30 09:52:08,#新娘坐婚车睡着新郎一路托着头#咱就是说，这个颠法还有一只手托着，还能睡着，还不醒，这睡眠质量得多好羡慕了 ,0,0,0,北京,北京,北京,中国,star 5
3,4907032979181842,郝吉林,2023-05-30 09:48:13,#新娘坐婚车睡着新郎一路托着头#早没有新鲜感觉了。 如今，仪式而已，走走过场。 ,0,0,0,山西,太原,山西,中国,star 4
3,4907030936293816,情感衣恋,2023-05-30 09:40:06,#新娘坐婚车睡着新郎一路托着头#5月28日，山东，因为新娘头饰靠着会疼，新郎用手托了一路。 情感衣恋的微博视频 ,6,6,127,西藏,拉萨,西藏,中国,star 4
3,4907030902472854,韶华似栈妖莳玖,2023-05-30 09:39:57,#新娘坐婚车睡着新郎一路托着头#结婚真的巨累，新娘通常凌晨2.3点就要起床化妆～真好，姑娘嫁对了人～愿新婚快乐，百年好合！ ,0,0,4,四川,成都,四川,中国,star 5
3,4907029887452331,开心的桃桃小窝,2023-05-30 09:35:56,#新娘坐婚车睡着新郎一路托着头#这一幕有被感动到了！很暖，这嫁对人了愿新人幸福美满！ ,0,0,2,广东,广州,广东,中国,star 5
3,4907029137198209,温凉如初---雪宝,2023-05-30 09:32:57,#新娘坐婚车睡着新郎一路托着头#  😄爱一个人也就是会心疼ta吧 ,0,0,0,广西,玉林,广西,中国,star 5
3,4907029058291652,Mcoollee,2023-05-30 09:32:38,#新娘坐婚车睡着新郎一路托着头# 渣浪是不是每个月有催婚催生的任务啊，没有热搜也要制造热搜怕任务完不成嘛这是 ,0,0,9,北京,北京,北京,中国,star 5
4,4907028855920099,肖战的小仙女丶,2023-05-30 09:31:50,#新娘坐婚车睡着新郎一路托着头# 结婚都要很早就要起床化妆、换衣服、拍照，新娘子估计起太早了，这新郎看着就挺温和的，㊗️他们幸福 ,0,0,0,河南,郑州,河南,中国,star 5
4,4907027970922824,清风上影,2023-05-30 09:28:19,#新娘坐婚车睡着新郎一路托着头#哇塞！这是爱情最美的样子！祝新人百年好合！新婚快乐！ ,0,0,0,广东,深圳,广东,中国,star 5
4,4907027266274591,风行水上-1005,2023-05-30 09:25:31,#新娘坐婚车睡着新郎一路托着头# 嫁人就嫁灰太狼，娶妻就娶喜洋洋，从相知到相爱，由相爱到更相知。人常说的绝版眷侣就是你们了！祝福灰太狼和喜洋洋相亲相爱年年岁岁，相知相伴岁岁年年！ ,0,0,1,吉林,延边朝鲜族自治州,吉林,中国,star 5
4,4907026792057328,雷克雅未克HKV,2023-05-30 09:23:38,#新娘坐婚车睡着新郎一路托着头#讲真，我跟我老公说，我不早起，否则他去租个新娘，那种凌晨三点起来做造型的新娘简直是囚犯。 ,0,0,1,北京,北京,北京,中国,star 5
4,4907026083745243,范爷____,2023-05-30 09:20:49,#新娘坐婚车睡着新郎一路托着头#早上起很早化妆这些，一定很困。 ,0,0,0,重庆,重庆,重庆,中国,star 3
4,4907024938958976,X110729Z,2023-05-30 09:16:15,#新娘坐婚车睡着新郎一路托着头#结过婚办过酒席的都知道，那几天都没法好好休息的，办完了才睡得着！ ,0,2,7,上海,上海,上海,中国,star 3
4,4907024187394059,小罗很野,2023-05-30 09:13:17,#新娘坐婚车睡着新郎一路托着头# 结婚真的很累，结婚前一天压根就没睡过觉，我就是过来人。 ,0,1,6,广东,湛江,广东,中国,star 1
4,4907023487207119,meng紫雨1005,2023-05-30 09:10:30,#新娘坐婚车睡着新郎一路托着头#她是嫁给了爱情❤️❤️ ,0,0,6,四川,南充,四川,中国,star 4
4,4907022694747103,TATV天天说事,2023-05-30 09:07:21,#新娘坐婚车睡着新郎一路托着头#宠妻山东好男儿，这女孩家人们肯定暖到了，嫁对人了！ ,0,1,1,山东,济南,山东,中国,star 5
4,4907005279734061,花蕊语_初见,2023-05-30 07:58:09,#新娘坐婚车睡着新郎一路托着头#这就是嫁给爱情的样子，这个小伙子不错，祝百年好合 ,0,0,8,中国香港,,香港,中国,star 5
