页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907042899233939,车事勇评,2023-05-30 10:27:38,#马斯克谈中国航天工程计划##马斯克或将于本周访问中国# 马斯克真是高情商啊，马上要到访中国，预计此行期间将与中方高级别官员会见，并参观特斯拉上海工厂。 来之前，在微博特意表达了对中国航天事业的赞赏——“中国的航天计划远比大多数人意识到的更为超前” ,0,0,0,云南,,云南,中国,star 5
2,4907039732531214,锋潮科技,2023-05-30 10:15:02,不仅外网发了，微博也发了。  马斯克：中国的航天计划远比大多数人意识到的更为超前。  #马斯克谈中国航天工程计划# ,0,7,19,广东,广州,广东,中国,star 5
2,4907037014624147,地瓜熊老六,2023-05-30 10:04:15,#马斯克谈中国航天工程计划#在一些人的眼里，只有马斯克的火箭才是工业皇冠上的明珠，才是人类的希望，才是世界的文明。 ,8,36,202,辽宁,大连,辽宁,中国,star 4
2,4907042505230203,电商之家,2023-05-30 10:26:04,#马斯克谈中国航天工程计划#  马斯克称中国航天，远比大多数人意识到的更先进。不仅如此，马斯克本周很可能将访问中国，网友：坐星舰来吗？ #马斯克本周或访问中国# ,59,16,48,广东,深圳,广东,中国,star 5
2,4907042291059779,小猪搞机,2023-05-30 10:25:13,#马斯克谈中国航天工程计划#  居然国内还有这样的人！抄星舰？一款还没有发射成功的产品，它有什么地方值得我们去抄？  我们的航天工程是系统性，有计划的，分步实施的重点工程！每一步都按自己的想法在稳步发展，而且比他们可是先进多了！ ,0,0,1,浙江,杭州,浙江,中国,star 1
2,4907034597656205,赵盛烨,2023-05-30 09:54:39,现代中国航天是系统性的、有计划体系的、有个各阶段和各个领域明确目标的，保证了航天探索工作是稳定的、安全的、科学的。在这个角度上来看，中国航天与其他某航天强国“抓眼球”、“炒热点”、“钻圈钱”、胡乱搞一气的风格完全不同，所以中国航天可能是未来人类航天的希望，而马斯克恐怕要深深反思了，不行就搬中国来吧。#马斯克谈中国航天工程计划# #神十六发射圆满成功#,16,16,144,福建,厦门,福建,中国,star 4
2,4907037425665718,寰球镜头,2023-05-30 10:05:53,#马斯克谈中国航天工程计划# 29日，Chris Hadfield发布一条Twitter引用中国探月工程总设计师吴伟仁院士的话:“到2030年，中国人一定能够踏上月球，这不是问题”马斯克回复道:“中国航天计划比大多数人想象的要先进得多”。不少网友点赞中国，“中国正在像明星一样崛起”、“中国比大多数人想象的要先进得多”、“他们努力工作，专注于最终目标”有人点赞，肯定就有“柠檬精”🍋，这些“柠檬精”又开始用老一套话术给其他人灌输中国的刻板印象。,1,7,36,浙江,宁波,浙江,中国,star 4
2,4907040919257466,传媒小哥哥,2023-05-30 10:19:46,#马斯克谈中国航天工程计划#警惕，马斯克可不是好东西，这家伙有大漂亮兵方背景！他的星链还让大家免费上网，这妥妥的腐化美国人民，我们不能忍，这是挑拨离间 ,0,0,0,河北,邢台,河北,中国,star 1
2,4907040142787361,锦鲤空大了,2023-05-30 10:16:41,#马斯克谈中国航天工程计划# 马斯克微博有账号为什么不发微博，看不上微博的流量吗？ ,0,3,3,宁夏,吴忠,宁夏,中国,star 3
2,4907039908430978,末位观点,2023-05-30 10:15:45,#马斯克谈中国航天工程计划#马斯克也算这个领域的专家，赞誉中国航天工程计划，专业角度高于客套层面。 ,10,10,18,浙江,杭州,浙江,中国,star 4
3,4907036134082624,盖世英雄玉椒龙,2023-05-30 10:00:45,#马斯克谈中国航天工程计划#   美国媒体说马斯克本周拟访问中国 ,1,3,35,山东,东营,山东,中国,star 5
