页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907043586835009,是清寒呀_,2023-05-30 10:30:21,#中国人筑起攀向太空的天梯# 我们的征途是星辰大海，愿一切顺利，平安凯旋！🇨🇳☀️·　　　　🛸　　　 　🌏　°　　🌓　•　　.°•　　　🚀 ✯🇨🇳✯ 　　　★　*°　　　　🛰　°·　　 .　　　•　°★　• ▁▂▃▄▅▆▇▇▆▅▄▃▁▂▃ ,0,0,0,江苏,无锡,江苏,中国,star 5
2,4906993539875003,空天逐梦,2023-05-30 07:11:30,出发！ #中国人筑起攀向太空的天梯# #神十六出征仪式# ,10,4,124,北京,北京,北京,中国,star 5
2,4907042714424621,莫高窟,2023-05-30 10:26:54,#中国人筑起攀向太空的天梯#回顾30载飞天路，我们把漫游太空的美丽幻想谱写成了纪实的诗篇，镌刻荣耀的背后，每一步走得踏实而坚定！叩响苍穹，传递祝福！让我们共同见证，一起为中国航天加油！#神舟十六号发射# ,1,0,21,,酒泉,甘肃,中国,star 5
2,4907042630273754,海贼王出师了,2023-05-30 10:26:34,#中国人筑起攀向太空的天梯# 产业链上下游有肉吃 ,0,0,0,福建,福州,福建,中国,star 4
2,4907014146753617,周至法院,2023-05-30 08:33:23,早安梦有多燃，就能飞得多远。顽强的毅力可以征服世上任何一座高峰，所有的热爱都要全力以赴。早上好 #神十六航天员领命出征##中国人筑起攀向太空的天梯# 周至法院的微博视频 ,1,116,48,,西安,陕西,中国,star 5
2,4907041880278975,黑龙江共青团,2023-05-30 10:23:35,【转发祝贺！神十六发射圆满成功】接下来，和团团一起期待神十五神十六航天员太空会师转发一起见证中国航天高光时刻！  #直播神舟十六号发射##中国人筑起攀向太空的天梯##现在进入神舟十六号时间# ,0,0,6,,哈尔滨,黑龙江,中国,star 5
2,4906886744769903,无心简影,2023-05-30 00:07:08,看看路透社怎么配图的……  #导师上天了##中国人筑起攀向太空的天梯# ,111,206,4418,重庆,重庆,重庆,中国,star 4
2,4907041795082586,华池政法,2023-05-30 10:23:15,#华池早安#   要让梦想变为现实，具有执行力才是最快路径。早安～  早安超话#中国人筑起攀向太空的天梯##2030年前实现中国人登陆月球# ,0,2,1,,庆阳,甘肃,中国,star 4
2,4907041459798085,王江涛老师,2023-05-30 10:21:54,#神州十六号发射##中国人筑起攀向太空的天梯#  你印象最深刻的一次火箭发射是神州几号？来看看大家的代沟有多大 ,0,0,0,北京,北京,北京,中国,star 4
2,4907003228720177,新闻晨报,2023-05-30 07:50:00,【#神十六航天员乘组出征仪式举行#，景海鹏朱杨柱桂海潮领命出征】#神十六航天员领命出征#北京时间2023年5月30日6时42分，神舟十六号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行。6时44分，中国载人航天工程总指挥、空间站应用与发展阶段飞行任务总指挥部总指挥长许学强下达“出发”命令，景海鹏、朱杨柱、桂海潮3名航天员领命出征。今早，在酒泉卫星发射中心，航天人早早集结为发射做准备。发射场为工作人员准备了特别早餐：东风“成功”小点心，包括“齐心协力”粗粮烤面包、“蒸蒸日上”紫薯山药糕、“一帆风顺”香蕉黄金糕、“圆圆满满”绿豆抹茶糕，还有“双圆满”圆梦果汁。截至今日，神舟十五号航天员乘组进驻空间站已满半年，正在准备迎接即将到来的神舟十六号航天员乘组。#中国人筑起攀向太空的天梯#（综合央视新闻）央视新闻的微博视频,9,5,114,,上海,上海,中国,star 5
3,4906888175814210,Sun_刘磊,2023-05-30 00:12:49,#导师上天了#刚看到导师上天了时，我以为导师又在发什么癫，结果没想到真是上天了！  桂海潮，云南施甸人，31岁成为博导，36岁开始上天，学术论文50余篇，首位出征空间站任务航天载荷专家、首位非军人航天员.....，真正的小镇做题家。 #中国人筑起攀向太空的天梯# ,16,19,192,上海,上海,上海,中国,star 4
3,4906994169020838,芙蓉公安,2023-05-30 07:14:00,早安芙蓉 不甘心原地踏步，那就把焦虑都化为动力。早安 #中国人筑起攀向太空的天梯# ,0,84,49,,长沙,湖南,中国,star 5
