页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907048094926096,简单自在就好啦,2023-05-30 10:48:17,NBA 恭喜热火，实现黑八奇迹，挺进总决赛，同时也让 “3-0领先被翻盘”，继续成为不可能#NBA##凯尔特人vs热火# 盐城 ,0,0,0,江苏,盐城,江苏,中国,star 5
2,4907046757992329,迈阿密热火,2023-05-30 10:42:58,赢了！！  #热火凯尔特人抢七##热火vs凯尔特人# ,29,47,148,美国,,美国,美国,star 5
2,4907048071069972,SuperCarryDCL,2023-05-30 10:48:10,追到3比3以后我都不相信了，但是他们还相信，赢了第一，就该赢第二！！#HEAT NATION##凯尔特人vs热火# ,0,0,0,山东,,山东,中国,star 1
2,4907048070807678,IHRJXHEJYE,2023-05-30 10:48:10,#凯尔特人vs热火# 热火和掘金将进行冠军争夺系列赛！这赛季到现在已经完美，新的冠军即将诞生，这是关于篮球的美好故事。 ,0,0,1,河南,洛阳,河南,中国,star 5
2,4907046762186461,直播吧,2023-05-30 10:42:59,黑八继续！拒绝翻盘！#热火4比3淘汰凯尔特人#晋级总决赛NBA东部决赛G7，热火客场103-84大胜绿军，总比分4-3晋级总决赛！将对阵掘金！#热火晋级总决赛#巴特勒28分7板6助3断，科雷布-马丁26分10板3助，阿德巴约12分10板7助，文森特10分4助，邓罗10分；杰伦-布朗19分8板5助，德里克-怀特18分，塔图姆14分11板4助。#凯尔特人vs热火#,13,15,40,,北京,北京,中国,star 5
2,4907048062681958,麻瓜心理研究员,2023-05-30 10:48:09,#凯尔特人vs热火#  被逼到绝境了终于强硬反击！热火进决赛了，大师兄加油！neyney也要发一个祝福的吧 keep goin🔥 ,0,0,0,江苏,南京,江苏,中国,star 5
2,4907048061898399,行_行_好,2023-05-30 10:48:09,#凯尔特人vs热火#创造历史了，历史还在继续创造。冲，乔丹私生子 ,0,0,0,江西,抚州,江西,中国,star 4
2,4907048045118644,坤拳十八氏,2023-05-30 10:48:05,#凯尔特人vs热火#一黑到底，马丁的早晨 ,0,0,1,山东,济南,山东,中国,star 4
2,4907048040403521,insomniaJK,2023-05-30 10:48:04,#凯尔特人vs热火#主教练比赛前订机票真的是拿出破釜沉舟的勇气了，结果也并没有令其失望，恭喜热火 ,0,0,0,山东,烟台,山东,中国,star 5
2,4907046786303263,库里精选Curry,2023-05-30 10:43:05,热火客场大胜凯尔特人！系列赛4-3淘汰对手，挺进总决赛！  #凯尔特人vs热火##nba##热火4比3凯尔特人# ,1,8,41,江西,萍乡,江西,中国,star 4
3,4907048024147225,小朱总正忙ing,2023-05-30 10:48:00,#凯尔特人vs热火#黑八成功 奇迹还在继续 ,0,0,0,辽宁,沈阳,辽宁,中国,star 5
3,4907048019954417,寂寞的謠言,2023-05-30 10:47:59,#凯尔特人vs热火#硬到底👍🏻 ,0,0,0,江苏,南京,江苏,中国,star 3
3,4907048019953979,热火Talk,2023-05-30 10:47:59,如果不知道什么是奇迹，我把2023热火的故事说给你听#凯尔特人vs热火# ,0,0,2,湖南,长沙,湖南,中国,star 5
3,4907046162661846,迈阿密热火,2023-05-30 10:40:36,热火球迷们来报到了！👂  #热火凯尔特人抢七##热火vs凯尔特人# ,19,69,156,美国,,美国,美国,star 5
3,4907048011826095,毛绒西西CoolBaby,2023-05-30 10:47:57,#凯尔特人vs热火# 就这样结束了 我干嘛冲vip ,0,0,0,贵州,贵阳,贵州,中国,star 5
3,4907047987185966,老李的奇幻生活,2023-05-30 10:47:51,#凯尔特人vs热火#黑八奇迹还在继续，恭喜热火。 ,0,0,0,山东,济宁,山东,中国,star 5
4,4907047953629888,不是柯点点,2023-05-30 10:47:43,#凯尔特人vs热火#黑八进总决赛 何等的厉害何等的值得尊敬 JB吉米巴特勒🫡 ,0,0,1,江西,九江,江西,中国,star 5
4,4907047940526564,SNH48-村山彩希,2023-05-30 10:47:40,#凯尔特人vs热火# 虽然不是热火粉丝，但是想看奇迹继续延续下去，一路黑到底吧。 另外这轮季后赛之后作为一个马刺球迷双手支持怀特上位。 @李宁篮球 巴特勒这个表现，加大力度宣传宣传呀！把握住机会！ ,0,0,1,辽宁,营口,辽宁,中国,star 4
4,4907047940261530,桃子-桃核,2023-05-30 10:47:40,【热火103比84凯尔特人】#凯尔特人vs热火# 恭喜热火！他们拒绝历史被改写。巴特勒和马丁在这场抢七比赛里站了出来，热火再一次证明自己的强硬。他们4比3淘汰凯尔特人晋级总决赛。巴特勒28分7篮板6助攻，马丁26分10篮板，阿德巴约12分10篮板和7次助攻，文森特和邓罗各10分。凯尔特人的布朗19分、8阿里年版5助攻，怀特18分，塔图姆14分11篮板。#热火4比3凯尔特人##NBA#,1,0,1,上海,上海,上海,中国,star 5
4,4907047919292120,弗李曼21,2023-05-30 10:47:35,#凯尔特人vs热火#恭喜热火！杰伦布朗纯战犯，攻防两端都拉成渣了。不过感觉凯尔特人的问题不光是个人发挥，7场了对联防没有任何办法，加上隐约可见的内部矛盾……连扳三局就是回光返照，今夏肯定要有大变化。布朗要不要来我刺辅佐文班啊 ,0,0,0,河北,张家口,河北,中国,star 4
4,4907047918767679,ZTMM_,2023-05-30 10:47:35,#凯尔特人vs热火# 整个热火，吉米巴特勒，马丁等众将，你们都值得，恭喜迈阿密热火，热泪盈眶…… ,0,0,2,湖北,孝感,湖北,中国,star 4
4,4907047915883730,芬梨道,2023-05-30 10:47:34,#凯尔特人vs热火##NBA#黑八奇迹继续！绿凯终于还是没能翻盘~~ 天气那么热之黑八史1994年掘金：首轮3-2超音速，次轮3-4不敌爵士止步。1999年尼克斯：首轮3-2热火，总决赛1-4不敌马刺。2007年勇士：首轮4-2小牛，次轮1-4不敌爵士止步。2011年灰熊：首轮4-2马刺，次轮3-4不敌雷霆止步。2012年76人：首轮4-2公牛，次轮3-4不敌凯尔特人止步。2023年热火：首轮4-1雄鹿，次轮4-2尼克斯，东决4-3凯尔特人,0,0,0,中国香港,,香港,中国,star 4
4,4907047915880812,TrashyYouth,2023-05-30 10:47:34,#凯尔特人vs热火# 什么叫落选秀啊？ ,0,0,0,浙江,宁波,浙江,中国,star 3
4,4907047910377581,willtaholy金,2023-05-30 10:47:33,#凯尔特人vs热火#时也命也恭喜热火黑八奇迹 ,0,0,0,北京,北京,北京,中国,star 5
4,4907047898060007,只关于火箭,2023-05-30 10:47:30,☠️ ☠️ ☠️ Poor Bill Simmons!  #热火凯尔特人抢七##凯尔特人vs热火##凯尔特人三分# ,0,0,2,美国,,美国,美国,star 5
4,4907047897796099,Micki-Wang,2023-05-30 10:47:30,#凯尔特人vs热火#塔图姆啊塔图姆，为什么崴脚的是你，而不是别的什么人啊！ ,0,0,0,北京,北京,北京,中国,star 5
