页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907046665194396,迷妹妮酱,2023-05-30 10:42:36,#官方回应怀孕4个月女子遭家暴# 不是在怀孕期间，就跟他拼命，我有个朋友老公家暴，我朋友老实人被逼急了，拿把菜刀追了他老公几条街。从那以后他老公就乖了，不敢惹她了。所以说家暴只是拿你当出气筒，不敢反抗就会一直被打，还不如直接拼个你死我活，你让我不好过。你也别想好过，大不了一起去死吧 ,0,0,0,广东,深圳,广东,中国,star 1
2,4907034632520130,午后的水妖,2023-05-30 09:54:47,我就想问问，跟昨天柯基被杀是同一案吗？如果不是，为什么受害人得到的第一个回应总是“删视频”？ #官方回应怀孕4个月女子遭家暴# ,11,18,478,浙江,杭州,浙江,中国,star 1
2,4907046464389603,蚌埠政法,2023-05-30 10:41:48,【#官方回应怀孕4个月女子遭家暴#：已调解完毕】5月29日，一名自称怀孕4个月的女子被家暴的视频在网络上流传。监控录像视频显示，男子拽着女子头发，将其踢倒，并多次打耳光。老人阻拦后，男子再次对女子动手。新京报记者从江西省景德镇市乐平市妇联获悉，市妇联已派出工作人员前往女子家中进行调查核实。乐平市涌山派出所表示，“值班民警已对该家庭进行调解。”5月29日下午，涌山镇政府一值班工作人员告诉新京报记者，当地派出所民警、妇联的工作人员均已介入，“他们把双方长辈叫到一起进行了调解，现在双方达成了一致，矛盾已处理好了。” （新京报） 钱江晚报的微博视频,0,0,0,,蚌埠,安徽,中国,star 4
2,4907046236849498,谦卑侯爷,2023-05-30 10:40:54,昨天山东丈夫杀柯基威胁老婆，今天江西丈夫打怀孕四个月的老婆，家庭暴力怎么越来越频繁了？ #官方回应怀孕4个月女子遭家暴# ,0,2,1,北京,北京,北京,中国,star 4
2,4907046119410003,白月贤臣,2023-05-30 10:40:26,#官方回应怀孕4个月女子遭家暴#为什么经常有男人家暴的事件，因为家暴不会受到惩罚，社会的谴责对他来说不痛不痒，无效妇联是变相的家暴赞助，离婚变成唯一有一定效率的解决方式。 ,0,0,0,江苏,南京,江苏,中国,star 4
2,4907037169814703,猪猪今天吃了土豆泥,2023-05-30 10:04:52,#官方回应怀孕4个月女子遭家暴#真牛逼啊官方，调解了半天原来就是为了让人把视频删了啊，你觉得删视频能促进你那催生催育的政策吗？一般这些官方是不是都是两耳不闻窗外事啊 ,0,0,29,四川,成都,四川,中国,star 1
2,4907045814012058,孟想菲扬,2023-05-30 10:39:13,#官方回应怀孕4个月女子遭家暴#没必要调解了，这次调解好了，下次可能会变本加厉的，何必呢，直接离婚吧，别到时把命丢了 ,0,0,0,安徽,淮南,安徽,中国,star 5
2,4907045608231285,lucky开心就好,2023-05-30 10:38:24,#官方回应怀孕4个月女子遭家暴#结婚率出生率为什么越来越低啊，根本不是什么房价问题 ,0,0,0,广东,汕头,广东,中国,star 3
2,4907045533256411,心爱的女孩-请不要爱我,2023-05-30 10:38:06,#官方回应怀孕4个月女子遭家暴#调解是必要程序，也是合法程序，一群法盲天天嚷嚷着和稀泥警察等部门出警只能做笔录但笔录可作为婚姻关系破裂的证明之一，妇联等部门可做的就更少了，孕妇上诉法院，法院依旧有调解环节，但孕妇可以坚持上诉，并要求离婚，判决下来了再喷也不迟女的自己不争取有啥用,1,0,0,四川,广安,四川,中国,star 5
2,4907045494984158,紫阳法院,2023-05-30 10:37:57,#官方回应怀孕4个月女子遭家暴# 遭遇家暴如何取证？据新浪新闻～#女子称怀孕4个月被老公多次家暴#在遭遇家暴时如何正确自救 ？家暴只有零次和无数次，不要害怕！不要隐忍退让！及时求助报警，拿起法律的武器勇敢地保护自己，才是最正确的方式！ ,0,0,0,,安康,陕西,中国,star 5
3,4907028408175258,鑀鉁銖,2023-05-30 09:30:03,#官方回应怀孕4个月女子遭家暴#这题我会，第一步劝删视频，第二步写保证书，第三步在街道和亲友的劝说下已和解 ,0,4,62,河南,郑州,河南,中国,star 5
3,4907045268228682,Jennniy,2023-05-30 10:37:03,#官方回应怀孕4个月女子遭家暴#  家暴还调解？有一次就有无数次，婚姻不是你暴力的保护伞，既然有社会舆论，不是应该解决问题让男方得到惩罚吗？怎么什么都只想着调解😅 况且女方还怀孕4个月，他怎么下得去手😅😅😅 ,0,0,2,四川,成都,四川,中国,star 1
3,4907044773298874,好难说故事,2023-05-30 10:35:05,#官方回应怀孕4个月女子遭家暴#这种事还调节个啥？怀孕4个月都能动手打，那矛盾再升级点，岂不是要动刀子杀人了？当地的有关部门，应该在征求女方意见之后，直接启动离婚程序。至于肚子里的孩子是生还是不生，应该看女方的意愿。这种家庭根本没有维持的必要，怀孕都能下重手殴打，这样的男人已经不是一般的暴力倾向了。他将来绝对有杀人的可能性，严重的暴力行为，应该是可以直接判定离婚的条件。在中国现在离婚难度太高了，夫妻要离个婚，真要脱层皮。折磨的人不像人，这种婚姻还有什么维持的必要？#微博新知博主#,0,0,1,江苏,苏州,江苏,中国,star 1
3,4907044660057072,初南沐安,2023-05-30 10:34:38,#官方回应怀孕4个月女子遭家暴#……看了回应，只觉得啥也没说啊， ,0,0,0,江西,景德镇,江西,中国,star 2
3,4907039413240382,御风司水梁美丽,2023-05-30 10:13:47,#官方回应怀孕4个月女子遭家暴# 这是个什么玩意儿，自己老婆还怀着身孕呢，还在拳脚相加，没有身孕的时候岂不是打得更狠？珍爱生命，远离家暴男。 ,1,1,26,湖北,武汉,湖北,中国,star 1
3,4907044400793967,科基夫斯基,2023-05-30 10:33:36,#官方回应怀孕4个月女子遭家暴#  这样的男人怎么不去s啊 怀孕的你也下得去手 你是畜生吧 ,0,0,0,广东,深圳,广东,中国,star 1
3,4907044400010735,必脉,2023-05-30 10:33:36,#官方回应怀孕4个月女子遭家暴#说实话，女方本人既然选择了上诉，一定是愤怒的，但面对各方的巨大压力才不得不接受调解。不仅仅是一个人的悲哀，实在是社会的悲哀。身不在其中，不知其中苦滋味。如果她得不到实质性的帮助的话，屈服于这些显性的隐性的施压是很正常的，不是一句简简单单的“活该”就可以合理化她的苦难的。如果没有人施以援手的话，她的今天就是你我的明天。,0,0,0,重庆,重庆,重庆,中国,star 5
3,4907044332635311,换个什么哎滴好呢,2023-05-30 10:33:20,#官方回应怀孕4个月女子遭家暴#为什么大街上打陌生人能马上被抓起来，冠上“家暴”二字仿佛没人能管 ,0,2,0,云南,临沧,云南,中国,star 3
3,4907044274964296,羽途Yu_tu,2023-05-30 10:33:06,#官方回应怀孕4个月女子遭家暴#这种男的就不配有孩子，家暴怀孕四个月的孕妇你踏马还是个人么这种情况如果还不离婚，那我只能祝好运 ,0,5,6,江苏,盐城,江苏,中国,star 1
3,4907031981199171,Ms-T亲亲,2023-05-30 09:44:15,#官方回应怀孕4个月女子遭家暴# 看了让人生气，什么男人，什么人！ 不配为人！！ ,10,13,47,日本,,日本,日本,star 1
4,4907033528370173,陪你到世界巅峰WYB,2023-05-30 09:50:24,#官方回应怀孕4个月女子遭家暴#什么时候国家对女性权益能更好更全面的维护？女性结了婚离婚就被杀？生了孩子，被家暴就得忍着，离婚就会用没有抚养能力，或者没有房产，一系列原因剥夺抚养权！为啥越来越多女性不结婚，不生育！专家光动嘴催年轻人生！他自己咋不生 ,0,0,17,甘肃,平凉,甘肃,中国,star 1
4,4907044073378307,你若初见1219,2023-05-30 10:32:18,#官方回应怀孕4个月女子遭家暴#赶紧离开吧，家暴只有0次和无数次，这种人哪天杀了你，都有可能，因为他控制不住自己的情绪 ,0,0,1,上海,上海,上海,中国,star 5
4,4907044040086862,蓉城往事,2023-05-30 10:32:10,#官方回应怀孕4个月女子遭家暴#涌山镇政府相关工作人员则表示，关注到网上的舆论后，镇政府联合妇联、派出所等组织双方父母、当事人座谈，“这个事情已经调解、妥善处理好了，包括当事人也已经主动把相关的视频删除了。”至于女子的伤情，该工作人员表示不清楚。这个回应是真的很官方，好像说了什么又好像什么也没有说……,0,0,0,四川,成都,四川,中国,star 4
4,4907043640577450,ZJU_SquirrelK,2023-05-30 10:30:35,#官方回应怀孕4个月女子遭家暴#居然只是调解如果这个丈夫是出门对任何一个不认识的人实施暴力，那还是调解吗？ ,0,1,2,上海,上海,上海,中国,star 3
4,4907043545418410,小题行迹,2023-05-30 10:30:12,#官方回应怀孕4个月女子遭家暴#每一次家暴，都是阻止人们进入婚姻的广告。 ,0,0,5,北京,北京,北京,中国,star 3
4,4907043524444415,浅忆-寒若凌,2023-05-30 10:30:06,#官方回应怀孕4个月女子遭家暴#又是恐婚的一天，妇联有毒吧，不关心受害人的伤情，只关心视频删没删，只劝和不劝离婚，要不干脆直接改名叫“父联”好了，几乎每起家暴事件都是出面劝被打的女方删视频，和稀泥，向着男方，要你们何用？ ,0,1,13,河南,南阳,河南,中国,star 1
4,4907043519992218,霂筱佳,2023-05-30 10:30:06,#官方回应怀孕4个月女子遭家暴#妇联是维护女性权益的 如果只是怀着清官难断家务事，劝和不劝分这种心态，赶紧解散 ,0,0,2,江西,南昌,江西,中国,star 1
4,4907043519989193,火星限定漫画家,2023-05-30 10:30:06,#官方回应怀孕4个月女子遭家暴#真他妈服了 调解啥 还能怎么调解 都家暴了 都怀孕了 如果这女生还跟他过真的就尊重祝福锁住 男人都真他妈恶心 自己是个废柴就拿老婆出气 我真的呕 ,0,2,3,浙江,温州,浙江,中国,star 1
4,4907043503211497,调李老味,2023-05-30 10:30:02,#官方回应怀孕4个月女子遭家暴#我是男人，这种窝囊废怎么会有老婆？？！ ,0,0,1,广东,中山,广东,中国,star 5
