页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907009646528616,笙南学长,2023-05-30 08:15:30,#小县城十八万八的彩礼合理吗# 因为彩礼的问题，最后跟男朋友分手了 ,1590,8053,74068,山西,运城,山西,中国,star 1
2,4907046766379844,顾魏的美艳小娇妻,2023-05-30 10:43:00,#小县城十八万八的彩礼合理吗#搞文艺复兴说孩子从古至今就是姓男方是吗？那从古至今花老婆带来的嫁妆的还是耻辱呢.... ,0,0,1,山西,太原,山西,中国,star 3
2,4907046761661497,窝俊小伙,2023-05-30 10:42:59,#小县城十八万八的彩礼合理吗#合理，又不是没有嫁妆 贵阳·东山寺 ,0,0,0,贵州,贵阳,贵州,中国,star 3
2,4907046761402827,桑果粥粥粥,2023-05-30 10:42:59,#小县城十八万八的彩礼合理吗#一个愿打一个愿挨 出不起不娶 问合不合理的有意义吗 ,0,0,0,河南,周口,河南,中国,star 4
2,4907012003466877,笙南学长,2023-05-30 08:24:52,#小县城十八万八的彩礼合理吗#  网页链接 ,2,12,11299,山西,运城,山西,中国,star 4
2,4907046757208412,fighting的小欣,2023-05-30 10:42:58,#小县城十八万八的彩礼合理吗#我们家都28.8万了，你敢信 ,0,0,0,上海,上海,上海,中国,star 1
2,4907046716309623,你怎么傻了吧唧,2023-05-30 10:42:47,#小县城十八万八的彩礼合理吗#县城和县城还不一样呢，地级市还分成一二三四线呢，江浙沪的小县城比云贵的县城估计富很多，这不完全看当地的经济水平 ,0,0,0,山东,泰安,山东,中国,star 3
2,4907046707138211,好废的布偶猫,2023-05-30 10:42:46,#小县城十八万八的彩礼合理吗# 合理个屁，别的姐妹都是40万起。 ,0,0,2,黑龙江,哈尔滨,黑龙江,中国,star 2
2,4907027623577170,御史在野,2023-05-30 09:26:56,#小县城十八万八的彩礼合理吗#换做以前，我可能会耐着性子科普下如何分情况，是小家庭启动资金还是什么的。但现在完全没耐性。18万？18万怎么够？你父母养你这么大，才给18万？后边不得加俩零？短视频平台上大把二婚带娃还180万彩礼的，头婚不要1800万合适吗？合适吗？姐妹，不要觉得贵了，咱就值这个价。给不起是他们男方的事，咱们可以等，咱们值得最好的！VX里经常有等到40才遇到给这个钱的真爱，咱好饭不怕晚蛤！并且要说清楚，婚后家务男方干，房子车子在咱名下，每个月工资上交还要特殊节日有惊喜拿出来。毕竟都要生孩子了，享受享受怎么了？不得不说，加速虽然只会激化矛盾，但是看着爽啊。讲道理了天天被除籍还要挨骂，不如当个乐子人来的强。#防务微观察#,13,44,444,北京,北京,北京,中国,star 1
2,4907046670176721,好想去登山,2023-05-30 10:42:37,#小县城十八万八的彩礼合理吗#后面再加个零，嫁进去直接躺平，省心省力！一卖万利！ ,0,1,1,天津,天津,天津,中国,star 5
3,4907046648941030,Lx槲落,2023-05-30 10:42:32,#小县城十八万八的彩礼合理吗#你觉得彩礼高就找彩礼低的，或者不要彩礼的，彩礼没有合不合理这一说法 ,0,0,0,四川,,四川,中国,star 3
3,4907046627708312,指尖琉影,2023-05-30 10:42:27,#小县城十八万八的彩礼合理吗#我一直的观念是门当户对，所以压根不需要跟别人纠结彩礼的问题，反正全中国又不是只有一个男人，我也不是非那个男人不嫁，既然他觉得我不值，那他也不配我嫁 ,0,0,0,广东,广州,广东,中国,star 5
3,4907046598082994,随遇而牛,2023-05-30 10:42:20,#小县城十八万八的彩礼合理吗#过去彩礼是买个真儿媳回来，现在彩礼是卖了儿子还要倒给钱！ ,0,0,2,江西,新余,江西,中国,star 1
3,4907046447877499,即将成为富婆的肥宅,2023-05-30 10:41:44,#小县城十八万八的彩礼合理吗#我们这里郊区的已经30w了 ,0,1,0,天津,天津,天津,中国,star 5
3,4907046439489287,欧气满满杨超越,2023-05-30 10:41:42,#小县城十八万八的彩礼合理吗# 重点不是钱是态度，道不同，不相为谋，早分早好，分手快乐！ ,0,1,1,广东,,广东,中国,star 1
3,4907046401214048,贱贱的流萌兔,2023-05-30 10:41:33,#小县城十八万八的彩礼合理吗#什么合不合理的，愿意的就愿意，不愿意就不愿意，这不是你情我愿的事吗。谈不拢就不娶不嫁就行了呗，这世道又不是非逼着娶嫁 ,0,0,1,河南,安阳,河南,中国,star 3
3,4907046392301723,清柳戏婵娟,2023-05-30 10:41:31,#小县城十八万八的彩礼合理吗#十八万八是我们这里去年的标准，今年可能还高。只看到了彩礼钱，怎么不提一提嫁姑娘陪送的金额，陪送房的不多，但陪送车，陪送现金的还是大有人在啊，更何况疼闺女的都是让闺女把彩礼钱带回去组建小家庭啊。搞的好像女方占了多大便宜似的。 ,0,0,0,山东,,山东,中国,star 3
3,4907046375524187,电影音乐集结号,2023-05-30 10:41:27,#小县城十八万八的彩礼合理吗# 这个价在小县城属于顶级了，大部分老百姓给不了的 ,0,0,0,河南,南阳,河南,中国,star 3
3,4907046330433602,小宝妈20201030,2023-05-30 10:41:15,#小县城十八万八的彩礼合理吗#你们对小县城是不是有什么误解？ ,0,0,0,江苏,,江苏,中国,star 3
3,4907046317064878,三九天1978,2023-05-30 10:41:13,#小县城十八万八的彩礼合理吗#年轻的时候觉得要彩礼是在卖女儿，现在看到那么多被家暴的，被婆婆丈夫按在地上打的，带着女儿走投无路跳河的，锁链女，当着媳妇面杀狗威胁的，相关部门只会和稀泥的做法太令人生气了，让女同胞们寒心，十八万都要少了。 ,0,0,1,安徽,淮北,安徽,中国,star 1
4,4907046308414775,Cindy咘,2023-05-30 10:41:11,#小县城十八万八的彩礼合理吗#这个不愿意给那就去找个愿意给的不就好了…… ,0,0,0,四川,成都,四川,中国,star 3
4,4907046275649459,小刘同学也想当锦鲤Yu_,2023-05-30 10:41:03,#小县城十八万八的彩礼合理吗# 合不合理都是人家双方的事 《结婚了不生孩子合不合理》 《结婚了谁带孩子合不合理》 《离婚了财产分配合不合理》 关你p事 ,0,0,1,广东,广州,广东,中国,star 1
4,4907046245762873,周深的小迷弟,2023-05-30 10:40:56,#小县城十八万八的彩礼合理吗#这词条盲猜江西，如果猜对了请告诉我 ,0,0,1,四川,成都,四川,中国,star 3
