页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907038213146597,央视军事,2023-05-30 10:09:01,【转发祝贺！#神舟十六号飞船发射成功#】今天9时31分，航天员景海鹏、朱杨柱、桂海潮搭乘神舟十六号载人飞船出征太空，“神十六”发射取得圆满成功！转发，祝贺！#中国航天逐梦九天#（视觉设计翟少柯） ,17,7,79,,北京,北京,中国,star 5
2,4907046921046282,欧潭融媒,2023-05-30 10:43:37,【转发祝贺！#神十六发射圆满成功#】刚刚，神舟十六号载人飞船与火箭成功分离，进入预定轨道，航天员乘组状态良好，发射取得圆满成功！接下来，期待#神十五神十六航天员太空会师#！一起见证中国航天高光时刻！江西晨报的微博视频  播放视频 江西晨报的微博视频 ,0,0,0,,赣州,江西,中国,star 5
2,4907046904531237,张恺倪倪倪倪倪,2023-05-30 10:43:33,热烈祝贺神十六发射圆满成功！//@鞠红川:热烈祝贺！神十六发射圆满成功,0,0,0,山东,济南,山东,中国,star 5
2,4907046815925084,看见福建,2023-05-30 10:43:12,萤窗雪案万卷书，九天鲲鹏迢迢路。  #神十六发射圆满成功##看见福建# ,0,0,6,,福州,福建,中国,star 5
2,4907045725147961,军机不可泄露,2023-05-30 10:38:52,#神十六发射圆满成功#突出就一个字：稳！ ,1,1,14,北京,北京,北京,中国,star 5
2,4907046757992130,公考行测李新,2023-05-30 10:42:58,祝贺！#神十六发射圆满成功#  「关+做题」揪1位宝子song 上岸手帐本🎁  国考、省考行测-判断推理相关知识点🙋 下列与题干逻辑一样的是⬇️ #备战公考##一起做个题#  网页链接 ,0,0,1,北京,北京,北京,中国,star 5
2,4907046740166165,保护我方嬴异人,2023-05-30 10:42:54,#神十六发射圆满成功# 祝福中国英雄航天员一切顺利，祝贺中国航天！ ,0,0,1,浙江,台州,浙江,中国,star 5
2,4907034199723693,凤凰网视频,2023-05-30 09:53:04,刚刚，#神十六发射圆满成功#,1,0,13,,北京,北京,中国,star 5
2,4907036388627825,许佳琪kiki,2023-05-30 10:01:46,见证中国航天高光时刻，祝贺神十六发射成功！,986,383,1789,上海,上海,上海,中国,star 5
3,4907046606996639,踏浪家族,2023-05-30 10:42:22,#神十六发射圆满成功# 股民买单？ ,0,0,0,北京,北京,北京,中国,star 5
3,4907046556928277,智玩TOP,2023-05-30 10:42:10,哦哟，马斯克到北京了，还祝贺#神十六发射任务圆满成功#   感觉是作为SpaceX创始人兼首席执行官的身份，来看发射直播，顺便交流经验？ ,0,2,2,广东,,广东,中国,star 5
3,4907040096912431,中国航天报,2023-05-30 10:16:30,祝贺#神十六发射任务圆满成功#  #神舟十六号大红屏# #神舟十六号# （本报记者邓雨楠 摄） ,5,2,29,,北京,北京,中国,star 1
3,4907046489555079,DK-meta,2023-05-30 10:41:53,#神十六发射圆满成功# 太棒了！！ 恨国党今天又郁闷了，这些乐色最看不得中国有什么好事开心的事。[咖啡] ,0,0,0,江苏,苏州,江苏,中国,star 5
