页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907048125076666,易喵燚烊,2023-05-30 10:48:24,#网友精修王俊凯易烊千玺的脸#别搞毫无意义的精修图比美好吗，生图和动态下的神颜才是最真实的，易烊千玺的帅气可以在大银幕上反复欣赏，好看的脸就是要运用到作品中才有说服力哦！从《少年的你》《送你一朵小红花》《长津湖》《奇迹笨小孩》《满江红》都可以看得出！有作品才有底气！来欣赏四字帅哥实体专《刘艳芬》与他角色的适配度！有电影作品也有音乐作品，我们作为粉丝天天过年易烊千玺#易烊千玺新专辑刘艳芬# 【同乘🎵伪MV｜角色混剪】鹤国皮酱的微博视频,3,4,7,内蒙古,呼和浩特,内蒙古,中国,star 5
2,4907048121141363,漠北王子,2023-05-30 10:48:23,#网友精修王俊凯易烊千玺的脸#英俊潇洒，阳光帅气，才貌双全，未来可期！ ,0,0,0,广东,东莞,广东,中国,star 5
2,4907045214226859,重庆山城山大王,2023-05-30 10:36:50,#网友精修王俊凯易烊千玺的脸#   欣赏一下来自周年的美颜和苏音暴击易烊千玺de小红鞋的秒拍视频 ,3,12,68,天津,天津,天津,中国,star 5
2,4907042416102442,烊疯,2023-05-30 10:25:43,#网友精修王俊凯易烊千玺的脸# 哦华表那天啊，那天易烊千玺确实挺忙，是男主提名，四部作品入围，带作品走了三趟红毯的四宝啊 六月易烊千玺评委会继续忙上海国际电影节  #易烊千玺新专辑刘艳芬##四字 易烊千玺 yyqx 四字弟弟# ,40,69,354,江苏,南京,江苏,中国,star 5
2,4907048065566738,无敌可爱薇薇子,2023-05-30 10:48:10,#网友精修王俊凯易烊千玺的脸#哈？我这条让谁破防啦，那三三最帅好吧，看到三三就觉得想吃馒头！ ,0,0,2,江苏,南通,江苏,中国,star 5
2,4907048016544251,他是造梦者,2023-05-30 10:47:58,#网友精修王俊凯易烊千玺的脸#别动王俊凯的脸，居然动他这么有记忆点和平衡感的平下巴？？？畸形远离我凯 ,0,0,3,广西,南宁,广西,中国,star 1
2,4907047991379419,烊是一米阳光,2023-05-30 10:47:52,#网友精修王俊凯易烊千玺的脸# 四字这没啥差别啊好帅。不愧是光影和大银幕选择的脸，就是牛逼。至于刀削面的，很难评 重点❗️❗️❗️❗️《刘艳芬》你拥有了吗#同乘-TFBOYS-易烊千玺[音乐]# ,0,0,3,广东,广州,广东,中国,star 5
2,4907047990857295,剪烊毛,2023-05-30 10:47:52,#网友精修王俊凯易烊千玺的脸# 别蹭国际A类电影节上影节新人单元评委 队内唯一真影视歌多栖发展全方位碾压🔥易烊千玺！百亿影人手握金像百花亚影奖杯！杂志十三刊大满贯！手握豪车名表珠宝成衣四大顶奢全球代言！影视歌全面开花！且实绩断层🆃🅾🅿易烊千玺🔥！易烊千玺首张实体专《刘艳芬》正在预售中！六一灯牌@BeWithJackson_易烊千玺的小陪伴,0,0,3,广东,深圳,广东,中国,star 5
2,4907027656081918,伊丽莎白骨精啊,2023-05-30 09:27:04,#网友精修王俊凯易烊千玺的脸# 网友精修后的王俊凯 易烊千玺，好像精修后的和生图也变化不大 ,190,817,63459,辽宁,抚顺,辽宁,中国,star 4
2,4907047956775444,没有烦恼的烦恼女孩,2023-05-30 10:47:44,#网友精修王俊凯易烊千玺的脸#  易烊千玺的命也是命，十周年红海燃起来🔥 ,0,0,3,山东,菏泽,山东,中国,star 5
