页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907203393491253,咕嘎666,2023-05-30 21:05:23,#20岁小伙月入6000背百万房贷#别人乐在其所，有奔头，有些人不想努力躺平，别对号入座帮别人不平。 ,0,0,0,广东,深圳,广东,中国,star 4
2,4907203050347896,清音yo,2023-05-30 21:04:01,#20岁小伙月入6000背百万房贷# 我一天睡9个小时出门步行一两千米回家都累的头疼，真想知道他是怎么有精力工作14个小时的？ ,0,0,0,山东,泰安,山东,中国,star 3
2,4907202039781216,成都人社局,2023-05-30 21:00:00,#晚安#人生最精彩的不是成功的瞬间 而是坚持的每一个过程 #20岁小伙月入6000背百万房贷##千万不要害怕一个人的生活# ,0,12,3,,成都,四川,中国,star 5
2,4907201816169205,Lil10M,2023-05-30 20:59:07,#20岁小伙月入6000背百万房贷#这不是很正常吗？贷个30年轻轻松松破百万，像我每月还房贷，楼还烂尾 楼遥遥无期 ,0,1,2,河南,焦作,河南,中国,star 3
2,4907201015847593,前方皆好运,2023-05-30 20:55:56,#20岁小伙月入6000背百万房贷#   普通人被榨干的一生 ,0,0,0,湖北,,湖北,中国,star 4
2,4907200910728837,我行我上-,2023-05-30 20:55:31,#20岁小伙月入6000背百万房贷# 真是可怕，又要宣扬一波郭人吃苦耐劳的优良传统了 ,0,0,0,湖北,武汉,湖北,中国,star 3
2,4907200617649404,高妙桂,2023-05-30 20:54:21,#20岁小伙月入6000背百万房贷#又上热搜。是励志还是心酸？月6000可以贷款百万？ ,0,0,0,上海,上海,上海,中国,star 4
2,4907155825889302,斯图卡98,2023-05-30 17:56:22,#20岁小伙月入6000背百万房贷#小伙子的家里不是给他按揭了一套房，而是给他背了一座山 ,8,28,84,辽宁,,辽宁,中国,star 4
2,4907200562335192,是格律呀,2023-05-30 20:54:08,#20岁小伙月入6000背百万房贷#房子最后如果不是你的，那是为资本家打工。房子最后是你自己的，难道不是为自己打工？ ,0,0,0,浙江,丽水,浙江,中国,star 3
2,4907200096766606,吴其伦,2023-05-30 20:52:17,#20岁小伙月入6000背百万房贷#为什么要贷款百万买房呢？百万房贷，靠6000月薪加上摆摊，要多久才能还得完？年轻人啊，为什么不能把有限的精力投入到学习提升呢？小伙的父母，也是太难了，首付的钱，还不知怎么凑出来的？或许，有人看到这个新闻，以为是一个励志故事，确实，小伙白天上班，晚上摆摊，这得多拼啊？可仔细想想，如果小伙没有背上百万房贷这个沉重包袱，他完全可以活得轻松些，更可以好好工作提升自己的综合素养，从而在事业上有所进步。表面看来，每天摆摊多挣了一些钱，可这样的做法，其实是得不偿失，身体累垮了的话，那点钱还不知够不够看病的呢？我一直不主张年轻人早早买房，也不主张父母在条件不具备的情况下给子女买房，尤其是让孩子背负高额房贷，那会把年轻人压垮的！,0,0,1,北京,北京,北京,中国,star 3
3,4907199975132008,宇宙公主又被抓走啦,2023-05-30 20:51:48,#20岁小伙月入6000背百万房贷#还不是因为年轻人不努力 ,0,0,0,河南,驻马店,河南,中国,star 3
3,4907199912220621,Say法克2019,2023-05-30 20:51:33,#20岁小伙月入6000背百万房贷#其实我以前能理解 因为我以为买了就是你的也是子子代代的 后来才知道70年 ,0,0,1,重庆,重庆,重庆,中国,star 5
3,4907199800019070,M孩子快跑,2023-05-30 20:51:06,#20岁小伙月入6000背百万房贷#00后都这么努力为房地产做贡献  正能量要传递下去，身为80 90后的你们 快冲呀 ,0,1,2,四川,成都,四川,中国,star 4
