页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907205323920896,小希阿姨呀,2023-05-30 21:13:03,#Angelababy红毯从来没有失手过#大家记得去预约一下姐姐的待播剧《尘缘》《漫影寻踪》《相思令》《暮色心约》 ,0,0,3,广东,深圳,广东,中国,star 5
2,4907205305834333,悦崽不想淋雨,2023-05-30 21:12:59,#Angelababy红毯从来没有失手过#我只能说美神降临 ,0,0,2,福建,南平,福建,中国,star 5
2,4907192975889345,钱多多没钱花,2023-05-30 20:23:59,#angelababy红毯从来没有失手过#  来观看历年芭莎  年年出场 年年出圈 定毯神针 Angelababy ,1,10,182,福建,漳州,福建,中国,star 5
2,4907204035484434,冷冬聊八卦,2023-05-30 21:07:56,#Angelababy红毯从来没有失手过#范冰冰才叫没有红毯失手过吧，杨颖还是算不上红毯女王，没记错的话在跑男里面两人同框，范冰冰肤白貌美，把baby衬托的又黑又干像丫鬟 ,1,9,66,四川,资阳,四川,中国,star 4
2,4907205134914899,灰灰的小七七,2023-05-30 21:12:18,#angelababy红毯从来没有失手过#  #angelababy#   美成这样，要怎么失手啊？ 女明星实感的美貌！ ,0,0,5,广西,桂林,广西,中国,star 5
2,4907198054141689,子衿ul,2023-05-30 20:44:10,#Angelababy红毯从来没有失手过#鼻姐这个同台失手没有 ,2,42,274,安徽,马鞍山,安徽,中国,star 5
2,4907205105549966,-恭喜发财·,2023-05-30 21:12:10,#Angelababy红毯从来没有失手过# Baby的脸真的很无敌，可以说是生图状态下肤感最好的女明星没有之一，但是今晚衣服不好看，显得人很干扁。总的来说今晚最美三强当属巴鼻丽👏👏👏 ,0,0,2,四川,南充,四川,中国,star 3
2,4907188257031855,哎一股清流,2023-05-30 20:05:14,你懂什么叫红毯定海神针  #Angelababy红毯从来没有失手过# ,660,997,20413,内蒙古,呼和浩特,内蒙古,中国,star 1
2,4907205070950302,白明了那,2023-05-30 21:12:03,#Angelababy红毯从来没有失手过#太漂亮了，下辈子我长这样 ,0,0,1,安徽,马鞍山,安徽,中国,star 5
2,4907205059415202,鼻的乔欣颖,2023-05-30 21:12:00,#Angelababy红毯从来没有失手过#鼻姐真的是美封了 ,0,0,0,江西,宜春,江西,中国,star 5
3,4907205051288974,_摇滚电子喵,2023-05-30 21:11:58,#Angelababy红毯从来没有失手过#欧米茄好美啊ab女神🥺 ,0,0,0,江苏,苏州,江苏,中国,star 5
3,4907201954582983,AB牌陆冲板,2023-05-30 20:59:40,👉#Angelababy红毯从来没有失手过# 🔝网页链接 ,0,0,20,广东,茂名,广东,中国,star 4
3,4907205046308663,高下凡,2023-05-30 21:11:57,#Angelababy红毯从来没有失手过#美滴很美滴很！ ,0,0,0,贵州,贵阳,贵州,中国,star 5
3,4907205046042820,暴躁蝶玖,2023-05-30 21:11:56,#Angelababy红毯从来没有失手过# 内娱没有我鼻姐的脸该怎么办 是每次红毯造型都值得我做壁纸的程度 ,0,0,0,浙江,绍兴,浙江,中国,star 5
3,4907205033460156,睡前要数星星,2023-05-30 21:11:53,#Angelababy红毯从来没有失手过#你懂什么是真美女 ,0,0,0,浙江,温州,浙江,中国,star 5
3,4907205017210236,没烦恼好幸福_,2023-05-30 21:11:50,#Angelababy红毯从来没有失手过#路人路过，这么多年了脸还是能打，确实是女明星中今晚最美的@吃糖么可甜了· ,0,3,4,广东,,广东,中国,star 5
3,4907204988373473,一只小可爱吖200811,2023-05-30 21:11:43,Angelababy红毯从来没有失手过，鼻姐的美貌在于根本不需要乱七八糟的装饰品修饰 这张脸就是定海神针 无需点缀 自成风华 一只小可爱吖200811的微博视频 ,0,0,2,江苏,常州,江苏,中国,star 5
3,4907204945903673,拾酒同学,2023-05-30 21:11:32,#85花赢麻了#糊图or精修or生图我只能说我很爱angelababy#angelababy红毯从来没有失手过# ,0,0,0,安徽,合肥,安徽,中国,star 5
3,4907204937520214,我简隋英哪样不是出类拔萃,2023-05-30 21:11:31,#Angelababy红毯从来没有失手过# 鼻姐脸在江山在 ,0,0,0,辽宁,沈阳,辽宁,中国,star 5
4,4907194082919851,快乐追星十级学渣,2023-05-30 20:28:23,春楠拍的angelababy 美女就要怼脸  #Angelababy红毯从来没有失手过#快乐追星十级学渣的微博视频 ,36,12,183,山东,威海,山东,中国,star 5
