页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907203993798269,佳晴928,2023-05-30 21:07:46,#坠楼瞬间他用身体死死护住小女孩#啊，人间疾苦，有人为我们遮挡 ,0,0,1,四川,乐山,四川,中国,star 5
2,4907203640951787,广州消防,2023-05-30 21:06:22,#坠楼瞬间他用身体死死护住小女孩#  2015年5月30日凌晨，杨科璋在一场民宅火灾救援中抱两岁女童转移，因烟雾太大，踩空误入了有故障的电梯井，用血肉之躯给孩子充当“救生垫”，献出了年仅27岁的生命。 让我们一起记住他的名字：杨科璋  消防小超人 ,0,1,2,,广州,广东,中国,star 5
2,4907083210687881,紫光阁,2023-05-30 13:07:49,【泪目！#坠楼瞬间他用身体死死护住小女孩#】8年前的今天，消防员杨科璋在灭火救援时壮烈牺牲。当战友找到他时，他仰面躺地，胸前的双手紧紧环抱着被救的女孩。小女孩除头部擦伤外没有任何损伤，可他却因伤势过重牺牲，年仅27岁。怀念！新华网的微博视频 ,61,115,617,,北京,北京,中国,star 5
2,4907203066593662,宋清辉,2023-05-30 21:04:04,#坠楼瞬间他用身体死死护住小女孩#一路走好！他也是妈妈的孩子啊。#清辉夜读# ,0,2,0,广东,深圳,广东,中国,star 5
2,4907203029634831,山西共青团,2023-05-30 21:03:56,青春正能量   #坠楼瞬间他用身体死死护住小女孩#8年前的今天，消防员杨科璋用生命完成了最后一次救援……坠楼瞬间，他用身体死死护住女孩，自己却离开了。 山西共青团的微博视频 ,0,0,0,,太原,山西,中国,star 5
2,4907202986383566,AI科普,2023-05-30 21:03:46,#坠楼瞬间他用身体死死护住小女孩# 致敬英雄！ 素不相识，却舍命保护他人！ 能不能有一部电影以这个为原型去拍，致敬这位英雄，永远铭记这位英雄！ ,0,1,0,北京,北京,北京,中国,star 5
2,4907201866498421,痞叔bot,2023-05-30 20:59:18,#坠楼瞬间他用身体死死护住小女孩#消防英雄杨科璋，在灭火救援中，怀抱着一名女孩转移时不幸从5楼坠落。他用身体当“气垫”保护女童，壮烈牺牲，时年仅27岁。 让我们一起记住他的名字：杨科璋 ,0,0,10,河南,焦作,河南,中国,star 4
2,4907201733070147,狗屎香香_,2023-05-30 20:58:47,#坠楼瞬间他用身体死死护住小女孩#  八年前的感动中国人物，印象深刻 ,0,0,2,福建,,福建,中国,star 4
2,4907201623495096,春日記憶_W,2023-05-30 20:58:21,#坠楼瞬间他用身体死死护住小女孩#超级英雄真实的存在于这个世界上，可惜他又是个普通人，没有复活甲 ,0,0,2,浙江,嘉兴,浙江,中国,star 4
2,4907200886345471,祈祷要暴富,2023-05-30 20:55:25,#坠楼瞬间他用身体死死护住小女孩#但真的不想这样认识他。只想所有的英雄都是平安健康的英雄，而不是让人热泪满目的烈士。这些敬畏、称赞，比不上他们健康、平安！ ,0,0,0,上海,上海,上海,中国,star 4
3,4907199425419745,Raina-lxy,2023-05-30 20:49:37,#坠楼瞬间他用身体死死护住小女孩# 致敬 深深鞠躬 灵魂高大 精神永存 ,0,0,1,北京,北京,北京,中国,star 5
3,4907188222431644,新华网,2023-05-30 20:05:06,【#你小时候的英雄梦是什么#？】8年前的今天，消防员杨科璋在灭火救援时壮烈牺牲。英雄的事迹总是令人感动，也让人想起自己心中的英雄梦。#坠楼瞬间他用身体死死护住小女孩#  网页链接 ,9,23,2006,,北京,北京,中国,star 4
3,4907199182148737,安娜晨风之梦,2023-05-30 20:48:39,#坠楼瞬间他用身体死死护住小女孩#  那年今日，催人泪下，27岁最美的年华就这样飘落了。逝者如斯，生者勿忘！刻骨铭心，是对死者最大的敬意！,0,4,9,广东,广州,广东,中国,star 5
3,4907198113120855,一杯咖啡与百香果柠檬,2023-05-30 20:44:23,#坠楼瞬间他用身体死死护住小女孩# 牺牲最多的就是这些最可爱的人🙏。 ,0,0,0,浙江,温州,浙江,中国,star 5
3,4907197609807919,Miracle-七,2023-05-30 20:42:24,#坠楼瞬间他用身体死死护住小女孩#真的哭死消防人员的工作危险系数真的高到生命最后一刻他也没有忘记自己的承诺，还保护着她致敬奔赴前线的每一位消防战士希望小女孩平安快乐长大 ,0,0,1,上海,上海,上海,中国,star 5
3,4907197320661973,反派冷酷小z-,2023-05-30 20:41:15,#坠楼瞬间他用身体死死护住小女孩#致敬英雄，你永远都是最棒的 ,0,0,0,山西,大同,山西,中国,star 4
3,4907156803425899,Irretrievable_,2023-05-30 18:00:15,#坠楼瞬间他用身体死死护住小女孩##福建农业职业技术学院坠楼# 同样是坠楼，关注一下福建吧 ,0,2,32,福建,漳州,福建,中国,star 5
3,4907197135587371,阿七小十四,2023-05-30 20:40:31,#坠楼瞬间他用身体死死护住小女孩#生命多宝贵，他把活的希望留给了别人。自己在27岁这一年永远的离开了。 ,0,0,1,四川,成都,四川,中国,star 5
3,4907196540260041,有情感语录,2023-05-30 20:38:09,#坠楼瞬间他用身体死死护住小女孩#这才是英雄，值得我们敬仰的人！！不追星，只追英雄 ,0,0,2,广东,,广东,中国,star 5
3,4907195550928170,辽宁共青团,2023-05-30 20:34:13,坠楼瞬间，27岁的消防员杨科璋用身体死死护住女童，自己却牺牲了…  #坠楼瞬间他用身体死死护住小女孩# 辽宁共青团的微博视频 ,5,2,9,,沈阳,辽宁,中国,star 5
4,4907117310118671,广西消防,2023-05-30 15:23:19,#坠楼瞬间他用身体死死护住小女孩# 【这是烈士杨科璋生前最后的救援画面】 2015年5月30日1点13分，杨科璋在火灾中救援抱住2岁女童转移，因烟雾太大，踩空坠楼， 怀中2岁女童得救，杨科璋壮烈牺牲。8年前的今天，你离开了我们，如今女孩长大了，我们也都很好，就是很想你！广西消防的微博视频 ,3,4,27,,南宁,广西,中国,star 5
4,4907193206313801,琐事基地,2023-05-30 20:24:54,#坠楼瞬间他用身体死死护住小女孩#我一辈子也到达不了的高度，希望可以让他的父母晚年无虑 ,0,0,0,山东,青岛,山东,中国,star 5
4,4907192538632135,陈家沟微博,2023-05-30 20:22:15,#坠楼瞬间他用身体死死护住小女孩#英勇无畏的战士，这样的画面让人看到难过，他把最后的爱给了小孩子，他的精神永在！ ,0,0,3,河南,焦作,河南,中国,star 4
4,4907192366401021,小逗迪呀,2023-05-30 20:21:34,#坠楼瞬间他用身体死死护住小女孩#他也还是个孩子啊，却用生命守护者另一个孩子 ,0,0,1,山东,枣庄,山东,中国,star 5
