页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907181743541610,水泊松山,2023-05-30 19:39:21,#泽连斯基称已确定反攻日期#战场上用兵——虚虚实实。无论真假都没问题，可很多人替司机提鞋都不配，却为反对而反对。 ,1,22,29,福建,福州,福建,中国,star 4
2,4907202450559259,小白兔频道,2023-05-30 21:01:38,#泽连斯基称已确定反攻日期#  犹太人就是牛啊，一个演员决定了自己的高潮戏份什么时候上演？ 把导演美国致于何地？ 网友：美国总统也是犹太人的傀儡也已，司机没有错。 ,0,0,0,湖南,长沙,湖南,中国,star 4
2,4907202354354771,老孙说手机,2023-05-30 21:01:15,#泽连斯基称已确定反攻日期#  最近两天双方提出的和谈条件都没有丝毫诚意，看来就是为了等这一次大反攻，在谈判桌上拿不到的东西需要在战场上再谈一次，然后一方就能接受更大的退步，期待快结束吧，毕竟双方都是我们的朋友！ ,0,0,2,山东,聊城,山东,中国,star 5
2,4907202202309020,Hunter莫然,2023-05-30 21:00:39,#泽连斯基称已确定反攻日期# 不得不说司机还真行啊 ,0,0,0,天津,天津,天津,中国,star 5
2,4907202173736564,2般见识,2023-05-30 21:00:32,#泽连斯基称已确定反攻日期#战争本质上是政客及其伙伴的生意。 ,0,0,0,北京,北京,北京,中国,star 4
2,4907030467052094,洱海弥,2023-05-30 09:38:14,泽连斯基宣布乌军即将开始反攻，他说：“我已经批准了我们部队的移动时间，士兵也已经做好准备。” ,2,14,31,广西,桂林,广西,中国,star 5
2,4907201746175538,小猪搞机,2023-05-30 20:58:50,#泽连斯基称已确定反攻日期#  什么时候开始，打战变成了，交战前要拍视频向对方说出作战计划了？ ,1,0,3,浙江,,浙江,中国,star 5
2,4907201581285617,暖夕酱,2023-05-30 20:58:10,乌克兰在被俄国人打之前，司机还是西方媒体口中的腐败分子、mz破坏者、未来的dc者呢，在乌克兰国内支持率非常低了，被俄罗斯一打马上就给乌克兰国内外封圣了，普大帝成就司机#泽连斯基称已确定反攻日期##微博vc计划# ,0,0,0,江西,,江西,中国,star 4
2,4907201553238632,刘成春,2023-05-30 20:58:04,让暴风雨来得更猛烈些吧！ 泽连斯基表示：已经就乌军如何以及何时推进做出了决定……  #泽连斯基称已确定反攻日期##关注俄乌局势最新进展##俄乌局势# ,0,0,3,吉林,通化,吉林,中国,star 5
2,4907201124636091,只是一个秘密基地,2023-05-30 20:56:22,#泽连斯基称已确定反攻日期# dbq看成了泽连斯基被男友求婚。。。 ,0,1,4,四川,成都,四川,中国,star 5
3,4907201120179924,韩德强2018,2023-05-30 20:56:21,百度多个消息源在传播此新闻，微博上却搜不到。不知真假。我倾向于相信。泽连斯基正准备发动反攻，不知道底气何来。逞个人血气之勇，流的却是战士们的鲜血，真是鬼迷心窍。乌克兰最精锐的部队向俄军投降！ 近日，有战场消息显示，乌克兰第81空中突击旅，正式向俄军投降，据信息显示，这支突击旅是在西方受过专门培训的具备实战经验的作战部队。 他们所使用的也都是西方提供的先进武器装备，而其人员素质也都是经乌军部门专门挑选的，而在先前的战役中，也曾表现出色，甚至于曾在巴赫穆特的战役中也曾执行过防守和攻击等多项突击任务，而现在的投降也让俄军大为不解，因为他们并没有像巴赫穆特的攻击那样，全面的实施袭击。 据其中的一名士兵所述，他们已厌倦了持续的战争，而且多次进行的反攻都以失败告终，而他们所谓的进攻也只是在不断的消耗士兵的生命，他们说乌克兰士兵只有不断的上战场，而回去的人却都已成为了冰冷的尸体。网页链接,0,0,1,河南,安阳,河南,中国,star 4
3,4907200999066301,云白bdj,2023-05-30 20:55:52,#泽连斯基称已确定反攻日期#乌克兰大反攻，不仅泽连斯基作梦都想成为现实，美英等也已盼望的望眼欲穿，像七国集团这样的强盗国家惯会赌博，搞投机最拿手，今天把宝压在乌克兰，不算孤注一掷吧，也是下了血本儿，哪怕坐轮椅也要让泽连斯基挺着，唱得却不是《群英会》，活脱的一出《失空斩》 ,0,0,2,河北,保定,河北,中国,star 3
3,4907200957646072,阿卡宇航,2023-05-30 20:55:42,#泽连斯基称已确定反攻日期# 兵者，诡道也。兵不厌诈。你们这搞法，让人十分怀疑你们到底是不是在认真打仗！ ,2,5,1,广东,广州,广东,中国,star 2
