页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907204567896586,咕嘎666,2023-05-30 21:10:03,#离婚了30万彩礼该不该返还#女方有房嫁妆也不差钱，彩礼？先让他把精神损失费的钱赔了，暴力场面造成恐男症，让他赔钱。 ,0,0,2,广东,深圳,广东,中国,star 4
2,4907204405106981,撒哈拉沙漠的雨天,2023-05-30 21:09:24,#离婚了30万彩礼该不该返还#这个词条如果是女的出的，那她真不配活在21世纪。如果是男的出的，那就没什么奇怪的了，这男的向来的德性都是如此，出了问题都是女人的错，他都没问题，用三从四德，纲常伦理，外加一个什么物质拜金把女的架起来烤，咱就说离婚这件事，管他是结婚多久离婚的，财产分割有法可依，谁错谁对摆事实，别一天到晚扯些没用的。,0,0,1,浙江,杭州,浙江,中国,star 4
2,4907204392780800,也许风知道呢,2023-05-30 21:09:21,#离婚了30万彩礼该不该返还#  这话题很可笑。如果女方有问题导致了离婚，返还是应该的。现在是男方威胁女方人身安全导致离婚，还要返还？ ,0,0,1,四川,成都,四川,中国,star 2
2,4907194321995401,老妖女士,2023-05-30 20:29:20,#离婚了30万彩礼该不该返还# 真有意思啊，明明是男人杀狗，男人有反社会人格，最后媒体讨论到最后，变成了指责女性不该要彩礼。哈哈啊哈哈哈。还真是你国一贯作风，但凡男人暴力，杀人，反社会，犯罪，都是因为女人不温柔，偷人，拜金，要彩礼，都是女人逼的。 ,0,3,23,北京,北京,北京,中国,star 4
2,4907128081352682,吃葡萄不吐香蕉屁,2023-05-30 16:06:07,#离婚了30万彩礼该不该返还# 家暴杀狗一句不提 彩礼嫁妆对等也被说骗婚  觉得男的亏了人 我建议你赶紧趁他们离婚以后嫁过去 ,0,1,24,云南,昆明,云南,中国,star 1
2,4907129088249011,_洛文,2023-05-30 16:10:07,我看你们有些媒体真的魔怔了，明明是一个男性以残忍地伤害狗狗的方式威胁妻子，并且妻子要起诉离婚，明明是男性因为自己的反社会型人格使女方经受了从生理到心理的各方面伤害，不去把这种伤害背后的原因铺陈在大众的舆论之下给后来者警醒，不去提醒女性伤害动物的人总有一天也会伤害人类，不去分析这种男性存在背后的社会性因素，考虑所谓“阳刚”的男性气质给社会带来的危害，反而去讨论#离婚了30万彩礼该不该返还#，去把目光聚焦在女性身上，搞出投票来，逼迫舆论让她自证清白，甚至还有造黄谣的方式，明里暗里说女性是“夜场人”，我说别太离谱啊？怎么，女性不被挑出道德瑕疵就不能放过，就算是男性做出了如此残忍的恶行，仍然要盯着女性的所作所为，让她们不能有任何一点的逾越是吧？所以你们说这个社会女性到底拥有什么呢？拥有的就是这种被伤害维护自己正当权利时的无穷无尽的“质疑”吗？拥有的就是把目光焦点重新回到自己身上供大众和外界审视吗？拥有的就是作为男方恶行注意力转移的代价吗？,966,160,16446,江苏,南京,江苏,中国,star 3
2,4907204040460546,枪火低语,2023-05-30 21:07:57,#离婚了30万彩礼该不该返还#果然，男的闻味儿过来造黄谣了 ,0,0,3,河北,秦皇岛,河北,中国,star 1
2,4907203905980965,你是我的文艺复兴ws,2023-05-30 21:07:25,#离婚了30万彩礼该不该返还#请问女人的青春他能还的起吗？ ,0,0,0,河北,廊坊,河北,中国,star 1
2,4907203888156984,心形亿,2023-05-30 21:07:21,#离婚了30万彩礼该不该返还#必须还啊，不还彩礼那不是鼓励纵容骗婚吗？ ,0,0,0,贵州,贵阳,贵州,中国,star 3
3,4907181176001271,不人云亦云2021,2023-05-30 19:37:06,来到微博才知道三观不正的人这么多。我是上海本地人，我奶奶的妈妈那一辈开始到现在就从来没收过彩礼，我妈妈一直教育我，我们要靠自己，不要去贪图别人的钱。结婚的时候，我队友想给“彩礼”，我妈妈很生气得拒绝了，她说她不是卖女儿。厌仙女怎么了？仙女不也厌童吗？无非就是触及到你们的利益了，都是千年的狐狸玩什么聊斋？一次次造谣然后失忆卷土重来，每天只会释放负能量，搞一些无病呻吟的话题，世界上如果都是你们这种人，只想索取，不担责任，根本无法运转。#离婚了30万彩礼该不该返还##不人云亦云2021#,11,32,110,上海,上海,上海,中国,star 5
