页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907203896544890,每天都要吃七块肉,2023-05-30 21:07:23,#贤合庄北京门店全部关闭#贤合庄真的难吃到值得单独发条微博评价🙏 ,0,0,1,安徽,池州,安徽,中国,star 1
2,4907190664827051,有狐噢狐狐,2023-05-30 20:14:48,#贤合庄北京门店全部关闭# 明星开店是为了做实业赚钱吗？并不是。         是为了忽悠收割一波加盟费罢了，赚到了就跑。敢骂他们就律师函警告 ,0,1,47,广东,广州,广东,中国,star 1
2,4907203171453571,古代趣闻轶事,2023-05-30 21:04:30,#贤合庄北京门店全部关闭#  （如图）安全第一！ ,0,0,0,湖南,长沙,湖南,中国,star 1
2,4907202919269105,LH手机科技爱好者,2023-05-30 21:03:29,#贤合庄北京门店全部关闭#我们这里高新区万达开了一家贤合庄，没多久就倒闭了。从他开业的第一天我就知道他不会长久，虽然是写字楼附近但人员很少，加上这两年的口碑只会越来越差。 ,2,3,3,山东,济南,山东,中国,star 1
2,4907202878116054,秋日山岛,2023-05-30 21:03:20,#贤合庄北京门店全部关闭# 吃过几次不知道说啥，味道中规中矩，性价比不高，吃完就忘的感觉。 ,0,0,0,福建,漳州,福建,中国,star 3
2,4907202835383038,我迟早都是富婆呀,2023-05-30 21:03:10,#贤合庄北京门店全部关闭#是真的算挺难吃的火锅了 ,0,0,0,浙江,衢州,浙江,中国,star 1
2,4907202680724514,华图郜爽,2023-05-30 21:02:33,#贤合庄北京门店全部关闭# 还没来得及吃呢，味道咋样？ ,0,0,0,中国,,中国,中国,star 3
2,4907202387121023,依旧飞飞,2023-05-30 21:01:23,#贤合庄北京门店全部关闭# 韭菜吃饱了，拍拍屁股走人。 ,0,0,1,安徽,合肥,安徽,中国,star 1
2,4907202370603584,秃秃不to,2023-05-30 21:01:19,#贤合庄北京门店全部关闭#这很难评 为了抵制某人一次都没去过 ,0,0,2,陕西,西安,陕西,中国,star 1
2,4907202038991635,迪幻婼_Daisy,2023-05-30 21:00:00,#贤合庄北京门店全部关闭#我还是更相信专业的人做对口生意更上心 ,0,1,2,辽宁,阜新,辽宁,中国,star 1
3,4907201934655573,酱婶儿说,2023-05-30 20:59:34,#贤合庄北京门店全部关闭# 这年头还加盟的人，要么是有钱烧得慌傻子，要么还是有钱烧的慌的傻子 ,0,0,0,北京,北京,北京,中国,star 1
