页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907205931046720,猫街小巷萌少年,2023-05-30 21:15:28,#阚清子被男友求婚# 你管别人怎么穿，没人说穿的越好，感情越深吧穿衣有品就感情稳定吗？ ,0,0,1,湖北,宜昌,湖北,中国,star 4
2,4907205926588297,天才宝宝,2023-05-30 21:15:27,#阚清子被男友求婚#先祝福阚清子新婚快乐哈~她男朋友，哎不，现在应该改口说是老公了，是天浩盛世的CEO，两个人谈了也挺长时间了，感情一直都挺稳定，前段时间去领了证，今年应该会把婚礼也给办了。阚清子今年也35了，她挺着急结婚定下来的，当时跟纪凌尘谈的时候，就不止一次主动提出领证这事，都被纪凌尘以事业发展给拒绝了，最后两个人分手跟这事也有很大很大的关系。跟纪凌尘分手有一阵之后，也是因为工作方面的事情才认识了现在的老公的，都是成年人了，各方面都比较合适，也就大大方方在一起了，满打满算两个人也谈了有两年了吧，阚清子跟前公司解约之后，还签去了天浩盛世，现在也从打工妹变成老板娘了。她影视资源一直都不怎么好，虽说现在成老板娘了，也不准备走后门拿公司资源，婚后还是会以家庭为主，接下来就是要备孕生孩子了，公开露面会越来越少的。,0,0,0,河南,安阳,河南,中国,star 5
2,4907205923441913,杨幂的小美女,2023-05-30 21:15:25,#阚清子被男友求婚#祝福 一定要幸福哦 ,0,0,1,湖北,十堰,湖北,中国,star 5
2,4907205923185269,酷千屿的吹风机,2023-05-30 21:15:26,#阚清子被男友求婚# 虽然记忆还停留在大海，但是恭喜呀！祝福！ ,0,0,1,江苏,徐州,江苏,中国,star 5
2,4907205915313289,Dear-灿言,2023-05-30 21:15:24,#阚清子被男友求婚#话说真的有人能做到被前任伤的这么深之后还能这么快就爱上别人的吗？如果是我的话，没个十年八年的我是走不出来的，不是因为说对这个男的怎么样，主要是那么多年我的付出我的感情，让我不可能这么快就走出来的，很可能以后就不在谈恋爱了，感觉这一下的教训可能都会让我对谈恋爱产生恐惧和阴影了。,0,0,0,江苏,,江苏,中国,star 5
2,4907205901949673,陈霖Sammy,2023-05-30 21:15:21,#阚清子被男友求婚#啊？她居然有新男友了？我才知道。。话说只是求婚而已，不要等到快结婚时，她现男友再来一句：你喜欢大海，我爱过你。。。那说明阚清子是真的喜欢大海。(开玩笑的啦) ,0,0,0,广东,深圳,广东,中国,star 5
2,4907205901421270,泡泡糖502,2023-05-30 21:15:21,#阚清子被男友求婚#不管衣品怎么样，怎么的也比那个前任强吧？在她最好的年纪拖了她那么多年，这个多靠谱啊！ ,0,0,0,吉林,长春,吉林,中国,star 4
2,4907205860527115,小钢鸭,2023-05-30 21:15:11,#阚清子被男友求婚#祝福就完了，还看人家衣服，你们是见不得人家幸福吗 ,0,0,0,内蒙古,通辽,内蒙古,中国,star 1
2,4907205839819479,biubuiboooo,2023-05-30 21:15:06,碰到一件可能是意外， 白t短裤白袜也就罢了，还坡跟凉鞋配白色短袜 一下子把所有要素都撞上也真是不容易了。  希望不要喷，因为大家都是希望她幸福不被骗  #阚清子被男友求婚# ,0,0,2,河南,新乡,河南,中国,star 2
2,4907205831164356,九亿妇女的梦F,2023-05-30 21:15:04,#阚清子被男友求婚#哇，终于遇到那个他，要狠狠的幸福哦！ ,0,0,3,山东,济南,山东,中国,star 5
