页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907208199897103,smile淡忘123,2023-05-30 21:24:28,#丫丫回家后判若两熊#那些说皮肤病不好治的人打脸不，丫丫得螨虫眼都治好了，眼睛多亮啊！ ,0,0,2,广东,深圳,广东,中国,star 1
2,4907207923076711,粉红玫瑰--,2023-05-30 21:23:23,#丫丫回家后判若两熊#有妈的孩子像块宝，YY宝贝回到从小熟悉的家，可以尽情的撒娇啦 ,0,0,2,福建,福州,福建,中国,star 4
2,4907207873266736,o尛茗銅學o,2023-05-30 21:23:11,大熊猫丫丫507#丫丫回家后判若两熊#  今日北动收到老百姓送来的锦旗：心系丫丫赴海外，北动大爱暖人心 ,0,0,8,辽宁,沈阳,辽宁,中国,star 5
2,4907092202750424,中新社陕西分社,2023-05-30 13:43:33,【#丫丫回家后判若两熊#】5月29日凌晨，在经历一个月的隔离检疫期后，#丫丫终于回北京了#。 视频中，#丫丫一到家就被竹子包围了# ，体态活泼，与回国前判若两熊。去年12月，孟菲斯动物园宣布，将把大熊猫“丫丫”归还中国，按期结束20年的合作研究。此前，有网友在孟菲斯动物园拍摄到“丫丫”身形消瘦，体毛脱落。@中新社陕西分社 中新社陕西分社的微博视频,882,1123,53728,,西安,陕西,中国,star 5
2,4907207345313442,阿磊不知道,2023-05-30 21:21:05,#丫丫回家后判若两熊# 😭回来吧熊猫丫丫😭 🌟我最骄傲的国宝🌟 ⚡️历历在目的竹林⚡️ 😭眼泪莫名在流淌😭 💥依稀记得动物园💥 👍还有给力的乐乐👍 ⚡️把美国都给离开⚡️ 😭通宵回国都不累😭 ,0,0,1,广东,湛江,广东,中国,star 5
2,4907190819489352,师伟微博,2023-05-30 20:15:25,#丫丫回家后判若两熊# 那些给其美爹遮掩的王八蛋还喘气吗？ ,10,8,95,广东,深圳,广东,中国,star 5
2,4907154286579262,傅家妤鹿,2023-05-30 17:50:15,#丫丫回家后判若两熊#丫丫这一个月的变化，真真实实的打了那些汉奸走狗的脸，感谢北动的专家们给咱们的丫宝在短短一个月的时间里照顾的这么好 ,0,2,75,海南,海口,海南,中国,star 5
2,4907207101777437,耳纹AI一侯公子,2023-05-30 21:20:07,#丫丫回家后判若两熊#我活得还不如一只熊啊 ,0,0,0,广东,深圳,广东,中国,star 1
2,4907135760073977,郝智伟,2023-05-30 16:36:38,丫丫开不开心，可以从的表情说明一切，回国前VS回国后的状态和样子完全是不一样的！回家前相识垂暮之年的孤独老人坐在院子里每天呆呆的望着天空等待离去，如今更像是刚结束职业生涯，退休拿着高额退休金的胖老太太🐼，如今也不用担心孤独了，毕竟有萌兰小可爱陪伴着。#丫丫回家后判若两熊##微博新知博主# 郝智伟的微博视频,110,113,420,浙江,杭州,浙江,中国,star 5
2,4907206955244117,葭序廿八,2023-05-30 21:19:32,#丫丫回家后判若两熊#  回家了真好  丫丫巨开心的被爱包围着 ,0,0,0,上海,上海,上海,中国,star 5
3,4907206954714862,摄影师-happy惚惚,2023-05-30 21:19:32,#丫丫回家后判若两熊#尼康#成都大熊猫基地# 怎么会有这么可爱的小动物成都大熊猫基地拍到的小家欣（前三张）后面的吃货宝宝还有睡觉的各种宝宝都太可爱爱了花花和叶的确实没拍到太多，明天整理回京以后有机会去看看丫丫还有萌兰我大尼康剪裁几张也真的是画质嘎嘎滴📷NIKON Z9 70－200,24,26,48,北京,北京,北京,中国,star 5
3,4907206905174194,波比嘀哔嘀,2023-05-30 21:19:20,#丫丫回家后判若两熊#自家孩子自家疼啊，美香小奇迹添添也不能放弃，坚持#美香添添小崽要一起回家##添添# ,0,0,2,江苏,南京,江苏,中国,star 5
3,4907165669655202,一位不愿透露姓名的地理学者,2023-05-30 18:35:29,#丫丫回家后判若两熊#  有些地方真的没必要去洗，精神状态还有身体状态好没好真的是肉眼可见的 ,5,8,122,北京,北京,北京,中国,star 4
3,4907206682609790,素心如棋,2023-05-30 21:18:27,#丫丫回家后判若两熊# 丫丫有好多新鲜的竹子和竹笋，真好！ 可不能像花花那样只吃笋尖尖哦 ,0,0,1,山东,威海,山东,中国,star 5
3,4907206639878215,我说你说的对·,2023-05-30 21:18:16,#丫丫回家后判若两熊# 真好啊这才是国宝该有的样子吧 ,0,0,3,辽宁,大连,辽宁,中国,star 5
3,4907206271832759,门前小小蔷薇花,2023-05-30 21:16:49,#每日萌宠打卡#丫丫#丫丫回家后判若两熊##美香添添小崽要一起回家# 希望有责任心的团队照顾美香添添一家，让他们能吃饱，有医疗保障，能坚持到年底回家 ,0,0,2,北京,北京,北京,中国,star 5
3,4907206204457922,猕猴桃园里的虫子,2023-05-30 21:16:33,#丫丫回家后判若两熊#还有添添，美香，小奇迹一家，也请多多关注他们#美香添添小崽要一起回家##添添#大熊猫美香 ,0,0,3,上海,上海,上海,中国,star 5
3,4907189430393446,颜狗柯研所,2023-05-30 20:09:54,#丫丫回家后判若两熊#胖了，皮肤也好了，眼里有光了 ,0,2,34,安徽,合肥,安徽,中国,star 5
3,4907156132074290,脊梁in上海SH,2023-05-30 17:57:35,#丫丫回家后判若两熊# 昨天发了一组丫丫前后对比鲜明的照片 结果下面有一群人喷我 有说我蹭热度的 有帮美国说话的 有阴阳怪气的  这事儿是不能说的吗 ,16,168,1525,上海,,上海,中国,star 1
3,4907184905524945,倾听指尖,2023-05-30 19:51:55,确实！#丫丫回家后判若两熊# ，这绝对不是水土服能解释的。//@我摄天下老客行摄:回家前后，判若俩熊，祝丫丫开心快乐每一天。,2,3,11,浙江,宁波,浙江,中国,star 5
4,4907205528917408,伏昕,2023-05-30 21:13:52,#丫丫回家后判若两熊# 加油，干饭人，干饭魂！ ,0,0,0,上海,上海,上海,中国,star 5
4,4907205474391420,一碗羊肉串,2023-05-30 21:13:39,#丫丫回家后判若两熊#一方水土养一方熊！回家就是好呀~我也好想放假回家 ,0,0,0,湖南,张家界,湖南,中国,star 5
4,4907205343579345,不好意思你坐我位子上了_,2023-05-30 21:13:08,#丫丫回家后判若两熊# 你们不在乎的自会有人放在心尖上珍惜 ,0,0,0,安徽,蚌埠,安徽,中国,star 5
4,4907124495222163,根正苗红的贫农,2023-05-30 15:51:52,#丫丫回家后判若两熊# 对比确实有点明显 ,8,9,137,四川,,四川,中国,star 3
4,4907197442033237,若思璇,2023-05-30 20:41:44,大熊猫美香美香，小奇迹，添添早日回家，动物也是生命。#丫丫回家后判若两熊# ,1,0,26,湖北,荆州,湖北,中国,star 5
4,4907204958493686,木木小小棉棉,2023-05-30 21:11:36,#丫丫回家后判若两熊#回家后的丫丫终于有个“熊样”了丫丫以后一定会健健康康快快乐乐开开心心的 ,0,0,0,河北,秦皇岛,河北,中国,star 5
4,4907204539585260,钉钉的小尾巴,2023-05-30 21:09:56,#丫丫回家后判若两熊# 希望丫丫越来越好，安心养老吧 ,0,0,0,江苏,常州,江苏,中国,star 5
4,4907204358179858,江西王福星,2023-05-30 21:09:13,#丫丫回家后判若两熊#江西王福星表示：“在家千日好，出门半天难，人和熊猫都是一样的。”#江南西道人杰地灵# 吉安·江报・枫丹白露 ,1,0,0,江西,吉安,江西,中国,star 4
4,4907204292118444,金沙凝霞,2023-05-30 21:08:57,#丫丫回家后判若两熊#这就对了嘛，熊就要有个熊样 眼里有光了，圆脸最好看 ,0,0,8,浙江,舟山,浙江,中国,star 5
4,4907204031289670,哼yyy哼yyy,2023-05-30 21:07:55,#丫丫回家后判若两熊#要健康，要快乐，要让不好的事情都过去，要把不好的记忆都忘掉。要好好的呀，丫丫！ ,0,0,1,河北,石家庄,河北,中国,star 5
5,4907203640950987,追光的朗朗,2023-05-30 21:06:21,#丫丫回家后判若两熊# 真是肉眼可见的不一样了。之前还以为可能是老了皮毛变差，看现在这漂亮可爱的样子，真的是美方没有好好照顾丫丫。还是自己家乡好。 不要将我们的国宝借到漂亮国了吧！ ,0,0,3,湖南,长沙,湖南,中国,star 1
5,4907203612379628,平生岂堪一问1129x0511,2023-05-30 21:06:15,#丫丫回家后判若两熊#天呐好心疼呜呜呜好好照顾她呜呜呜 ,0,0,0,江苏,苏州,江苏,中国,star 5
5,4907160372510797,金华身边事,2023-05-30 18:14:25,#丫丫回家前后判若两熊# 一个是家，一个是打工，在家有人关心有人照顾，旅美打工，吃不好睡不好。#丫丫回家后判若两熊#  借着#丫丫# 的热度，希望旅美的美香、小奇迹一家也能被关注，我们先不说大熊猫旅美有没有被虐待，照顾不好大熊猫是事实，他们真的不会照顾年迈的大熊猫。 ,11,14,69,浙江,金华,浙江,中国,star 4
5,4907203452994192,兴动朵,2023-05-30 21:05:37,#丫丫回家后判若两熊#回来就是好 开心熊白白胖胖的丫丫 愿每一只熊都过得好好的 ,0,3,11,福建,宁德,福建,中国,star 5
5,4907145571604295,何春银微想,2023-05-30 17:15:37,#丫丫回家后判若两熊#丫丫回了家，判若两个丫。此丫和彼丫，娘家幸福啊。 ,8,17,41,江西,南昌,江西,中国,star 5
5,4907203146814603,刘颖读书,2023-05-30 21:04:24,#丫丫回家后判若两熊#胖乎多了，毛也有光泽了，还是回家好啊。 ,0,0,0,天津,天津,天津,中国,star 2
5,4907203061875691,北斗七馨_,2023-05-30 21:04:04,#丫丫回家后判若两熊#回家啦就是好丫丫要多吃哦 ,0,0,2,湖北,武汉,湖北,中国,star 5
5,4907129913741404,-四分三十三秒-,2023-05-30 16:13:24,#丫丫回家后判若两熊#自己家的孩子自己疼。 ,109,246,4936,陕西,西安,陕西,中国,star 5
5,4907202982446772,YB宝贝香菜园,2023-05-30 21:03:45,#丫丫回家后判若两熊#丫丫宝贝终于可以过幸福的晚年了，真的好开心！可怜的美香添添小奇迹什么时候能回来？添添美香能撑住吗？小奇迹还是是孩子呀！谁能救救它们 YB宝贝香菜园的微博视频 ,0,0,3,四川,雅安,四川,中国,star 5
5,4907202890173460,小猪搞机,2023-05-30 21:03:23,#丫丫回家后判若两熊#  回家后丫丫的状态好多了，这应该就是一方水土养一方熊，回家真好！ ,1,2,4,浙江,杭州,浙江,中国,star 5
6,4907202866060096,萝萝ME萝卜,2023-05-30 21:03:17,#丫丫回家后判若两熊#丫丫的状态真的越来越好了，我们也别忘记在天上的乐乐。愿所有的国宝健康快乐长大 ,0,0,2,福建,泉州,福建,中国,star 5
6,4907142593646497,笑圈少女,2023-05-30 17:03:47,眼睛是不会骗人的，吃个竹笋丫丫都是开心的 眼睛布灵布灵的ᥬᥬ😎ᩤᩤ#丫丫回家后判若两熊# 笑圈少女的微博视频 ,80,95,2296,广东,佛山,广东,中国,star 5
6,4907159043703464,专制各种不服的蒂尔,2023-05-30 18:09:09,#丫丫回家后判若两熊#听说美香一家被领导签了续签半价，死亡赔偿！想说，有人能管吗？为何权利这么大？这个乐乐丫丫当年签的一样！严查吧 ,6,0,26,北京,北京,北京,中国,star 1
6,4907202320271211,张小小-L,2023-05-30 21:01:07,#丫丫回家后判若两熊#孟菲斯的丫丫乐乐丫丫用自己证明了网友为她的努力没有白费，当初我们坚持让她回家是对的 ,0,1,10,上海,上海,上海,中国,star 5
6,4907202110556090,Idlemovie,2023-05-30 21:00:17,#丫丫回家后判若两熊#之前为丫丫发声，很多人说我自作多情、自我感动、造 谣 生事，说孟菲斯根本没 虐 待。  那时我一直没理会，依然坚持跟大家一起为丫丫发声，现在丫丫回国后身体明显胖了，毛也变得顺了，精神状态也好了，我们的坚持是对的。  那么，洗地者们，这下你们怎么沉默了？#微博新知博主# ,1,1,6,陕西,榆林,陕西,中国,star 5
6,4907201988135053,科技小海,2023-05-30 20:59:48,#丫丫回家后判若两熊#对比之下，高下立判，自家的国宝自己疼！#丫丫回家笑了# ,0,0,1,湖北,武汉,湖北,中国,star 5
