页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907202042660449,杜兰特博士,2023-05-30 21:00:01,#点亮精神火炬# 周二晚安，5月30日，原创视频008，构筑双底；好好的一份行情，怎么会慢慢变坏？冷冷的冰雨在市场胡乱地拍，暖暖的眼泪跟地产混成一块，悬崖上的爱，你是否等着她回来？ 杜兰特博士的微博视频 ,0,0,4,上海,上海,上海,中国,star 5
2,4907200341085264,种花家的千年兔叟,2023-05-30 20:53:15,#点亮精神火炬#  西方文化中心论已经破产，该是中华文化反击的时刻啦!   ,0,0,1,北京,北京,北京,中国,star 4
2,4907200214994270,于海青,2023-05-30 20:52:45,出发永远是最有意义的事,0,0,0,内蒙古,通辽,内蒙古,中国,star 4
2,4907189779043938,紫阳法院,2023-05-30 20:11:17,晚安#点亮精神火炬##晚安# 书堆很多了不知道看哪本，那就从手头的开始看起；单词总是背不完，那就不要去寻求捷径，从第一个开始背；旅行下不了决心，那就放弃攻略从订机票开始。打败焦虑的最好办法，就是去做那些让你焦虑的事情。出发永远是最有意义的事，去做就是了。——卢思浩 紫阳法院的微博视频,4,154,114,,安康,陕西,中国,star 5
2,4907198490346735,韩教头面部运动,2023-05-30 20:45:54,#这个动作可以有效纠正肩内扣，改善斜方肌变大，肩颈僵化！让你告别猥琐体态！重塑健康美背#肩内扣的久坐办公很容易导致斜方肌变硬变大，这是由于肩膀内旋之后会让肩胛骨前倾，从而把附着在肩胛骨的斜方肌被动式提高，让肩颈产生僵化酸痛！此内容有效对抗日常错误办公姿态，非常时间办公小白的美背训练！每组1分钟，每天4到6组（可分开练习），7天记得反馈哦！️祝宝宝们越来越美丽变美富贵包体态纠正肩颈酸痛#直角肩##点亮精神火炬# 韩教头面部运动的微博视频,1,1,2,北京,北京,北京,中国,star 5
2,4907196883932662,昆明五华发布,2023-05-30 20:39:31,#点亮精神火炬# 【全国科技工作者日丨祝广大女科技工作者节日快乐】第七个“全国科技工作者日”之际，中国科协常委会女科技工作者专委会拍摄制作《如愿》女科技工作者主题MV，展现新时代我国科技女性大力弘扬科学家精神，立足岗位实干担当，面向世界科技前沿勇攀高峰、面向经济主战场创业创造、面向国家重大需求聚智献力、面向人民生命健康勇担使命，坚定科技自立自强信念、奋勇实现中华民族伟大复兴伟大梦想的家国情怀和巾帼风貌。谨以此片向全国广大女科技工作者致以5·30全国科技工作者日崇高的敬意和美好的祝福！#科技工作者日##第七个全国科技工作者日# 科普中国的微博视频,0,0,0,,昆明,云南,中国,star 5
2,4907196167493159,北起意欧替BQEOT,2023-05-30 20:36:40,北起意欧替参加2023年怀柔区“全国科技工作者日”系列活动--“点亮精神火炬聚力百年科学城”！ ,0,0,0,北京,北京,北京,中国,star 4
2,4907187154196027,黑龙江高速交警,2023-05-30 20:00:51,#晚安高小黑##点亮精神火炬#开挂的人生，不是天生就有持续不断的鸡血，而是后天获得了从痛苦中给自己充电的能力。晚安！晚安 ,3,227,77,,哈尔滨,黑龙江,中国,star 5
2,4907192690152989,MsCactus-,2023-05-30 20:22:51,是点亮精神火炬啊，啊这，主播读错了还是文案给错了……,0,0,0,辽宁,大连,辽宁,中国,star 3
2,4907192081450894,辽宁共青团,2023-05-30 20:20:26,青丝到白发，初心终不改！一起看看科学家们年轻时的模样！#点亮精神火炬#（新华社快看） 辽宁共青团的微博视频 ,7,2,14,,沈阳,辽宁,中国,star 5
3,4907191516269745,平安博州,2023-05-30 20:18:11,高校国旗护卫队队员进行正步训练 他们身姿挺拔，步履铿锵！ 晚安啦～  #点亮精神火炬# 平安博州的微博视频 ,0,27,35,,博尔塔拉蒙古自治州,新疆,中国,star 5
3,4907191033926986,乌达宣传,2023-05-30 20:16:16,乌达区开展“点亮精神火炬 照亮奋进之路”科技志愿服务活动乌达区开展“点亮精神火炬 照亮奋进之路”科技志愿服务活动 ,0,0,0,,乌海,内蒙古,中国,star 4
3,4907058761303054,科技日报,2023-05-30 11:30:40,#点亮精神火炬#【全国创新争先奖完整名单来了！】在#530全国科技工作者日#到来之际，为进一步表彰在面向世界科技前沿、面向经济主战场、面向国家重大需求、面向人民生命健康和社会服务等相关科技创新领域作出突出贡献的个人和集体，人力资源和社会保障部、中国科协、科技部、国务院国资委决定，授予海洋沉管隧道建设技术创新团队等7个团队第三届全国创新争先奖牌；授予马大为等26名同志第三届全国创新争先奖章；授予丁文江等251名同志第三届全国创新争先奖状。全国创新争先奖于2017年设立，每三年评选表彰一次，每次表彰不超过10个科研团队授予奖牌，表彰不超过30个科技工作者授予奖章，表彰不超过300名科技工作者授予奖状。目前，全国创新争先奖已成为国家科技奖励体系的重要组成部分和补充，是国家科技奖项与重大人才计划的有机衔接，是仅次于国家最高科技奖的科技人才大奖。（科技日报实习记者 都芃）,49,2,248,,北京,北京,中国,star 5
3,4907188403308383,采青,2023-05-30 20:05:49,我分享了话题#点亮精神火炬# ,0,0,0,安徽,滁州,安徽,中国,star 5
3,4907187001889688,赵云龙,2023-05-30 20:00:15,#点亮精神火炬# “真正的大国重器，一定要掌握在自己手里！” #微博党史课堂# 赵云龙的微博视频 ,7,2,10,河南,郑州,河南,中国,star 5
3,4907186855087723,喜欢喜欢坚果的他,2023-05-30 19:59:40,#点亮精神火炬#科技创造未来，致敬！ ,0,0,0,河北,石家庄,河北,中国,star 5
3,4907185807036496,曾经是只小可爱,2023-05-30 19:55:30,5月30日，是全国科技工作者日，今年的主题是“点亮精神火炬”，祝自己节日快乐。 #点亮精神火炬# ,1,2,12,山东,淄博,山东,中国,star 4
3,4907184854665811,南京图书馆,2023-05-30 19:51:43,#相阅南图##邂逅阅时光# 《弘扬科学家精神——走近100位科技工作者》作者:中国科协信息中心出版社:中共中央党校出版社馆藏索书号：K826.1/0408        中国科协信息中心从科协系统、高校、科研院所及企业推荐的234件作品中精选出100件，包括钱学森、张钰哲、程开甲、吴自良、黄纬禄、钟南山等作出突出贡献的科学家，也有优秀科技工作者团体，2019年、2020年最美科技工作者等，旨在弘扬热爱祖国、勇于创新、追求真理、甘于奉献、团结协作、甘为人梯的科学家精神。本书语言生动、史料鲜活、事迹感人，具有深刻启发和教育意义，适合广大读者阅读，老少皆宜。#点亮精神火炬#,2,1,2,,南京,江苏,中国,star 4
3,4907184587017688,黄山市共青团,2023-05-30 19:50:39,今年5月30日是第七个“全国科技工作者日”。根据通知，今年“全国科技工作者日”活动与全国科技活动周联动开展，各地各单位将结合实际，以多种方式开展线上线下相结合的特色活动。通知提出，自5月上旬起举办“点亮精神火炬”主题活动，结合各领域、各地区的中国共产党人精神谱系、科学家精神教育基地等内容，深入挖掘红色资源中的科技元素和科技资源中的红色元素，组织科技工作者开展国情考察、交流座谈、建言献策、社会服务等活动，引领科技工作者坚定理想信念、汲取奋进力量。届时还将在全国范围内广泛组织开展科学家精神报告团“进学校进院所进企业”、青年科普公开课《与大咖同行》等品牌活动，并结合“一带一路”倡议十周年，展示中国科技界积极参与科技伦理治理、服务构建人类命运共同体的群像，线上线下、对内对外讲好科学家故事。  “全国科技工作者日”活动期间，还将颁发第三届“全国创新争先奖”，集中开展“最美科技工作者”学习宣传活动，深入开展科技助力经济发展、乡村振兴和公众科学文化素质提升等科技志愿服务活动。（来源：新华网）,0,0,0,,黄山,安徽,中国,star 4
