页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907411414451862,曲靖消防,2023-05-31 10:51:59,"【你家的燃气热水器安全吗？】燃气热水器是居家生活中常见的电器之一,使用起来方便便捷。但是使用不当也会引发危险，戳图了解燃气热水器的安全使用法则~ #你每个月洗澡多少次# ",0,1,0,,曲靖,云南,中国,star 4
2,4907411402655516,武汉音乐广播MusicRadio,2023-05-31 10:51:56,发布了头条文章：《第三届全国戏曲（南方片）会演:汉剧《夫人城》31日晚亮相闭幕式》 #你每个月洗澡多少次#  第三届全国戏曲（南方片）会演:汉剧《夫人城》31日晚亮相闭幕式 ,0,0,0,湖北,武汉,湖北,中国,star 5
2,4907379482693800,未味,2023-05-31 08:45:06,#你每个月洗澡多少次#洗澡…不是应该一天一次吗？除非…… ,0,62,49,天津,天津,天津,中国,star 5
2,4907411381423421,是西米露呀嘿嘿,2023-05-31 10:51:51,#你每个月洗澡多少次# 一天最少一次上不封顶，四川热炸了 ,0,0,0,四川,德阳,四川,中国,star 1
2,4907411281024187,千张徐徐,2023-05-31 10:51:27,#你每个月洗澡多少次#难道不是天天洗吗，不洗怎么上床睡觉啊 ,0,0,0,浙江,衢州,浙江,中国,star 1
2,4907366070354434,天津老张,2023-05-31 07:51:48,#你每个月洗澡多少次#夏天热，洗的多。冬天冷，洗的少。正常人不都是这样吗？这玩意还要记个次数么？ ,4,6,10,天津,天津,天津,中国,star 3
2,4907411125306736,孤猫寡狗,2023-05-31 10:50:50,#你每个月洗澡多少次#等你们来了南方，感受37度的高温，出去一趟回来一趟，能坚持不洗澡，那你是个狠人 黏腻就不说了，能把自己臭馊过去 ,0,0,0,江西,赣州,江西,中国,star 1
2,4907411028314863,拍拖APP,2023-05-31 10:50:27,#你每个月洗澡多少次# 你每个月洗澡多少次？ ,0,0,0,四川,成都,四川,中国,star 5
2,4907410840359070,抱抱YUKII,2023-05-31 10:49:42,#你每个月洗澡多少次#  从来没洗过澡 ,0,0,0,四川,成都,四川,中国,star 1
2,4907410806800935,糖衣炮弹糖衣炮弹,2023-05-31 10:49:34,#你每个月洗澡多少次# 我已经一个月没有洗澡了 只洗头 队友觉得我馊了 早上还出素我睡衣黑 得换了 ,0,0,0,陕西,西安,陕西,中国,star 5
