页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907396860478189,以兴定义师,2023-05-31 09:54:09,张艺兴 谁懂啊 现在很像结婚流程👰🏻  第一步 公布婚讯  第二步 挑选戒指  第三步 公布婚礼场地及时间  第四步 发请柬  第五步 参加婚礼 啊啊啊 张艺兴 你别太爱  我的莲脑又要开始长恋爱脑了@张艺兴  #张艺兴演唱会##张艺兴让贝壳自己选应援棒# ,9,23,128,北京,北京,北京,中国,star 5
2,4907096020354504,养猪有出息,2023-05-30 13:58:43,#街舞6网传嘉宾阵容#  什么？你怎么知道张艺兴要开演唱会了！什么？你怎么知道张艺兴要开演唱会了！什么？你怎么知道张艺兴要开演唱会了！ 养猪有出息的微博视频 ,74,132,2371,浙江,绍兴,浙江,中国,star 1
2,4907411871630073,深海里有个鱼,2023-05-31 10:53:48,#张艺兴深圳演唱会官宣##张艺兴深圳演唱会官宣# 有谁能帮我抢北京，我可以帮忙抢深圳 ,0,0,0,内蒙古,巴彦淖尔,内蒙古,中国,star 4
2,4907391084138125,一颗甜菜呀-,2023-05-31 09:31:12,#张艺兴让贝壳自己选应援棒#  贝壳r真的感到幸福了！！ 之前的演唱会还送🎫  虽然惊喜只有一份 但愿今天在场的所有的XBack们都能够特别幸福特别好  身边有人陪伴 永远热闹  张艺兴工作室的微博视频 ,14,12,456,山东,威海,山东,中国,star 5
2,4907043683044711,张艺兴的小藏獒,2023-05-30 10:30:45,已经刷到好几个朋友圈的🐂发期待张艺兴演唱会了你们可以先别期待吗感觉大家都虎视眈眈 ,10,168,1662,浙江,绍兴,浙江,中国,star 5
2,4907411242487730,柚子有个泡泡,2023-05-31 10:51:18,#张艺兴深圳演唱会官宣#有没有群啊？有没有群啊？ 有小伙伴从广州出发的吗？不是很懂，怎么抢有人教吗？#张艺兴深圳演唱会# ,0,1,0,广东,,广东,中国,star 5
2,4907410936301331,haleng999,2023-05-31 10:50:05,张艺兴有没有帮抢深圳场的暑假刚好去深圳什么时候开票 ,0,1,2,湖北,咸宁,湖北,中国,star 5
2,4907410608624961,AngelXing贝贝,2023-05-31 10:48:47,#张艺兴大航海巡回演唱会#张艺兴期待已久的大航海演唱会来了，应援棒我选好了@张艺兴 ,0,0,1,广西,来宾,广西,中国,star 5
2,4907410525521170,酸辣土豆丝不放葱,2023-05-31 10:48:27,三巡冲啊😭！！！ 张艺兴#张艺兴大航海巡回演唱会##张艺兴大航海三巡预热# ,0,0,1,广东,深圳,广东,中国,star 5
3,4907405106218168,芒果娱乐,2023-05-31 10:26:55,#张艺兴深圳演唱会官宣# 大航海的冒险巨轮即将开往深圳，快和Captain Lay@张艺兴 一起用音乐传递绚烂吧！这个夏天，和张艺兴一起燃炸全场！ #张艺兴大航海无远弗届巡演官宣# ,360,353,435,,长沙,湖南,中国,star 5
3,4907410466276209,杨夜懿yyy,2023-05-31 10:48:13,张艺兴 有没有想广州-深圳当天来回的，或许可以一起包车？ ,0,0,1,广东,广州,广东,中国,star 5
3,4907396970056104,兔子奶茶日记,2023-05-31 09:54:35,#张艺兴让贝壳自己选应援棒# 求求不要限量 不要限量 去不了演唱会让我买个应援棒吧 ,0,0,35,河北,沧州,河北,中国,star 5
3,4907410374003528,tamXbacKIng,2023-05-31 10:47:51,张艺兴 票来 票从四面八方来🙏 #张艺兴大航海2.5巡演唱会##张艺兴# ,0,11,2,广东,深圳,广东,中国,star 5
3,4907410328388474,think的小屋,2023-05-31 10:47:39,张艺兴我可以帮抢票深圳场，互助北方特别是东北场次请帮我抢就好！ ,0,7,2,黑龙江,,黑龙江,中国,star 5
3,4907410306891796,江南酷哥1007号,2023-05-31 10:47:34,张艺兴#张艺兴演唱会# 一想到要抢票了就很激动怎么办为小羊蹄拉票！蹄门永存！#张艺兴让贝壳自己选应援棒# ,0,0,3,重庆,重庆,重庆,中国,star 5
3,4907410306634540,柚子-拿铁,2023-05-31 10:47:35,张艺兴 蹲一个广东贝壳的群 想一起去演唱会，不然一个人不都流程  ,0,2,0,广东,揭阳,广东,中国,star 3
