页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907410143577951,平安泸州,2023-05-31 10:46:56,#特殊爱好被父母尊重的孩子有多棒# 【从1岁到10岁，不同阶段教育方法[推荐]】孩子的成长，是个奇妙的过程：有时他天真烂漫，有时他任性叛逆，有时很黏父母，有时又非常渴望独立......其实，孩子在不同年龄段，都会有不一样的心理和性格特点。从1岁到10岁，孩子特点和应对方法↓↓教你因“龄”施教。转给身边的爸妈们！,0,2,3,,泸州,四川,中国,star 5
2,4907410013554391,-高高老高-,2023-05-31 10:46:25,#特殊爱好被父母尊重的孩子有多棒# 昆虫我可以 蠕动型的虫子我真的不🉑️🙅 ,0,0,0,河南,郑州,河南,中国,star 5
2,4907409673555703,平安无锡,2023-05-31 10:45:04,#特殊爱好被父母尊重的孩子有多棒# 【从1岁到10岁，不同阶段教育方法[推荐]】孩子的成长，是个奇妙的过程：有时他天真烂漫，有时他任性叛逆，有时很黏父母，有时又非常渴望独立......其实，孩子在不同年龄段，都会有不一样的心理和性格特点。从1岁到10岁，孩子特点和应对方法↓↓教你因“龄”施教。转给身边的爸妈们！ （来源：人民日报 编辑：朱晴漪  校对：蒯江浩  签发：马军）,0,0,0,,无锡,江苏,中国,star 5
2,4907409313368621,星杪_,2023-05-31 10:43:38,#特殊爱好被父母尊重的孩子有多棒# 被尊重被支持的孩子会更自信，但是对我来说这些昆虫太可怕了，小朋友真棒 ,0,0,1,山东,青岛,山东,中国,star 5
2,4907409011381303,邢台星君,2023-05-31 10:42:26,#特殊爱好被父母尊重的孩子有多棒# 你的爱好被父母尊重吗？  网页链接 ,0,0,6,河北,邢台,河北,中国,star 4
2,4907408550268645,-YuJu要努力努力努努力,2023-05-31 10:40:36,#特殊爱好被父母尊重的孩子有多棒#差点以为是更特殊的爱好。 ,0,0,2,广东,广州,广东,中国,star 4
2,4907408336620548,Picturememory_途,2023-05-31 10:39:45,#特殊爱好被父母尊重的孩子有多棒# 尊重支持孩子的父母自身需要心理强大情绪稳定 很佩服！ ,0,0,0,美国,,美国,美国,star 5
2,4907407873936438,力栗梨荔,2023-05-31 10:37:55,#特殊爱好被父母尊重的孩子有多棒# 尊重孩子特殊爱好的父母有多棒☺️ ,0,1,8,韩国,,韩国,韩国,star 5
2,4907407660813122,赛车星冰乐,2023-05-31 10:37:04,#特殊爱好被父母尊重的孩子有多棒#昆汀：感谢父母，这才让我的电影“味道”如此与众不同 ,1,0,2,北京,北京,北京,中国,star 4
2,4907407563819239,叛逆的LuLu脩,2023-05-31 10:36:41,#特殊爱好被父母尊重的孩子有多棒#想起小时候我就喜欢听古风歌曲 就宛转悠扬的那种  然后得到的评价就是“就喜欢听死牙赖口的玩意” 搞得我怀疑自己品味有问题  ,0,0,0,重庆,重庆,重庆,中国,star 3
