页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907410966184453,孔庆龙,2023-05-31 10:50:12,#韩国警报# 发射前：日本屁股插棒子装吊大说拦截 发射后：日本说卫星没侦查到…… ,0,0,0,北京,北京,北京,中国,star 4
2,4907410898813116,此昵称已被承包,2023-05-31 10:49:55,#韩国警报#在韩同胞们注意安全啊，保护好自己！ ,0,0,1,浙江,杭州,浙江,中国,star 5
2,4907410622516784,天夏狸猫,2023-05-31 10:48:50,#韩国警报# 笑亖，小尹子不是挺能嚷嚷嘛，找你米国爸爸打报告去 ,0,0,0,北京,北京,北京,中国,star 5
2,4907410558812816,一地山,2023-05-31 10:48:35,中国战机拦截美侦察机：直接从美军机前方高速穿过，美机被震得摇晃！  #韩国警报# 一地山的微博视频 ,0,0,0,河南,洛阳,河南,中国,star 5
2,4907401129493571,小本页,2023-05-31 10:11:06,#韩国警报#棒子警报和我国有什么关系？在我国买啥热搜？还有，湖笔明星能不能不要蹭花花？天天热搜上这个明星颜值在线，那么明星上厕所去了，更有吹评委都投票给他了，当谁不知道呢？业务能力强国外电影节拿个奖为国争光啊，只会在微博热搜里找存在感，真长得好看还用在微博买热搜，没见到刘亦菲，景甜天天热搜说自己长相不普通的，还有，丫丫没见你发声，结果听说人家把看华晨宇理解成看熊猫花花了，赶紧把自己手机屏保换了买个热搜，就那么缺数据吗？动物的数据都蹭？,0,5,54,陕西,西安,陕西,中国,star 4
2,4907363523365337,是的都酱呀,2023-05-31 07:41:41,#韩国警报#吓到现在还没睡🙉心脏到现在还在狂跳，我3点多才睡着，6点多被创醒，两个手机一起叫，外面广播夹击，家还在顶楼，一瞬间最后的话都想好了 尹锡悦西八狗崽子 ,0,33,150,韩国,,韩国,韩国,star 5
2,4907403276979457,Capxx_kiwi,2023-05-31 10:19:39,#韩国警报#一些自以为幽默的老钟人又出来抖机灵了 ,0,12,36,海南,,海南,中国,star 3
2,4907410466279720,romee_d,2023-05-31 10:48:13,今天早上的总统警报真的把我吓死 但是也现在才醒 要是真的导弹过来 我可能就已经鼠了吧#韩国警报# ,0,1,0,韩国,,韩国,韩国,star 3
2,4907410458415851,电影名字搜索,2023-05-31 10:48:11,#韩国警报#哈哈，笑死，棒子是不是以为别人发导弹炸他了 ,0,0,0,湖北,恩施土家族苗族自治州,湖北,中国,star 5
2,4907400530232230,盖世英雄玉椒龙,2023-05-31 10:08:44,这些要把端午节送给韩国的，要知道，韩国端午节不放假。 一！天！不！放！  你们可以抱怨调休，但不管怎么样，按照你们的放假逻辑，韩国有什么资格拥有端午节？？？  #韩国警报##2023端午节放假通知# ,70,81,927,山东,东营,山东,中国,star 1
