页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907411503320144,奇趣综汇,2023-05-31 10:52:20,#龚俊手机屏保是花花#有网友发现龚俊的手机屏保好像是花花，谁能不爱我们熊猫届的女顶流花花呢？ ,0,1,2,安徽,合肥,安徽,中国,star 3
2,4907411468457252,追你不如追个剧,2023-05-31 10:52:12,#龚俊手机屏保是花花#借用基地保安的话：“不是见熊猫就是花花，哪有这么多花花”龚俊的屏保是福多多哦，是和花和叶同父异母的亲妹妹，俊子回成都时还去看过它～ 追你不如追个剧的微博视频 ,60,62,103,山西,太原,山西,中国,star 5
2,4907411130026365,逃离摄梦星球,2023-05-31 10:50:51,#龚俊手机屏保是花花# 明明是我们野兽派领养的福多多 yxh什么眼神 ,0,0,2,湖北,襄阳,湖北,中国,star 1
2,4907411124519885,抱抱YUKII,2023-05-31 10:50:50,#龚俊手机屏保是花花#  啊天是花花好想要花花的签名啊 ,0,0,0,四川,成都,四川,中国,star 5
2,4907411067113473,狗聂啊狗聂,2023-05-31 10:50:36,#龚俊手机屏保是花花#帅帅的帅哥喜欢萌萌哒大熊猫不过龚俊屏保是噗噗啦yxh不要再认错喽 ,0,0,2,山东,,山东,中国,star 5
2,4907410990827121,哈鲁果酱,2023-05-31 10:50:18,光芒是遮不住的，能被世界看到 龚俊优秀！@龚俊Simon #龚俊#GJ#龚俊手机屏保是花花#,1,0,2,浙江,宁波,浙江,中国,star 4
2,4907410881252783,来去之间0809养乐多,2023-05-31 10:49:52,#龚俊手机屏保是花花# 熊猫我都认不全，国宝谁不爱了 ,0,0,1,湖南,,湖南,中国,star 1
2,4907410832228558,_可乐可以加冰_,2023-05-31 10:49:39,#龚俊手机屏保是花花# 是福多多吧 要和我宝同款 ,0,0,0,河北,承德,河北,中国,star 5
2,4907410613862798,阿圆圆圆ooooo,2023-05-31 10:48:47,#龚俊手机屏保是花花#花花，我唯一可以认出来的熊猫 ,0,0,0,山东,枣庄,山东,中国,star 1
2,4907410416730812,小乌龟之窝,2023-05-31 10:48:01,#龚俊手机屏保是花花#求不喜欢可爱的熊猫仔仔们，花花多多都爱哈哈哈，走过路过一起期待下龚俊的待播剧吧#龚俊[超话]# ,0,0,0,上海,上海,上海,中国,star 5
3,4907410302965312,俊俊是二宝,2023-05-31 10:47:34,#龚俊手机屏保是花花#YXH别乱说，龚俊屏保明明是野兽派认养的福多多（噗噗），是野兽派代言人和噗噗好吗！当然，谁能不爱花花呢 ,0,0,3,浙江,宁波,浙江,中国,star 1
3,4907409905029764,一介耶斯,2023-05-31 10:45:59,#龚俊手机屏保是花花#.#时尚芭莎年度派对# 不管花花丫丫，多多还是锅来🐼，都是爱动物的龚俊俊，yxh自己认错关gj什么事？帅就完事了，期待龚俊热巴的安乐传 ,0,2,10,浙江,湖州,浙江,中国,star 5
3,4907409304983250,雨子酱小盆友,2023-05-31 10:43:36,#龚俊手机屏保是花花#【手绘】谁能拒绝可爱的大熊猫呢？ ,0,0,2,山西,大同,山西,中国,star 4
3,4907400123649997,Amy_艾兮,2023-05-31 10:07:07,#龚俊手机屏保是花花#  龚俊是野兽派代言人，福多多是野兽派认养熊（认养名噗噗），背影认不出福多多 那就看看正面吧，我看看还有谁的心没被这个视频融化 Amy_艾兮的微博视频 ,4,17,102,四川,成都,四川,中国,star 5
3,4907409065642103,很高兴的怡怡,2023-05-31 10:42:39,#龚俊手机屏保是花花#所以他当初帮丫丫发声了吗？ ,0,0,0,山东,泰安,山东,中国,star 1
3,4907408902587801,那些年--碎了一地的记忆84609,2023-05-31 10:42:00,#龚俊手机屏保是花花#我还以为是华晨宇 ,0,2,3,澳大利亚,,澳大利亚,澳大利亚,star 2
