页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907413721583998,Baekiness_,2023-05-31 11:01:09,#五月天演唱会票价涨3倍黄牛还说不赚钱#  你们去看吧，去坐他腿上看 ,0,0,1,河南,,河南,中国,star 1
2,4907413712673812,8月路人走过,2023-05-31 11:01:07,#五月天演唱会票价涨3倍黄牛还说不赚钱# 估计被黄牛压在手里了。那黄牛这些票哪里来的。想听买不票，真的对歌手好吗？ ,0,0,0,浙江,台州,浙江,中国,star 2
2,4907413284589899,汪汪酱不是狗酱,2023-05-31 10:59:25,#五月天演唱会票价涨3倍黄牛还说不赚钱#国家能不能治理一下 本来演唱会是挺开心的事 这下搞的 诈骗 哄抬物价 乱象横生 ,0,0,2,安徽,合肥,安徽,中国,star 1
2,4907413105545335,Idlemovie,2023-05-31 10:58:42,#五月天放票##五月天演唱会票价涨3倍黄牛还说不赚钱#对黄牛的仁慈就是对自己的残忍。我朋友圈有不少人去了五月天现场，于是我找了其中一位询问买票渠道，正好他就是黄牛，也是五月天的粉丝，此前我还不知道。于是我就找他买票，我想着大家既然认识，肯定会给我打个折啥的，没想到对方不但不顾情谊，张口就跟我要一万，还说不还价，你不要有的是人要，我说不都实名制，刷身份证进吗？你怎么保证你给我的票可以用？这句话直接惹怒了他，开始对我进行 脏 话 攻 击，说什么穷就不要学人家听演唱会，怀念青春等等，我没理他，转手送了他一个红色感叹号。我就是去不成五月天演唱会，在家里听他们的歌，也不会让这种人赚钱。#微博新知博主#,0,2,9,陕西,榆林,陕西,中国,star 1
2,4907413092698363,加贝的运气,2023-05-31 10:58:39,#五月天演唱会票价涨3倍黄牛还说不赚钱#给我的感觉就是“五月天”已经“长”在微博热搜上啦啦啦啦啦，哈哈哈哈哈哈。 ps：我的微博常搜也已经变成了“五月天” ,0,0,2,河南,驻马店,河南,中国,star 5
2,4907412806700717,绿-时,2023-05-31 10:57:31,#五月天演唱会票价涨3倍黄牛还说不赚钱#没有抢到五月天的票，那就抬头看看五月的天吧～毕竟明天就看不到了 ,0,0,2,湖南,长沙,湖南,中国,star 5
2,4907412727793831,通文达艺scanf,2023-05-31 10:57:12,#五月天演唱会票价涨3倍黄牛还说不赚钱# 内地各场次的音乐节演唱会，状态已然近乎病态。另外，黄牛倒卖门票的收入是否应该依法纳税。 ,0,0,1,安徽,合肥,安徽,中国,star 1
2,4907412623199563,Minga_酱,2023-05-31 10:56:47,#五月天演唱会票价涨3倍黄牛还说不赚钱#3倍你还不赚钱，你咋不把全场票都包了，办一场都够你花一辈子。看给你胃口大的。 ,0,0,0,浙江,杭州,浙江,中国,star 2
2,4907412522540019,考研小新,2023-05-31 10:56:23,#五月天演唱会票价涨3倍黄牛还说不赚钱#  所以说别问到底谁抢到演唱会的票了，因为全让黄牛划拉走了 ,0,0,0,北京,北京,北京,中国,star 3
2,4907412332743051,成都政法,2023-05-31 10:55:38,#五月天演唱会票价涨3倍黄牛还说不赚钱#【“猛涨3倍，还说不赚钱？”五月天杭州演唱会门票秒没：票都去哪了？】 ,0,6,4,,成都,四川,中国,star 1
3,4907412072699787,鹿七卅,2023-05-31 10:54:36,#五月天演唱会票价涨3倍黄牛还说不赚钱#所以到底什么时候狠狠治理黄牛？每天上热搜每天没人管 ,0,0,0,北京,北京,北京,中国,star 1
3,4907411885001841,胖胖胖胖迪-,2023-05-31 10:53:51,#五月天演唱会票价涨3倍黄牛还说不赚钱#看来重庆场我是抢不到票了 就算抢到了也没人和我一起看.😭 重庆 ,0,0,0,重庆,重庆,重庆,中国,star 3
3,4907411607918089,剧综PD,2023-05-31 10:52:45,五月天演唱会票价涨3倍黄牛还说不赚钱，855的票价黄牛报价五位数，资本家看了都要流泪 最后不要买黄牛，不要买黄牛，不要买黄牛，重要的事情说三遍。 ,51,52,53,浙江,杭州,浙江,中国,star 1
3,4907411494670093,五道沟视点,2023-05-31 10:52:18,#五月天演唱会票价涨3倍黄牛还说不赚钱#动辄上万，甚至数万，谁在买？是谁培育了黄牛肆虐的土壤？ ,0,0,1,山东,青岛,山东,中国,star 1
