页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907415742449494,饭圈杂谈,2023-05-31 11:09:11,#伊能静自己都想不到吧#那年秦昊8岁，庾澄庆26岁，而最后和伊能静幸福生活在一起的，是小了10岁的秦昊，伊能静自己都想不到吧。  娶到自己的童年偶像，怎么想都是小说情节，梦幻而美好，更别说两人夫妻关系正向且相互尊重理解了 ,0,0,0,河北,石家庄,河北,中国,star 5
2,4907415734846554,娱闻蜀黍,2023-05-31 11:09:09,#伊能静自己都想不到吧#伊能静自己都想不到，多年以后那些尘封已久的往事被“翻”了出来。 秦昊和庾澄庆在同一年爱上了伊能静，但是三位艺人都已经过上了幸福的生活。伊能静和秦昊于2016年结婚，而庾澄庆则于2018年与女友颖儿喜结连理。 ,0,0,0,广东,湛江,广东,中国,star 5
2,4907415524347407,起酱娱乐,2023-05-31 11:08:19,#伊能静自己都想不到吧#缘分这种事情谁说的准呢，哈哈哈没想到最后是秦昊和伊能静幸福的生活在一起 ,0,0,0,河北,廊坊,河北,中国,star 5
2,4907415381739855,古装影视局,2023-05-31 11:07:45,#伊能静自己都想不到吧#  做明星也不容易，伊能静自曝一年没有看到儿子，只能通过照片来“沟通” 古装影视局的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
2,4907415307289161,考研英语曲晨超,2023-05-31 11:07:27,#伊能静自己都想不到吧# 宝子们下列哪个是意外的  网页链接 ,0,0,17,山东,烟台,山东,中国,star 5
2,4907374002047963,七分丶微笑,2023-05-31 08:23:19,#伊能静自己都想不到吧#  所有人都在说伊能静给庾写的那首歌用情至深，秦昊会怎样怎样。但是我想说这就是秦昊所爱，他知道伊能静的对爱的忠和诚，他不会吃醋伊能静为庾写的那首歌，而是会很骄傲 ,2,38,1082,四川,成都,四川,中国,star 5
2,4907411490473671,T倦鸟无归期,2023-05-31 10:52:17,#伊能静自己都想不到吧#伊能静她自己做梦都想不到。能因为这事上了好几条热搜陈年往事都被扒出来炒作一下！现在这个样子不是很圆满了嘛？各自安好 T倦鸟无归期的微博视频 ,0,4,33,广东,揭阳,广东,中国,star 5
2,4907414908571496,ALex_Sofa,2023-05-31 11:05:52,#伊能静自己都想不到吧#伊能静:中午吃啥?秦昊:吃春泥 ,0,0,1,江苏,南京,江苏,中国,star 5
2,4907414875279543,陪我一起来看流行剧,2023-05-31 11:05:44,伊#伊能静自己都想不到吧#  能静：做医美很正常！！！ 陪我一起来看流行剧的微博视频 ,0,0,2,天津,天津,天津,中国,star 5
2,4907414765966163,棣一志愿_Dylan,2023-05-31 11:05:18,#伊能静自己都想不到吧#自己可能真的想不到 ,0,0,2,湖南,,湖南,中国,star 5
4,4907413482508883,圈内容嬷嬷,2023-05-31 11:00:12,伊能静最想不到的应该是网友的愚蠢。 想不到这么多年后，自己出轨被网友磕成了be美学。 也想不到网友竟然闲出屁了去找庾澄庆和秦昊的共同点。 想不到都不用自己写小作文就有人给自己洗好了。#伊能静自己都想不到吧##娱乐评论大赏# ,0,0,0,湖北,武汉,湖北,中国,star 4
4,4907413453669768,在座都是傻叉叉,2023-05-31 11:00:05,#伊能静自己都想不到吧#伊能静的命也是命 ,0,0,0,山东,青岛,山东,中国,star 5
4,4907413162953681,知道对与错吗,2023-05-31 10:58:56,#伊能静自己都想不到吧#怎么不带上黄维德啊 ,0,0,0,湖南,湘西,湖南,中国,star 3
4,4907413151683274,vensionlion,2023-05-31 10:58:53,#伊能静自己都想不到吧#八姑六婆！明星周围就是充斥了一堆闲得发慌，又想找话题赚流量的八姑六婆 ,0,0,0,广东,广州,广东,中国,star 5
4,4907386400149252,圈内妹妹,2023-05-31 09:12:35,#伊能静自己都想不到吧#怎么又又又上热搜，秦昊和庾澄庆同一年爱上伊能静一直引起热议……庾郎盘马地，却怕有春泥，庾澄庆伊能静两人现在都各自安好了，其实也不算be…… ,51,50,64,广东,湛江,广东,中国,star 4
4,4907413097153717,出逃野心家,2023-05-31 10:58:40,#伊能静自己都想不到吧# 好缺德的热搜，哈哈哈哈哈哈哈哈哈 ,0,0,1,湖南,长沙,湖南,中国,star 1
4,4907413088503975,8小时光8,2023-05-31 10:58:38,#伊能静自己都想不到吧#恕我直言，伊能静才是台湾为数不多的真真正正的体面人，和上一段分开，说足对方好话，从来没有一句诋毁，对儿子也是真心疼爱，正面教育认同爸爸的价值，甚至引导孩子和爸爸的再婚阿姨好好相处。开始新的婚姻，也是尊重孩子的想法，百分之百重视孩子的成长和心理发展。在新的婚姻里面面俱到，不论公婆还是老公都照顾的很好，高龄产女，也不忘定期关心儿子，这样的女人很累，但却真的值得幸福，因为她从来不为一己私欲去诋毁曾经的一切，虽然从来没有立过体面人的人设，但却是真正的高情商，体面人,0,0,7,内蒙古,呼和浩特,内蒙古,中国,star 5
4,4907412975519046,第十个加乐格,2023-05-31 10:58:11,#伊能静自己都想不到吧#  这几天关于这三个人的热搜，秦昊看了都想把这些营销号推下山吧。 ,0,7,5,浙江,杭州,浙江,中国,star 5
4,4907412933575454,以灿,2023-05-31 10:58:01,#伊能静自己都想不到吧#  ✨保持可爱，不谈恋爱✌ ,0,0,2,广东,深圳,广东,中国,star 5
4,4907412714948257,Z棒棒2021,2023-05-31 10:57:09,#伊能静自己都想不到吧#好尬的。回忆一次就够，这都几天了 ,0,0,0,浙江,温州,浙江,中国,star 5
5,4907412651771508,兰静---L,2023-05-31 10:56:54,#伊能静自己都想不到吧#好缺德的热搜………… ,0,0,2,重庆,重庆,重庆,中国,star 1
5,4907412647576518,桂霁月,2023-05-31 10:56:53,“正官有破伪君子，七杀无制真小人”，这是非常经典的断语。  七杀有制，是偏官，是吉利的，所以能富贵。七杀无制，是小人，卑劣下贱的，能导致贫穷夭折。  #伊能静自己都想不到吧# ,0,1,1,广东,深圳,广东,中国,star 4
5,4907412644173444,1輩孓D約錠C,2023-05-31 10:56:52,#伊能静自己都想不到吧# 这真是人在家中坐， 瓜从天上来哈 兜兜转转中，都各自找到了幸福，挺好！ 祝福祝福 ,0,4,6,重庆,重庆,重庆,中国,star 5
5,4907412412435027,宫村izumi,2023-05-31 10:55:57,#伊能静自己都想不到吧#她确实想不到当年闹得沸沸扬扬的牵手门，在网络时代磕成了BE美学;当年因为羽扇纶巾念错崩塌的才女人设又因为庚郎重新被立起来。 ,0,3,2,广东,深圳,广东,中国,star 4
5,4907412374684852,综艺叭叭酱,2023-05-31 10:55:48,#伊能静自己都想不到吧#来早了，秦昊老师怎么说既然大家都有了各自的生活就放过他们彼此吧！让秦昊和伊能静过自己的小日子吧！ ,102,101,102,安徽,合肥,安徽,中国,star 5
5,4907412295257228,candy傅17,2023-05-31 10:55:29,#伊能静自己都想不到吧#真的好无语🤦🏻♀️真能叭叭，都可以去参加考古队了 ,0,0,0,浙江,宁波,浙江,中国,star 5
5,4907412274814074,狐尼克爱上兔朱迪,2023-05-31 10:55:24,#伊能静自己都想不到吧#以前不喜欢秦昊，现在还挺有意思的 ,0,0,0,辽宁,大连,辽宁,中国,star 5
5,4907394804482743,娱儿园一姐,2023-05-31 09:45:59,#伊能静自己都想不到吧#你根本不知道，庾澄庆和伊能静的“过期糖”有多苦！恋爱14年，结婚9年，14年不被婆家认可的打压和苦楚该是何等煎熬，而结婚9年，小心翼翼伺候婆家人又该是何等的折磨人。 01 14年。庾澄庆和伊能静恋爱了14年，从伊能静18岁到她32岁。你一定要明白这个时间段，是女人最好、最灿烂的年纪。很多像伊能静这样漂亮优秀的女孩，都是被众星捧月的。可是，那14年的伊能静，用最好的年华，来等待了一份“不一定有好结果”的爱情。不要说，庾澄庆多爱伊能静。14年都给不了女人一段婚姻的男人，真的有资格谈爱吗？那14年，是伊能静一次次妥协，是庾澄庆一次次给了承诺，又实现了不了，任由伊能静一年又一年的等下去。看清楚，不是一年两年三年，是14年。这14年，伊能静该是积攒了多少希望、失望和自我否定。你要知道，这世上没有什么比“悬在半空无望等待”更煎熬人了。 02 9年。等了14年，终于等来了一纸婚姻，然后呢？看庾澄庆和伊能静的婚姻，我想到了历史上的顺治帝和董鄂妃，顺治帝爱死了董鄂妃，要死要活。可是，在董鄂妃活着的时候，他任由董鄂妃每天跪在太后门口好几个时辰，哪怕是董鄂妃还没出月子，他就任由董鄂妃不眠不休地去照顾、讨好他身边的人。这种口口声声说爱，甚至是要死要活说爱，可是却能任由妻子被作贱、被看低，甚至明知道妻子身心痛苦，还视而不见的男人，真的爱吗？爱，最起码的概念，不是娶回家，是娶回家了能护住她。很显然，9年的时间，伊能静从未得到过庾澄庆家人的认可，而庾澄庆任由了伊能静卑微的讨好，去过那种毫无自我的生活。9年，从32岁到41岁，伊能静的半生都处在被“否定”的状态。那种不温不火地煎熬，比直接伤害更蹉跎人，让人始终处在“过不下去又心有不舍”的折磨里。 03 几天。为什么是秦昊？因为庾澄庆用了14年才完成的事情，秦昊用几天就完成了。秦昊和伊能静是闪婚，两个人约会没几天就提了结婚，然后就真的结婚了。这对于伊能静来说，该是何等大的安全感，尤其是还有过一段等了14年的经历。我爱你就马上娶你，一分钟不让你多等，这对有些女人而言，就是最大的治愈。再看看秦昊的父母。我这里不得不说，在婚恋中，好的父母就是男人最大的加分项。当有些男人是妈宝，有些婆婆重女轻男的时候，另外一些男人狠话不多，有些婆婆把儿媳妇当小棉袄。双重治愈，至于男人那张破嘴，比起他“该给你的都给你，该给你解决都给你解决”，真的不值一提。娶了她，护住了她，给予了她一个能治愈她的家，秦昊给予伊能静的是现实和实在，而庾澄庆给予伊能静的是等待和煎熬。我有时候会想，为什么庾澄庆和伊能静的儿子那么想当“女孩”？若他是女孩，可能会被伊能静带在身边吧。那个窒息的家，真的仅仅窒息了伊能静吗？庾澄庆这一生，真的过得特别幸福吗？,55,54,81,安徽,六安,安徽,中国,star 5
6,4907382901311630,娱星星,2023-05-31 08:58:41,#伊能静自己都想不到吧# 伊能静和秦昊的HE文学不比春泥好嗑吗？以前觉得伊能静很作，现在越来越觉得她很棒！两个男人都很爱她，也很会选男人！ 娱星星的微博视频 ,24,64,339,湖北,武汉,湖北,中国,star 5
6,4907412065355313,晓茗的超人,2023-05-31 10:54:34,#伊能静自己都想不到吧# 怎么还在昨天的热搜梗上呢 下一波轮到哪三位了 ,0,6,5,江苏,无锡,江苏,中国,star 5
6,4907412018169759,电视剧透社,2023-05-31 10:54:23,#伊能静自己都想不到吧# 最好的爱情一定是双向奔赴，彼此欣赏，彼此成长，互相成就，让双方变得更好！ 电视剧透社的微博视频 ,50,51,51,山西,太原,山西,中国,star 5
6,4907411272631718,闲云野鹤伊凡,2023-05-31 10:51:25,#伊能静自己都想不到吧#哈哈哈哈哈网友们真的好闲啊！叭叭叭到这个地步了，人家的家事还是少操心吧！眼睛追逐文字追得累了，便合起书放在膝头，仰起脸，侧耳倾听涛声雨声风声休息吧！ ,0,0,14,新疆,,新疆,中国,star 5
6,4907411175114329,娱乐鲜儿,2023-05-31 10:51:02,#伊能静自己都想不到吧#  怎么又上热搜了 我说双方看了都会无语尴尬吧 过去的事就过去了 如果怀念也不要放在明面上 现在伊能静和秦昊很幸福 大家就别打扰他们了 ,0,0,5,河北,廊坊,河北,中国,star 5
6,4907411170923514,超级无敌大大大丸子,2023-05-31 10:51:01,#伊能静自己都想不到吧#从520开始天天刷到这些个什么be美学。。不是活的久。。我还真以为当时出轨的真想你们洗的那样呢。。服了。。 ,0,0,3,江苏,徐州,江苏,中国,star 2
6,4907371493328365,咩咩的圈娱,2023-05-31 08:13:21,伊能静的两段婚姻可以概括为： 第一段婚姻：明兰跟小公爷 第二段婚姻：明兰和顾廷烨 #伊能静自己都想不到吧# ,14,41,1557,四川,成都,四川,中国,star 4
6,4907410894356785,布落棣国,2023-05-31 10:49:54,#伊能静自己都想不到吧#这几天的热搜怎么都是关注私生活啊 三个人都快乐幸福就好了 ,0,0,1,中国台湾,,台湾,中国,star 5
6,4907410810996835,元气综艺社,2023-05-31 10:49:35,#伊能静自己都想不到吧#  聊家庭关系，三观好正！他理解伊能静带娃的不易，而伊能静也是他最好的后盾  元气综艺社的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
6,4907410755420723,墩墩酾酾,2023-05-31 10:49:22,#伊能静自己都想不到吧# 只能说伊能静挑老公眼力好但也说明她是爱才华的人 ,0,1,1,安徽,,安徽,中国,star 3
7,4907410676255920,兔砚,2023-05-31 10:49:03,#伊能静自己都想不到吧#秦昊半夜突然坐起来:你也送我一首歌吧 ,0,2,12,山东,菏泽,山东,中国,star 5
7,4907389549806515,星探狗,2023-05-31 09:25:06,#伊能静自己都想不到吧#18岁的伊能静在台北遇见26岁的庾澄庆时，在辽宁沈阳8岁的秦昊也许还在玩泥巴，但一年以后，9岁的秦昊买了人生中第一张伊能静的唱片；秦昊只比庾澄庆晚一年爱上伊能静而已。 ,32,33,56,广东,湛江,广东,中国,star 4
7,4907398848316135,sowhatsowhatilkevanlu,2023-05-31 10:02:03,#伊能静自己都想不到吧# 张杰：说完伊能静和庾澄庆可不能再说谢娜刘烨了哦（bushi） ,0,11,49,广东,广州,广东,中国,star 5
7,4907410471521699,这个小姐姐姓孔哦,2023-05-31 10:48:14,#伊能静自己都想不到吧#秦昊喝了一口豆浆冷笑道，再没人为我发声我就打着减肥名义把增肥食谱发出来！#伊能静秦昊# ,0,0,2,山东,临沂,山东,中国,star 5
7,4907388345517274,桑苧ning,2023-05-31 09:20:19,#伊能静自己都想不到吧# 伊能静：“庾澄庆，我觉得我病了” 庾澄庆：“我带你看医生” 伊能静：“秦昊，我觉得我病了” 秦昊：“哦，是吗？我也有病” ,1,15,139,贵州,贵阳,贵州,中国,star 5
7,4907410245029514,圈大掌柜,2023-05-31 10:47:20,#伊能静自己都想不到吧#这有啥想不到，看到24岁的伊能静的颜值，真的很让人动心啊！难怪庾澄庆和秦昊都会喜欢她！当时音乐才女伊能静在节目里大谈恋爱观，这颜值俘获无数少男少女的心！ 圈大掌柜的微博视频 ,2,3,12,重庆,重庆,重庆,中国,star 5
7,4907398844646395,顶流小趴菜,2023-05-31 10:02:02,这两天 某 音的推送全是秦昊伊能静 抖友说是秦昊投了dou+哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 那个男人 他终究还是出手了  #伊能静自己都想不到吧# ,0,0,15,河北,邯郸,河北,中国,star 5
8,4907410030596953,Jevousaivu--,2023-05-31 10:46:29,#伊能静自己都想不到吧#   吃瓜网友的命也是命 yxh没完了是吧 车轱辘文案来来回回 ,0,0,0,江苏,盐城,江苏,中国,star 5
8,4907409778151132,娱乐神算子,2023-05-31 10:45:29,#伊能静自己都想不到吧# 最近的热搜把伊能静气的在化妆师摔手机（bushi） ,0,0,0,山西,运城,山西,中国,star 5
8,4907409585996761,洛洛的萤火虫,2023-05-31 10:44:43,#伊能静自己都想不到吧# 感觉如果不是艺人宣传时期自愿需要的热度，这样还挺烦人的，毕竟是自己曾经真实的生活，现在好聚好散互不打扰还各种幸福不是最好的结果嘛，哪有意难平可言 ,0,0,5,北京,北京,北京,中国,star 3
8,4907409447325760,陌上蔷薇woaicy,2023-05-31 10:44:10,#伊能静自己都想不到吧# 没有谁可以保证自己一辈子只爱一个人永远不变，明星也是人不是神，有权利选择自己的生活、各自安好吧 ,0,0,3,广西,南宁,广西,中国,star 5
8,4907386760069971,v大黄不吃鱼v,2023-05-31 09:14:01,#伊能静自己都想不到吧#不得不说，春泥写的还挺不错的很早前说过伊能静的盘子如果把每个人的星盘比作各种的房子……伊能静的房子，属于家具都是优秀的，灯啊，床啊，桌子啊，配置都挺不错的。但是…她的房子灯泡💡不亮。懂那种感觉吗？满腹才华，但始终不自信，找不到自我，照不亮自己她难受的点在这里…你们再结合她两任婚姻和状态品品。,0,9,47,江苏,徐州,江苏,中国,star 4
8,4907409367898248,怜宇_慰卿卿,2023-05-31 10:43:51,#伊能静自己都想不到吧# 想起来伊能静写的这段话，人家活着好像就是为了这些瞬间，故事的结局可能真的没那么重要。 ,0,0,5,福建,龙岩,福建,中国,star 4
8,4907409213228620,睡的香的猫CY,2023-05-31 10:43:14,#伊能静自己都想不到吧# 秦昊：上网看看最近有什么热点。 看完后…… 秦昊：6666666（秦昊也没想到他教网友们减肥，网友们跟他聊“春泥”😅）  愿救赎文男主和女主一直幸福下去缘分妙不可言，一切向前看。 ,1,1,10,山东,青岛,山东,中国,star 5
8,4907409186755554,En肖兔兔,2023-05-31 10:43:08,#伊能静自己都想不到吧#抖人开始磕章子怡和撒贝宁的过期糖了 ,0,0,0,江苏,南通,江苏,中国,star 1
8,4907408906781305,璨然烟云,2023-05-31 10:42:01,蒸的还是煮的？  #伊能静自己都想不到吧# ,1,1,5,广东,深圳,广东,中国,star 2
9,4907408901538508,圈内大人物,2023-05-31 10:42:00,#伊能静自己都想不到吧# 别的不说真的，感受到秦昊有都爱他老婆了，祝福他们永远幸福！ ,0,0,2,河北,石家庄,河北,中国,star 5
9,4907408591163786,DsIB110,2023-05-31 10:40:46,#伊能静自己都想不到吧# 伊能静:没想到自己被黑那么久还能翻身 ,0,0,1,广西,桂林,广西,中国,star 5
9,4907408449867317,3逍遥游3,2023-05-31 10:40:12,#伊能静自己都想不到吧#老铁，人家都离婚多长时间了，老翻旧账有意思吗？ ,0,0,2,河南,洛阳,河南,中国,star 3
9,4907408315649742,大娱海糖,2023-05-31 10:39:40,#伊能静自己都想不到吧#  真夫妻才是最甜的！ 大娱海糖的微博视频 ,0,0,0,天津,天津,天津,中国,star 4
9,4907408314602194,是依甯啊,2023-05-31 10:39:40,#伊能静自己都想不到吧#哎呀 这一看就不是买的 这就是纯靠网友刷出来的数据呀 加上营销号的数据。别说谁买谁买的了！谁也没有那么无聊！ ,0,0,0,山西,太原,山西,中国,star 1
9,4907408054554349,全球电影排行,2023-05-31 10:38:38,二十多年前的演唱会《悲伤朱丽叶》: 少女歌手伊能静那时很卡哇伊，歌曲也很好听! #伊能静自己都想不到吧# 全球电影排行的微博视频 ,2,0,0,河南,郑州,河南,中国,star 4
9,4907408000288915,婵娱,2023-05-31 10:38:25,#伊能静自己都想不到吧# 伊能静写给秦昊：&quot;你温柔起来吓死人，执意带我回老家，执意让家人接受我。你很多话不说，长的挺坏，却做了一个好男人该做的所有好事，不伪单身、不隐婚、不怕狗仔、不在乎世人眼光。你说日子是两个人的，你说在一起就是要在一起。你说我们不活在别人的世界里，但是别人的世界里有我们那是他的事。&quot;,2,9,79,广东,,广东,中国,star 5
9,4907407967520406,蜜桃泡泡影,2023-05-31 10:38:17,#伊能静自己都想不到吧# 我突然觉得这就是小说中的番外:男二和自己年少时候白月光在一起了，他们终于在一起了，人生圆满了 ,3,7,57,广东,,广东,中国,star 5
9,4907407828320620,海娱恋,2023-05-31 10:37:43,#伊能静自己都想不到吧# 还记得上综艺的时候秦昊妈妈说当时秦昊说和大明星谈恋爱了说明秦昊妈妈接受伊能静的 ,2,8,67,广东,,广东,中国,star 5
10,4907407819932451,初见与你的故事ING,2023-05-31 10:37:42,#伊能静自己都想不到吧# 能不能歇一歇，一点家事，放rs几天了！这么能叭叭 ,0,0,4,重庆,重庆,重庆,中国,star 5
10,4907407669202156,红豆黑豆逗逗猫,2023-05-31 10:37:06,#伊能静自己都想不到吧#伊能静55了我才想不到！！😱😱 ,0,0,0,广东,东莞,广东,中国,star 5
10,4907405647020732,小段君爱吐槽,2023-05-31 10:29:03,#伊能静自己都想不到吧#伊能静庾澄庆秦昊看了都觉得无语的程度，真没想到网友们这么闲在那里扒一些过往的陈年旧事，路人看了都觉得很无聊。 ,105,105,252,山东,菏泽,山东,中国,star 2
10,4907407128664255,栗子1020丶,2023-05-31 10:34:57,#伊能静自己都想不到吧# 秦昊：你们礼貌嘛 他们仨估计都想不到，网友这么喜欢过期糖 ,0,0,4,辽宁,沈阳,辽宁,中国,star 1
10,4907406892734016,塞得泥麻曲黑的yuch,2023-05-31 10:34:01,#伊能静自己都想不到吧#是这个网页链接没想到吧 ,0,0,0,重庆,重庆,重庆,中国,star 5
10,4907406796522156,十三亿少女的尖叫,2023-05-31 10:33:38,#伊能静自己都想不到吧#    肯定没料到秦昊9岁时候就爱上他了，然后居然还结婚了，幸福美满呀  十三亿少女的尖叫的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
10,4907406494009252,秋也千秋,2023-05-31 10:32:26,#伊能静自己都想不到吧# 呃呃呃他们怎么这么复杂，都结婚多少年了，前任还能被拿出来说 ,0,0,0,江苏,苏州,江苏,中国,star 5
10,4907406465438610,兰陵鸢氏,2023-05-31 10:32:19,#伊能静自己都想不到吧##秦昊和庾澄庆同一年爱上伊能静# 那年他8岁，她18岁，她前夫26岁，天呐，这是什么狗血言情剧？太让人上头啦~ 兰陵鸢氏的微博视频 ,0,0,2,四川,成都,四川,中国,star 5
10,4907406145880705,桃花岛唐三,2023-05-31 10:31:03,#伊能静自己都想不到吧#静姐才女！秦昊才是姗姗来迟的男主角…… ,0,0,0,四川,,四川,中国,star 4
10,4907406045744647,迷妹说娱乐,2023-05-31 10:30:39,#伊能静自己都想不到吧# 成为女儿 妻子 母亲之前，你首先得成为你自己 迷妹说娱乐的微博视频 ,0,0,0,安徽,阜阳,安徽,中国,star 5
11,4907405849136652,圈圈扒剧,2023-05-31 10:29:52,#伊能静自己都想不到吧# 伊能静的爱情故事简直能写一本小说，谁懂啊家人们？已经开始嗑瓜子了 ,0,0,0,河北,石家庄,河北,中国,star 5
11,4907405651739570,泪泪泪酱,2023-05-31 10:29:05,#伊能静自己都想不到吧# 几天了咋还在炒 ,0,2,2,湖北,武汉,湖北,中国,star 1
11,4907405026006860,懒入骨就是花凉凉,2023-05-31 10:26:36,#伊能静自己都想不到吧#不是……这么老在热搜啊，上好几次了……有什么大动作吗？ ,0,0,0,四川,成都,四川,中国,star 4
11,4907404997691645,心机绿茶茶,2023-05-31 10:26:29,真正成功的#上嫁#搭配软饭硬吃待遇，  老娘高攀了，但老娘跟你是平等的，  你不仅要给钱给供养，还要哄着老娘，  勤奋捞女已经去伊能静给庾澄庆的情书里学逻辑了  #伊能静自己都想不到吧# ,2,5,14,北京,北京,北京,中国,star 3
11,4907404813143465,晚风倾语,2023-05-31 10:25:45,#伊能静自己都想不到吧#电视剧都不敢这么演 ,0,0,0,江西,上饶,江西,中国,star 3
11,4907404641176059,S_n_o_w1011,2023-05-31 10:25:04,#伊能静自己都想不到吧#别再上这种热搜了秦昊能尴尬死。冷知识：实在没新闻可以不报！ ,0,0,3,湖北,武汉,湖北,中国,star 5
