页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907415276885534,马上谈,2023-05-31 11:07:20,#女婴出生2天就被母亲打耳洞# 这种疯子中国也有，一个月大宝宝被打耳洞…那些说父母有权做决定和年纪小不疼的人，割礼也是越小越不疼？割礼也是很多国家父母为小女孩做出的决定，呵呵 ,0,3,4,浙江,湖州,浙江,中国,star 4
2,4907415000843123,H2_化学老师点名啦,2023-05-31 11:06:14,#女婴出生2天就被母亲打耳洞#这也上新闻…在雅加达住的时候，小区里的华人baby都是一出生就打耳洞 ,0,0,0,广东,深圳,广东,中国,star 1
2,4907414925609770,夏日海湾,2023-05-31 11:05:56,#女婴出生2天就被母亲打耳洞# 过去不都这样的吗？听老一辈的人说，婴儿皮肤嫩，耳垂薄，用两粒米捻几下，然后用缝被的针放在火上烧一下，轻轻一戳就好了，小孩都没感觉的。 ,0,2,1,江苏,扬州,江苏,中国,star 3
2,4907414732931587,洋迪好好的,2023-05-31 11:05:10,#女婴出生2天就被母亲打耳洞#挺多出生就打耳洞的。女儿是长大了才打的，却说为什么出生时没打，现在打好痛 ,0,0,0,澳大利亚,,澳大利亚,澳大利亚,star 4
2,4907414711959983,剧本冲锋打手,2023-05-31 11:05:04,#女婴出生2天就被母亲打耳洞#别吵了  还有一出生就割包皮的   那不比这个麻烦啊？ ,0,2,0,贵州,贵阳,贵州,中国,star 1
2,4907414665826850,酒仙dongdong,2023-05-31 11:04:54,#女婴出生2天就被母亲打耳洞#人生嘛，总有不期而遇的温暖和生生不息的希望！ 武汉 ,0,0,0,湖北,武汉,湖北,中国,star 4
2,4907414585869790,气人的小笨笨,2023-05-31 11:04:35,#女婴出生2天就被母亲打耳洞#真的不怕感染？刚出生的婴儿没什么抵抗力的吧！那些说正常的我真是佩服！ ,0,0,0,浙江,宁波,浙江,中国,star 1
2,4907414555463466,是青玄吖,2023-05-31 11:04:28,#女婴出生2天就被母亲打耳洞#国外这么讲究人权不会坐牢吗。。。 ,0,0,2,河南,郑州,河南,中国,star 4
3,4907414484420479,无杏玉,2023-05-31 11:04:11,#女婴出生2天就被母亲打耳洞# 我16岁开始爱打扮的时候去打过，钉枪刚穿过，就疼的我蹦起来，把打耳洞那个工具都从店主手里拽掉了，差点耳垂扯裂。然后耳垂肿了半个月，摸起来都感觉肉里有个小疙瘩，至今也没再去打过。 ,0,0,0,浙江,绍兴,浙江,中国,star 1
3,4907411955517899,Nuyoah姚姚,2023-05-31 10:54:08,#女婴出生2天就被母亲打耳洞# 竟然很多人觉得正常，难道就不怕感染吗？ ,0,7,20,湖南,,湖南,中国,star 3
3,4907414127905285,三岁喜欢185猛男,2023-05-31 11:02:46,#女婴出生2天就被母亲打耳洞# 这么小不会扯耳朵吗？ ,0,3,2,江苏,苏州,江苏,中国,star 2
3,4907413994737014,蓝狐18岁,2023-05-31 11:02:14,#女婴出生2天就被母亲打耳洞#好像我们小时候农村大都是出生三天内就扎耳洞了 ,0,1,1,内蒙古,呼和浩特,内蒙古,中国,star 3
3,4907413897481799,先瑟尔,2023-05-31 11:01:51,#女婴出生2天就被母亲打耳洞#那是痛不痛的事吗？那是免疫系统不成熟啊 ,0,0,1,四川,泸州,四川,中国,star 4
3,4907413875988028,喜欢血手蟹的岩甲龙龟,2023-05-31 11:01:46,#女婴出生2天就被母亲打耳洞# 可是大部分女孩子长大之后还是会打耳洞，个人觉得还是挺好的不喜欢就不戴耳环自己也会长上的 ,0,1,0,广东,东莞,广东,中国,star 4
