页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907415428400930,青年湖南,2023-05-31 11:07:56,小调查，您觉得自己有容貌焦虑吗？ #女子3千割眼袋3个月眼睛闭不合##团团发布#  网页链接 ,0,0,14,,长沙,湖南,中国,star 5
2,4907415261155796,Loriforfd,2023-05-31 11:07:16,#女子3千割眼袋3个月眼睛闭不合# 医美事故年年上新闻，怎么还有美女勇士前赴后继。动刀子和打针项目一律不能轻易碰，就做做皮肤项目多好，安全又有效，皮肤好再打扮一下能丑到哪里去啊。 ,0,0,0,湖北,武汉,湖北,中国,star 5
2,4907415192999090,三铜钱先生,2023-05-31 11:07:00,不要在自己运气不好的这一年去做任何关键的决定，宁可躺平什么都不干，以不变应万变，你要相信自己身体的感觉，其实许多人都通灵的，只是自己没有意识到，比如，你要做某一项重要决定的前几晚，一直睡不好或者多梦，这种情况下你就要小心了，你的身体已经在向你报警了，发出不好的信号了，你就要注意了，这次的出行或者决定是不是真得有必要，应该好好重新考虑一下了。任何坏事发生前都会征兆的，就看你是不是读得懂。#盗取天机#   #女子3千割眼袋3个月眼睛闭不合#    三铜钱佛教语录,0,0,0,上海,上海,上海,中国,star 4
2,4907415076868375,三思逍遥,2023-05-31 11:06:32,眼袋 支撑眼睑的组织结构和肌肉减弱，导致皮肤下垂，眼睛周围的脂肪可能会进入眼睛下方的区域形成眼袋，通常发生在老年人身上也与遗传有关。而割眼袋其实是一种特殊的抽脂术 ，如果手术不当，就会致下睑外翻、眼裂闭合不全。 #女子3千割眼袋3个月眼睛闭不合# ,0,0,0,四川,泸州,四川,中国,star 4
2,4907415076604824,MC洋洋拍客,2023-05-31 11:06:32,#女子3千割眼袋3个月眼睛闭不合#爱美之心人皆有之，但是追求美不一定以伤害身体为代价，洋洋一直觉得，除非非常难看，不得已去才会去整容或者割眼袋，因为身体发肤受之父母，起敢毁之？洋洋是一个反对整容的人近日，哈尔滨一女子称，自己花3000元切除了眼袋后，右侧眼皮退缩了2毫米，3个月过去了，眼睛都无法闭合，一洗脸就进水，#洋言洋语# 洋洋觉得，整容的机构有责任，说明手术是不成功的，第一浪费了钱，第二眼睛闭不上整容机构有帮助恢复的责任！第三不帮助就起诉吧,0,2,1,江苏,盐城,江苏,中国,star 5
2,4907414987740288,会飞的兔子825,2023-05-31 11:06:11,#女子3千割眼袋3个月眼睛闭不合#  微整需谨慎，我TM的连瘦脸针都不敢打 ,0,0,1,上海,上海,上海,中国,star 1
2,4907414652195543,青春北京,2023-05-31 11:04:51,护肤是门学问，你或许曾被这些问题困扰：保湿产品没少涂，为什么皮肤还是干？痘痘越长越多，应该怎么科学处理？怎样美白最安全？毛孔、黑头、黑眼圈、眼袋、黄褐斑……戳图学习，中山大学药学院教师传授的护肤“真知识”↓↓皮肤问题各个击破！（人民日报）#京团有话说##女子3千割眼袋3个月眼睛闭不合#,0,0,0,,北京,北京,中国,star 5
2,4907414493336465,余人余文,2023-05-31 11:04:13,#女子3千割眼袋3个月眼睛闭不合#世上没有后悔药！#余文有话说#愿闻者诫！ ,0,0,0,陕西,西安,陕西,中国,star 5
2,4907414107985363,脂肪整形医生潘红伟,2023-05-31 11:02:41,#女子3千割眼袋3个月眼睛闭不合# 爱美之心人皆有之，但是我们在做任何项目之前一定要慎重选择，仔仔细细了解。千万不要被一些低价促销迷惑。 安全才是我们追求变美的第一前提！ ,0,0,0,四川,成都,四川,中国,star 2
2,4907414015445186,脸蛋想长肉i,2023-05-31 11:02:19,#女子3千割眼袋3个月眼睛闭不合#  没钱让我逃过了很多风险 又可以跟眼袋和解一会儿了 ,0,0,0,陕西,西安,陕西,中国,star 5
3,4907183785382135,农民频道,2023-05-30 19:47:28,【一洗脸就进水！#女子3千割眼袋3个月眼睛闭不合#】近日，哈尔滨一女子称，自己花3000元切除了眼袋后，右侧眼皮退缩了2毫米，3个月过去了，眼睛都无法闭合，一洗脸就进水...这可咋整？@农民频道 农民频道的微博视频 ,455,1248,10788,,西安,陕西,中国,star 1
