页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907411137102830,铁四院,2023-05-31 10:50:53,嘉兴快速路总包项目首个主线盖梁顺利浇筑5月30日，由铁四院-中铁十六局联合体实施的嘉兴市区快速路桐乡大道工程Pm66号主线盖梁顺利浇筑混凝土，标志着该项目进入新的阶段，为上部箱梁架设和年度产值目标任务完成奠定了坚实基础。该项目盖梁分为普通混凝土盖梁和预应力混凝土盖梁，盖梁最大长度为58.5米，混凝土方量约346.6方。Pm66号盖梁为首个预应力混凝土盖梁，长26米，宽3.2米，高3.55米，盖梁支架采用钢管加工字钢的组合形式。首个主线盖梁钢筋利用胎架在钢筋加工厂内加工成形，现场采用汽车吊进行吊装拼接，在确保施工质量的同时大大缩短了施工时间。此次首个主线盖梁实施过程中联合体各方团结协作、紧密配合，从钢筋制作开始就发挥各自优势为盖梁施工出谋划策，取得了良好的效果。后期，联合体项目部将及时对盖梁首件进行总结，为盖梁大面积施工积累经验，加快项目进展。（嘉兴快速路总包部  何聪志）#掘地三万尺中国又一壮举#活力四院 嘉兴,0,0,2,,蚌埠,安徽,中国,star 4
2,4907409962698641,泗洪县融媒体中心,2023-05-31 10:46:13,#泗洪县# “小包裹”蕴含“大民生” “快递进村”实现全覆盖 #掘地三万尺中国又一壮举# 泗洪县融媒体中心的微博视频 ,1,1,1,,宿迁,江苏,中国,star 3
2,4907245432998693,看金牛,2023-05-30 23:52:26,#晚安金牛# 【夜读｜人生三境界：阅己，越己，悦己】①阅己：在内省中总结积累经验，审视自我，认清未来的方向；②越己：不断打破“心理高度”，获得不一样的视野和格局；③悦己：与其一味讨好别人，不如把时间和精力放在自我提升上，把人生过成独一无二的限量版。共勉。#掘地三万尺中国又一壮举#   【夜读】人生三境界：阅己，越己，悦己,857,903,646,,成都,四川,中国,star 4
2,4907406519176141,L_Afterparty,2023-05-31 10:32:32,#掘地三万尺中国又一壮举#调休才是壮举！ ,0,2,6,北京,北京,北京,中国,star 4
2,4907406452328289,心理学刘爱民,2023-05-31 10:32:16,#掘地三万尺中国又一壮举#探月与掘地并举，中国的科技，令人骄傲 ,0,1,0,北京,北京,北京,中国,star 4
2,4907405819251401,江南小蝶52,2023-05-31 10:29:45,#掘地三万尺中国又一壮举# 11100米，很棒！地球构造是不是如地理教科书所说?另外，石油是不是取之不尽的能源? ,0,0,1,江苏,无锡,江苏,中国,star 4
2,4907114683958850,新华社,2023-05-30 15:12:53,#掘地三万尺中国又一壮举#【#我国首个万米深地科探井开钻#】30日11时46分，随着一枚巨型钻头刺入沙漠，我国首个万米深地科探井在新疆塔里木盆地正式开钻。这口井被命名为“深地塔科1井”，预计钻探深度11100米，这是我国在深地领域探索大自然的一大壮举。近年来，我国不断向地球深部进军，多次刷新深地开发纪录。这为万米深井工程提供了充分的基础条件、技术准备和经验积累。（记者：李响 顾煜）新华社的微博视频,357,240,2819,,北京,北京,中国,star 4
2,4907402647834416,潍坊市潍坊事,2023-05-31 10:17:09,#掘地三万尺中国又一壮举#5月30日，我国首个万米深地科探井在新疆塔里木盆地开钻。这口井名为“深地塔科1井”，计划钻至11100米，相当于掘地三万尺，比太阳的核心温度还要高。这是中国在深地领域探索大自然的一大壮举，也是中国为人类文明进步作出的重要贡献。这项工程展示了我国在深地科学领域的领先地位和创新能力，体现了我国对自然规律的敬畏和探索精神，彰显了我国对人类福祉的责任和担当。这项工程也给我们带来了启示和鼓舞，让我们看到了我国科技发展的巨大潜力和广阔前景，激发了我们对未来的信心和期待。#优质博文上热搜开放计划# 我们期待着这口井能够顺利完成钻探任务，揭开地球深部的神秘面纱，为我们增进对地球的认识和保护。,0,0,1,山东,潍坊,山东,中国,star 4
2,4907400773767455,王东来又回来了,2023-05-31 10:09:42,#掘地三万尺中国又一壮举#对于这一壮举，你的看法是？  网页链接 ,0,0,31,湖南,,湖南,中国,star 3
2,4907398966018577,吉_安_气_象,2023-05-31 10:02:31,#气象♥生活# 炎炎夏日到来，小伙伴们为了不让皮肤晒黑和皮肤老化都做了一系列防晒措施，比如擦防晒霜，穿防晒衣，打太阳伞等等。今天给大家带来了一些防晒小知识，希望可以帮助到大家，一起“战胜”炙热的太阳，变得和荔枝一样白嫩剔透！#掘地三万尺中国又一壮举# ,1,5,5,,吉安,江西,中国,star 5
