页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907414904900179,简中女追星别教训人,2023-05-31 11:05:51,#新人订婚用押钞车运送998万现金# @刚刚好16589 这你不得急死啊 ,0,1,0,河北,,河北,中国,star 1
2,4907414689682226,每刻视频,2023-05-31 11:05:00,【#没有彩礼你会选择结婚吗# 什么样的另一半你会选择结婚？】据国家统计局数据显示，截至2019年我国已进入第四次单身潮，单身人数达3亿。面对“为什么还不结婚”这一问题，受教育程度提高、婚育成本增加、职业生活压力成为不婚晚婚人的答案，婚姻对他们来说是生活，不是生存。再者是当代年轻人恋爱观的改变，很多人宁缺毋滥、不再将就，婚恋对象选择条件比过去大大提高，都想有一段理想、稳定的婚姻关系。那么如果没有彩礼你会选择结婚吗？#新人订婚用押钞车运送998万现金# @山海视频 山海视频的微博视频,0,0,0,,成都,四川,中国,star 4
2,4907397423041838,科技新一,2023-05-31 09:56:23,服！这年头彩礼都干到一千万了吗？？#新人订婚用押钞车运送998万现金# ,19,111,268,山东,,山东,中国,star 1
2,4907414589543393,夏日的冰凉西瓜和你的吻,2023-05-31 11:04:36,#新人订婚用押钞车运送998万现金#     涨见识了，这是扛了多少现金订婚啊 ,0,0,0,贵州,安顺,贵州,中国,star 1
2,4907414291220950,柠檬法师骑公路,2023-05-31 11:03:25,#新人订婚用押钞车运送998万现金#大为震惊的我去找同学核实了一下 ,0,1,0,安徽,蚌埠,安徽,中国,star 1
2,4907414090418463,終隨風飛,2023-05-31 11:02:37,#新人订婚用押钞车运送998万现金# 押钞车运送彩礼，第一次见，涨见识了，这也太有💰了 ,0,0,0,福建,泉州,福建,中国,star 1
2,4907414052667453,达州司法,2023-05-31 11:02:27,据新浪新闻～#新人订婚用押钞车运送998万现金#法治达州#法治达州# 【彩礼相关法律问题解答】在法律上是如何对彩礼定性的呢？若双方最后没有结婚，是否该返还彩礼？法姐搜来往年（京法网事）@丰法在线 法官为你解答关于彩礼的那些事! 如今可参考《民法典》相关法律知识。  @四川监狱 @法治新都 传播法治人人有责,0,0,0,,达州,四川,中国,star 5
2,4907413927101710,巴拉巴拉小mk·,2023-05-31 11:01:58,#新人订婚用押钞车运送998万现金#这种热搜可以不用推给我看 ,2,3,9,浙江,杭州,浙江,中国,star 3
2,4907413712669560,顾先森和他的猫,2023-05-31 11:01:07,#新人订婚用押钞车运送998万现金#998万……常见…… ,0,0,0,辽宁,葫芦岛,辽宁,中国,star 3
2,4907413658145916,渝A薯小條,2023-05-31 11:00:54,#新人订婚用押钞车运送998万现金#  贫穷限制了我的想象。这不得修个游泳池来专门放998万现金吗 ,0,0,0,重庆,重庆,重庆,中国,star 1
3,4907413364540958,W题萱樂A,2023-05-31 10:59:44,#新人订婚用押钞车运送998万现金# 一辈子也见不到这么多钱 金砖只在古装剧里见过 今天都见了 ,0,0,1,山西,朔州,山西,中国,star 4
3,4907406637404336,观察者网,2023-05-31 10:33:00,【#新人订婚用押钞车运送998万现金# 准新郎：这在当地很常见，仪式后会存入女方账户】5月30日，浙江台州。一对新人订婚，男方用运钞车运来了998万元现金作为彩礼，此外还有金砖、名表等。30岁的准新郎颜先生表示，这是本地习俗，在台州很常见。现金由押运公司的工作人员押运至银行存至女方的银行账户。@九派新闻 九派新闻的微博视频,21,102,364,,上海,上海,中国,star 4
3,4907412895569226,会飞的小张阿,2023-05-31 10:57:52,#新人订婚用押钞车运送998万现金#给多少都是人家的诚意，男方给的起，女方接的起，祝福！俺们普通百姓看个热闹得了 ,0,0,0,山西,晋中,山西,中国,star 3
3,4907412849169095,陆离LH,2023-05-31 10:57:41,#新人订婚用押钞车运送998万现金#  本台州人不知道这很常见。。。 ,0,1,1,浙江,杭州,浙江,中国,star 3
3,4907380578715459,一只傅小鸟,2023-05-31 08:49:27,明明大家都穷的好好的，怎么到这就出问题了，就我困难是吧#新人订婚用押钞车运送998万现金#,4,41,411,安徽,宣城,安徽,中国,star 2
3,4907412577063811,Chrome-Google浏览器,2023-05-31 10:56:36,#新人订婚用押钞车运送998万现金#我给你来个样看看 ,0,1,3,天津,天津,天津,中国,star 1
3,4907412459357175,我妈妈说名字太长会有人跟着念的,2023-05-31 10:56:08,#新人订婚用押钞车运送998万现金#妈的给我98w现金我都开心🙂 ,0,0,0,广东,广州,广东,中国,star 1
