页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907416032643466,影君子德尼罗,2023-05-31 11:10:20,#浙江自然资源厅一处长地铁猥亵他人被拘#对他的要求应该比对艺人的要求高吧？ ,0,0,2,云南,昆明,云南,中国,star 4
2,4907416007213243,双重偶然性_lle,2023-05-31 11:10:13,#浙江自然资源厅一处长地铁猥亵他人被拘#一年不上班也不用被开除，你说呢 ,0,0,0,江苏,,江苏,中国,star 5
2,4907415990702716,每天都要五岁耒,2023-05-31 11:10:10,#浙江自然资源厅一处长地铁猥亵他人被拘#酒驾都开除公职，公共场所猥亵他人被拘居然只是调离原岗 ,0,1,0,云南,德宏傣族景颇族自治州,云南,中国,star 5
2,4907415978643482,改名大吉呦,2023-05-31 11:10:07,#浙江自然资源厅一处长地铁猥亵他人被拘#猥亵他人，开除公务员队伍，但是转入事业单位事业单位是垃圾收容所吗？另外，如果考事业单位的话，需要政审吧，如果政审发现这样的情况，或者公示期被检举，是过不了的吧。但是却可以由公务员转入本机关下属事业单位。保护得很好,0,1,0,湖南,,湖南,中国,star 5
2,4907415835772695,在下坤大爷,2023-05-31 11:09:33,#浙江自然资源厅一处长地铁猥亵他人被拘#公务员法规定，只有公务员犯罪了才会给以开除处分。这个前处长只是行政违法，还达不到犯罪的程度。但是公务员法规定公务员必须模范守法，这种人很明显不适合再当公务员了，处罚结果上没啥大问题。但是转到事业单位继续任职就有点搞笑了。事业单位招人不看品德的吗？这种人私德不修，还继续在事业单位为霍人民？,0,0,2,福建,泉州,福建,中国,star 4
2,4907406424015323,顽皮的郭贝勒,2023-05-31 10:32:09,居然只是调离，难道不该双开么，真成了免死金牌。咱又不是没人，一堆本硕高材生，有能力的上不去，何必非要留着它。平常开会学了什么，自我批评到位么，真的贯彻落实，往心里去了么。要照我说，养老金，公积金，也该直接扣一半。#浙江自然资源厅一处长地铁猥亵他人被拘# ,6,18,101,北京,北京,北京,中国,star 3
2,4907415382792337,超级无敌爆炸运气小双鱼,2023-05-31 11:07:45,#浙江自然资源厅一处长地铁猥亵他人被拘# 这个变动意思是不是可以说 这种人不能留在公务员队伍里面， 但是事业单位编制可以容纳这种猥亵他人的人？ 是这个意思吧， 那浙江事业单位可真的是挺有包容力的，海纳百川来者不拒 ,0,0,1,浙江,金华,浙江,中国,star 4
2,4907415352902485,阁楼里的猫Allen,2023-05-31 11:07:38,#浙江自然资源厅一处长地铁猥亵他人被拘#就是调离吗，不是应该开除吗？ ,0,0,0,辽宁,辽阳,辽宁,中国,star 5
2,4907399892959870,路诞先生,2023-05-31 10:06:12,#浙江自然资源厅一处长地铁猥亵他人被拘#真特么绝了，干部猥亵他人还能继续工作……这是惩罚还是鼓励呀？ ,13,35,158,黑龙江,绥化,黑龙江,中国,star 4
2,4907415261152683,发财可好,2023-05-31 11:07:16,#浙江自然资源厅一处长地铁猥亵他人被拘# 公务员不愧是铁饭碗啊 ,0,0,1,浙江,杭州,浙江,中国,star 4
