页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907418753964663,用户298573451987,2023-05-31 11:21:09,#王源演唱会最累的是王俊凯员工#哈哈哈哈哈星卡里忙不过来了哈哈哈哈 ,0,0,1,河南,信阳,河南,中国,star 5
2,4907418557091931,用户7131325501,2023-05-31 11:20:22,#王源演唱会最累的是王俊凯员工#王俊凯一直在保护家里人，为什么团粉和cp粉不能为小队长想一想？王俊凯 ,0,0,0,广西,南宁,广西,中国,star 5
2,4907418410027213,包小呆_,2023-05-31 11:19:47,#王源演唱会最累的是王俊凯员工# 哈哈哈哈，我最喜欢在这种热搜里看毒唯的相互阴阳怪气了 “别蹭，这店本来就很火，没有演唱会也忙得很” “别蹭，最忙的明明是演唱会的工作人员” ,0,0,5,广东,深圳,广东,中国,star 1
2,4907410324457882,南岸与东坡,2023-05-31 10:47:39,#王源演唱会最累的是王俊凯员工# 这么多年过去，还是不知道有什么好打的，他俩从重庆街头开始，一步步走到现在，你打她，她打你，吵破天，你们哥哥的友情依旧坚不可摧☺️ ,0,0,27,广东,深圳,广东,中国,star 5
2,4907378057941730,永远做你的渺小知音,2023-05-31 08:39:26,#王源演唱会最累的是王俊凯员工#哦 反正小汤圆不会去 小汤圆有王源免费送的饮品哦 就是这么幸福  也不知道是谁一直蹭又巡演又电视剧马上播出的大明星哦 无语嗷 ,0,11,69,河北,唐山,河北,中国,star 3
2,4907418121669044,影音叫兽,2023-05-31 11:18:38,#王源演唱会最累的是王俊凯员工#  hhh王源的演唱会 累死王俊凯的工作人员 影音叫兽的微博视频 ,0,0,1,天津,天津,天津,中国,star 5
2,4907410579786977,·初汐_,2023-05-31 10:48:40,#王源演唱会最累的是王俊凯员工#其实就是一个类似于梗的事情，没人否认任何人的努力，大家看看“哈哈哈哈”笑笑就得了，也有路人觉得好好玩，点开rs一堆上纲上线的真的炸裂啊，果然，互联网啥都能吵架 ,0,6,44,山西,晋中,山西,中国,star 3
2,4907417982997952,在下只吃草,2023-05-31 11:18:05,#王源演唱会最累的是王俊凯员工#有没有搞错，那个是王俊凯爸妈在老家开的，又不是王俊凯开的，连人家父母都不放过。 ,0,1,2,浙江,金华,浙江,中国,star 3
2,4907417601313138,周晚棠TFB版,2023-05-31 11:16:34,#王源演唱会最累的是王俊凯员工#这个，非粉不知道，知不知道哈哈哈我反应了一会会来着，凯家开了星卡里店，去看演唱会的粉丝很有可能会去星卡里买喝的（不过我感觉，源不开演唱会，星卡里也很多粉丝去买去打卡的啊哈哈哈哈哈） ,0,4,1,安徽,合肥,安徽,中国,star 4
2,4907388581187240,源家奥特曼,2023-05-31 09:21:15,#王源演唱会最累的是王俊凯员工#1.王源演唱会最累的是王源和王源的同事们，王源在演唱会多次感谢了他的同事。请不要随便否定别人的辛苦付出和劳动成果2.王源设计了客厅打卡地。王源自掏腰包本来每天限量一千的甜品由于排队的人太多，改成了全天免费发送。王源不像别人借机挣别人家粉丝的💰，没有收取任何费用3.王源一个月开了五场万人演唱会，带动了当地商家收益无数，没办法，王源太火了，某商家应该多多感谢王源4.这个rs涉及到了商业行为，有借王源打广告的嫌疑。请问某商家给王源广告费了吗？,271,232,3690,重庆,重庆,重庆,中国,star 1
3,4907417383212269,小太阳充满源能量,2023-05-31 11:15:42,#王源演唱会最累的是王俊凯员工#最累?这脸皮不是一般的厚呀 ,0,1,0,四川,绵阳,四川,中国,star 3
3,4907417253450179,浩比宝贝呼呼,2023-05-31 11:15:11,#王源演唱会最累的是王俊凯员工# 磕s我了 这不是真爱是什么呢 ,0,0,0,上海,上海,上海,中国,star 5
3,4907341672350647,黄瓜瓜瓜瓜小可爱-,2023-05-31 06:14:51,#王源演唱会最累的是王俊凯员工# 评论区唯粉吃相难看，除了黑粉令人讨厌就是唯毒了，咱就是喜欢看那种和谐的氛围，而不是窝里斗，横着斗 ,17,219,6196,云南,红河,云南,中国,star 3
3,4907328992445645,是灰诡不是灰灰啊喂,2023-05-31 05:24:28,#王源演唱会最累的是王俊凯员工# 怎么又有粉丝破防，他们关系是粉丝来定义的吗 ,0,4,94,广东,广州,广东,中国,star 5
3,4907238130713123,朝阳区在逃富婆,2023-05-30 23:23:24,#王源演唱会最累的是王俊凯员工# 谁能想到啊！王源演唱会最累居然是王俊凯的员工哈哈哈哈  在粉丝都不约而同的集体去买奶茶的时候王俊凯员工表示：做不完根本做不完！ ,575,1060,45465,山东,济南,山东,中国,star 5
3,4907392070059606,月明xing惜,2023-05-31 09:35:07,#王源演唱会最累的是王俊凯员工#最累的是王源，是工作室，是公安们，是志愿者们，他们才是最累的人。有些人钱也赚了，还好意思说最累……可笑至极呀 ,0,7,68,江苏,淮安,江苏,中国,star 1
3,4907416191769559,---------------蘇黎黎,2023-05-31 11:10:58,#王源演唱会最累的是王俊凯员工#可是，员工也不多啊。我去北城的时候只有两个员工在做，在场就有差不多二十个人，还没算用小程序点单在来的路上的顾客 ,0,0,1,重庆,重庆,重庆,中国,star 3
3,4907415323543176,韩剧放映室,2023-05-31 11:07:31,#王源演唱会最累的是王俊凯员工#  hhh这不就又被我磕到了 韩剧放映室的微博视频 ,0,0,1,天津,天津,天津,中国,star 5
3,4907415273214746,Trueluv_KR,2023-05-31 11:07:19,#王源演唱会最累的是王俊凯员工#dw真的是不管怎么样他都要杠一句，角度清奇且不可理喻。你家哥哥前缀都还没去掉呢在高贵什么啊大姐 ,0,0,8,四川,成都,四川,中国,star 3
4,4907392531697769,独慕宇哦,2023-05-31 09:36:57,#王源演唱会最累的是王俊凯员工# 我不理解，王源开演唱会唱些啥？他有几个代表作，貌似也没几首自己的歌吖！那演唱会几个小时，尬聊嘛？ ,0,37,93,湖南,湘西土家族苗族自治州,湖南,中国,star 3
4,4907415062971166,chenlirest,2023-05-31 11:06:29,#王源演唱会最累的是王俊凯员工#4年了我爱豆从来没有主动提过这个店   现在要被队友拿过来艹情怀我吐了 王源是没有唯粉了是吧 ,0,4,15,浙江,杭州,浙江,中国,star 1
4,4907404171678586,带刀侍卫懒羊羊,2023-05-31 10:23:12,#王源演唱会最累的是王俊凯员工#王源的毒/唯粉怎么一直在骂王俊凯啊 说话那么难听做为曾经的团粉看了真的好心寒啊 ,1,19,93,黑龙江,哈尔滨,黑龙江,中国,star 2
4,4907414845395311,谢俞XJ,2023-05-31 11:05:37,#王源演唱会最累的是王俊凯员工# 不知道不关心🌹期待这个很漂亮的小男孩二巡 ,0,2,5,湖南,长沙,湖南,中国,star 5
4,4907414795847616,安安安青儿,2023-05-31 11:05:25,#王源演唱会最累的是王俊凯员工#说明去看王源演唱会的大多数是cp粉和团粉呗 ,0,0,15,四川,遂宁,四川,中国,star 3
4,4907414689678250,多元宇宙幸福宝大美女天天开心版,2023-05-31 11:05:00,#王源演唱会最累的是王俊凯员工#dw好恐怖啊啊啊啊啊啊啊你们快点进这个话题看牛逼亖 ,0,1,5,重庆,重庆,重庆,中国,star 5
4,4907365679762177,本人钢铁意志,2023-05-31 07:50:15,#王源演唱会最累的是王俊凯员工# 这个奶茶店跟王俊凯有关系吗？为啥王源开演唱会要宣传王俊凯的奶茶店啊，还上高位热搜？ ,1,50,237,湖南,长沙,湖南,中国,star 3
4,4907414182954718,我们都到得了,2023-05-31 11:02:59,#王源演唱会最累的是王俊凯员工# 一家人都是💙💚不说两家话,0,1,8,广东,广州,广东,中国,star 5
4,4907400329166947,甜心萱,2023-05-31 10:07:55,#王源演唱会最累的是王俊凯员工#因为哥俩感情好呀 十年竹马 王俊凯王源的粉丝去重庆看演唱会 买一杯王俊凯家的奶茶 不是很正常吗 全世界最好的山城竹马！都是一家人！远屿邻的微博视频 感谢剪辑：@远屿邻 ,29,67,134,福建,福州,福建,中国,star 5
4,4907413881491160,_他说天天开心,2023-05-31 11:01:47,#王源演唱会最累的是王俊凯员工# 勿cue大帅哥 来听王俊凯唱歌 _他说天天开心的微博视频 ,0,0,2,河北,石家庄,河北,中国,star 5
5,4907413733644068,诗人韩志天,2023-05-31 11:01:12,#王源演唱会最累的是王俊凯员工#救救孩子，救救教育，救救文化，救救道德！改造娱乐，复兴国学，树立青少年民族文化自信，恳请流量明星做圣贤！致“小鲜肉”书 ——自译：给流量明星的公开信 诗人韩志天的微博视频  ,0,0,0,福建,福州,福建,中国,star 3
5,4907413612271250,莱阳妈咪wy,2023-05-31 11:00:43,#王源演唱会最累的是王俊凯员工# 一边说我们蹭一边又在热搜下安利你们家的，真的666 ,0,2,2,四川,眉山,四川,中国,star 5
5,4907398484199538,北灵境一枝花,2023-05-31 10:00:36,#王源演唱会最累的是王俊凯员工#三字能别蹭了嘛？咋了自己开不了演唱会着急了？ ,0,13,23,山东,菏泽,山东,中国,star 4
5,4907413452360624,我们都到得了,2023-05-31 11:00:05,#王源演唱会最累的是王俊凯员工# 洋葱十周年快乐！！,0,0,0,广东,广州,广东,中国,star 5
5,4907413125993777,小狗跟我走吧,2023-05-31 10:58:47,#王源演唱会最累的是王俊凯员工#呵呵 你买个奶茶关王俊凯屁事  不带王俊凯没流量是吧 ,0,2,8,湖北,宜昌,湖北,中国,star 1
5,4907412924402558,南风知时,2023-05-31 10:57:59,#王源演唱会最累的是王俊凯员工# 路人，差点就被dw搞炸裂了可素这是山城竹马诶！上任cp美帝诶！ ,0,1,13,重庆,重庆,重庆,中国,star 4
