页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907420167967002,称蜉蝣,2023-05-31 11:26:46,#端午节放3天后连上6天#放三天，值班两天，我放锤子 ,0,0,0,四川,自贡,四川,中国,star 1
2,4907420159314212,偏要冬天吃雪糕,2023-05-31 11:26:44,#端午节放3天后连上6天#看见这个词条就已经开始生气了😤 ,0,0,0,北京,北京,北京,中国,star 1
2,4907420126810527,知名不具SC,2023-05-31 11:26:36,#端午节放3天后连上6天#回回调休上热搜，然后屁用没有 ,0,0,0,北京,北京,北京,中国,star 1
2,4907420076214406,甜甜甜不怂,2023-05-31 11:26:24,#端午节放3天后连上6天# 真的很无语😅😅😅为什么会有调休这种东西啊 ,0,0,0,黑龙江,哈尔滨,黑龙江,中国,star 2
2,4907420038202187,桃子汽水味的乔乔,2023-05-31 11:26:15,#端午节放3天后连上6天#。。。。。。。。没病吧，你们没病吧我说 ,0,0,0,辽宁,,辽宁,中国,star 1
2,4907405698139733,三联生活周刊,2023-05-31 10:29:16,#端午节放3天后连上6天##人造长假到底有多大意义# 为什么大家对调休制度会有这么大的反对意见？我们曾经在文章中讨论过：黄金周长假对民众是否友好，主要取决于推出这项制度的目的。如果主要目的是为了刺激经济，那么如何在最大程度上刺激消费，才是长假制度的首要考虑，民众的体验只能退居其次。可长假对于消费能起到多大作用呢？事实上，黄金周期间的消费，也不过是人们在消费行为上的一次时间转移，即使没有黄金周，这些消费行为可能也会发生在其他时间。认为放长假能够刺激人们消费，这个结论的前提是很多民众都有钱但是没时间消费，所以通过“人为长假”给民众创造一个消费的机会。但这个前提显然并不成立。民众虽然缺假，但更缺的是钱。一个人只要有足够多的钱，随时都可大手笔消费，并不需要专门的假期，但是如果没钱，即使放再多的假，也很难刺激起消费的欲望。 如果长假制度既不能让民众好好休息放松，又不能达到刺激经济的效果，这样的人造长假，到底有多大的意义呢？节选｜《下次长假，你还会“出门受罪”吗？》作者｜谢九,44,69,516,,北京,北京,中国,star 4
2,4907401369882109,江湖李傅相,2023-05-31 10:12:04,对发明调休的人主打一个挂念  #端午节放3天后连上6天# ,6,7,161,河北,保定,河北,中国,star 3
2,4907405547407559,老佛爷elva,2023-05-31 10:28:40,#端午节放3天后连上6天#  收到。我请专家先吃3个甜粽再吃6个肉粽 ,1,18,119,海南,海口,海南,中国,star 1
2,4907419794675499,oLdfrankIE,2023-05-31 11:25:17,#端午节放3天后连上6天#每节一问：”发明调休的初生什么时候四？” ,0,0,1,上海,上海,上海,中国,star 1
2,4907419749056524,留云栖月,2023-05-31 11:25:05,#端午节放3天后连上6天#出生真不干人事啊 ,0,0,0,北京,北京,北京,中国,star 1
