页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907505946199003,我是柚兔,2023-05-31 17:07:37,#丁泽仁是救了杜华的命吗#词条里各位好自为之吧，把钱准备好 ,0,0,2,广西,桂林,广西,中国,star 4
2,4907505937025206,眼里有星辰-i,2023-05-31 17:07:35,#丁泽仁是救了杜华的命吗#能不要再发他了吗每天都给我推 ,0,0,0,广东,汕头,广东,中国,star 1
2,4907505857336051,晨八怪啊怪,2023-05-31 17:07:16,#丁泽仁是救了杜华的命吗#你是我唯一的姐是什么梗啊，有好心人科普下吗 ,0,0,0,广东,珠海,广东,中国,star 4
2,4907505845013778,小幸运的幸和运,2023-05-31 17:07:13,#丁泽仁是救了杜华的命吗#我能呸一下吗？，我呸…… ,0,1,0,四川,资阳,四川,中国,star 1
2,4907505802806506,反PUA小能手,2023-05-31 17:07:03,#丁泽仁是救了杜华的命吗#这个话题，我真的要笑死了，承包了我这几天的快乐 ,0,0,0,天津,天津,天津,中国,star 1
2,4907505791012068,当石狮子身上落满了麻雀,2023-05-31 17:07:00,#丁泽仁是救了杜华的命吗# 去的人要准备五万块现金吗，怕到时候被抢劫惹🥵 ,0,0,0,广东,潮州,广东,中国,star 4
2,4907503386628268,第一眼的意中人,2023-05-31 16:57:27,卡里没个二十来万，都不敢在这话题底下大声bb。  #丁泽仁是救了杜华的命吗# ,0,1,20,陕西,西安,陕西,中国,star 1
2,4907505761913883,FashionLetters,2023-05-31 17:06:53,dbq 他干嘛了 #丁泽仁是救了杜华的命吗# ,0,0,0,广东,广州,广东,中国,star 4
2,4907505748542021,第一眼就没了,2023-05-31 17:06:50,#丁泽仁是救了杜华的命吗#不懂就问 他的受众群体到底是谁啊 到底是谁在喜欢 ,0,1,0,湖北,鄂州,湖北,中国,star 4
2,4907500946850871,麻烦捞一捞,2023-05-31 16:47:45,#丁泽仁是救了杜华的命吗#我yue了 一个路人都会yue的程度 ,0,1,21,江苏,扬州,江苏,中国,star 3
3,4907505601480361,僵尸粉中的战斗机,2023-05-31 17:06:15,#丁泽仁是救了杜华的命吗#偶练的时候看到这个人就在想，原来这样也能当偶像，现在，更觉得，这样还能当偶像? ,0,0,3,陕西,咸阳,陕西,中国,star 5
3,4907505594140388,呵yo_,2023-05-31 17:06:13,#丁泽仁是救了杜华的命吗#怎么？那四万是孝敬给杜了？ ,0,0,0,四川,成都,四川,中国,star 4
3,4907505584968414,高贵路人韭叶,2023-05-31 17:06:11,#丁泽仁是救了杜华的命吗#这才是她唯一的姐 ,0,0,1,北京,北京,北京,中国,star 4
3,4907505538565941,海星依存症患者,2023-05-31 17:06:00,#丁泽仁是救了杜华的命吗#华，你真的超爱啊 ,0,0,1,贵州,毕节,贵州,中国,star 5
3,4907505530443458,陆陆星河i,2023-05-31 17:05:58,#丁泽仁是救了杜华的命吗#  这谁？你是我唯一的姐那个吗？ ,0,0,3,吉林,长春,吉林,中国,star 4
3,4907505496886114,小幸运的幸和运,2023-05-31 17:05:50,#丁泽仁是救了杜华的命吗#一堆吐槽点，我要说了，会不会来告我刚刚特地搜了一下，真的无力吐槽了，#$￥…… ,0,0,1,四川,资阳,四川,中国,star 1
3,4907505467789609,搞一些狗狗,2023-05-31 17:05:43,#丁泽仁是救了杜华的命吗#不敢说 怕他告我 ,0,0,0,江西,南昌,江西,中国,star 4
3,4907505379185698,稻田里de橘子树,2023-05-31 17:05:22,#丁泽仁是救了杜华的命吗#干这行只能说脸皮也得厚 ,0,0,0,辽宁,沈阳,辽宁,中国,star 4
3,4907500179298065,吃瓜女汉子d,2023-05-31 16:44:42,他要是把骂他的人都告一遍的话，我估计明年的福布斯排行榜都有他。  #丁泽仁是救了杜华的命吗# ,0,4,162,广东,深圳,广东,中国,star 1
3,4907505233428982,铁板烤鸭大批发,2023-05-31 17:04:46,#丁泽仁是救了杜华的命吗#这很难评，我祝她成功吧 ,0,0,1,四川,攀枝花,四川,中国,star 4
4,4907505215344770,淡然弯弓射大雕,2023-05-31 17:04:43,#丁泽仁是救了杜华的命吗#杜华什么时候在乎别人说什么过，她有心么 ,0,0,1,黑龙江,哈尔滨,黑龙江,中国,star 4
4,4907505212195044,章娱小丸子,2023-05-31 17:04:41,#丁泽仁是救了杜华的命吗# 额…想知道真的有人会去看吗 ,0,0,0,广东,深圳,广东,中国,star 4
4,4907505211674272,小魔仙爱吃火锅,2023-05-31 17:04:42,#丁泽仁是救了杜华的命吗#杜华，你才是他姐吧 ,0,0,0,广西,,广西,中国,star 5
4,4907505015330578,花花的奇幻之旅,2023-05-31 17:03:55,#丁泽仁是救了杜华的命吗# 华能少给圈子输送些垃圾吗？你钱够多了还什么钱都捞哇有点三观和底线吧 ,0,9,12,湖南,长沙,湖南,中国,star 3
4,4907504847030306,朕硕,2023-05-31 17:03:15,#丁泽仁是救了杜华的命吗# 嘴甜会奉承任何女的在这个年纪都喜欢被夸公主被奉承，所以丁泽仁不是救了杜华的命，而是只要脸皮够厚，能够上赶着去讨工作，就能被唯一的姐记住并录用。某种程度来讲，这也算是一种“本事”。 ,0,2,4,广东,深圳,广东,中国,star 4
4,4907504839167241,不知名颓废艺人,2023-05-31 17:03:13,#丁泽仁是救了杜华的命吗#啊啊啊啊啊啊啊丁泽仁你是不是专门学了一种媚杜华的蛊🚬 ,0,0,4,广东,深圳,广东,中国,star 4
4,4907503248999954,Nuyoah姚姚,2023-05-31 16:56:54,#丁泽仁是救了杜华的命吗# 评论小心点，说不定会被告，4w警告 ,0,2,28,湖南,衡阳,湖南,中国,star 4
5,4907504625254618,待若晴天望星辰,2023-05-31 17:02:21,#丁泽仁是救了杜华的命吗#这这这，多吓人啊。 ,0,0,0,四川,,四川,中国,star 4
5,4907504464564920,梵净世,2023-05-31 17:01:44,#丁泽仁是救了杜华的命吗#  乐华是垃圾桶吗？啥都往里面装 ,0,0,9,浙江,温州,浙江,中国,star 1
5,4907504460891940,金珉奎是你爹,2023-05-31 17:01:43,#丁泽仁是救了杜华的命吗#吗呀 华你真的 超爱。 ,0,0,2,广东,广州,广东,中国,star 5
5,4907502372390898,彧风如飒,2023-05-31 16:53:25,#丁泽仁是救了杜华的命吗# 杜华，你是真不挑啊，你家里人没告诉你不能吃💩么？你究竟看上他啥了？他是不是私下天天叫你唯一的姐，给你叫迷糊了，给你叫飘了？ ,0,1,26,山西,忻州,山西,中国,star 5
5,4907504385918964,睡不饱的小F,2023-05-31 17:01:25,#丁泽仁是救了杜华的命吗#华你告诉我 你看上他什么了 ,0,0,2,安徽,,安徽,中国,star 5
5,4907504364946575,頁辵垟,2023-05-31 17:01:20,#丁泽仁是救了杜华的命吗# 在这说话的人都准备好四万 ,0,2,4,山西,太原,山西,中国,star 5
5,4907504323003012,来八个卦,2023-05-31 17:01:10,#丁泽仁是救了杜华的命吗#🌊是不要命了吗，不怕被告赔四万啊🙉 🌊的法务和乐华法务哪个厉害 ,0,1,3,河南,郑州,河南,中国,star 4
5,4907504300985029,王一豹爱刨杨梅冰,2023-05-31 17:01:05,#丁泽仁是救了杜华的命吗#这样一看，我明天也可以出道 ,0,0,1,广东,广州,广东,中国,star 4
5,4907504259302094,茶椿茜-,2023-05-31 17:00:55,#丁泽仁是救了杜华的命吗#4w警告，说话小心点 ,0,0,7,福建,宁德,福建,中国,star 4
5,4907504242788296,佳狮鸽w,2023-05-31 17:00:51,#丁泽仁是救了杜华的命吗#everglow是犯了什么错吗 ,0,0,0,江苏,苏州,江苏,中国,star 4
6,4907461062430355,快乐追星十级学渣,2023-05-31 14:09:16,我也想问 丁泽仁是救了杜华的命吗😅 ,83,349,11055,山东,威海,山东,中国,star 4
6,4907501839454449,星光只是流逝,2023-05-31 16:51:18,内娱底线真低…….😅现在已经低到不违法就行了吗😅 #丁泽仁是救了杜华的命吗# ,0,1,27,河南,郑州,河南,中国,star 4
6,4907504168076692,可颂喵呜,2023-05-31 17:00:33,#丁泽仁是救了杜华的命吗#我也想问......华  你是有裸照还是有不能说的秘密在他手上啊 ,0,1,3,浙江,台州,浙江,中国,star 4
6,4907504167551544,少一点点心动,2023-05-31 17:00:33,#丁泽仁是救了杜华的命吗#华华你说，你是不是被丁泽仁抓住了什么把柄 ,0,0,0,广东,东莞,广东,中国,star 4
7,4907504096510817,奶盖仙桃包,2023-05-31 17:00:16,#丁泽仁是救了杜华的命吗# 华是疯了吗？ ,0,0,3,江西,,江西,中国,star 4
7,4907504050111587,打波俊,2023-05-31 17:00:05,#丁泽仁是救了杜华的命吗#从另一种角度来看，我挺佩服这哥的脸皮 ,0,0,6,江苏,南京,江苏,中国,star 4
7,4907504024424043,sommer_敏,2023-05-31 16:59:59,#丁泽仁是救了杜华的命吗#不懂就问，请问他是谁，有什么故事吗 ,0,4,2,广东,潮州,广东,中国,star 4
7,4907504016556787,Bunny娱乐,2023-05-31 16:59:57,#丁泽仁是救了杜华的命吗# 丁泽仁是救了杜华的命吗？公司有把柄在他手里吗？原来杜华是丁泽仁唯一的姐  ,50,50,51,,惠州,广东,中国,star 4
7,4907504007384489,多肉桃桃七分糖,2023-05-31 16:59:55,#丁泽仁是救了杜华的命吗#要被丁泽仁评论区笑亖了 ,274,50,271,山西,太原,山西,中国,star 4
7,4907503928214629,_等可乐气消了再喝,2023-05-31 16:59:36,#丁泽仁是救了杜华的命吗# 按照这个形式，他应该是李华唯一的爹才对，唯一的姐算什么 ,0,2,7,贵州,贵阳,贵州,中国,star 4
7,4907503924284966,o你猫窝猫o,2023-05-31 16:59:35,#丁泽仁是救了杜华的命吗#天哪，在这骂他，不要命了，不怕被告啊 ,0,0,1,吉林,,吉林,中国,star 1
7,4907503907508491,阿冰是,2023-05-31 16:59:31,#丁泽仁是救了杜华的命吗# 这个是那个【唯一的姐】以及把老粉告了的那位吗？ ,0,0,0,福建,泉州,福建,中国,star 4
7,4907473247667647,姐妹唠嗑日常,2023-05-31 14:57:41,杜华才是丁泽仁唯一的姐 #丁泽仁是救了杜华的命吗# ,21,27,168,天津,天津,天津,中国,star 5
7,4907503882867248,放歌胡马,2023-05-31 16:59:25,#丁泽仁是救了杜华的命吗#  可能杜华是他唯一的姐吧 ,0,0,2,福建,福州,福建,中国,star 4
8,4907503882077710,就这样子了吧5,2023-05-31 16:59:25,#丁泽仁是救了杜华的命吗# 为什么这样的艺人还不封杀，等着继续祸害人嘛 ,0,0,0,广东,广州,广东,中国,star 4
