页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907502997340634,直播大咖那点事,2023-05-31 16:55:54,#朱珠化妆台#  百听不厌的女王发言有~朱珠 ：男人多得是~！芦田爱菜：世上男人有35亿！ 直播大咖那点事的微博视频 ,0,0,2,天津,天津,天津,中国,star 5
2,4907502812530116,北岸就爱看国产电影,2023-05-31 16:55:10,#朱珠化妆台#有没有人觉得，朱珠和虞书欣有点像？ ,0,4,0,四川,成都,四川,中国,star 4
2,4907502682243527,八卦工厂,2023-05-31 16:54:39,这两个人也太会扭了吧！你选哪个？    #朱珠化妆台# 八卦工厂的微博视频 ,0,1,6,天津,天津,天津,中国,star 3
2,4907502301612287,请叫我尊敬的微博会员,2023-05-31 16:53:08,#朱珠化妆台#简单朴素但实用 ,0,0,1,福建,福州,福建,中国,star 5
2,4907501890047513,资深追剧鹅,2023-05-31 16:51:30,#朱珠化妆台#朱珠老公晒了她的化妆台，网友普遍觉得对于这样的女明星来说看上去过于寒碜了。不过，在家用的，只要觉得看着舒心就行了，管它是大还是小呢。 ,41,41,44,广东,湛江,广东,中国,star 4
2,4907487490737200,追剧少女喵大仙,2023-05-31 15:54:17,#朱珠化妆台# 朱珠舞台妆的化妆台🆚朱珠家的化妆台 ,120,118,151,山西,太原,山西,中国,star 5
2,4907501135332753,春风小宇,2023-05-31 16:48:30,【让人舒服的聊天技巧】 #朱珠化妆台# ,2,1,11,辽宁,沈阳,辽宁,中国,star 5
2,4907501064028697,朱肆月,2023-05-31 16:48:13,#朱珠化妆台# 好简洁啊，和我想象中女明星的化妆台不太一样，朱珠姐真的好不一样啊美丽大方简单，喜欢这样的女生 ,0,0,3,浙江,宁波,浙江,中国,star 5
2,4907501059315670,萍萍Oni,2023-05-31 16:48:12,#朱珠化妆台# 笑死，大家更关心桌上的瓶瓶罐罐是哪些牌子的  #亿点曝光计划# ,0,0,3,上海,上海,上海,中国,star 5
2,4907500913036979,打野阿轲,2023-05-31 16:47:37,#朱珠化妆台#她老公也太会说了吧，间接的夸的老婆漂亮，又没有那么直白 ,0,0,6,辽宁,沈阳,辽宁,中国,star 5
3,4907500460048780,鱼乐小玩家,2023-05-31 16:45:48,#朱珠化妆台#看起来好温馨，好有生活气息，还有一只小黄鸭好可爱 ,0,0,0,安徽,合肥,安徽,中国,star 5
3,4907500262393234,吃一大碗甜米饭,2023-05-31 16:45:02,#朱珠化妆台#   假如拥有朱珠同款  能变得跟女明星一样美嘛  #闪光新生代##亿点曝光计划# ,0,0,0,广东,广州,广东,中国,star 5
3,4907489004360524,追星课代表,2023-05-31 16:00:18,#朱珠化妆台#其实朱珠化妆台简约也很正常的，她日常工作都有专门的化妆师帮忙化妆，她在家只需要有基本的护肤品就够了。 ,30,30,40,广东,湛江,广东,中国,star 5
3,4907499927114145,坏运气别来沾边,2023-05-31 16:43:42,#朱珠化妆台# 确实啊 在家怎么舒服怎么来 本身就长得美 不用工作的时候做好基础护肤就好了 附带一些基本的化妆品足够了 当然抛开明星这个身份 更多的是羡慕皮肤底子好的人 大学舍友皮肤嘎嘎好 白里透红压根不化妆 冬天她甚至可以不用面霜！后面广东冬天太遭罪了她才顶多用一个面霜过冬的 ,0,1,3,广东,河源,广东,中国,star 5
3,4907499801544833,木南每天都要开心,2023-05-31 16:43:12,#朱珠化妆台# 姐姐辨识度真的好高，化妆台上好奇都用了啥。 ,1,7,9,黑龙江,大庆,黑龙江,中国,star 5
3,4907499666800694,司清晨啊,2023-05-31 16:42:39,#朱珠化妆台#  这张照片也太美了 ,0,1,1,浙江,杭州,浙江,中国,star 5
3,4907499021145264,校长大大,2023-05-31 16:40:06,#朱珠化妆台# 2g网了，原来朱珠结婚了 ,0,7,18,广东,广州,广东,中国,star 1
3,4907498869364860,男女那么些事,2023-05-31 16:39:30,#朱珠化妆台#   原来女明星在镜头里真的会胖20斤！ 朱珠本人真的瘦且骨架不大，高挑气质型美人，没有剧里那么丰腴感，镜头真的对美人们不友好~ 男女那么些事的微博视频 ,0,0,9,天津,天津,天津,中国,star 3
3,4907498835804826,八卦小钢炮,2023-05-31 16:39:22,#朱珠化妆台#   女演员朱珠直播卖二手货 当然卖出去的钱是用来做慈善的。。。。 八卦小钢炮的微博视频 ,0,0,3,天津,天津,天津,中国,star 1
4,4907498723870164,韩综小侦探,2023-05-31 16:38:55,#朱珠化妆台#    真正的豪门根本就不在意那些明星！ 不认识明星很奇怪吗？诠释了什么叫姐就是女王！时间都花在提升自己身上，少在网上冲浪也很正常 韩综小侦探的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
4,4907497541077470,你的海瑶,2023-05-31 16:34:13,#朱珠化妆台#果然，天生丽质的人不需要过度涂抹 ,0,0,0,江苏,盐城,江苏,中国,star 5
4,4907497423638519,娇瘾ss,2023-05-31 16:33:45,#朱珠化妆台#那张照片很有味道 ,0,0,0,安徽,淮南,安徽,中国,star 3
4,4907497339751652,青春剧焦圈,2023-05-31 16:33:25,朱珠老公晒出朱珠化妆台！ 粉丝说朱珠的桌子有点局促，而她老公回复“她不需要化妆！”果然天生丽质，人美无须多修饰～ ,100,101,95,山西,太原,山西,中国,star 5
4,4907497142095082,我是娱妞,2023-05-31 16:32:38,#朱珠化妆台# 朱珠老公晒朱珠的化妆台，同款化妆台 ,0,1,0,黑龙江,绥化,黑龙江,中国,star 5
4,4907037971188006,娱闻蜀黍,2023-05-30 10:08:03,朱珠的化妆台被她老公晒出来了，这么拥挤的小桌子和别的女明星形成鲜明对比，瓶瓶罐罐看起来也不算多，墙上还挂着朱珠的美照，她家里布置挺文艺的。 ,152,688,14476,广东,湛江,广东,中国,star 5
