页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907503794260880,白木木凤九九,2023-05-31 16:59:04,#沈月说因为丢工作经常焦虑#沈月妹子一直给人感觉挺可爱的，个子矮了点，也不要紧吧，拍拍古装，反正裙子长，看不到鞋，四千年还没她底子好呢，别人主打就是一个自信，沈月再微调一下，提高一下演技，拍古装剧一点好看，怎么突然觉得她好像黄蓉既视感哈 ,0,0,0,江苏,镇江,江苏,中国,star 4
2,4907480193172109,羊就是咩咩叫,2023-05-31 15:25:17,这个热搜#沈月说因为丢工作经常焦虑#引起争论了 个人觉得沈月说这个只是想表达她的焦虑，确实95花竞争还是相当激烈的，其他人势头很猛，自己有工作就给黄掉了，就会焦虑。不同行业的人有不同行业人的焦虑，她焦虑可能就是因为没有工作没有曝光度之后会慢慢糊掉。 ,8,138,1472,陕西,西安,陕西,中国,star 4
2,4907503378761992,言言木,2023-05-31 16:57:25,#沈月说因为丢工作经常焦虑# 青环节目里，她自嘲是双蛋黄，反正都会黄，要学会知足常乐。  对＂未来＂茫然又焦虑时，投入去做好＂当下＂想做且能做的事，时间会给我们答案，＂一切都是最好的安排＂，这才是这视频里要表达的意思，我这阅读理解能力 ,0,0,8,广东,汕头,广东,中国,star 4
2,4907451767329738,Lucky丨Lucky,2023-05-31 13:32:20,#沈月说因为丢工作经常焦虑# 有些人一口一个208不要制造焦虑。知道个208可把你给显着了。内娱真正当得起208的又有几个。以为人人都是资源咖？多的是各种递简历跑剧组试戏的打工人。哪怕试上了，也不知道哪天就被换了。明星也是人，工作接二连三丢了，怎么焦虑一下还要被狙？别太离谱。 ,1,10,159,浙江,台州,浙江,中国,star 5
2,4907503235894526,chihiro522,2023-05-31 16:56:51,#沈月说因为丢工作经常焦虑# 完全无法代入普通人   从年初工作都黄了所以上超越班的是谁？接着参加青春环游记的又是谁？ ,0,2,0,山东,东营,山东,中国,star 4
2,4907503076508601,娱乐芭布熊,2023-05-31 16:56:13,#沈月说因为丢工作经常焦虑#  沈月找工作是在演我吧，可是依然要对生活抱有希望啊 娱乐芭布熊的微博视频 ,0,0,1,吉林,长春,吉林,中国,star 5
2,4907502858406745,遇到困难就转弯,2023-05-31 16:55:21,#沈月说因为丢工作经常焦虑# 会月来月好的 ,0,0,0,广东,,广东,中国,star 5
2,4907502830096305,热心观众郭芙蓉,2023-05-31 16:55:14,沈月在怦然心动20岁节目中说，自己常因为丢工作而焦虑 直到所有工作都黄了以后才觉得放开了，只要努力才能争取到想要的，上坡路上都需要付出努力#沈月说因为丢工作经常焦虑# 热心观众郭芙蓉的微博视频 ,76,77,74,山西,忻州,山西,中国,star 5
2,4907502460207189,请叫我尊敬的微博会员,2023-05-31 16:53:45,#沈月说因为丢工作经常焦虑#明星拍戏什么的不签合同吗？为什么会丢 ,0,6,4,福建,福州,福建,中国,star 1
3,4907502346439838,耿林,2023-05-31 16:53:19,#沈月说因为丢工作经常焦虑# 哈哈哈，不知道沈月是谁，但“因为丢工作经常焦虑”这事，却特别有共鸣 ,0,1,2,北京,北京,北京,中国,star 4
3,4907494390106192,加满汽的芬达,2023-05-31 16:21:42,#沈月说因为丢工作经常焦虑#人家只是表达下一直没有工作进组，甚至明明谈好的工作黄了，在演艺圈不敢想一个女艺人一年多不进组，她也只是个靠演戏打工的普通女孩。vlog几乎带给大家的都是快乐正能量。主持人问了，她才真实表达自己有过这种焦虑不安的心情，这个很正常吧，怎么就叫贩卖焦虑人设了,0,2,26,浙江,杭州,浙江,中国,star 3
3,4907502279594121,风里来雨里去xm,2023-05-31 16:53:03,#沈月说因为丢工作经常焦虑#会啊，所以一直勤勤恳恳工作，努力把工作做好 ,0,0,0,广西,,广西,中国,star 4
3,4907445057488442,流苏下的时光,2023-05-31 13:05:40,#沈月说因为丢工作经常焦虑# 她每次工作丢了都会从自己身上找原因 她可是95花首爆啊  公司啥资源都抢不到 幸好她有能力，有才华 美好的人总会被人看见，月月加油 ,0,18,160,福建,福州,福建,中国,star 5
3,4907452598584702,火锅要辣可乐加冰,2023-05-31 13:35:38,#沈月说因为丢工作经常焦虑#沈月说自己因为工作黄而焦虑，有些人非要扯艺人一部戏够普通人一辈子。首先她有追求，又没退圈，肯定想多工作多拍戏多赚钱，作为艺人很多在接触或者已经深度接触的工作突然黄了而且还不是一个的时候就是会很焦虑啊，这跟她拍戏能赚钱能混为一谈吗?沈月不会坐吃山空，她对待每一个工作都很认真，她也没有卖弄什么人社?所有的东西不都是网友恶意揣测自己解读的吗?2023沈月一直在走上坡路，常驻上星综艺有，定制综艺有，待播剧有，相信不久也许就要进组。,2,26,223,湖北,武汉,湖北,中国,star 4
3,4907502008009040,可甜可盐14s3,2023-05-31 16:51:57,#沈月说因为丢工作经常焦虑# 这不是那什么著名粪坑的小组，人家不指望谁感同身受，自以为是在这装模作样，这类似有些家长，听见小孩说自己“最近有点焦虑，情绪低落”，嚷嚷“你天天在学校，不愁吃不愁穿，有什么balabala” ,0,0,2,河南,开封,河南,中国,star 3
3,4907501948764243,甜酒酿草莓羹,2023-05-31 16:51:43,#沈月说因为丢工作经常焦虑#怪不得现在内娱啥都不好看了，一群人为了黑而黑，引导一堆负能量。综艺不敢说话，放不开说完就被无脑。负能量的人在现生一定不幸福吧 对生活也不积极向上 我是沈月vlog入坑的，考研最焦虑的日子月月治愈了我的焦虑。可能在网上这么引导的，也不会是被她所吸引的人吧。被吸引的人一定是和月月一样对生活充满热爱，积极生活的人。毕竟人又不是钞票  人见人爱#沈月的vlog##积极向上的生活# 祝各位 在现生都能热爱生活 积极快乐的挣大钱 咱们努力为咱们精神富足 早日过上我们想要的生活,0,2,8,安徽,蚌埠,安徽,中国,star 3
3,4907501815072906,网易免费邮箱,2023-05-31 16:51:12,#沈月说因为丢工作经常焦虑# 对于很多人来说，工作意味着收入，工作稳定，才能收入稳定，才能满足生活的物质需求。你会因为工作而焦虑吗？  网页链接 ,0,1,4,,广州,广东,中国,star 4
3,4907501814548636,炫九一过,2023-05-31 16:51:12,#沈月说因为丢工作经常焦虑# 娱乐圈这寒冬行情 她今年至少两个综艺 幸运儿了  这还焦虑 其他很多演员可以不用活了 ,0,5,3,河南,郑州,河南,中国,star 4
4,4907462338284565,影视圈萌主,2023-05-31 14:14:20,#沈月说因为丢工作经常焦虑#  沈月的意思是，当一切都不顺利的时候，先从自己身上找原因，改变心态，心态好了发现事事都顺利了 影视圈萌主的微博视频 ,218,221,265,江苏,淮安,江苏,中国,star 5
4,4907501617681949,恋爱困难少女ovo,2023-05-31 16:50:25,#沈月说因为丢工作经常焦虑#额…心疼明星是倒霉的开始人家拍一部戏够活好久。在我印象里她就连登两次央视春晚，还不算其他卫视的各种节目，上的综艺也都挺火的，拍戏也大部分是主角，还有那个人气漫画角色也给她了，这叫资源不好？粉丝要是看不上公司大可以去控诉，不过真没必要说她资源不好委屈,0,12,24,湖南,长沙,湖南,中国,star 3
4,4907478988622345,娱乐名探,2023-05-31 15:20:30,#沈月说因为丢工作经常焦虑#好喜欢沈月，漂亮又真诚 一直以来都展现出了元气满满的样子，无论是日常照片还是vlog都很治愈，没想到这样的沈月也会有焦虑的一面。从新年开始工作一直不是很顺利，所以常常感受到焦虑，好在现在已经调节好了。自从心态好起来之后工作也顺利很多，希望沈月的发展越来越好，未来都好运吧～,1020,1569,6405,陕西,西安,陕西,中国,star 5
4,4907501474547159,小烊yoeh,2023-05-31 16:49:51,#沈月说因为丢工作经常焦虑#发现yxh很喜欢断章取义 看过原视频的人都知道sy说这段话的目的是为了告诉大家不要内耗 调整好心态  哪里有在贩卖焦虑网友一口一个208喊着 希望大家记住sy不是顶流 小红书的报价甚至还没她身旁那位网红高（没有内涵yml的意思） 人家只是分享一下自己的经历而已 一群网络喷子就跟踩了尾巴的猫一样炸起来 别太恨sy了,0,1,4,福建,莆田,福建,中国,star 4
4,4907501386207479,娱乐当红,2023-05-31 16:49:30,#沈月说因为丢工作经常焦虑#沈月简直是社会人本人了，好接地气呀！试问问谁不会因为丢掉工作而经常焦虑呢？ ,227,76,228,湖南,长沙,湖南,中国,star 4
4,4907462832950337,芋泥啵啵儿月亮,2023-05-31 14:16:18,#沈月说因为丢工作经常焦虑# 我只想说沈月只是在分享自己的经历而已，你的心是黑色的看到的任何都是黑色。愿网络世界少一点恶意，多一点善意，相信沈月的经历或多或少可以安慰到一些人，这也值得了 ,0,0,70,吉林,长春,吉林,中国,star 4
4,4907501332727815,垃圾袋吐槽站,2023-05-31 16:49:17,#沈月说因为丢工作经常焦虑#人家也没说自己惨，就是表达一下丟工作的心情，怎么现在连表达自己的心情都不可以了？丢工作还得高兴兴奋不能焦虑了？ 有些人是惯会被带节奏吧 ，看标题就张嘴喷，积点德吧，喷也得就事论事 ,0,1,5,江苏,苏州,江苏,中国,star 1
4,4907498425024974,洁大佬,2023-05-31 16:37:43,#沈月说因为丢工作经常焦虑#沈月红了红了！已经开始骂了，沈月给我红！你们尽管骂月姐给我使劲红！！！ ,0,9,39,广东,广州,广东,中国,star 5
4,4907500966778169,月亮味_奶茶铺_,2023-05-31 16:47:50,#沈月说因为丢工作经常焦虑#正常分享自己的工作生活还能被有些人吐槽你们内心是有无聊啊，明明说的是在分享自己的积极心态好嘛 ,0,1,5,陕西,西安,陕西,中国,star 5
5,4907462501337442,草莓遇月亮,2023-05-31 14:14:59,有看过沈月vlog的朋友应该知道，她在vlog中一直输出的都是积极阳光的状态，但不代表她不会有不好的状态，明星也是人，也会有普通人的喜怒哀乐，而沈月只是诉说她当时的一些情绪状态，并且也很快调整好了。所以也希望此刻同样有焦虑的朋友，调整好心态，一步步来，就像沈月说的“累就证明我们在走上坡路”，上坡路也是最接近光的路，相信否极泰来，一切都是最好的安排！#沈月说因为丢工作经常焦虑# 草莓遇月亮的微博视频,2,32,221,广东,广州,广东,中国,star 4
5,4907500531614690,就一热心观众,2023-05-31 16:46:06,#内娱校园文女主代餐脸# 当年的陈小希@沈月 让人至今印象深刻，月月本人也像陈小希一样阳光治愈，真的可以完美带入校园文里各种可爱元气的女生！一起来回顾一下《致我们单纯的小美好》的MV，重温江辰和小希的青春故事吧！#沈月说因为丢工作经常焦虑# 《致我们单纯的小美好》主题曲《我多喜欢你，你会知道》 ,0,0,0,重庆,重庆,重庆,中国,star 5
