页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907493007035456,三明消防,2023-05-31 16:16:12,#滑翔伞失控坠地消防员接力抬伤者#这真的太危险，负责营救的兄弟们也辛苦了。蓝朋友在这之前也有遇到过因滑翔伞运动出现意外被困的警情，明明@三明消防 提醒大家：极限运动有风险，游玩时一定要谨慎！ ,0,2,1,,三明,福建,中国,star 1
2,4907492364521955,安徽消防,2023-05-31 16:13:39,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。 荔枝新闻的微博视频 ,1,3,4,,合肥,安徽,中国,star 5
2,4907492301606648,白夜菌Dream,2023-05-31 16:13:24,#滑翔伞失控坠地消防员接力抬伤者# 【男生滑翔伞失控坠地男消防员接力抬伤者】男孩子玩极限运动真的要注意安全啊，感谢男消防员保护男生安全送至救护车！为男消防员点赞！ #为他点赞##中国男性力量# ,0,0,5,广东,茂名,广东,中国,star 5
2,4907490675004227,羡兔子一只1005,2023-05-31 16:06:56,#滑翔伞失控坠地消防员接力抬伤者## 这种极限运动风险真的好大，关键时刻还是得看咱们万能的消防员！你们辛苦了 ,0,0,0,湖南,郴州,湖南,中国,star 3
2,4907490301445815,淄博警方,2023-05-31 16:05:27,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。 荔枝新闻的微博视频 ,0,0,2,,淄博,山东,中国,star 5
2,4907489982418722,海门政法,2023-05-31 16:04:11,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。 荔枝新闻的微博视频 ,0,0,0,,南通,江苏,中国,star 5
2,4907489714507111,950MusicRadio,2023-05-31 16:03:07,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】#950大眼睛# 近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。 荔枝新闻的微博视频 ,0,0,0,,南宁,广西,中国,star 5
2,4907484572291324,温州播报员,2023-05-31 15:42:41,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】#温州身边事# 近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。 荔枝新闻的微博视频  温州,0,0,0,浙江,温州,浙江,中国,star 5
2,4907459548809940,微博媒体,2023-05-31 14:03:15,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。荔枝新闻的微博视频 ,3,0,0,北京,北京,北京,中国,star 5
2,4907459548808925,微博发现,2023-05-31 14:03:15,【惊险！#滑翔伞失控坠地消防员接力抬伤者#】近日，浙江两名男子操作滑翔伞从温州起飞，计划在缙云降落，不料其中一人因气流影响中途坠落，着陆失误导致摔伤。消防队立即调派一车7人赶赴现场处置，到场时被困人员身体已无法动弹，消防员用担架接力护送其至救护车。荔枝新闻的微博视频 ,0,0,0,北京,北京,北京,中国,star 5
