页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907501147132541,傅诗淇的小小淇,2023-05-31 16:48:33,#神十五神十六航天员全家福# 一觉醒来，神十六与神十五汇合了！真是神速！中国航天人了不起！ ,0,2,3,浙江,台州,浙江,中国,star 5
2,4907500631752901,四川共青团,2023-05-31 16:46:29,#神十五神十六航天员全家福#我国第一部天文学著作是？  网页链接 ,1,0,18,,成都,四川,中国,star 4
2,4907175225333118,北京铁路,2023-05-30 19:13:27,#这就是属于中国航天的仪式感#【神十五神十六#航天员全家福拍摄现场画面#】“老哥好！欢迎！太激动了！”神十五神十六6名航天员实现第二次太空会师，拍摄了#载入史册第二次太空合影#，一起转存见证！@新华社 （央视新闻）#京铁微分享#  新华社的微博视频 ,5,6,9,,北京,北京,中国,star 5
2,4907498551905409,北京政法,2023-05-31 16:38:14,【历史一刻！#神十五神十六航天员全家福#】哈哈哈好热闹,0,0,0,,北京,北京,中国,star 5
2,4907498388067015,东石派出所,2023-05-31 16:37:35,历史一刻！#中国空间站的点点滴滴##神十五神十六航天员全家福##6位中国航天员太空聚会#  激动!  神舟十五号神舟十六号两个航天员乘组拍下“全家福”↓↓共同向牵挂他们的全国人民报平安。  后续，他们将共同在空间站工作生活约5天，完成各项既定工作。 航天面面观的微博视频 ,0,0,0,,泉州,福建,中国,star 5
2,4907497913057847,昆明禄劝发布,2023-05-31 16:35:42,#海评面#【外媒热议“神十六”升空：中国航天迅速发展】#洞见计划# 5月30日，神舟十六号载人飞船发射取得圆满成功，中国空间站再迎“太空会师”，吸引了全世界的目光。航天驾驶员、航天飞行工程师、载荷专家首次齐登场，外媒直呼这次“太空出差”看点多、亮点足。外媒关注到，神舟十六号飞行任务是中国载人航天工程进入空间站应用与发展阶段的首次载人飞行任务，多家外媒在报道时用“迅速”来形容中国航天事业的发展。美国有线电视新闻网（CNN）30日称，中国发射神舟十六号飞船，进行第二次在轨宇航员轮换，标志着中国雄心勃勃的太空计划又向前迈进了一步。随着中国太空事业的不断发展，未来将有越来越多“中国足迹”留在浩瀚太空。#神十五神十六航天员全家福# 海评面的微博视频,0,0,1,,昆明,云南,中国,star 5
2,4907497767569531,何香民,2023-05-31 16:35:07,#神十五神十六航天员全家福#一个环节做好了，再推广到其他环节。只要付诸行动，不断尝试，就会有成果。#阳明教育研究院# 网页链接 ,0,0,1,山东,青岛,山东,中国,star 5
2,4907497590099052,楚萍微客,2023-05-31 16:34:25,#神十五神十六航天员全家福# 短短一天的时间，中国空间站的人口密度就翻倍了 ,0,1,1,江西,萍乡,江西,中国,star 4
2,4907496983237313,人民日报海外版-海外网,2023-05-31 16:32:00,#海评面#外媒热议“神十六”升空：中国航天迅速发展 #神十五神十六航天员全家福#,2,0,3,,北京,北京,中国,star 5
2,4907495778424541,Shine夏延,2023-05-31 16:27:13,#神十五神十六航天员全家福#由于飞船发送的频次过高，我已经记不全航天员的名字了 ,0,3,3,河南,郑州,河南,中国,star 3
3,4907495619825569,重回大唐爱,2023-05-31 16:26:35,#神十五神十六航天员全家福#祝福中国航天加油！加油！再加油！！！ ,1,0,0,北京,北京,北京,中国,star 5
3,4907492285615891,晓风6688_200,2023-05-31 16:13:20,#神十五神十六航天员全家福#加油中国！我自豪我是中国人！ ,0,0,1,贵州,贵阳,贵州,中国,star 5
3,4907176848786587,CGTN,2023-05-30 19:19:54,【#神十五神十六航天员全家福#】两个航天员乘组拍下“全家福”↓（图片来源：中国载人航天工程办公室）#6位中国航天员太空聚会# #神十五神十六航天员同框# The three astronauts aboard China's Shenzhou-16 spaceship entered the country's space station combination on Tuesday and met with the Shenzhou-15 crew members living and working there. Take a look at the selfie of the six taikonauts!,11,4,73,,北京,北京,中国,star 5
3,4907477345503018,平度融媒,2023-05-31 15:13:58,#神十五神十六航天员太空会师# 平度融媒的微博视频 ,0,0,0,,青岛,山东,中国,star 5
3,4907165040773982,央视财经,2023-05-30 18:32:59,【历史一刻！#神十五神十六航天员全家福#】两个航天员乘组拍下“全家福”↓↓共同向牵挂他们的全国人民报平安。后续，他们将共同在空间站工作生活约5天，完成各项既定工作。祝福中国航天！越来越强！#6位中国航天员太空聚会# ,3,2,50,,北京,北京,中国,star 5
3,4907460240085417,巨人的呐喊,2023-05-31 14:06:00,现场：神十五神十六航天员同框 航天员见面后紧紧握手并拍下“全家福”网页链接# 来自@腾讯新闻 ,0,0,0,山东,潍坊,山东,中国,star 5
3,4907439449442117,苍南言,2023-05-31 12:43:23,#神十五神十六航天员全家福#神十五神十六顺利会师，一起来看“全家福”！！！此前，神十五航天员早已做好准备，迎接神十六航天员的到来，为此还特地准备了欢迎对联 。进驻空间站后，神十五神十六航天员乘组拍下“全家福” ，一起向全国人民报平安。两个航天员乘组将在空间站进行在轨轮换。6名航天员将共同在空间站工作生活约5天时间 ，完成各项既定工作。中国航天太牛了！祝福中国航天。,18,15,28,甘肃,兰州,甘肃,中国,star 5
3,4907166559374010,紫光阁,2023-05-30 18:39:01,历史一刻！胜利会师！ #神十五神十六航天员全家福# ,224,274,2487,,北京,北京,中国,star 5
3,4907424756797364,陇南信访,2023-05-31 11:45:00,#陇南信访话陇南# 【见证！#神十五神十六太空会师#】刚刚，翘盼已久的神舟十五号航天员乘组顺利打开“家门”，欢迎远道而来的神舟十六号航天员乘组入驻“天宫”。随后，两个航天员乘组拍下“全家福”，共同向牵挂他们的全国人民报平安。后续，两个航天员乘组将在空间站进行在轨轮换。@人民日报 ,0,4,3,,陇南,甘肃,中国,star 5
