页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907506167973529,暖暖的向日葵1005,2023-05-31 17:08:30,#肖战好大的珍珠泪#哭戏还这么好看的，肖战绝对是天花板了！@X玖少年团肖战DAYTOY 明晚记得来看梦中的那片海 ,0,0,0,江苏,南京,江苏,中国,star 5
2,4907506167716503,XK_1005mr,2023-05-31 17:08:30,梦中的那片海#肖战好大的珍珠泪# 嘿，别看这小子流泪大颗大颗的，珍珠似的，这小子虎着呢！不信，咱们央视八套cctv8每晚7点半瞧一瞧！#梦中的那片海定档# ,0,0,0,湖北,,湖北,中国,star 5
2,4907506167452003,Tery-Daytoy,2023-05-31 17:08:30,#肖战好大的珍珠泪#好可怜的肖春生 可是迫不及待看肖战肖春生哭了怎么办 ,0,0,0,上海,上海,上海,中国,star 5
2,4907506096408298,菠菜爱顾魏,2023-05-31 17:08:13,#肖战好大的珍珠泪#宝贝，妈妈来了 ,0,0,0,广西,桂林,广西,中国,star 5
2,4907506091952469,等待中中回归,2023-05-31 17:08:12,#肖战好大的珍珠泪#想看是什么原因吗？那就去看梦中的那片海吧 ,0,0,0,河南,,河南,中国,star 4
2,4907506088280095,Z余生有琳,2023-05-31 17:08:10,肖战#肖战肖春生##终于等到肖春生了#  大时代背景下小人物的故事，宏大的历史洪流中北京青年的烟火人生！期待演员肖战@X玖少年团肖战DAYTOY 全新的年代大剧！肖春生明天见！ #肖战好大的珍珠泪# 期待肖战的倾情演绎 ,0,0,0,重庆,重庆,重庆,中国,star 5
2,4907506054204284,_深渊书简_,2023-05-31 17:08:03,#肖战好大的珍珠泪# 为啥 谁惹我生哥 ,0,0,1,云南,大理白族自治州,云南,中国,star 5
2,4907506050010913,Sun-暖暖1005,2023-05-31 17:08:02,肖战#肖战肖春生# 肖战肖春生 #肖战好大的珍珠泪# 肖战  肖春生@X玖少年团肖战DAYTOY ，我终于等到你！ 6月1日起看肖春生不忘初心，奋力飞驰的每一天！  #梦中的那片海官宣定档0601#  cr. 《梦中的那片海》定档预告：肖战李沁演绎年代青春 ,0,0,0,广东,清远,广东,中国,star 5
2,4907506041886805,江南杏花雨_spring,2023-05-31 17:08:00,#肖战好大的珍珠泪#肖战的哭和笑都特具有感染力，这个哭都能感受到热泪滚烫了，大颗大颗的珍珠泪，看样子话剧有在认真磨练演技啊！期待看春生啊！ ,0,0,0,江苏,常州,江苏,中国,star 5
2,4907506029825280,阳阳的小姐姐1005,2023-05-31 17:07:57,#肖战好大的珍珠泪#使劲哭宝贝，我不心疼，想快点到明天看看你为啥哭#肖战肖春生# ,0,0,0,安徽,宣城,安徽,中国,star 5
3,4907505999943104,用尽一切奔向你668,2023-05-31 17:07:50,#肖战好大的珍珠泪#自我介绍一下儿，我是肖春生兄弟，各位对我说话客气些，不然我让我生哥揍你 #梦中的那片海官宣定档0601# ,0,1,2,河北,石家庄,河北,中国,star 1
3,4907505999677692,花儿落下等春生,2023-05-31 17:07:50,#肖战好大的珍珠泪#看得我也想哭，渲染了太强了 ,0,0,1,上海,上海,上海,中国,star 3
3,4907505996005791,熬夜的笋干,2023-05-31 17:07:48,#肖战好大的珍珠泪# 我准备好一起哭了 ,0,0,0,陕西,,陕西,中国,star 5
3,4907505995487166,小月先先贝是虾虾的宝贝,2023-05-31 17:07:49,#肖战好大的珍珠泪#梦中的那片海有什么，你喜欢爱情，他有四角狗血，你要热血，他有什刹海刹冰刹架，你要成才他有从北京小爷到企业老总的跨越.你想看父母时代的别样经历，他有当兵入伍，高考恢复！有笑有泪，有喜有悲！你想要的，北京小爷都能满足你（前面一堆，都是浮云、最重要肖春生长得帅）#肖战梦中的那片海#,0,0,1,甘肃,兰州,甘肃,中国,star 5
3,4907505978971408,热伊莱_Reyilai,2023-05-31 17:07:45,#肖战好大的珍珠泪# 肖战先生这拽样 我又心动了 ,0,0,0,新疆,乌鲁木齐,新疆,中国,star 5
3,4907504897888766,星姐微博,2023-05-31 17:03:27,#肖战好大的珍珠泪#  肖战肖春生的一些对比！ 每个角色都有属于他们的魅力！ 明晚《梦中的那片海》肖春生 #肖战肖春生落泪# #星姐微博# ,7,6,80,上海,上海,上海,中国,star 5
3,4907490183742461,郭靖射的雕,2023-05-31 16:04:59,#肖战好大的珍珠泪# 春生小爷，你别哭了！给你用心相印擦擦眼泪 @X玖少年团肖战DAYTOY @心相印  #肖战肖春生# ,7,53,580,山东,青岛,山东,中国,star 5
3,4907505928897460,哟来都来了,2023-05-31 17:07:33,#肖战好大的珍珠泪# 明天七点半，央8、腾讯，《梦中的那片海》 ,0,0,0,北京,北京,北京,中国,star 5
3,4907505916054954,xz肖老弟xz,2023-05-31 17:07:30,#终于等到肖春生了#来啦来啦肖战肖春生来啦#肖战好大的珍珠泪# ,0,0,1,陕西,榆林,陕西,中国,star 5
3,4907505899540207,樱桃多多肉,2023-05-31 17:07:26,#肖战好大的珍珠泪#看了一到四集的预告我真的等不及了呜呜呜呜 有被吸引！！！台词太清晰了！剧情看着也是我喜欢的！！好剧不怕晚呜呜呜 ,0,0,0,河北,秦皇岛,河北,中国,star 5
4,4907505895866973,蜜瓜乌龙猹,2023-05-31 17:07:25,#肖战好大的珍珠泪# #肖战肖春生落泪#  肖战李沁梦海挽手路透，cp感十足啊 蜜瓜乌龙猹的微博视频 ,0,0,0,天津,天津,天津,中国,star 3
4,4907505886956936,摄影师江灵光,2023-05-31 17:07:23,在肖战住过的厦门海港英迪格远眺鼓浪屿#肖战好大的珍珠泪##中国航天一往无前#厦门·厦门海港英迪格酒店 摄影师江灵光的微博视频 ,0,0,0,浙江,杭州,浙江,中国,star 5
4,4907505870964831,吃鸡排不加佐料,2023-05-31 17:07:19,#肖战好大的珍珠泪#期待肖战肖春生 ,0,0,0,安徽,滁州,安徽,中国,star 5
4,4907505869915583,CONSEAL-REVEAL,2023-05-31 17:07:19,#肖战好大的珍珠泪#睡了，晚上继续嗨 ,0,0,0,山东,潍坊,山东,中国,star 5
4,4907505862575898,桃桃的胡萝卜,2023-05-31 17:07:17,#肖战好大的珍珠泪#无敌期待了嗷 ,0,0,1,江苏,南京,江苏,中国,star 5
4,4907505802813011,小赞的小宾,2023-05-31 17:07:03,梦中的那片海抖腿期待中，，，，，，，啊啊啊，为什么今天不是明天！！  @X玖少年团肖战DAYTOY  #肖战好大的珍珠泪##肖战肖春生##梦中的那片海定档# ,0,0,1,广西,桂林,广西,中国,star 1
5,4907505698999237,重生版之肖美人,2023-05-31 17:06:38,#肖战好大的珍珠泪# 直接看预告吧 地道的京片子 “我肖春生兄弟的帽子你也敢飞”？ 为兄弟两肋插刀重情重义 第一集开局就燃炸 质感一绝，不愧是央视认证高分口碑爆款预定的年代大剧！全员演技在线，剧情紧凑，不好看我把头给你 #梦中的那片海在央视# CCTV电视剧的微博视频 ,3,6,90,山东,潍坊,山东,中国,star 2
5,4907505651815607,有钱顺顺利利-,2023-05-31 17:06:27,#肖战好大的珍珠泪#“好男儿志在四方”，坐看北京小爷肖春生励志成长追梦之路~#肖战肖春生# ,0,0,1,江苏,连云港,江苏,中国,star 4
5,4907505626646110,花儿落下等春生,2023-05-31 17:06:21,#肖战好大的珍珠泪#肖战会的演技确实不错，期待一下梦中那片海 ,0,0,4,上海,上海,上海,中国,star 4
5,4907505593358066,飞儿漫雪,2023-05-31 17:06:13,#肖战好大的珍珠泪#记得明晚19：30来CCTV8来看《梦中你那片海》 ,0,0,7,湖北,随州,湖北,中国,star 5
5,4907505584969008,苟不够,2023-05-31 17:06:11,#肖战好大的珍珠泪# 还是更喜欢魏无羡的哭戏 ,0,0,1,山东,青岛,山东,中国,star 4
5,4907505584701674,一玖方长,2023-05-31 17:06:10,#肖战好大的珍珠泪#我想到琼瑶对女演员的哭戏要求 ,0,0,1,福建,泉州,福建,中国,star 4
5,4907505564520020,暖暖清风0811,2023-05-31 17:06:06,#肖战好大的珍珠泪# 肖战戏路好广啊 演的真好好能共情啊 ,0,0,0,安徽,淮南,安徽,中国,star 4
5,4907505551151168,沐安的妈咪,2023-05-31 17:06:03,#肖战好大的珍珠泪#期待帅哥的新剧！ ,0,0,1,北京,北京,北京,中国,star 5
5,4907505547740110,jessie9999,2023-05-31 17:06:02,#肖战好大的珍珠泪#摸摸头#肖战肖春生##梦中的那片海在央视# ,0,0,4,河北,张家口,河北,中国,star 5
5,4907505547220475,纯牛奶qaq,2023-05-31 17:06:02,#肖战好大的珍珠泪#所以到底为啥这么伤心，生意失败？女朋友没追到？兄弟打架解决不了？哎呀呀，到底是为啥#肖战梦中的那片海# ,0,0,3,山西,长治,山西,中国,star 5
6,4907505543808611,See纠结姐姐,2023-05-31 17:06:01,#肖战好大的珍珠泪# 你可以永远相信肖战的演技！❤️ 坐等肖春生～ ,0,0,2,广东,深圳,广东,中国,star 5
6,4907505543021843,有趣的灵魂DAYTOY333,2023-05-31 17:06:01,#肖战好大的珍珠泪#肖战6月1日，有梦可期，跟肖春生@X玖少年团肖战DAYTOY 那片海见！#肖战梦中的那片海#🌊#肖战肖春生# ,0,0,2,广东,深圳,广东,中国,star 4
6,4907505535159909,肥虾爱兔兔DAYTOY,2023-05-31 17:05:59,#肖战好大的珍珠泪# xz#肖战肖春生#  优秀的演员是会让观众与之共情的，每次看肖战的哭戏都好心疼 6月1日起，每晚七点半，锁定CCTV8，腾讯视频，一起感受肖春生的喜怒哀乐吧 一起感受肖战的哭戏大赏 -Hello璇子的微博视频 ,0,0,2,四川,达州,四川,中国,star 5
6,4907505534109993,李法兰的追剧日常,2023-05-31 17:05:59,#肖战好大的珍珠泪#《梦中的那片海》妈呀！肖春生这是发生什么了眼泪哗哗的掉😧😧！肖战的哭，让人看了心疼，每次见不得他受委屈。肖春生的这滴泪落到了我的心里…明晚一起看肖春生不平凡的一生～ 李法兰的追剧日常的微博视频 ,0,1,2,山西,太原,山西,中国,star 5
6,4907505527034849,千雨心竹,2023-05-31 17:05:57,#肖战好大的珍珠泪#这哭戏是琼瑶阿姨都无可挑剔的程度吧 ,0,1,4,黑龙江,齐齐哈尔,黑龙江,中国,star 4
6,4907498575760760,芒果娱乐,2023-05-31 16:38:20,#肖战好大的珍珠泪# @X玖少年团肖战DAYTOY 的哭戏小合集，《梦中的那片海》再添名场面#肖战肖春生落泪# 太有感染力了，力度、面部表情都控制得恰到好处，没有多一分的夸张，没有少一寸的情感#芒果娱乐# 芒果娱乐的微博视频 ,71,72,280,,成都,四川,中国,star 4
6,4907505518641388,会搞笑的喵喵,2023-05-31 17:05:54,#肖战好大的珍珠泪##肖战肖春生# 期待6月1日晚7:30，cctv8！！ ,0,0,2,河北,,河北,中国,star 5
6,4907495723895309,iWarrenS,2023-05-31 16:27:00,品鉴一下肖战的哭戏怎么样？#肖战好大的珍珠泪# ,0,48,194,河南,南阳,河南,中国,star 4
7,4907505509729348,热爱可抵人生短暂,2023-05-31 17:05:53,#肖战好大的珍珠泪# 原来是落在了梦中的那片海！期待肖春生逐梦那片海！#梦中的那片海在央视# @X玖少年团肖战DAYTOY ,0,0,2,上海,上海,上海,中国,star 5
7,4907505505011999,傻鱼鱼Amy,2023-05-31 17:05:52,#肖战好大的珍珠泪#这个的确挺震撼的，让人心疼！我好奇原因！ ,0,0,1,四川,成都,四川,中国,star 4
7,4907505492955838,MrXFuckBessie,2023-05-31 17:05:49,#肖战好大的珍珠泪#为啥掉金豆豆啊，明晚我去央8一探究竟 ,0,0,38,上海,上海,上海,中国,star 1
7,4907505467265529,小沉小肖,2023-05-31 17:05:43,#肖战好大的珍珠泪#  人生可不止这一片什刹海，外面还有更广阔的天地等着咱们期待肖春生！@X玖少年团肖战DAYTOY  #肖战肖春生##肖战梦中的那片海# ,0,0,1,广东,汕头,广东,中国,star 5
7,4907502317342996,出逃小套,2023-05-31 16:53:12,肖战的共情能力也太强了吧世界这么大，不闯不叫肖春生！明天CCTV-8不见不散！！  #肖战好大的珍珠泪##梦中的那片海定档# ,1,1,76,江苏,镇江,江苏,中国,star 5
7,4907505409067394,椰子dudu,2023-05-31 17:05:29,#肖战好大的珍珠泪#虽说还没看到春生，但是看到这眼泪，我也跟着撇嘴了，觉得好委屈 ,0,0,1,安徽,合肥,安徽,中国,star 3
7,4907505395962540,一起来聊八,2023-05-31 17:05:26,#肖战好大的珍珠泪# #肖战肖春生落泪#  肖战李沁新剧同框路透，两人的年代氛围感不错哦~~  期待播出！！ 一起来聊八的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
