页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907503769619295,7CRST_531,2023-05-31 16:58:58,#马雪阳谭咏雯公布恋情#救命我一不小心看成了马雪阳谭咏麟，手机砸地上了… ,0,1,3,天津,天津,天津,中国,star 5
2,4907503450588157,辣个韦韦,2023-05-31 16:57:42,#马雪阳谭咏雯公布恋情# 芜湖~ 看来超新星真的是个恋综呀，主动公布恋情的明星大概率离结婚不远，远哥差不多要上线儿了 ,0,0,0,重庆,重庆,重庆,中国,star 4
2,4907496484110543,新浪娱乐,2023-05-31 16:30:00,#阿乐辣评bot# X #张远 你只是嘉宾#  31日，@火星兔马雪阳 卡点13点14分官宣与演员@谭咏雯 的恋情，还称对方是棉花糖本糖，@张远Bird 转发送祝福，“又来活儿了…又只剩我了…恭喜阳仔”。网友辣评：你只是嘉宾。就问什么时候能听到远哥的好消息啊！#马雪阳谭咏雯公布恋情# ,1,3,11,,北京,北京,中国,star 5
2,4907503004943879,李现的乐园三,2023-05-31 16:55:56,#马雪阳谭咏雯公布恋情# 呼叫张远婚庆歌手准备好了吗 ,0,1,3,湖北,武汉,湖北,中国,star 5
2,4907502715799356,杨小屁ing,2023-05-31 16:54:47,#马雪阳谭咏雯公布恋情# 看成谭咏麟了 ,0,1,2,辽宁,鞍山,辽宁,中国,star 5
2,4907502556941163,深度熬夜冠军,2023-05-31 16:54:09,#马雪阳谭咏雯公布恋情#我看成谭咏麟 ,0,0,0,湖南,株洲,湖南,中国,star 5
2,4907502393624447,睦月里的喵星人,2023-05-31 16:53:30,#马雪阳谭咏雯公布恋情# 超新星真的是个恋综，张远《嘉宾》又要安排上了 ,0,0,2,上海,上海,上海,中国,star 4
2,4907502087443807,时尚娱果香,2023-05-31 16:52:17,#马雪阳谭咏雯公布恋情#至上励合组合成员马雪阳公布恋情，看得出来真的好甜蜜啊，两人也超级配，真的太幸福了，让人好羡慕 ,0,0,2,河北,唐山,河北,中国,star 5
2,4907457111132640,八酱日常,2023-05-31 13:53:34,#马雪阳谭咏雯公布恋情#马雪阳是至上励合组合成员，谭咏雯是一名演员 ,104,130,317,北京,北京,北京,中国,star 4
2,4907501143461966,春困卷卷心,2023-05-31 16:48:32,#马雪阳谭咏雯公布恋情# 祝福，支持花园重建，组长抽奖放我进去🙏 ,0,0,0,浙江,宁波,浙江,中国,star 5
3,4907500166188106,兔兔咚咿,2023-05-31 16:44:39,#马雪阳谭咏雯公布恋情#马雪阳是参加过创造营的那个吧 ,0,1,1,河北,邯郸,河北,中国,star 5
3,4907499146446054,星探狗,2023-05-31 16:40:36,#张远又在见证爱情#马雪阳今日浪漫踩点13.14公布与谭咏雯恋情。恭喜小情侣，也恭喜张远再次被剩下哈哈哈，网友纷纷喊话：张远来活了，又可以唱嘉宾了 ,32,31,34,广东,湛江,广东,中国,star 5
3,4907499108958413,白言Bai,2023-05-31 16:40:26,#张远又在见证爱情# 马雪阳和谭咏雯公布恋情，张远送又来活了，真的是见证了所有人的爱情哈哈哈哈，正前娱乐的微博视频 ,0,0,0,甘肃,平凉,甘肃,中国,star 5
3,4907498996500798,你的女孩zizi,2023-05-31 16:40:00,#马雪阳谭咏雯公布恋情#为啥都是丑男配美女啊 想不通 ,0,6,2,重庆,重庆,重庆,中国,star 3
3,4907498874341272,一一一一尹,2023-05-31 16:39:31,#马雪阳谭咏雯公布恋情#吓死！看成马雪阳谭咏麟？ ,0,0,5,广东,汕尾,广东,中国,star 3
3,4907449091364158,首都一橘,2023-05-31 13:21:42,啊啊啊笑晕了#马雪阳谭咏雯公布恋情#，张远：又来活了！  马雪阳官宣恋情！女方是演员谭咏雯！恭喜🎉  #张远又在见证爱情# ,109,10,279,北京,北京,北京,中国,star 5
3,4907498275081696,卓小柒An,2023-05-31 16:37:08,#马雪阳谭咏雯公布恋情# 张远又要唱了🎤 “感谢你特别邀请……” ,0,0,0,山东,淄博,山东,中国,star 5
3,4907478673787622,看尘土逆风飞舞,2023-05-31 15:19:15,#马雪阳谭咏雯公布恋情#  真就 铁打的嘉宾—张远  #嘉宾[音乐]# ,0,4,54,福建,泉州,福建,中国,star 5
3,4907497892875407,你好我是小猫吐司,2023-05-31 16:35:37,#马雪阳谭咏雯公布恋情#至上励合成员马雪阳和谭咏雯今日官宣恋情，女方是演员参加过《舞蹈风暴》。棉花糖本糖终于现身了，祝福久久 ,0,1,1,河北,唐山,河北,中国,star 5
3,4907497057947498,圈内娘,2023-05-31 16:32:18,#马雪阳谭咏雯公布恋情#  5月31号，至上励合成员马雪阳发布一条微博公布恋情，称没有人公布的话，他就公布了！ 还称呼其女友为棉花糖小居居，女友也甜蜜回应马雪阳是她的专属取件“马”，两人俨然处于热恋状态。 并且官宣还卡点13.14，简直不要太甜啊！！好好磕！ ,0,0,0,广东,深圳,广东,中国,star 5
4,4907496097712664,天使的指纹呀,2023-05-31 16:28:29,#马雪阳谭咏雯公布恋情#张远，你再不结婚以后就找不到单身朋友当伴郎了 ,0,0,11,海南,海口,海南,中国,star 5
4,4907495749063884,火锅不加辣myy,2023-05-31 16:27:06,#马雪阳谭咏雯公布恋情#张远又得去唱嘉宾了 ,0,0,4,江苏,苏州,江苏,中国,star 5
4,4907495673302408,TONG_SJT,2023-05-31 16:26:48,#马雪阳谭咏雯公布恋情# 恭喜马老师！！！！！ 都去听一听马老师的歌，真的好好听！创作才子诚不欺我！ ,0,0,0,河南,商丘,河南,中国,star 5
4,4907494906792742,老任同学爱老于,2023-05-31 16:23:45,#马雪阳谭咏雯公布恋情#5311314好会哦 祝幸福 ,0,0,1,山东,青岛,山东,中国,star 5
4,4907494227053501,刘思萌smile萌,2023-05-31 16:21:03,#马雪阳谭咏雯公布恋情#他俩是卡点大师吧 ,0,0,0,吉林,四平,吉林,中国,star 5
4,4907494180913690,娱闻新风尚,2023-05-31 16:20:52,#马雪阳谭咏雯公布恋情#哇！好般配好甜蜜哦！就喜欢这种主动公布恋情的！大大方方，我们也送上祝福！ ,0,0,2,安徽,合肥,安徽,中国,star 5
4,4907493916938371,咚哩个咚咚王,2023-05-31 16:19:49,#马雪阳谭咏雯公布恋情# 啊，恭喜！ 曾经在创造营2019的节目里，我被马雪阳和张远的谈话感动哭！ 超自律的马雪阳，幸福久久！ 张远又可以在婚礼上唱嘉宾了 “感谢你特别邀请，来见证你的爱情。” ,0,0,1,江苏,苏州,江苏,中国,star 5
4,4907493857691177,我命运般的李泽言,2023-05-31 16:19:35,#马雪阳谭咏雯公布恋情#我还以为一个配音演员   还寻思着现在这么火了吗 官宣就能上热搜 ,0,2,2,浙江,,浙江,中国,star 5
4,4907493597388311,名侦探毛利小柯南,2023-05-31 16:18:33,#马雪阳谭咏雯公布恋情#公布吧，反正也不认识你是谁——谭咏麟的妹妹？ ,0,1,2,河北,石家庄,河北,中国,star 4
