页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907508118065907,扫垃圾是我的本职工作,2023-05-31 17:16:15,#G社拍的杨紫# 来看自由的橙紫公主@杨紫  美丽不设限 小野猫「狠」挠人 #杨紫时尚芭莎封面# ,0,2,52,广东,中山,广东,中国,star 5
2,4907509099531675,小段君爱吐槽,2023-05-31 17:20:09,#G社拍的杨紫#昨天杨紫的红毯总体来说蛮好的～妆造毕竟是要符合朋克女孩的主题嘛，美女状态还是很不错的 小段君爱吐槽的微博视频 ,38,12,73,山东,菏泽,山东,中国,star 5
2,4907502909260248,相顾一校,2023-05-31 16:55:33,#杨紫时尚芭莎封面#太好看啦   #G社拍的杨紫# ,2,2,79,上海,上海,上海,中国,star 5
2,4907508969248111,蝶儿一小只,2023-05-31 17:19:38,#G社拍的杨紫# 好美好美，你最近也被杨紫美到了吗 ,0,0,6,广东,东莞,广东,中国,star 5
2,4907483825179424,柠檬阿茶_,2023-05-31 15:39:43,#杨紫时尚芭莎封面##g社拍的杨紫# 泰酷辣！真的很喜欢这组风格，朋克风符合芭莎主题，杨紫继续尝试新风格，喜欢！ ,80,173,3084,北京,北京,北京,中国,star 5
2,4907508876968565,ebot,2023-05-31 17:19:15,#G社拍的杨紫# @杨紫 日常随拍也很美～ ,1,1,41,广东,广州,广东,中国,star 5
2,4907506020649187,Ashley璐酱,2023-05-31 17:07:55,#g社拍的杨紫# 那也看看路人拍的杨紫吧#杨紫与花同乘# HakCheon的微博视频 ,8,33,465,上海,上海,上海,中国,star 4
2,4907508822445650,紫爱奥奥紫,2023-05-31 17:19:03,朋克风的特点，紫这造型完全符合芭莎时尚之夜主题 很好看 我喜欢#G社拍的杨紫#yz#杨紫时尚芭莎封面# ,0,0,16,江苏,常州,江苏,中国,star 5
2,4907508819036402,莫雨湫_raray,2023-05-31 17:19:02,#G社拍的杨紫##杨紫与花同乘# 就说了这个妆造风格真的很适合封面 时尚的感觉就对了 辣妹小野猫既视感 火烈而炙热 反差感这不就来了 支持杨紫尝试不同风格 展现更多美丽自己 ,0,2,17,北京,北京,北京,中国,star 5
3,4907506671812844,废话多的喜欢pk的都是假瓜主,2023-05-31 17:10:29,#G社拍的杨紫# 虽然现场打光一般，但杨紫尝试新的造型新的风格还是很不错的。贴合活动主“YOUNG HEART 从未设限”！人生就是要不设限！勇敢尝试不同的东西，多么美好啊～#杨紫与花同乘# ,0,2,30,上海,上海,上海,中国,star 4
