页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907510006550282,大花儿伊达,2023-05-31 17:23:45,#女生穿婚纱看演唱会被分手#男的天天穿西服女的也没说啥啊，女生穿个婚纱就不行了 ,0,0,0,河北,,河北,中国,star 3
2,4907509972992275,贾神迷弟,2023-05-31 17:23:36,#女生穿婚纱看演唱会被分手#三观不合建议不要在一起 ,0,0,0,江西,抚州,江西,中国,star 1
2,4907495754044570,小蛋便利贴,2023-05-31 16:27:07,#女生穿婚纱看演唱会被分手# 看到了吧，为什么有的男的疯狂贬低丑化追星的女孩，因为女孩追的不是你，婚纱没有穿给你看 ,0,1,18,河北,秦皇岛,河北,中国,star 3
2,4907439771616963,没想好咋起名,2023-05-31 12:44:40,#女生穿婚纱看演唱会被分手#这也能引起争论真的是我万万没想到的。国男给女性的枷锁，已经从贞操到一件衣服了吗？他们是把女性作为独立个人尊重，还是认为女性只配作为自己的附属物？ ,9,45,976,河南,郑州,河南,中国,star 4
2,4907509947301927,小徐不爱吃蔬菜6,2023-05-31 17:23:30,#女生穿婚纱看演唱会被分手# 不懂有啥好吵的一天闲的发慌  夹总每天不搞点事就浑身不自在 ,0,0,0,江西,上饶,江西,中国,star 2
2,4907509884127568,阿笙小袁饼,2023-05-31 17:23:16,#女生穿婚纱看演唱会被分手# 性无能对男性的心理伤害是比较大的，会导致大部分男人极度自卑，男人性无能还会导致出现过度抑郁、心理扭曲的情况，需要及时到医院就诊，或是进行有效的心理疏导。男人性无能还会导致心情烦躁，经常莫名其妙发脾气，对不熟悉的女性造黄谣，无缘无故破防，动不动就考考你等。没有恶意哈,0,1,2,广东,广州,广东,中国,star 4
2,4907420764079694,喵喵喵喵喵喵嗷-,2023-05-31 11:29:08,#女生穿婚纱看演唱会被分手#现在:婚纱是爱情的象征！婚纱很重要！婚纱代表贞洁！ 结婚时:就穿一次，租个便宜的得了。 我说你们差不多得了 ,399,264,10826,陕西,,陕西,中国,star 5
2,4907509800501814,木木的Lee,2023-05-31 17:22:56,#女生穿婚纱看演唱会被分手#争论来争论去，归根结底就是两个人三观理念不合，只不过穿婚纱这件事触爆了这个导火索。 ,0,0,0,四川,成都,四川,中国,star 4
2,4907502321273589,风泉琳,2023-05-31 16:53:13,#女生穿婚纱看演唱会被分手#追星挡烂桃花，靠谱！ ,1,1,21,广东,汕头,广东,中国,star 5
2,4907509364036251,Cherry奶油,2023-05-31 17:21:12,#女生穿婚纱看演唱会被分手# 这么点屁事也要讨论那么久 八个字 关你屁事关我屁事 ,0,0,0,浙江,台州,浙江,中国,star 1
3,4907482210637184,外芝特堡,2023-05-31 15:33:18,#女生穿婚纱看演唱会被分手#“在女性已经不把结婚当成所谓的人生大事，积极寻找人生除了结婚以外的意义的时候，男的还在试图用一件裙子来给女性上贞cao锁” ,0,0,45,山东,济南,山东,中国,star 4
3,4907509259436481,不走平台的别来,2023-05-31 17:20:46,#女生穿婚纱看演唱会被分手# 有这闲心管女生穿什么还不如管管那些战队夺冠后什么也不穿的♂人 ,0,0,0,河南,许昌,河南,中国,star 2
3,4907509230078456,不要关注我lll,2023-05-31 17:20:40,#女生穿婚纱看演唱会被分手#处女文化的升级版？ 可怜的被绑架的东亚女人的一生…… ,0,0,4,天津,天津,天津,中国,star 4
3,4907509170571701,小邹多喝水,2023-05-31 17:20:26,#女生穿婚纱看演唱会被分手#我乐意，反对我追星，亖 ,0,0,0,河北,石家庄,河北,中国,star 4
3,4907509132823832,-我左手有伤,2023-05-31 17:20:17,#女生穿婚纱看演唱会被分手#婚纱说白了就是一件衣服，什么时候和贞洁划等号了 ,0,0,0,山西,太原,山西,中国,star 3
3,4907509128892086,隐德莱希-summer,2023-05-31 17:20:16,#女生穿婚纱看演唱会被分手#可是人家穿什么衣服跟你们有什么关系啊 人家又没有要当你女朋友，你每天穿的衣服都有价值吗，你今天船长袖明天穿短袖 为什么呢 为什么你夏天不穿长袖，打球不穿拖鞋，为什么呢，每个人做出一些事情无非就是 喜欢 我感觉这件事情应该做，跟别人有什么关系呢，嫁不嫁的也跟你们没有关系啊 你们介意就不娶，没有人逼着你们娶她们啊，笑死了，如果穿婚纱去演唱会能过滤这么多不合适的人，那简直太有意义了好吧,0,0,0,河南,郑州,河南,中国,star 5
3,4907509111852605,利维亚的跳高选手,2023-05-31 17:20:12,#女生穿婚纱看演唱会被分手#男生看不过去，想分就分呗，没啥的 ,0,0,0,浙江,,浙江,中国,star 3
3,4907509029016423,雨林金当,2023-05-31 17:19:52,#女生穿婚纱看演唱会被分手#还好分了，不然到时候离婚真成二婚了 ,0,0,1,湖南,郴州,湖南,中国,star 4
3,4907500236968034,吃瓜小茶妹,2023-05-31 16:44:56,#女生穿婚纱看演唱会被分手#男人自己什么时候能学会守男德再来对着追星女破防吧😅😅 不是男人吃泡面也要给女主播刷礼物的时候了😅😅 ,0,0,20,浙江,宁波,浙江,中国,star 3
