页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907509058374042,张律师在微博,2023-05-31 17:19:59,"#被抛弃女孩长大后拒绝与父母相认# 说个不算冷知识的知识，那就是如果养父母在收养子女时办理了合法的登记手续，子女与生父母之间的权利义务自收养关系成立之日起消除，对生父母不再负有赡养义务。如果养父母在收养子女时未向县级以上人民政府民政部门登记。在这种情况下,依据《收养法》第15条、第25条规定，子女与养父母之间的收养关系不符合法律规定，应当确认不具有法律效力。在这种情形下， 即便生父母抛弃了子女，子女仍需要赡养父母。",0,1,1,北京,北京,北京,中国,star 4
2,4907508986810695,春语流年,2023-05-31 17:19:42,#被抛弃女孩长大后拒绝与父母相认# 既然没有尽到做父母的责任，就要尊重孩子的选择，强扭的瓜不甜。当初因为重男轻女扔掉孩子，本身就是违法的。最重要的是亲身父母的做法总让人有一种心怀不轨的感觉。 ,0,0,0,天津,天津,天津,中国,star 4
2,4907508772375737,胖小白儿,2023-05-31 17:18:51,#被抛弃女孩长大后拒绝与父母相认#绑架吗这是？想不想认是女孩子的自由吧，一天没养，不想认就说人家不好 ,0,0,0,天津,天津,天津,中国,star 4
2,4907503354380502,猫眼-妖孽,2023-05-31 16:57:18,#被抛弃女孩长大后拒绝与父母相认# 划重点：弟弟交了女朋友，要和弟弟好好相处。——不是，你们这算盘打的，我在辽宁都听到了。 ,0,4,23,辽宁,本溪,辽宁,中国,star 3
2,4907488937248716,新闻晨报,2023-05-31 16:00:02,【#被弃养女孩拒认亲生父母被骂没良心#：没有道德的人为什么要来道德绑架自己】近日，江苏东台。骆女士称亲生父母因自己是女孩在自己出生时就抛弃了自己，自己19岁时对方找来相认，自己拒绝后遭到了对方谴责。近几个月亲生父母那边又找人说弟弟交了女朋友，让自己和弟弟好好相处。骆女士称，自己拒绝相认后，对方以各种理由找自己，谴责自己没良心，说养父母小肚鸡肠阻止他们相认，但养父母一直尊重自己的选择，是自己不想相认，对方虽然十月怀胎生下了自己，但是已经扔掉了自己。现在最大的希望是对方不要再说自己的养父母，自己是养父母唯一的孩子，希望对方不要再道德绑架自己。#被抛弃女孩长大后拒绝与父母相认#（白鹿视频）白鹿视频的微博视频,6,28,155,,上海,上海,中国,star 5
2,4907508449674282,乐天凌,2023-05-31 17:17:34,#被抛弃女孩长大后拒绝与父母相认# 女孩：没有道德的人为什么要来道德绑架自己？ 乐天凌的微博视频 ,0,0,0,浙江,,浙江,中国,star 4
2,4907508240748756,_谁是谁_,2023-05-31 17:16:44,#被抛弃女孩长大后拒绝与父母相认# 这不很正常吗？你怎么待我我就怎么待你啊，谁爱做圣母谁去做,0,0,1,上海,上海,上海,中国,star 3
2,4907507733233902,我会等冬雪融化,2023-05-31 17:14:42,#被抛弃女孩长大后拒绝与父母相认# 好见的父母 低血压都治好了 ,0,0,0,上海,上海,上海,中国,star 5
2,4907507510675201,隨心而動隨感而發,2023-05-31 17:13:50,#被抛弃女孩长大后拒绝与父母相认#养恩大于生恩，认不认都是她自己的选择，为什么要这样强迫？ ,0,0,1,湖北,武汉,湖北,中国,star 4
2,4907507397427310,迷死他赵,2023-05-31 17:13:22,我是一名23届的大四学生。我从出生起就一直生活在婆媳关系恶劣的世界里，奶奶跟我讲妈妈是个傻子，妈妈跟我吐槽我的叛逆行为都是奶奶教的。妈妈又极度重男轻女，直到高中毕业之前，我们一直没有联络。后来我上大学了，妈妈那边好像知道了我的利用价值了一样，回家就动我的东西，我弟要读什么专业，要拿什么东西回学校总是来问我，我觉得很厌恶，我和妈妈就从语言冲突到产生了肢体冲突，她把她家里人全叫过来说不让我进门，因为我妈妈性格太泼辣，我奶奶那边也没干涉，这是大二时候的事。后来，我发现我的时间都停留在这一刻了。我开始陷入极度的不安之中，害怕接电话，害怕回家跟妈妈见面，害怕与别人进行接触，睡觉的时候，一点声响就可以让我心跳加速，一点阻碍都可以让我觉得自己要被绑架了一样，十分不安。现在我妈妈还是一样，好像之前什么都没发生过一样，有事就过来问东问西，要我做这做那。我真的是很害怕。#被抛弃女孩长大后拒绝与父母相认##妹妹是重男轻女的产物#,2,0,6,福建,厦门,福建,中国,star 4
