页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907506596581825,奶茶星人泡个剧,2023-05-31 17:10:12,#高瀚宇问娜扎六年前是在谈恋爱吗# 这热度是有点子高啊还是回顾下他俩之前你好星期六那一期吧，择天记六周年，娜扎高瀚宇你好星期六相聚直言还没有出戏 奶茶星人泡个剧的微博视频 ,97,96,103,江苏,南京,江苏,中国,star 5
2,4907506507450312,星河宇宙是你橙,2023-05-31 17:09:51,#高瀚宇问娜扎六年前是在谈恋爱吗#记得星期五爱奇艺看娜扎萌探3～还是节目好看 ,0,1,2,福建,福州,福建,中国,star 5
2,4907506197070860,千千万万的喜欢忠于自己,2023-05-31 17:08:37,#高瀚宇问娜扎六年前是在谈恋爱吗#脱下光环谁都是个普通的人，大家好好看节目吧 ,0,0,0,福建,福州,福建,中国,star 3
2,4907417119228173,星探长,2023-05-31 11:14:38,#高瀚宇问娜扎六年前是在谈恋爱吗#  因为谈恋爱很抑郁？？？高瀚宇你真的啥都往外说啊、娜扎听了都很震惊的程度🤯 星探长的微博视频 ,207,200,244,山西,太原,山西,中国,star 5
2,4907505966647162,阿莹呀ayy,2023-05-31 17:07:42,#高瀚宇问娜扎六年前是在谈恋爱吗#热搜上的还挺快，能不能别可着美女薅了，一个常驻在官博的出现频率还不如嘉宾，搞事的时候倒是能想起她。有这功夫倒不如好好做节目，这几期分徽章的部分看得我肝疼 ,0,0,8,辽宁,阜新,辽宁,中国,star 4
2,4907505659942037,今天要长多少膘,2023-05-31 17:06:29,#高瀚宇问娜扎六年前是在谈恋爱吗#           路透热度最高 正片镜头没几个 搞这些有的没的热搜你最行 钮钴禄·事业扎来了！姐姐好美！@我是娜扎 ,0,0,7,湖南,衡阳,湖南,中国,star 5
2,4907501357107157,·恋扎日记·,2023-05-31 16:49:23,#高瀚宇问娜扎六年前是在谈恋爱吗#觉得娜扎好欺负吗逮着娜扎就使劲薅，有能耐多给点镜头啊骚操作还挺多的节目组一枚呀@萌探探探案 ,0,1,26,广东,东莞,广东,中国,star 5
2,4907505043378682,_一罐奶菡,2023-05-31 17:04:02,#高瀚宇问娜扎六年前是在谈恋爱吗#  娜扎的命也是命，节目组多给点镜头吧良心点不好吗 ,0,1,8,河南,,河南,中国,star 3
2,4907504913356596,Z锖青磁Z,2023-05-31 17:03:31,#高瀚宇问娜扎六年前是在谈恋爱吗# 镜头没多给美女几个，倒是会用美女博眼球呢 ,0,1,7,江西,上饶,江西,中国,star 4
2,4907504796699259,扎姐的猫,2023-05-31 17:03:03,#高瀚宇问娜扎六年前是在谈恋爱吗# 次次热搜都有娜扎，正片我多打个水的功夫都不知道娜扎参加录制了，能不能公平一点呢节目组 ,0,1,11,浙江,杭州,浙江,中国,star 4
3,4907504612414392,_Scmmmm,2023-05-31 17:02:19,#高瀚宇问娜扎六年前是在谈恋爱吗#娜扎大美女搞事业的样子多美，欢迎支持 ,0,1,2,河南,济源,河南,中国,star 5
3,4907504415279845,一言1113,2023-05-31 17:01:32,#高瀚宇问娜扎六年前是在谈恋爱吗#萌探你烦不烦，娜扎的命也是命，就逮着她薅，都过去这么多年了，不想提，谁年轻的时候没谈过恋爱呀，谁没有为爱神伤过啊。大美女永远往前看。 ,0,0,7,重庆,重庆,重庆,中国,star 5
3,4907504384873294,TMY十万伏特加,2023-05-31 17:01:25,#高瀚宇问娜扎六年前是在谈恋爱吗#   之前的钮钴禄事业脑是不是就是这个片段，想知道到底发生了什么周五别忘记看萌探3@我是娜扎 ,0,1,9,中国台湾,台中市,台湾,中国,star 5
3,4907503969632627,爱豆饭团,2023-05-31 16:59:45,#高瀚宇问娜扎六年前是在谈恋爱吗#高瀚宇太憨了哈哈怎么什么都敢问啊，不知道娜扎怎么回答呢？这两个人能成为朋友多亏了都是大大咧咧的人呀 ,0,0,0,福建,福州,福建,中国,star 5
3,4907503815756641,奶旬,2023-05-31 16:59:09,#高瀚宇问娜扎六年前是在谈恋爱吗# 萌探下次再搞这种热搜之前先给我们热搜话题提供者娜扎女士多点镜头别最少的镜头挨最多的骂 ,0,0,17,辽宁,,辽宁,中国,star 5
3,4907503756772508,季xixi,2023-05-31 16:58:55,路透热度最高 正片镜头没几个 搞这些有的没的热搜你最行 #高瀚宇问娜扎六年前是在谈恋爱吗# ,0,1,2,甘肃,平凉,甘肃,中国,star 3
3,4907503744189045,语数英,2023-05-31 16:58:52,#高瀚宇问娜扎六年前是在谈恋爱吗# 高瀚宇确实是有点实力在身上的，这也太敢说了吧，问娜扎六年前是不是在谈恋爱也是没谁了，这是我们免费可以知道的吗？还挺期待娜扎的回答 ,0,0,1,福建,福州,福建,中国,star 5
3,4907503735276883,娱乐界蜀黍,2023-05-31 16:58:50,#高瀚宇问娜扎六年前是在谈恋爱吗# 高瀚宇问娜扎六年前在谈恋爱这个问题是我可以听的吗？节目效果直接拉满，期待正片播出！ ,0,1,1,福建,福州,福建,中国,star 5
3,4907503668167069,男女那么些事,2023-05-31 16:58:33,#高瀚宇问娜扎六年前是在谈恋爱吗#   古力娜扎也是位爽姐！ 好像和翰哥分手后...就变得更强大了！ 男女那么些事的微博视频 ,0,0,0,天津,天津,天津,中国,star 5
3,4907503512982438,谁啊谁啊是谁y,2023-05-31 16:57:57,#高瀚宇问娜扎六年前是在谈恋爱吗#关注美女谈恋爱不如多关注关注自己，美女没惹 ,0,0,0,河南,,河南,中国,star 5
4,4907503436962049,娱乐界的那点事儿,2023-05-31 16:57:39,#高瀚宇问娜扎六年前是在谈恋爱吗# 高瀚宇这张嘴也太会问了吧，竟然问娜扎六年前是不是在谈恋爱，这真的很敢问阿，不过这是我们不用付费就可以听的吗？ ,0,0,0,福建,福州,福建,中国,star 3
4,4907503432763791,每周影视推荐,2023-05-31 16:57:38,#高瀚宇问娜扎六年前是在谈恋爱吗# 我宣布高瀚宇就是我的互联网嘴替，这也太敢问了吧实属让我佩服，不过我也很想八卦，期待正片给我们带来的精彩内容啦 ,0,0,1,福建,福州,福建,中国,star 5
4,4907503408386175,猫街小巷萌少年,2023-05-31 16:57:32,#高瀚宇问娜扎六年前是在谈恋爱吗# 四舍五入，谈恋爱很令人抑郁！ 所以美女以后好好搞事业吧，以后就是钮钴禄娜扎 ,0,0,3,湖北,宜昌,湖北,中国,star 5
4,4907503131820356,摩卡-瑞纳冰,2023-05-31 16:56:25,#高瀚宇问娜扎六年前是在谈恋爱吗# 别关注美女谈不谈恋爱了，新节目多有意思不看吗 ,0,1,5,,,,中国,star 5
