页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907536991393130,大灰狼要抓住小绵羊,2023-05-31 19:10:59,#北上官宣阵容# 这阵容也太绝了吧我的天 白鹿冲冲冲！ ,0,0,0,江苏,盐城,江苏,中国,star 5
2,4907535847655726,顶流小趴菜,2023-05-31 19:06:26,男女主竟然分开宣，班底真不错…那这白鹿、欧豪谁一番#北上官宣阵容# ,0,10,31,河北,邯郸,河北,中国,star 4
2,4907536958625456,内娱都以为瓜子糊了,2023-05-31 19:10:51,#北上官宣阵容# 确实，阵容强大，白鹿欧豪主演的北上班底有点东西。 ,1,12,25,湖南,株洲,湖南,中国,star 4
2,4907530972562417,别沮丧要开心,2023-05-31 18:47:04,#北上官宣阵容#白鹿你怎么会次次都让我这么爽 ,0,6,95,云南,大理白族自治州,云南,中国,star 5
2,4907536941062818,·葡萄奶栗冻·,2023-05-31 19:10:47,#北上官宣阵容# 【小鹿北上 一路长虹】 演员阵容很棒诶！ 期待夏凤华 期待演员白鹿@白鹿my ,0,0,0,江苏,苏州,江苏,中国,star 5
2,4907531930174091,北城红豆仔,2023-05-31 18:50:52,北上开机发布上的鹿鹿来啦！现场宣读了演职人员自律公约 花絮里的状态超级好 可可爱爱蹦蹦跳跳哒！预祝《北上》拍摄顺利 期待精彩呈现啦！ #北上官宣阵容##白鹿北上#白鹿白鹿 北城红豆仔的微博视频 ,9,24,238,江苏,镇江,江苏,中国,star 5
2,4907535188626730,扒圈小记,2023-05-31 19:03:49,白鹿的娱乐圈地位是不是起来了，新剧压番欧豪，这还是一部大男主戏…   #北上官宣阵容# ,1,62,1090,湖北,荆门,湖北,中国,star 4
2,4907536849048071,森雾橘只,2023-05-31 19:10:25,#北上官宣阵容#温妲己你在吗？怎么看到白鹿是国家重点项目的电视剧女主你就不爱笑了？ ,0,4,17,江苏,扬州,江苏,中国,star 3
2,4907536774074111,就迷鹿吧,2023-05-31 19:10:07,#北上官宣阵容# 那就期待一下白鹿姐姐啦！ ,0,2,8,马来西亚,,马来西亚,马来西亚,star 5
2,4907536766208809,哦哦哦哦啵叽,2023-05-31 19:10:05,#北上官宣阵容# yxh不要替人操心啦，我们没cue番位哈，建议yxh早点停止找事，我只希望早日看见夏凤华的故事真的很期待北上！期待夏凤华！ #今日宜北上# ,0,0,3,北京,北京,北京,中国,star 4
3,4907534294453652,芒果娱乐,2023-05-31 19:00:16,白鹿《北上》开机大吉 好嫩好乖啊 期待我们花街小 霸 王 夏凤华 @白鹿my  #北上官宣阵容# ,53,56,82,,长沙,湖南,中国,star 5
3,4907536685991896,天嘲槽点文学,2023-05-31 19:09:46,白鹿虽然没有爆剧流量也不如巴紫，但是这zy可以说是碾压迪丽热巴和杨紫，比85花也不逞多让了，这次一定爆#北上官宣阵容# ,0,4,5,山东,潍坊,山东,中国,star 4
3,4907536681273977,蓝海暖豪i,2023-05-31 19:09:45,#北上官宣阵容#期待欧豪谢望和 ,0,4,4,浙江,湖州,浙江,中国,star 5
3,4907532718705933,一颗芋圆茶,2023-05-31 18:54:00,#北上官宣阵容#这配角阵容，这平台，这资源，算是90～95花里最顶的吧，就问你羡慕吗？另外，感觉这剧有点模糊番位的意思呢，白鹿是一番吗？ ,0,24,190,湖南,长沙,湖南,中国,star 4
3,4907534475596384,盒式_磁带,2023-05-31 19:00:59,#北上官宣阵容# 白鹿👨这个zy，是不是连赵丽颖都赶不上的水平啊！ ,0,23,163,安徽,合肥,安徽,中国,star 3
3,4907531422666036,白鹿Bai_讯息博物馆,2023-05-31 18:48:51,白鹿#北上官宣阵容#  【鹿音频】230531 dy电视剧北上更新白鹿相关视频一则  还记得童年游戏“东西南北张大嘴”吗 （我们记得叫东南西北北方有👻）  @白鹿my @白鹿my后援会官博 白鹿Bai_讯息博物馆的微博视频 ,16,12,260,浙江,丽水,浙江,中国,star 5
3,4907536488072936,阿达沅爱吃宵夜,2023-05-31 19:08:59,#北上官宣阵容# 鹿鹿子真的🐮 期待夏凤华刚好我妈也姓夏，听着好亲切啊@白鹿my ,0,0,4,江苏,淮安,江苏,中国,star 4
3,4907536375350220,一只没有感情的肥宅,2023-05-31 19:08:31,#北上官宣阵容# 哇塞！！这是正剧诶！！！ 正剧演到就是赚到啊！！ gc上怎么还有人在挑番位啊，酸死你们了吧 演正剧讲得是合作共赢好嘛 期待白鹿，期待北上！ ,0,1,29,福建,福州,福建,中国,star 5
3,4907536321610987,铁血帝女,2023-05-31 19:08:19,#北上官宣阵容# 网剧咖压番电影咖 不愧是霍璇  ,0,0,4,湖北,宜昌,湖北,中国,star 4
3,4907536304312952,小猫每天开心,2023-05-31 19:08:15,#北上官宣阵容# 小鹿北上，一路长虹 期待我们夏凤华华子呀[摇摇马] 想知道@白鹿my 某音又会改成什么标志捏 ,0,0,4,上海,上海,上海,中国,star 5
4,4907533209175519,树莓桃花酱,2023-05-31 18:55:57,#北上官宣阵容#所以白鹿是一番对吧最早宣的还置顶了，但是热门又不是她 ,0,12,180,云南,昆明,云南,中国,star 4
4,4907523267893105,我就是李清华,2023-05-31 18:16:27,电视剧《北上》官宣了 背景很不错的饼  #北上官宣阵容#白鹿、欧豪 ,7,37,492,山东,菏泽,山东,中国,star 5
4,4907533318227737,雯丽明道cp粉头子,2023-05-31 18:56:23,#北上官宣阵容# 太好了，有正剧，有古偶，有现偶，有跑男，想看什么有什么，我家白鹿就是这么优秀！ ,1,2,53,北京,北京,北京,中国,star 5
4,4907531577593053,罗小刀的木代,2023-05-31 18:49:28,#北上官宣阵容#没见过这么官宣的，这不就让你长长见识吗？黑子也别来挑拨，尊重剧组和所有演员同事，合作共赢 ,0,2,58,安徽,蚌埠,安徽,中国,star 2
4,4907536244802073,小若的一个愿望,2023-05-31 19:08:00,#北上官宣阵容#期待@白鹿my 北上！期待夏凤华 ,0,0,14,河南,开封,河南,中国,star 5
4,4907536207317371,圆圆圆圆圆二,2023-05-31 19:07:52,#北上官宣阵容#合作共赢，期待演员白鹿期待夏凤华 ,0,0,9,北京,北京,北京,中国,star 5
4,4907536203385412,Hanna-lala,2023-05-31 19:07:51,白鹿白鹿#北上官宣阵容#bl #白鹿夏凤华#bl#白鹿北上# 🍍  少时的你，于市井中恣意生长，最是童真开朗；北漂的你，以勇敢乐观追寻理想，满是赤诚自强；归来的你，已然历尽百千世态，愈加敢拼敢闯。全新角色已解锁，期待@白鹿my 对角色的精彩呈现，期待北上！ ,0,0,1,重庆,重庆,重庆,中国,star 5
4,4907536194736325,Glendamy,2023-05-31 19:07:49,白鹿  #北上官宣阵容##白鹿夏凤华##白鹿北上# 内心纯善，充满正义，儿时里的小霸王终究成为了一个单打独斗的时代女性，在节奏飞快的大都市里，苦和累都不足以形容创业的艰难，满怀希望向阳而生，期待野蛮生长的夏凤华@白鹿my ,0,0,4,越南,,越南,越南,star 5
4,4907536174813633,贫困区杠精,2023-05-31 19:07:44,#北上官宣阵容#滔滔无边碧玉带，簇簇花盛大运河。追溯历史沧桑，歌颂今朝辉煌，期待展现大运河人文的电视剧《北上》，期待青年演员@欧豪 的领衔主演 ,0,5,3,云南,昆明,云南,中国,star 5
5,4907536174028309,做不了_局外人,2023-05-31 19:07:44,#北上官宣阵容# 小鹿北上，一路长虹 ,0,3,9,广东,广州,广东,中国,star 5
