页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907440485965144,宋辛博,2023-05-31 12:47:30,#阚清子 谢谢大家#姐姐的钻戒比纪凌尘的心眼还大 ,49,184,15285,广东,揭阳,广东,中国,star 5
2,4907455945377675,唯一纯白的茉莉花儿,2023-05-31 13:48:56,不是，我到现在也不知道为啥一直全网嘲笑纪凌尘他俩不是和平分手吗，也没有出轨？一个个对人家这样究竟是为什么？？#纪凌尘##阚清子钻戒##阚清子 谢谢大家# ,36,1102,24264,重庆,重庆,重庆,中国,star 5
2,4907534148436770,拿稳he剧本的女二号,2023-05-31 18:59:41,#阚清子被男友求婚#啊啊啊啊啊啊啊啊祝福学姐！！！幸好和大海哥分了！这个钻戒真的好漂亮啊！！！祝福祝福祝福祝福！！！！ ,0,0,0,上海,上海,上海,中国,star 5
2,4907463646382277,娱儿园一姐,2023-05-31 14:19:32,阚清子被求婚，闹了个大乌龙！5月30日，阚清子被求婚的新闻强势登上热搜，大海边、大钻戒，以及颇具喜剧色彩的王子装，成为了大家议论的重点。阚清子前男友纪凌尘，曾经说过非常著名的分手宣言：“你喜欢大海，我爱过你”，这次海边求婚，满满的讽刺意味，而近10克拉的钻戒，也被网友戏称“比纪凌尘的心眼大”😂从钻戒和求婚现场的布置看来，这位男士非常有钱，于是，网友扒出他是阚清子的老板周浩，著名娱乐公司天浩盛世的总裁，名下艺人还包括戚薇和陈飞宇等。不过，后来发现这是个大乌龙，周浩本人亲自澄清了，他发朋友圈辟谣：“这真不是我，这也不像我呀”，虽然阚清子未婚夫不是周浩，但也能看出实力雄厚，而且既然阚清子不想圈外男友曝光，大家也没必要再去深扒了，祝福她就够了！非常欣赏阚清子未婚夫“大海边、大钻戒”的求婚场景设计，为他的奇思妙想、明嘲暗讽点赞,52,53,66,安徽,六安,安徽,中国,star 4
2,4907527533495210,命理菌,2023-05-31 18:33:24,#纪凌尘##阚清子钻戒# 女明星的择偶观也变得务实起来 要找有能力 对自己有帮助的 长得好看无用 ,0,1,31,浙江,绍兴,浙江,中国,star 4
2,4907531643915596,se7en777_Leo,2023-05-31 18:49:44,#阚清子钻戒#大家注意的是戒指，我注意的是指甲，强迫症看了好爱，好整齐好干净！ ,1,2,9,云南,,云南,中国,star 5
2,4907531455957208,桃想狐狸祺来营业,2023-05-31 18:48:59,#阚清子钻戒# 哦莫好大一颗 ,0,0,1,天津,天津,天津,中国,star 5
2,4907531442326795,_一只耳兔子_,2023-05-31 18:48:56,#阚清子钻戒# 看到她前男友上热搜了，还是要来说一句，人家订婚了在微博发了自己美美的照片和大家分享，有的人在人家微博下提前男友，属于什么成分啊欠的 ,0,0,5,河南,开封,河南,中国,star 4
2,4907531253843438,祈愿小蓁_,2023-05-31 18:48:11,"#阚清子钻戒#好大一颗钻戒,姐姐要幸福啊 ",0,0,2,湖南,邵阳,湖南,中国,star 5
2,4907530642522547,宝藏男友聚集地,2023-05-31 18:45:44,#阚清子 谢谢大家##纪凌尘##阚清子钻戒#  三个说一个，还没赢，毕竟欣荣的偶像是愉妃啊 宝藏男友聚集地的微博视频 ,0,0,3,天津,天津,天津,中国,star 5
