页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907535527576963,煎茶媛er,2023-05-31 19:05:10,#今天世界无烟日#中国的平均吸烟率在25%左右，但是男女吸烟率差距极大。男性吸烟率接近50%（2003年为48.4%），女性吸烟率仅3.1%左右。烟民中绝大部分为男性。在中国大陆，各省区控烟情况也有差距，具体如下——图中红色色块代表吸烟率高于25%，黄色色块为20%-25%，绿色色块代表吸烟率低于20%。在中国，男性吸烟率远高于女性，2003年男性吸烟率是女性的16倍，2013年这个数字为17倍。这项研究发现，吸烟率最高的年龄层为40-50岁人群，这个年龄段的男性吸烟率远超50%，是吸烟率最高的人群。但是，15-24岁的低龄烟民比例在迅速增加，从2003年的8.3%增加到2013年的12.5%，其中，15-19岁人口吸烟率更是增长了60.2%。并且，77.9%的现吸烟者，是从青少年时期开始吸烟的。来源：中国&quot;吸烟地图&quot;出炉，原来这些地区最爱抽烟！,1,2,5,四川,泸州,四川,中国,star 1
2,4907427772761942,紫光阁,2023-05-31 11:56:59,【别让你的生命因吸烟加速倒计时】停下吧！别让它再转了。 #今天世界无烟日# ，为了身边的人，也为了自己，从此刻起放下手中的烟，远离烟草，珍爱生命！ ,27,76,204,,北京,北京,中国,star 5
2,4907534483200395,炎炎的天涯,2023-05-31 19:01:01,今天是5月的最后一天，也是世界无烟日 🚬说到香烟大家并不陌生，戒烟也一直是大家经常讨论的话题🙌为什么要倡导“无烟”和“戒烟”呢？今天我们就再来一起详细了解一下“烟”的构成👇🙌首先我们先来看看烟草成分：🚬烟草主要由碳水化合物（占40%-50%）、羧酸、色素、萜烯类物质、链烷烃、类脂物质等组成，同时还有一些生长过程中必需的营养物（如硝酸盐等）以及某些污染物（如农药、重要金属元素等）。👉烟草与其它植物的不同点是所含的萜烯类物质比较丰富，即通常所说的“尼古丁”。,0,0,0,陕西,汉中,陕西,中国,star 4
2,4907534458033955,黄胜友,2023-05-31 19:00:55,#今天世界无烟日#世界无烟日是指吸烟的烟吧？不是烟火气的烟吧。 不吸烟，喝点酒，挺好的。 ,0,1,1,北京,北京,北京,中国,star 4
2,4907534228134384,湖北省应急管理厅,2023-05-31 19:00:00,【小烟头，大隐患】#我国每年有超10万人死于二手烟暴露#吸烟不仅危害健康，随手扔出的一个烟头，还可能引起一场火灾，甚至造成难以挽回的严重后果。今天是世界无烟日，一起了解吸烟“八不要”↓↓#全国安全生产月##人人讲安全个个会应急# @陕西消防 @应急管理部 ,0,0,0,,武汉,湖北,中国,star 1
2,4907534228131262,青岛公安,2023-05-31 19:00:00,【#别让你的生命因吸烟加速倒计时#】停下吧！别让它再转了。远离烟草，珍爱生命！#第36个世界无烟日# #今天世界无烟日# 中国警方在线的微博视频 ,0,0,0,,青岛,山东,中国,star 5
2,4907534223937461,平安广元,2023-05-31 18:59:59,#晚安##晚安心语# 晚安啦  #今天世界无烟日# ,0,2,1,,广元,四川,中国,star 5
2,4907534064290818,柳南警方,2023-05-31 18:59:21,【今天世界无烟日，一起传递：#要熄烟而不是吸烟#】吸烟有害健康，而#戒烟无论何时都不晚#。为了自己和他人健康，转发呼吁：不要在公共场合吸烟，尽早戒烟！ ,0,0,0,,柳州,广西,中国,star 4
2,4907533762301637,粤港澳小小胖,2023-05-31 18:58:09,粤港澳小小胖 【#今天世界无烟日#】小烟头，大隐患；为了您和他人的健康与安全，请“熄”烟！（云浮消防） 粤港澳小小胖的微博视频 ,0,1,0,广东,深圳,广东,中国,star 5
2,4907533640926958,隆昌警方,2023-05-31 18:57:40,【#你知道三手烟的危害吗#】二手烟的危害波及全身多个器官，除了伤肺、伤心、伤眼，#二手烟会导致皮肤老化松弛#。而“三手烟”，是指抽烟后在衣服、头发等表面产生的烟草残留物，长期接触可能损害呼吸系统，增加患癌风险↓↓#今天世界无烟日#，为自己为他人，尽早戒烟，不在公共场所吸烟！ ,0,1,2,,内江,四川,中国,star 1
