页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907537185376904,明德先生,2023-05-31 19:11:45,#同事阳了对着我哈气#  图1：才知道新冠会死人？  还是老祖先说得对：  图2——不要听他们说什么，要看他们做什么。  忘了问了，3M1860口罩，多少一个？ ,0,1,7,北京,北京,北京,中国,star 5
2,4907537152082843,西森永不言弃,2023-05-31 19:11:37,#同事阳了对着我哈气#空气投毒不管是吧?水投毒呢?食物投毒呢?血液投毒呢?没有法律约束，就会没有底线! ,0,0,1,辽宁,沈阳,辽宁,中国,star 5
2,4907536895188277,变幻莫测的土豆,2023-05-31 19:10:36,#同事阳了对着我哈气#笑死，我室友现在正阳着在宿舍床上躺着呢，人家就是没想过出去住，抱着全玩完的态度呢 ,0,0,0,河南,洛阳,河南,中国,star 5
2,4907536647456689,阿龙哥BLOG,2023-05-31 19:09:37,#同事阳了对着我哈气# 这是什么心态？ ,0,0,0,上海,上海,上海,中国,star 2
2,4907536450590186,森林沐木也,2023-05-31 19:08:50,#同事阳了对着我哈气##目前仍要做好基本防护措施# 这年头啥奇葩都有，我们公司也不例外，公司有同事人🐏了，知道的人不说，最搞笑的是等你得知消息的时候，是从收快递员嘴里得知的，还让我们注意一点，吱一声起码大家会做好防护措施，毕竟不是自己一个人的事，一个人代表一个家庭。奇葩不？ ,0,0,0,广东,广州,广东,中国,star 1
2,4907536376136578,助学委员会会长花姨,2023-05-31 19:08:32,#同事阳了对着我哈气#我是人资的，有个姑娘离职当天阳了，到我们办公室办手续，上午提醒她戴口罩，非但不带、张着嘴在全公司溜达了一圈。以为她只是忘了，下午又提醒一遍务必带了再过来，还是不带，我怒了吼：没带口罩回去拿了再过来别影响别人！结果笑嘻嘻的从口袋里掏出来一个。办公室里有家里有老人小孩和体质较弱的，🐑不可怕，怕的是脑子不好影响别人的现眼包,0,0,0,江苏,苏州,江苏,中国,star 5
2,4907536349665472,星河即自由,2023-05-31 19:08:26,#同事阳了对着我哈气#一巴掌扇死得了，我讲真的。 ,0,0,1,上海,上海,上海,中国,star 1
2,4907536312172942,爱我所爱伦比,2023-05-31 19:08:16,#同事阳了对着我哈气# 将无知当有趣！公德和素质全与他（她）无关 ！ ,0,0,0,湖南,,湖南,中国,star 5
2,4907480914329618,拆台CT,2023-05-31 15:28:08,#同事阳了对着我哈气#  这种情况应该入刑吧。  早前就有博主在小H书上爆料，说有人阳了以后专门靠近孕妇。  还有人疯狂地朝着孕妇咳嗽。  你说这种人安的什么心？  不要低估人性的恶，这玩意绝对是没有下限的。 ,72,95,1525,浙江,杭州,浙江,中国,star 1
2,4907535905854945,老干妈拌饭_,2023-05-31 19:06:40,#同事阳了对着我哈气#没开玩笑，是我的话我会吐口水到他脸上身上 ,0,0,0,广东,佛山,广东,中国,star 5
