页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907538757715535,栀子安1005,2023-05-31 19:18:00,#舒淇为肖战梦中的那片海打call#   那就一起不见不散吧！#肖战肖春生# ,0,0,3,江苏,淮安,江苏,中国,star 5
2,4907538753258467,小梅花情怀,2023-05-31 19:17:59,#舒淇为肖战梦中的那片海打call#那就和舒淇美女姐姐明晚一起收看，肖战《梦中的那片海》，#肖战肖春生# 明晚不见不散~@X玖少年团肖战DAYTOY ,0,0,1,广东,佛山,广东,中国,star 5
2,4907534185399291,椰子年糕冰汤团,2023-05-31 18:59:50,#舒淇为肖战梦中的那片海打call#和肖战合作过的人都会狠狠夸他诶明天一起来看剧吧 ,1,1,122,四川,成都,四川,中国,star 4
2,4907538727830430,矢觉地,2023-05-31 19:17:53,终于熬到了下班，不阳了，减肥中…… 但是这么喜庆的日子 好想给自己叫个大餐 #舒淇为肖战梦中的那片海打call# ,0,0,0,浙江,金华,浙江,中国,star 5
2,4907538703452383,阵阵清风处处自在,2023-05-31 19:17:47,肖战#舒淇为肖战梦中的那片海打call# 肖战肖春生 肖战梦中的那片海 #肖战肖春生# 电视剧梦中的那片海#肖战梦中的那片海# 肖春生，春之希望生生不息。在属于你的年代热血奋斗，追梦之路一定会充满勇气！青春有时，有梦可期。广阔天地，勇敢去闯！6月1日起，锁定CCTV-8黄金强档，一同见证轰轰烈烈的逐梦之旅！20230531肖战顺顺利利@X玖少年团肖战DAYTOY@肖战工作室CCTV电视剧的微博视频 ,0,0,0,福建,宁德,福建,中国,star 5
2,4907538694542402,光影弓长,2023-05-31 19:17:45,#舒淇为肖战梦中的那片海打call##肖战好大的珍珠泪# 期待，期待。 光影弓长的微博视频 ,0,0,0,浙江,台州,浙江,中国,star 5
2,4907520899158893,新浪大文娱,2023-05-31 18:07:02,#舒淇为肖战梦中的那片海打call# 你期待《梦中的那片海》吗？  网页链接 ,78,29,5617,,北京,北京,中国,star 4
2,4907538535940634,十七味的克拉,2023-05-31 19:17:06,#舒淇为肖战梦中的那片海打call#明天来CCTV8、腾讯视频看肖战肖春生#肖战肖春生# ,0,0,0,湖南,娄底,湖南,中国,star 5
2,4907538527817666,细雨柳烟花飞处,2023-05-31 19:17:05,喜欢这个劲儿劲儿拽拽的肖春生，想看有社交牛好症的肖春生是如何茬架如何奋斗如何追梦的 #肖战站姿# #肖战肖春生# #舒淇为肖战梦中的那片海打call#,0,0,0,山东,济南,山东,中国,star 4
2,4907538501337999,咖啡焦糖不加糖,2023-05-31 19:16:59,#舒淇为肖战梦中的那片海打call# 谢谢淇哥，那说好了我们明儿见 肖春生我们在那片海不见不散哦@X玖少年团肖战DAYTOY ,0,0,0,福建,泉州,福建,中国,star 5
3,4907538493212803,心之首恒,2023-05-31 19:16:57,肖战#舒淇为肖战梦中的那片海打call##汪俞岑说肖战非常努力认真敬业#   掀起浪潮，创造不凡，行远自迩，踵事增华。  @X玖少年团肖战DAYTOY    #梦中的那片海# ,0,0,0,黑龙江,哈尔滨,黑龙江,中国,star 4
3,4907538484561089,LDL漠北北极光DAYTOY,2023-05-31 19:16:55,肖战#汪俞岑说肖战非常努力认真敬业# 青春，从那片海开始。属于肖春生的青春故事，绝对不容错过的《梦中的那片海》，一起来看。@X玖少年团肖战DAYTOY #舒淇为肖战梦中的那片海打call# #肖战肖春生# ,0,0,0,甘肃,兰州,甘肃,中国,star 5
3,4907538456253494,缘来_是你呢,2023-05-31 19:16:48,梦中的那片海#舒淇为肖战梦中的那片海打call# 和美女姐姐一起追剧梦中的那片海 期待肖战肖春生 #梦中的那片海官宣定档0601##肖战肖春生# ,0,0,1,山东,济南,山东,中国,star 5
3,4907533716952533,itsashou_,2023-05-31 18:57:58,#肖春生站姿# 明晚七点半来CCTV8和腾讯视频来看我大哥肖春生  #舒淇为肖战梦中的那片海打call##梦中的那片海# ,104,96,2497,河北,保定,河北,中国,star 5
3,4907538329633457,xueyi异乡人,2023-05-31 19:16:17,肖战#舒淇为肖战梦中的那片海打call#,0,0,1,广西,崇左,广西,中国,star 4
3,4907535682765298,冉冉小马DAYTOY,2023-05-31 19:05:47,#舒淇为肖战梦中的那片海打call#   你想看的不管是#肖战好大的珍珠泪#，还是#肖春生站姿# ，《梦中的那片海》里都有，明天（6月1日）19:30来CCTV-8黄金档，跟着永不服输的肖春生一起向那片海出发！  冉冉小马DAYTOY的微博视频 ,9,6,203,陕西,西安,陕西,中国,star 5
3,4907538091344538,爱吃瓜的渣,2023-05-31 19:15:21,#舒淇为肖战梦中的那片海打call#这是类似讲高干子弟的电视剧么，原创剧本还是小说改编？ ,0,1,0,福建,南平,福建,中国,star 3
3,4907538052548585,光天化日伸手不见五指,2023-05-31 19:15:12,#舒淇为肖战梦中的那片海打call#喜欢看肖战演戏的原因之一就是他演得很立体，仿佛这个人就是真实存在的，符合人物个性的细微举动很多#肖战肖春生# ,0,0,2,辽宁,大连,辽宁,中国,star 4
3,4907538023190376,满满爱z,2023-05-31 19:15:05,#舒淇为肖战梦中的那片海打call##梦中的那片海# 期待 谢谢淇哥 ,0,0,0,江苏,徐州,江苏,中国,star 5
4,4907537977313454,江南杏花雨_spring,2023-05-31 19:14:54,#舒淇为肖战梦中的那片海打call#梦幻联动，考古过肖战曾经在舒淇那队，期待明天的肖春生！ ,0,0,1,江苏,常州,江苏,中国,star 5
4,4907527483692163,今天也挺话痨的,2023-05-31 18:33:12,#肖春生站姿#  真的无语，有些人的嘴巴怎么那么欠，把你当朋友才把这件事告诉你，结果你一转头就告诉了别人了？现在好了，全世界都知道肖战主演的《梦中的那片海》明天要在CCTV8黄金强档播出了，你们满意了？    #舒淇为肖战梦中的那片海打call# ,1,6,159,浙江,温州,浙江,中国,star 3
4,4907537872721578,曲终人散06513,2023-05-31 19:14:29,#肖春生站姿#  这拽拽的站姿，期待住了，真想立马看看肖春生什么样  #舒淇为肖战梦中的那片海打call# ,0,0,2,贵州,遵义,贵州,中国,star 4
4,4907537848340219,悄悄是离别的gjy,2023-05-31 19:14:23,#舒淇为肖战梦中的那片海打call#我替我老公谢谢美女了！明天一起看呀！ ,0,0,1,山西,长治,山西,中国,star 5
4,4907537834443068,Jellydlx,2023-05-31 19:14:19,#舒淇为肖战梦中的那片海打call#舒淇好美，肖战好帅！梦中那片海好看！#梦中的那片海官宣定档0601# ,0,0,4,四川,宜宾,四川,中国,star 5
4,4907537821861131,静静地看着你haly,2023-05-31 19:14:17,肖战最好的你#肖战肖春生# xz#舒淇为肖战梦中的那片海打call#   就是明天，明晚七点，央视八套，肖战肖春生闪亮登场，万众期待！@X玖少年团肖战DAYTOY ,0,0,4,湖北,十堰,湖北,中国,star 5
4,4907534555551309,喵喵暖暖暖,2023-05-31 19:01:18,#舒淇为肖战梦中的那片海打call# 姐姐，合影，姐姐！ 什么时候放出来？ ,0,1,67,河南,开封,河南,中国,star 4
4,4907537750822451,可爱兔的MM花园,2023-05-31 19:14:00,#舒淇为肖战梦中的那片海打call#活捉一只大兔子#肖战肖春生# ,0,0,3,江苏,南京,江苏,中国,star 5
4,4907537738499670,夏宝12,2023-05-31 19:13:57,#舒淇为肖战梦中的那片海打call#谢谢大美女，明天都来看肖春生了 ,0,0,1,广东,深圳,广东,中国,star 5
4,4907537735094732,随心随意就好吧,2023-05-31 19:13:56,#舒淇为肖战梦中的那片海打call#一起来看肖战梦中的那片海啊，拽拽的肖春生，越看越爱#梦中的那片海定档# @X玖少年团肖战DAYTOY ,0,0,1,江苏,宿迁,江苏,中国,star 5
5,4907537688431316,玩转地球的Orange,2023-05-31 19:13:45,#舒淇为肖战梦中的那片海打call# 愿大美女与大帅哥的友谊长存！友情是阳光，一起快乐相随@X玖少年团肖战DAYTOY @舒淇 ,0,1,7,江苏,苏州,江苏,中国,star 5
5,4907537679518325,等你的每个季节,2023-05-31 19:13:43,#舒淇为肖战梦中的那片海打call##肖战好大的珍珠泪#明晚19:30，CCTV8看肖春生，你准备好了吗？ ,0,1,6,河南,南阳,河南,中国,star 5
5,4907530436219877,GoooSuperw,2023-05-31 18:44:56,#舒淇为肖战梦中的那片海打call# 大美女 明天一起看肖春生呀 #梦中的那片海官宣定档0601# ,0,1,235,上海,上海,上海,中国,star 5
5,4907537662480007,夜色染就荼靡,2023-05-31 19:13:39,#舒淇为肖战梦中的那片海打call#明晚6.1日7:30分CCTV8 腾讯视频 看社交🐮好症肖春生#肖春生站姿# 夜色染就荼靡的微博视频 ,1,2,6,吉林,长春,吉林,中国,star 5
5,4907537574661847,你别说梦想遥不可及,2023-05-31 19:13:18,#舒淇为肖战梦中的那片海打call#“肖战平易近人，一天站八个时配音也不喊累，他说这样呈现的效果更好，工作配合度超高，从他口中没有听到任何负能量的，朋友接触他以后不仅仅是喜欢，更多的是尊重”与肖战合作过的人没有不夸他的，一切源于肖战人品好，肯努力奋斗，有实力，明天我们就一起来央八看肖春生肖春生同志的追梦故事开始了！@X玖少年团肖战DAYTOY #肖战肖春生#,13,12,59,广东,中山,广东,中国,star 5
