页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907546488603112,派大星的背带裤K,2023-05-31 19:48:42,#TFBOYS演唱会最终章#别遛我 看不到王俊凯的舞台 我真的会哭 ,0,0,0,江西,南昌,江西,中国,star 3
2,4907546484410328,喜提晚风,2023-05-31 19:48:42,#tfboys演唱会最终章# #四字 易烊千玺 yyqx 四字弟弟#,0,0,0,浙江,金华,浙江,中国,star 5
2,4907515432929593,ngl-六老两口,2023-05-31 17:45:19,#TFBOYS演唱会最终章#谢谢小宝贝@TFBOYS-王俊凯 当年的坚持，走过这落子无悔的十年，下个十年一起走凯色撩人的微博视频 ,55,153,1068,湖北,武汉,湖北,中国,star 5
2,4907546441683835,看我卷不卷死你,2023-05-31 19:48:32,#TFBOYS演唱会最终章#说了八百遍了能不能官宣一下 ,0,0,0,河南,驻马店,河南,中国,star 3
2,4907546425693364,汐梦晨晞,2023-05-31 19:48:28,#TFBOYS演唱会最终章# 十年时间，那个小小的山城男孩从重庆街头唱到了北京的鸟巢，这一路我们一起见证了歌手王俊凯的成长与蜕变 @TFBOYS-王俊凯  是夜流浪的微博视频 ,1,0,3,江苏,无锡,江苏,中国,star 5
2,4907546378504120,--喝牛奶的猫--,2023-05-31 19:48:17,#TFBOYS演唱会最终章# 记得通知一下主角 @TFBOYS-王俊凯 ,0,0,0,山东,威海,山东,中国,star 5
2,4907546374836545,哒啦_哒啦哒哒,2023-05-31 19:48:16,#TFBOYS演唱会最终章# 他们在演唱会能互动么？三个人的工作团队会让他们交流么？太好奇了，这几年的操作下来，俺不敢想象十周年演唱会会是什么场景🙈🙈🙈 ,0,0,3,浙江,金华,浙江,中国,star 3
2,4907546345473341,星冰乐kiki,2023-05-31 19:48:09,#综艺# TFBOYS 到底是怎么出圈的……他们的出圈有两个大机遇叭，一次音悦台，一次最早一期的快本#TFBOYS演唱会最终章# 星冰乐kiki的微博视频 ,0,0,0,河南,郑州,河南,中国,star 4
2,4907522635075271,重庆全昭弥,2023-05-31 18:13:56,#TFBOYS演唱会最终章# 预热800遍了，所以到底什么时候官宣什么时候开售这对我很重要看不到@TFBOYS-王俊凯 的绝美舞台我会发疯重庆全昭弥的微博视频 ,151,531,4151,江苏,南京,江苏,中国,star 5
2,4907546336825556,你要丸蛋啦,2023-05-31 19:48:07,#TFBOYS演唱会最终章#卧槽卧槽终于来了 ,0,0,0,福建,泉州,福建,中国,star 5
3,4907546306942399,很哇塞的土豆迷,2023-05-31 19:48:00,#TFBOYS演唱会最终章#素质感人，四二粉都不咋参与这团的话题，为数不多的都在安利，团粉在许愿。 只有三字粉却还在造谣，骂人！狗改不了吃屎！ ,0,0,0,浙江,杭州,浙江,中国,star 1
3,4907546236946309,生椰不要摩卡,2023-05-31 19:47:43,#TFBOYS演唱会最终章# 真的是最後了 祝他們畢業快樂 祝我也畢業快樂 ,0,0,0,广东,,广东,中国,star 5
3,4907546165120149,果桃黑,2023-05-31 19:47:26,#TFBOYS演唱会最终章#卧槽后援会官宣了 ,0,0,0,山东,青岛,山东,中国,star 5
3,4907546161189946,痴痴迟迟crystal,2023-05-31 19:47:25,#TFBOYS演唱会最终章#所以到底有没有啊，给个确切信息啊 ,0,0,0,河南,,河南,中国,star 4
3,4907546076776040,Royer的烊,2023-05-31 19:47:05,TFBOYS❤️💙💚#TFBOYS演唱会最终章#  拜托全国巡演 求求了 ,0,2,5,云南,昆明,云南,中国,star 5
3,4907508651787003,影视综艺君,2023-05-31 17:18:22,#TFBOYS演唱会最终章#TFBOYS十周年演唱会演唱会或将来临，演唱会的最终章来了，期待住了～ ,419,839,32807,河北,沧州,河北,中国,star 5
3,4907532755928063,一碗糊萝卜,2023-05-31 18:54:09,#TFBOYS演唱会最终章# “大家好，我叫易烊千玺”“大家好，我是年龄最小但舞蹈最棒的易烊千玺”十年里，有人是从快本中枪舞认识你，也有人是在《这就是街舞》开始对你了解，更有大部分人是从大荧幕上的精彩表现对你刮目相看。十年啦，被给予厚望的千玺辛苦了，那么我们继续携手，一起兴致盎然地走在开满鲜花的路上吧🌸#易烊千玺主打一个会拍照# 柯嘿嘿嘿的微博视频,70,158,429,湖南,长沙,湖南,中国,star 5
3,4907545997874666,只愿你会更好,2023-05-31 19:46:46,#TFBOYS演唱会最终章#预热了那么久了，到底是什么时候，可以给个准话嘛！ ,0,0,0,福建,莆田,福建,中国,star 3
3,4907545975850833,StellaLou啊,2023-05-31 19:46:41,#TFBOYS演唱会最终章#明天灯牌上线最好的六一儿童节礼物🎁 ,0,1,3,福建,泉州,福建,中国,star 5
3,4907464321927978,影视综艺分享,2023-05-31 14:22:13,#TFBOYS团站敬十年敬青春# 真的好多团站，真的坚持好久好久了，敬十年，敬青春，TFBOYS 十周年演唱会，为自己的青春再疯狂一把吧！ #TFBOYS演唱会最终章# ,614,690,8288,湖南,郴州,湖南,中国,star 5
4,4907545972445938,呵呵63637636383883,2023-05-31 19:46:40,#TFBOYS演唱会最终章#虽然没追过 但感觉一个时代要落幕了 ,0,0,0,广东,梅州,广东,中国,star 5
4,4907545888558825,吃一口小猪包__,2023-05-31 19:46:20,#TFBOYS演唱会最终章#十年可真快啊 ,0,0,0,吉林,长春,吉林,中国,star 5
4,4907545829837027,廿四有八,2023-05-31 19:46:06,#TFBOYS演唱会最终章# 那就奔赴红海，亲眼去看看爱豆玺！ ,0,0,4,山西,长治,山西,中国,star 5
4,4907545787895036,随行棋士,2023-05-31 19:45:56,#TFBOYS演唱会最终章# 原来十年真的很快啊 ,0,0,0,四川,成都,四川,中国,star 5
4,4907545771116624,守规则者_飘,2023-05-31 19:45:52,#TFBOYS演唱会最终章#什么叫溜粉？是yxh发出来的，你们爱信不信，又没人逼着你们相信我倒是希望最好别有了 ,0,0,0,广东,广州,广东,中国,star 1
