页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907542524205180,丽江消防,2023-05-31 19:32:58,【安全使用燃气，6点提示要牢记】燃气一旦泄漏，易引发火灾、爆炸事故，给家庭和邻居的生命及财产造成巨大损失。日常生活中，如何做到安全用气？下面6个安全提示，请一定牢记！#外卖骑手取餐闻到煤气味机智救下2人##全国安全生产月##人人讲安全个个会应急# ,0,0,0,,丽江,云南,中国,star 4
2,4907542075937206,江西消防,2023-05-31 19:31:11,【如何避免煤气中毒发生】#外卖骑手取餐闻到煤气味机智救下2人#给外卖小哥点赞煤气中毒事件时有发生，罪魁祸首就是一氧化碳，人们在使用燃煤、炭火、燃气热水器等，均可能接触到一氧化碳，这不得不引起我们的警觉。 ,0,7,34,,南昌,江西,中国,star 4
2,4907542020623121,津彩青春,2023-05-31 19:30:58,外卖小哥取餐时发现店员煤气中毒，果断出手救回两条命。 #外卖骑手取餐闻到煤气味机智救下2人# 津彩青春的微博视频 ,0,0,1,,天津,天津,中国,star 5
2,4907542004632158,西湖银行贷款首付垫资还按揭祝融,2023-05-31 19:30:54,#外卖骑手取餐闻到煤气味机智救下2人#万能的美团外卖小哥，点份美团外卖支持一下他们 杭州·竹哩·井原里 ,0,0,0,浙江,杭州,浙江,中国,star 5
2,4907541665155307,KateYen顏顏,2023-05-31 19:29:33,#外卖骑手取餐闻到煤气味机智救下2人#給這位機智的外賣小哥嗯個好人一生平安🙏🙏🙏 ,0,0,1,中国台湾,,台湾,中国,star 5
2,4907482662568125,江苏新闻,2023-05-31 15:35:05,【#外卖骑手取餐闻到煤气味机智救下2人#】近日，南通如东，外卖骑手顾培建到一家店铺准备取餐，迎面就闻到一股煤气味。只见一名女子睡在门口，顾培建立即将女子抱出来，随后又将屋内一名女子拉了出来并报警。几分钟后，救护车及时赶到，顾培建见两人已安置好，就匆匆离开继续工作。两女子已无生命危险。#遇见美好# 江苏新闻的微博视频,70,113,3475,,南京,江苏,中国,star 5
2,4907541160528743,meng紫雨1005,2023-05-31 19:27:33,#外卖骑手取餐闻到煤气味机智救下2人#多亏了外卖小哥机智才避免了事故的发生 ,0,0,0,四川,南充,四川,中国,star 5
2,4907540439367758,马老拾,2023-05-31 19:24:40,#外卖骑手取餐闻到煤气味机智救下2人#外卖小哥，平凡的英雄其实他们的好人好事非常多，希望大家对这个职业多一份理解和尊重，好样的！ 马老拾的微博视频 ,2,1,8,青海,西宁,青海,中国,star 5
2,4907539676009886,柳州消防,2023-05-31 19:21:39,柳州消防【#遇到燃气泄漏牢记这四个字#】 ①关：关闭燃气阀门，截断气源；②开：打开门窗通风；③走：不要开关电器，不要使用电话，远离危险区域；④报：到室外打报修电话并疏散附近人员。平时使用燃气时，要做到人不离灶、火不离人。戳视频↓燃气安全不容忽视！#外卖骑手取餐闻到煤气味机智救下2人# 柳州消防的微博视频,0,1,1,,柳州,广西,中国,star 5
2,4907539026415500,SUSAN小赞,2023-05-31 19:19:04,#外卖骑手取餐闻到煤气味机智救下2人#给外卖小哥点赞，机智勇敢救了两条生命！ ,0,0,2,江苏,镇江,江苏,中国,star 5
3,4907538149284505,羡兔子一只1005,2023-05-31 19:15:35,#外卖骑手取餐闻到煤气味机智救下2人#外卖小哥一直给我的印象，就是机智，热心肠。风里雨里送外卖，祝出入都平安！ ,0,0,3,湖南,郴州,湖南,中国,star 5
3,4907537947955889,Ivan_Genie,2023-05-31 19:14:47,#外卖骑手取餐闻到煤气味机智救下2人#为外卖小哥点赞，太棒了！ ,0,0,1,广东,佛山,广东,中国,star 5
3,4907537289186730,米格战斗飞机联合体,2023-05-31 19:12:10,#外卖骑手取餐闻到煤气味机智救下2人#哈尔滨这边的家庭都逐步安装了煤气报警装置，如果察觉到空气中有煤气泄漏都会报警的。 ,1,2,1,黑龙江,哈尔滨,黑龙江,中国,star 5
3,4907537068197066,ONLY-LUCKY-CLOVER_35174,2023-05-31 19:11:17,#外卖骑手取餐闻到煤气味机智救下2人##外卖骑手取餐闻到煤气味机智救下2人# m ,0,0,1,山西,临汾,山西,中国,star 4
3,4907535582103097,jdjdjridjjtodocurjrhdo88,2023-05-31 19:05:23,#外卖骑手取餐闻到煤气味机智救下2人#重获新生，恭喜🎉以后煤气味要远离啊。外卖骑手确实很有福泽庇佑。！ ,0,0,0,山西,吕梁,山西,中国,star 5
3,4907535246560771,温州微博大事小事,2023-05-31 19:04:03,#外卖骑手取餐闻到煤气味机智救下2人# 外卖员真的是万能的我们平时要好好对外卖员 ,0,0,1,浙江,温州,浙江,中国,star 5
3,4907534614269125,电商行业,2023-05-31 19:01:32,#外卖骑手取餐闻到煤气味机智救下2人# 又一位好心骑手！闻到煤气味救下老板店员，网友：普通职业多留心也能造就不平凡！ ,50,15,39,广东,深圳,广东,中国,star 5
3,4907534584644613,林芝森林消防,2023-05-31 19:01:25,#外卖骑手取餐闻到煤气味机智救下2人#发现家中煤气泄漏了怎么办？千万不要原地拨打电话、开灯等会产生电火花的行为，否则会有爆炸危险哦！正确的做法是：先关阀门和开窗，退到安全区域再打电话报警。ps：一定要记住，顺序不能乱~中国消防的微博视频 ,0,0,0,,资阳,四川,中国,star 5
3,4907534391445205,长春晚报,2023-05-31 19:00:39,【遇反诈劝阻务必要听劝】记者从公安部了解到，2022年，全国公安机关共破获电信网络诈骗案件46万余起。江苏南京的李女士，就是因为不听民警劝阻，结果被骗了39万元。也有部分被骗群众，明明已经深陷骗局，却被诈骗分子洗脑，不仅不听劝阻，还觉得民警是在阻挡他们的“财路”。提醒：如果有警察亲自上门劝阻，务必要“听劝”。@央视网 央视网的微博视频,0,0,0,,长春,吉林,中国,star 5
3,4907533963102207,LH手机科技爱好者,2023-05-31 18:58:57,#外卖骑手取餐闻到煤气味机智救下2人#平凡的人做着不平凡的事，万能的外卖小哥，幸亏及时发现了问题拯救了两个人。像这样的见义勇为，公司应该给予奖励吧，这个社会还是好心人多。 ,1,1,4,山东,济南,山东,中国,star 5
4,4907532025862221,桃雾韵Kilig,2023-05-31 18:51:15,#外卖骑手取餐闻到煤气味机智救下2人#给外卖小哥点赞，还是好人多呀家里用煤气的一定要关好阀门，勤打开窗通风 ,0,0,11,上海,上海,上海,中国,star 5
4,4907531757425235,王东来又回来了,2023-05-31 18:50:11,#外卖骑手取餐闻到煤气味机智救下2人#如果你突然闻到煤气味，你会怎么做？  网页链接 ,0,0,31,湖南,,湖南,中国,star 3
4,4907519988730758,科技小Q,2023-05-31 18:03:25,#外卖骑手取餐闻到煤气味机智救下2人#为外卖员点赞，有勇有谋！ 确定屋内没人才去外面打110 ,7,29,90,陕西,西安,陕西,中国,star 5
4,4907529341768741,枣庄在线,2023-05-31 18:40:35,#外卖骑手取餐闻到煤气味机智救下2人#【 外卖员1个订单救了2条命 ！ 外卖员取餐时察觉煤气味救下2人 】近日，江苏一外卖骑手顾培建在进入一家店铺准备取餐时，迎面闻到一股刺鼻煤气味。他发现老板和店员2人都晕倒在地，两次入店将2人拖到门外通风处，并拨打110求助。几分钟后，救护车及时赶到将2人送医。由于救助及时，2人已脱离生命危险，仍在进一步治疗中。（啊发发发三个）枣庄在线 枣庄在线的微博视频,0,0,1,山东,枣庄,山东,中国,star 4
4,4907529119993767,lisa爱桃桃,2023-05-31 18:39:42,#外卖骑手取餐闻到煤气味机智救下2人#外卖小哥真的是神奇的存在，感觉无所不能，什么都会，人善又热心，给一个大大的👍🏻。 ,0,0,3,湖北,随州,湖北,中国,star 5
4,4907528561888509,揭西随礼汇,2023-05-31 18:37:29,#外卖骑手取餐闻到煤气味机智救下2人#这听起来很危险，因为煤气如果泄露的话是十分易燃的，会带来极大的安全隐患。如果异常浓郁的气味持续存在，那么就可能存在煤气泄漏的风险。在这种情况下，顾培建应该及时与店家沟通，通报店内煤气味的情况。店家应该马上检查煤气管道是否有泄漏情况，如果存在泄漏，应该立即停止使用煤气，并联系专业的燃气公司维修。如果店家没有积极采取措施，顾培建可以联系相关部门，如消防局，甚至可以联系警方。在遇到这种情况时，我们也应该时刻保持警觉，尽量避免在煤气味浓郁的地方逗留和停留。如果觉得煤气味道很不正常或者浓度较高，应及时开窗通风，或者向周围的人求助，寻求及时的解决办法。这样才能更好地保护我们自己和周围的人的安全。,0,0,1,广东,揭阳,广东,中国,star 3
4,4907528532263853,微风细雨的浅浅时光,2023-05-31 18:37:22,#外卖骑手取餐闻到煤气味机智救下2人#英雄，不一定都要如小说或者电影中那样舍身成仁。英雄，也可以是举手之劳救人于水火之中。像这位外卖小哥一样，在关键的时刻施与援手，挽救了两条生命以及他们背后的幸福家庭。这位外卖小哥，是平凡的英雄，为他点赞！他值得一个嘉奖！ ,1,5,14,重庆,重庆,重庆,中国,star 5
4,4907527957383246,好吃的鱼皮脆虾饺,2023-05-31 18:35:05,#外卖骑手取餐闻到煤气味机智救下2人# 特别好，外卖小哥出来后打报警电话，【煤气浓的地方切勿打电话】，不然引起爆炸 ,0,0,0,浙江,绍兴,浙江,中国,star 5
4,4907527491291424,赞赞__DAYTOY,2023-05-31 18:33:14,#外卖骑手取餐闻到煤气味机智救下2人#骑手救人不在少数，给所有的骑手点赞 ,0,0,2,河南,郑州,河南,中国,star 5
5,4907526019614014,恒唯法师,2023-05-31 18:27:23,自己做自己的幸福使者，打开自己美好人生的幸福辽阔。#延参法师解读年轻人敲电子木鱼##外卖骑手取餐闻到煤气味机智救下2人# ,0,0,3,河北,沧州,河北,中国,star 4
5,4907524346613206,西南鹰狼,2023-05-31 18:20:44,#外卖骑手取餐闻到煤气味机智救下2人#细心+爱心，小哥，你是好样的 ,0,0,1,广西,南宁,广西,中国,star 5
5,4907522902985360,河南消防,2023-05-31 18:15:00,#豫豫小课堂# 【最全的急救常识！】中暑、骨折、触电、煤气中毒、溺水、异物卡喉……意外时有发生，若救治不当很可能会造成二次伤害，甚至会延误救命！快来学学这些急救常识↓↓关键时刻用得上！ #外卖骑手取餐闻到煤气味机智救下2人# ,9,11,12,,郑州,河南,中国,star 5
5,4907522508719836,江湖_笑,2023-05-31 18:13:26,#外卖骑手取餐闻到煤气味机智救下2人#为这位外卖小哥点赞👍，不但细心，还有爱心。 ,0,0,0,广东,河源,广东,中国,star 5
5,4907522374238244,科技叶涵,2023-05-31 18:12:53,#外卖骑手取餐闻到煤气味机智救下2人#平凡的人做着不平凡的事，而正是有了他们这样一群默默守护以及付出的英雄们守护着我们的安全而感动幸福，为外卖小哥点赞。有时他们送餐可能会迟到，但请给予理解和宽恕，殊不知他们正忙着在救人呢... ,41,62,81,广西,南宁,广西,中国,star 5
5,4907522319716894,广西消防,2023-05-31 18:12:41,#外卖骑手取餐闻到煤气味机智救下2人#【警惕“煤气”中毒！】什么是煤气中毒，煤气中毒主要发生在哪几种情形？ 该如何施救？戳图了解↓ ,1,4,1,,南宁,广西,中国,star 5
5,4907521061688757,星晨繁花,2023-05-31 18:07:41,#外卖骑手取餐闻到煤气味机智救下2人#外卖骑手真是个神奇的群体，为人们生活提供方便的同时，常常有救人新闻，这位好机智，点赞👍 ,0,0,3,广东,广州,广东,中国,star 5
5,4907518831100874,平昌公安,2023-05-31 17:58:49,#外卖骑手取餐闻到煤气味机智救下2人# 【厨房消防安全常识】制作美食过程中，记得厨房用火不离人！厨房油烟重、电器多、瓶瓶罐罐杂，容易滋生火灾隐患，平时必须小心，更多厨房安全小常识，戳图学习！ ,0,0,0,,巴中,四川,中国,star 4
5,4907518541693835,白夜菌Dream,2023-05-31 17:57:40,#外卖骑手取餐闻到煤气味机智救下2人# 【外卖男生取餐时闻到煤气味教科书式救下2人】男生见义勇为的力量值得被看见，外卖男生真的善良而坚韧！真的超有力量！希望男外卖员可以获得见义勇为奖！他力量！他值得！#中国男性力量##为他点赞# ,0,2,18,广东,,广东,中国,star 5
5,4907518528585851,爱机少年,2023-05-31 17:57:36,#外卖骑手取餐闻到煤气味机智救下2人# 给无所不能的外卖小哥点个赞！ ,0,0,1,广东,深圳,广东,中国,star 5
6,4907517996440144,江苏消防,2023-05-31 17:55:30,#外卖骑手取餐闻到煤气味机智救下2人#【最全的急救常识！】中暑、骨折、触电、煤气中毒、溺水、异物卡喉……意外时有发生，若救治不当很可能会造成二次伤害，甚至会延误救命！快来学学这些急救常识↓↓关键时刻用得上！ ,4,5,8,,南京,江苏,中国,star 4
6,4907496063633283,我苏特稿,2023-05-31 16:28:21,【点赞！#外卖小哥取餐时发现店员中毒紧急施救#】近日，江苏如东一家小吃店内，两名女子煤气中毒昏迷。此时，外卖小哥顾培建恰巧来店里取餐，闻到刺鼻味道的他急忙把店门打开通风，并将两名女子抱到室外，等待救护车赶来后顾培建才离开。因救助及时，两名女子已脱离生命危险。顾培建称，人的性命大于天！#外卖骑手取餐闻到煤气味机智救下2人#  我苏特稿的微博视频,8,8,41,,南京,江苏,中国,star 5
6,4907401894171522,云南平安高速,2023-05-31 10:14:09,交警正能量 【两岁宝宝找妈妈误入高速路  交警暖心安抚细致查找抱着送回】5月27日晚19：20许，云南交警高支队昆楚大队指挥分中心值班民警网巡发现，昆楚高速K2383路段，有一个小宝宝走在硬路肩上，过往大货车纷纷紧急避让，情况十分危险，通知路面巡逻民警立即赶到现场救助。几分钟后，民警赶到现场发现一个2岁多的小男孩站在路边哭泣，蹲下身哄他并询问情况，但孩子太小什么也说不清楚，就是一个劲儿地要“找妈妈”。@云南警方 @云南交警 @云南政法 @公安部交通管理局 #外卖骑手取餐闻到煤气味机智救下2人#民警把孩子抱上警车来到最近的腰站街给他买吃的，一路安抚他“不哭！不怕！一会儿就找到你妈妈啦。”同时，将情况向值班领导报告，联动楚雄市开发区派出所一起查找孩子的家长。随后，民警接到110转警有家长正焦急地寻找丢失的娃娃，核实信息后正是这个小男孩，立即联系上家长并驾车把小宝宝平安送回抱还给妈妈。经了解，孩子家长趁晚饭后天气凉爽到高速路附近的田地里干农活，忙碌起来就没有注意身边玩耍的宝宝竟然跑远了，发现的时候四下呼喊寻找也没有人影，万分焦灼报警求助。#医生跟踪3年治好女大学生天疱疮#眼看着宝宝依偎在妈妈怀里的可爱模样，大人们看到宝宝安然无恙也喜极而泣，民警再三叮嘱：家长一定要看护监管好小孩，再忙也不能疏忽大意，以免发生意外追悔莫及。 云南平安高速的微博视频,5,60,54,,昆明,云南,中国,star 5
