页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907543438557988,美颜滤镜粉碎机·真实很美好,2023-05-31 19:36:36,虞书欣 一年级生图（考古） 参数最后一张  #一年级都火了# ,63,316,14919,浙江,舟山,浙江,中国,star 5
2,4907549607858658,嘉减程除CC,2023-05-31 20:01:07,#一年级都火了# 我记得那会看的时候，邢菲安安静静的，是那些里面我最喜欢的哈哈哈哈 话说孟子义好好看啊。加上她的性格很讨喜啊哈哈哈 ,0,0,1,河南,平顶山,河南,中国,star 5
2,4907539759893370,鲸忆不求鲸,2023-05-31 19:21:59,#一年级都火了# 当时因为林惊羽喜欢过成毅，不过后来就不怎么关注了，再次关注他是因为我爸成他粉丝了。 ,18,73,318,吉林,长春,吉林,中国,star 4
2,4907549495399737,西小柠芒瓜,2023-05-31 20:00:40,#一年级都火了#我就说！！奉紫怎么那么眼熟！！原来是一年级里头的 ,0,0,0,吉林,吉林市,吉林,中国,star 5
2,4907546902792528,爱毅无限85,2023-05-31 19:50:22,#一年级都火了# cy #成毅#   成毅老是会越来越好！  期待着你的剧‘’南风知我意，莲花楼，迷局破之深潜，英雄志”。  每一部值得拉满！  成毅 莲花楼|李莲花|李相夷|南风知我意|傅云深@成毅 ,0,10,24,马来西亚,,马来西亚,马来西亚,star 5
2,4907549419110551,-17绿雾之恋,2023-05-31 20:00:21,#一年级都火了# cy #哈曼大中华区品牌代言人成毅# 🈲 快 转，发现 一律❌黑╔══════❥✿˙❥˙════════╗成毅 🐳读你暖春笑靥秋色迷人溺晨曦，             读你青山万重绿水长流醉黄昏。💕成毅莲花楼|李莲花|李相夷|成毅南风知我意|傅云深@成毅cr：logo ,0,1,5,四川,成都,四川,中国,star 5
2,4907545943083201,小仙儿追追剧,2023-05-31 19:46:33,#一年级都火了# 我没看过这个综艺，是看《青云志》认识成毅的，看《琉璃》喜欢成毅的，他演技越来越好了，以后他的剧必追！ ,0,1,145,北京,北京,北京,中国,star 5
2,4907543203419685,招手晨曦bing,2023-05-31 19:35:40,#一年级都火了# cy#成毅cy#  一年级认识成毅！因为从那会就知道他，好喜欢好喜欢，他终于火起来了这样优秀踏实的好演员理该大火@成毅 招手晨曦bing的微博视频 ,0,0,27,福建,泉州,福建,中国,star 5
2,4907549332084014,举目低眉·撩拨心脏,2023-05-31 20:00:01,成毅#一年级都火了# cy #成毅# 优秀的人总会被大家发现的，成毅还有更美好的未来 ,0,5,8,江苏,南京,江苏,中国,star 4
2,4907549243215721,A小曹家鞋铺,2023-05-31 19:59:40,#一年级都火了# cy成毅  喜欢多年后，成毅依旧清澈如初的眼眸。那是历经蜕变，却不曾改变的纯粹。那是怀揣梦想，不曾放弃的坚韧，那是始终感恩，以诚相待的善良。@成毅 ,0,0,3,江苏,扬州,江苏,中国,star 5
3,4907542074887468,洛可可nn,2023-05-31 19:31:11,#一年级都火了#  成毅从一年级走到现在流量和演技并存，用一部部作品证明了自己，十年沉淀厚积薄发让他对自己和演员这个职业有着清醒的认知，踏实做事提高自己的职业素养才能长久的火下去。  #成毅# ,3,29,444,辽宁,沈阳,辽宁,中国,star 4
3,4907549084359433,傅诗淇的颗粒Curley,2023-05-31 19:59:02,成毅#一年级都火了# 考古一年级的时候，就觉得成毅这孩子挺实诚的，特别有责任心有担当，现在成毅越来越好了，未来的成毅会更好一起加油！努力让自己越来越好#成毅# ,0,0,7,广东,汕尾,广东,中国,star 5
3,4907543006809368,我就是哼哼呀,2023-05-31 19:34:53,#一年级都火了#成毅的莲花楼什么时候来？想看，就喜欢看破案和打戏多的，感情戏多的剧不想再看了。 ,0,5,50,山东,济南,山东,中国,star 4
3,4907549054471563,好爷-阿布,2023-05-31 19:58:55,成毅 成毅一直很优秀，认真努力的人总会成功！你若盛开，清风自来！#一年级都火了##成毅# @成毅 ,0,0,6,云南,昆明,云南,中国,star 5
3,4907525403316653,疯魔电影,2023-05-31 18:24:56,#一年级都火了#  从素人到明星滤镜，颜值变化都挺大的，越来越精致了 ,200,125,333,北京,北京,北京,中国,star 5
3,4907549037695062,孤帆远影OL,2023-05-31 19:58:51,#一年级都火了# cy #成毅#   成毅不管什么时候，都是那个认真努力，暖暖的，有责任心的人！虽然一年级时还没认识他，但是多晚的遇见都让人幸福和激动  成毅莲花楼|李莲花|李相夷|南风知我意|傅云深@成毅 ,0,2,5,山西,阳泉,山西,中国,star 5
3,4907549008597712,清辉君,2023-05-31 19:58:44,#一年级都火了# 稍微了解下的都知道，成毅并没有什么运气，踏踏实实厚积薄发天道酬勤人罢了 ,0,0,9,江苏,淮安,江苏,中国,star 4
3,4907539651366175,小芒果CY,2023-05-31 19:21:33,从青涩到沉稳，成毅一直在努力做自己喜欢的事情，ie 可以再去考古一年级的小帅哥呀@成毅   #一年级都火了##成毅# ,9,50,457,甘肃,兰州,甘肃,中国,star 4
3,4907548945423290,小夏要努力变强呀,2023-05-31 19:58:29,#一年级都火了# 葛洧吟真的让我印象好深，然后还有那个买酒喝的女孩子，我也印象好深，就是忘了她叫啥了 ,0,1,2,江苏,南京,江苏,中国,star 5
3,4907548920514938,毅川月白,2023-05-31 19:58:23,一晃这么多年过去了， 我的大明星正在闪闪发光。 一步一个脚印走到现在。 被越来越多的人看到，真好  #一年级都火了# cy #成毅#  毅川月白的微博视频 ,0,1,0,湖北,武汉,湖北,中国,star 5
4,4907535012726655,一只傅小鸟,2023-05-31 19:03:07,#一年级都火了#  当时不认识成毅的时候，他明明得到了男主的角色，却因为他已经拍过戏了，想把这个机会让给别人，我顿时觉得这人真怪好的咧，在这个圈子竟然还有主动让角色的 ,1,22,640,安徽,宣城,安徽,中国,star 4
4,4907548619047945,用户7829119162,2023-05-31 19:57:11,成毅#一年级都火了# cy#成毅莲花楼#  成毅：“等待可能是希望，可能是未知，人生当中你就是要不断的去等待，等待明天，等待后天。我不知道会发生什么，但调整好心态，不要放弃自己，就能等待更好的明天。”  成毅莲花楼|李莲花|李相夷|南风知我意|傅云深@成毅 ,0,10,12,四川,绵阳,四川,中国,star 5
4,4907548870970161,纯欲战神在此,2023-05-31 19:58:11,#一年级都火了#一年级的虞书欣，有着和普通二十岁女孩一样的全部，可能初出茅庐，可能执迷不悟，可能识人不清。吃了苦会喊痛，受了委屈会哭，做的好渴望得到表扬。虽然很张扬，可是这就是二十岁的魅力，我们还年轻我们敢发声，我们一直还在路上。祝每个女孩能纵享青春，能敢爱敢恨，也能仗剑走天涯。小鱼的成绩单值得她和喜欢她的人骄傲。,1,0,12,上海,上海,上海,中国,star 4
4,4907534945094433,和你毅淇数星星,2023-05-31 19:02:51,#一年级都火了# 我先看沉香，后补的综艺，成毅真的很优秀，一年级也很棒，认真努力敬业，期待成毅新剧！！ ,0,28,74,新疆,吐鲁番,新疆,中国,star 5
4,4907535394412533,小悦Vw87,2023-05-31 19:04:38,#一年级都火了#成毅那时候很活泼，为什么进了娱乐圈这么内敛了 ,0,11,42,广东,肇庆,广东,中国,star 4
5,4907548789967585,枯骨桐深尽,2023-05-31 19:57:52,#一年级都火了#没看过这个综艺耶是16年的嘛我高一当时刚有手机看电视都是去小卖部连wifi直到20年的琉璃认识成毅 ,0,0,2,四川,成都,四川,中国,star 4
5,4907548761392200,星上猫2004,2023-05-31 19:57:45,成毅#一年级都火了# #成毅莲花楼# cy #成毅李莲花李相夷#   成毅：“我是一个不太愿意说自己多么心酸或者怎么样，我觉得都还好，真的都还好 我相信努力了，就一定会被别人看得到。” @成毅   成毅莲花楼|李莲花|李相夷|南风知我意|傅云深 2022.09.16莲花楼1 成毅的宣宝的微博视频 ,0,0,1,湖北,武汉,湖北,中国,star 5
5,4907548732298200,毅起走花路,2023-05-31 19:57:38,#一年级都火了# 有实力的人火了很正常，成毅越来越好了呢 ,0,2,5,安徽,合肥,安徽,中国,star 4
5,4907548723910097,啊哈哈哈哈哈哈菠萝,2023-05-31 19:57:36,#一年级都火了#是一直都可爱善良的孟姐呀，孟姐希望你能一直开心快乐下去，未来的孟子义走花路吧@孟子义 ,0,0,0,湖南,常德,湖南,中国,star 5
