页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907548795209736,顾夏阳cool,2023-05-31 19:57:53,#半个内娱在天猫618和张大大直播#那就一起期待侯明昊和张大大的互动吧 ,0,0,0,湖南,长沙,湖南,中国,star 5
2,4907548073791935,队长神吐槽,2023-05-31 19:55:01,张大大你是懂制造惊喜的，谁不想看#半个内娱在天猫618和张大大直播#呢？能请到吉娜来直播间我是佩服的，还有梦泪，笑死！不知道张大大会不会私底下跟他学点上分技巧？不敢相信我的眼睛，可以说是双厨狂喜了，张大大能不能帮我实现心愿，我想要他们签名照！ ,7,14,17,四川,成都,四川,中国,star 5
2,4907547675332221,打工人冲浪指南,2023-05-31 19:53:26,能看见#半个内娱在天猫618和张大大直播#也泰酷辣！真的被我的内娱唯一的人脉张大大拿捏住了！连徐梦洁都请到了，她笑起来真的好甜啊！甜妹本妹了属于是，还有侯明昊，胡可……我都快数不过来有多少人了！张大大我也是你的有缘人，能不能连连我？ ,7,14,18,四川,成都,四川,中国,star 5
2,4907547532726992,大厂搬砖人,2023-05-31 19:52:52,#半个内娱在天猫618和张大大直播#？！张大大你究竟还有多少人脉是我不知道的？胡可你都能叫来一起直播？再加上侯明昊，徐梦洁...这么多明星齐聚一堂，今晚上我的眼睛都不够用啦！人间许愿星能不能选我连麦啊！ ,0,0,1,四川,成都,四川,中国,star 5
2,4907443564054554,大象财富,2023-05-31 12:59:44,家人们，今晚#半个内娱在天猫618和张大大直播#！他将现场连线20+神秘明星大咖与品牌BOSS，为大家实现心愿！5月31日19点至22点，上淘宝搜「张大大寻有缘人」观看直播，参与直播闯关竞猜还有机会解锁明星亲签、同款礼盒等超级大礼！心愿福利全拿下，尽在天猫618～天猫的微博视频 ,132,154,732,,郑州,河南,中国,star 5
2,4907546621774567,草莓夹子和小熊,2023-05-31 19:49:15,#半个内娱在天猫618和张大大直播# 哇塞，我可太期待了！直播的神@高卿尘Nine 要连线@BIGBIG张大大 。我已经能想象到有多抓马了 ,0,0,3,山西,太原,山西,中国,star 5
2,4907546307727420,我的快乐大号,2023-05-31 19:48:00,速来！！#半个内娱在天猫618和张大大直播#！刚刚看到张大大连线了侯明昊！听说接下来还有徐梦洁、胡可和吉娜！好久没见过这么大的场面，我的娱乐圈唯一人脉，快帮我要要他们的签名照！ ,5,10,18,四川,成都,四川,中国,star 5
2,4907539844828587,生酪拿铁球_,2023-05-31 19:22:19,#半个内娱在天猫618和张大大直播# 我没别的要求  大大老师请帮我要一张叫高卿尘的签名照实在不行 加个V也不是不可以啦 😆 @BIGBIG张大大 ,0,0,25,四川,德阳,四川,中国,star 5
2,4907543886827952,语儿1995221,2023-05-31 19:38:23,#半个内娱在天猫618和张大大直播# #高卿尘破茧2#  坐等高卿尘，今晚八点半@高卿尘Nine ,0,0,4,天津,天津,天津,中国,star 5
2,4907543682095171,姐夫弟弟环绕sweet51129,2023-05-31 19:37:34,#半个内娱在天猫618和张大大直播#这是要劝退整个内娱粉丝618那天不看直播吗 ,0,0,3,广东,广州,广东,中国,star 1
4,4907519270455950,扒婆,2023-05-31 18:00:34,没想到俺的娱乐圈唯一人脉@BIGBIG张大大 竟然变成了天猫#618全明星直播实现心愿#的“缘”梦接线官，要在线为大家实现心愿，该说不说大大你人还怪好的嘞~那是不是无论我许什么跟星愿官有关的愿望都可以实现嘞，据说 #半个内娱在天猫618和张大大直播#，那我可得列一个愿望清单，快上手淘搜【张大大寻有缘人】看直播，还有惊喜大礼在等你哦！,861,1306,3292,北京,北京,北京,中国,star 5
