页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,情感
2,4907546849053617,科技Mentor,2023-05-31 19:50:09,#女子偷偷卖掉所有黄金首饰帮老公还账#患难见真情，什么大难临头各自飞，都是假的！ ,0,1,1,天津,天津,天津,中国,star 1
2,4907546849053320,聚焦北京城,2023-05-31 19:50:09,#女子偷偷卖掉所有黄金首饰帮老公还账#近日，陕西西安。丈夫做生意亏了钱，妻子偷偷卖掉自己所有黄金首饰，帮丈夫还债。 北京  网页链接 ,0,0,2,北京,北京,北京,中国,star 4
2,4907546639336038,晓磊,2023-05-31 19:49:19,5月28日，陕西。女子为帮老公还债，变卖掉自己所有首饰。网友：所以……爱老婆的男人是真的会有后路，这真的是:亏妻者百财不入，宠妻者必有后路#女子偷偷卖掉所有黄金首饰帮老公还账# 晓磊的微博视频 ,28,22,38,山东,济南,山东,中国,star 5
2,4907546625708817,Cl夏,2023-05-31 19:49:16,#女子偷偷卖掉所有黄金首饰帮老公还账#冷知识 不管是黄金还是债务 如果是婚后产生的 都是夫妻共有的 ,0,0,0,安徽,合肥,安徽,中国,star 5
2,4907546550474050,tututu爱吃鱼_,2023-05-31 19:48:58,#女子偷偷卖掉所有黄金首饰帮老公还账#黄金都历史最高价了…是滞销了吗？ ,0,0,0,重庆,重庆,重庆,中国,star 2
2,4907546349143269,安迪造福开运命理师,2023-05-31 19:48:10,#女子偷偷卖掉所有黄金首饰帮老公还账# 妻好，财好！夫妻合和，财路畅通，一定能东山再起！ （发达的秘密） ,0,0,0,河南,新乡,河南,中国,star 5
2,4907546328698489,用户7532885496,2023-05-31 19:48:05,#女子偷偷卖掉所有黄金首饰帮老公还账#说的好像丈夫创业成功，赚到钱不是夫妻共同财产似的。明明是他们两个已经结婚了，不管是丈夫还是妻子创业失败肯定是他们两个共同的债务，什么什么是替呀？就算他们创业失败，离婚，那他们两个必须要共同偿还的。总不能转移资产当老赖吧。 ,0,0,0,河南,商丘,河南,中国,star 3
2,4907546182158141,饥渴难耐涨涨涨,2023-05-31 19:47:30,网友投稿“不理解诡计多端穷男人的价值观，20w的车能叫车10w的彩礼却要他命”  #女子偷偷卖掉所有黄金首饰帮老公还账# ,0,1,2,广东,深圳,广东,中国,star 4
2,4907546035620945,我是秋明山车神,2023-05-31 19:46:55,女子本弱为母则刚：近日一女子因为行车问题，和骑电动车的老年人发生口角直接被骂破防。话说回来，老年人吵架就吵架骂别人女儿干吗？ #女子偷偷卖掉所有黄金首饰帮老公还账##迷惑行为# 我是秋明山车神的微博视频 ,0,0,0,广东,东莞,广东,中国,star 5
2,4907545950427344,我捡垃圾养你啊Ning,2023-05-31 19:46:35,#女子偷偷卖掉所有黄金首饰帮老公还账# 亏妻者百财不入 宠妻者必有后路 只能说什么样的人配什么样的人 有些人别光羡慕 先自己做到 ,0,4,38,陕西,西安,陕西,中国,star 5
3,4907545786845766,一位不愿透露姓氏的小马同学,2023-05-31 19:45:56,#女子偷偷卖掉所有黄金首饰帮老公还账# 偷偷的意思是只有他老公不知道 ,0,1,0,江苏,徐州,江苏,中国,star 5
3,4907545711351766,X一一一一一一一,2023-05-31 19:45:38,#女子偷偷卖掉所有黄金首饰帮老公还账# 划重点：债务是因为公司不景气，不是那些吃喝嫖赌的。 重点二：老公给买的，那是前面多疼老婆呢。相互的能同甘同苦的爱。 重点三:老公不让老婆卖首饰，老婆偷偷卖的。 爱老婆有退路，羡慕这样的感情 ,0,0,3,四川,遂宁,四川,中国,star 5
3,4907545661016701,钮钴禄有二Fever,2023-05-31 19:45:26,#女子偷偷卖掉所有黄金首饰帮老公还账#  太傻了吧，我只会偷偷卖掉老公给我还账 ,0,0,0,浙江,嘉兴,浙江,中国,star 1
3,4907545556160643,星星泡饭张啦啦,2023-05-31 19:45:01,#女子偷偷卖掉所有黄金首饰帮老公还账#暖心共同承担一切，首饰还是黄金最保值，往后的首选就是黄金。 ,7,11,44,江苏,无锡,江苏,中国,star 5
3,4907545514219099,85后父母,2023-05-31 19:44:51,#女子偷偷卖掉所有黄金首饰帮老公还账#宣传这个啥意思呢？非要这样证明啥呢？我只觉得女的命苦，男的败家 ,0,1,1,重庆,重庆,重庆,中国,star 2
3,4907545410667888,露禾青草,2023-05-31 19:44:26,#女子偷偷卖掉所有黄金首饰帮老公还账#卖个黄金还随身携带摄像头好厉害呀 ,0,0,0,安徽,合肥,安徽,中国,star 5
3,4907545057296945,华夏神都,2023-05-31 19:43:02,#女子偷偷卖掉所有黄金首饰帮老公还账# 如果这是真的，那还是能相信爱情的 华夏神都的微博视频 ,0,0,0,河南,洛阳,河南,中国,star 5
3,4907544893721743,KUN·琪琪,2023-05-31 19:42:23,#女子偷偷卖掉所有黄金首饰帮老公还账# 双向奔赴的爱才能长长久久，你老公应该很感动，以后会给你买更多更好的首饰，祝幸福美满！  ,0,0,0,湖北,武汉,湖北,中国,star 5
3,4907544746920668,裴建新围脖,2023-05-31 19:41:48,#女子偷偷卖掉所有黄金首饰帮老公还账#视频拍的一般，故事有点无聊，好好过日子得了。 ,0,0,1,天津,天津,天津,中国,star 3
3,4907513981964272,李苦舟,2023-05-31 17:39:33,#女子偷偷卖掉所有黄金首饰帮老公还账#  贤妻良母要记住：结婚的时候不要买钻戒，要买黄金，万一用钱，可以卖掉给老公还账。 ,5,80,856,河南,安阳,河南,中国,star 5
4,4907544440738360,想躺平数钱的琪琪,2023-05-31 19:40:35,#女子偷偷卖掉所有黄金首饰帮老公还账#要买就买黄金，黄金是硬通货，起码比大a靠谱 ,0,0,1,江苏,泰州,江苏,中国,star 4
4,4907544344267932,戬毂罄官,2023-05-31 19:40:12,#女子偷偷卖掉所有黄金首饰帮老公还账#这是一个有担当的正常人，还欠债是为以后的路好走。一家人就该如此，没有什么新奇。不是帮助，而是应该这样做。 ,0,0,0,广东,汕头,广东,中国,star 3
4,4907544264835849,Anywhere,2023-05-31 19:39:53,#女子偷偷卖掉所有黄金首饰帮老公还账#远离创业婊，创业同赌博破产概率差不多 ,0,0,0,浙江,杭州,浙江,中国,star 3
4,4907544143203628,帅气疯狂的兔子,2023-05-31 19:39:24,#女子偷偷卖掉所有黄金首饰帮老公还账#不错！这是个好老婆，知道为老公分忧。这个老公危机度过以后，一定要好好爱老婆！ ,0,0,0,江苏,,江苏,中国,star 5
4,4907544105453172,饥渴难耐涨涨涨,2023-05-31 19:39:15,眉眼都是男生的英气，不说是女生看不出来  #酒肉情侣##女子偷偷卖掉所有黄金首饰帮老公还账##冯小刚香港卖房大赚6000万港元# 饥渴难耐涨涨涨的微博视频 ,0,1,3,广东,深圳,广东,中国,star 5
4,4907543963108184,阿汐很可爱,2023-05-31 19:38:41,#女子偷偷卖掉所有黄金首饰帮老公还账#偷偷卖掉？视频哪来的？呵呵 ,0,0,0,浙江,杭州,浙江,中国,star 5
4,4907543883157643,喵小柒xz,2023-05-31 19:38:22,#女子偷偷卖掉所有黄金首饰帮老公还账# 双向奔赴的爱情真的很感动  以后还是买黄金  黄金保值 ,0,0,0,云南,大理白族自治州,云南,中国,star 5
4,4907543770169812,东光司法,2023-05-31 19:37:54,据媒体~#女子偷偷卖掉所有黄金首饰帮老公还账#【法姐讲法 丨如何认定夫妻共同债务】 戳视频学法 via：顺昌检察 #全民素养提升v计划#  传播法治人人学法 法治四川的微博视频 ,0,0,0,,,河北,中国,star 5
4,4907543706992849,开机器的浏览器,2023-05-31 19:37:39,#女子偷偷卖掉所有黄金首饰帮老公还账#金价会长不……金子确实保值，该买什么清楚了吧…… ,0,1,0,陕西,西安,陕西,中国,star 4
4,4907543698085213,长春-小风,2023-05-31 19:37:38,#女子偷偷卖掉所有黄金首饰帮老公还账#是不是只有段子里这样？意思生活中都是大难来时各自飞？ ,0,0,0,吉林,长春,吉林,中国,star 3
5,4907543535289825,娱扒爹,2023-05-31 19:36:59,#女子偷偷卖掉所有黄金首饰帮老公还账#告诉大家一句话，钻戒这东西买到手里就砸手里了！买什么不如买黄金！关键穷的时候能换钱！ ,0,0,0,山东,威海,山东,中国,star 1
5,4907543443016583,Durian_140221,2023-05-31 19:36:37,#女子偷偷卖掉所有黄金首饰帮老公还账#我没有偷偷卖我是明着卖黄金 ,0,0,0,陕西,西安,陕西,中国,star 5
5,4907500325308323,南风在北京,2023-05-31 16:45:17,#女子偷偷卖掉所有黄金首饰帮老公还账# 女人卖掉老公用他的钱给她买的首饰帮老公还账，这就已经感天动地了  难道默认妻子的首饰和钱是不能动的？债务只能老公还，但赚了钱一人一半？ ,6,21,246,北京,北京,北京,中国,star 5
5,4907543128440960,想买房车13V,2023-05-31 19:35:21,#女子偷偷卖掉所有黄金首饰帮老公还账#  赚了，现在黄金价高呢 ,0,0,0,江苏,苏州,江苏,中国,star 5
5,4907515734661221,静颜浅忆,2023-05-31 17:46:31,#女子偷偷卖掉所有黄金首饰帮老公还账#说明平时老公对她不错，这才是双向奔赴的爱。反正没有不会宠老婆的男人，💰也不是宠爱的标准，富有富的宠法，穷有穷的宠法。 ,1,31,179,江苏,,江苏,中国,star 3
5,4907542200978340,厉害的大猫,2023-05-31 19:31:41,#女子偷偷卖掉所有黄金首饰帮老公还账#绝大部分女人看到丈夫落魄了，都会选择离开，然后再分走一半家产，不会管你死活。 ,0,0,3,陕西,宝鸡,陕西,中国,star 5
5,4907524232579316,好废的布偶猫,2023-05-31 18:20:17,#女子偷偷卖掉所有黄金首饰帮老公还账# 众所周知，女人结婚后有两个账户，男人的账户就是夫妻共有账户，另一个是女人私有账户。整个婚姻的续存期间就是女人转移资产的过程。 放国企里叫贪污，放私企里叫盗窃，放婚姻里叫赠予。 ,4,1,43,黑龙江,哈尔滨,黑龙江,中国,star 5
5,4907525751706786,幸运mulan全球大爆,2023-05-31 18:26:19,#女子偷偷卖掉所有黄金首饰帮老公还账# 宣传这个是为了让女生以后这样扶持自己老公吗？女人应该爱自己，用在自己身上，定期去做美容，买衣服，提升自己的内外在。不过聪明的女人一般不结婚 ,0,4,27,湖北,黄石,湖北,中国,star 3
5,4907541819823077,天下微潇,2023-05-31 19:30:10,#女子偷偷卖掉所有黄金首饰帮老公还账#说明了还是金子保值，其他首饰不管用 ,0,0,1,广东,东莞,广东,中国,star 2
6,4907541782594933,樱花粉的浪漫叔,2023-05-31 19:30:01,#女子偷偷卖掉所有黄金首饰帮老公还账#所以有钱的时候多要一些黄金珠宝，没钱的时候还可以当了 ,0,0,0,浙江,杭州,浙江,中国,star 5
6,4907541769751024,想要变胖的瘦子Y,2023-05-31 19:29:58,#女子偷偷卖掉所有黄金首饰帮老公还账#妻子是好妻子！优秀。以后还是买黄金吧，保值哈哈哈哈哈哈哈 ,0,7,43,云南,临沧,云南,中国,star 5
6,4907541542473780,茶健身,2023-05-31 19:29:04,当#酒肉情侣# 遇上了 #女子偷偷卖掉所有黄金首饰帮老公还账# ，热搜就是一个平行世界。 ,1,0,2,河南,郑州,河南,中国,star 5
6,4907541127496261,风的节奏吹,2023-05-31 19:27:25,#女子偷偷卖掉所有黄金首饰帮老公还账#  媒体采访过这名女子了？ 她说的都是真的？ 退一万步说，都是夫妻共有财产， 不还，行不？ ,4,4,3,上海,上海,上海,中国,star 5
6,4907541064582317,章鱼小丸子阿阿阿阿,2023-05-31 19:27:10,#女子偷偷卖掉所有黄金首饰帮老公还账# 前提是她老公给她买过总共一斤多的金首饰 ,0,0,4,海南,三亚,海南,中国,star 5
6,4907538661509833,Jasmine-ovo,2023-05-31 19:17:37,#女子偷偷卖掉所有黄金首饰帮老公还账#社会在教育女子要相夫教子，要奉献。真恶心这个热搜，倒是没见过男的把自己车卖了给老婆还债的。 ,1,1,23,江苏,淮安,江苏,中国,star 4
6,4907540934300850,伯光君,2023-05-31 19:26:39,#女子偷偷卖掉所有黄金首饰帮老公还账##微博新知博主#假新闻。懒得喷一般来说这种新闻就是炒作。有时候是为了炒作自己是一个贤惠的老婆，然后直播的时候带货赚钱。有时候是为了一个账户吸引粉丝。然后直播的时候带货赚钱。也有的，就是摆拍。自称广告创意。实际就是诈骗式的假新闻。看到很多人在这个新闻下面互相对喷。只觉得可笑，可怜。你们认识这对夫妻么？你们知道丈夫是什么样的人么？你知道这个其中是什么样子的人么？伯光君只通过短短的25秒的假视频，你就能轻易下判断么？少浪费一点时间在这种毫无意义的视频上吧。视频看过就好了还要争论。为一个虚构的事情争论？雍正王朝里雍正勤政爱民。甄嬛传里的雍正皇帝贪淫荡好色。那有什么好争的？都是剧本拉。写到这里一声叹息时无英雄，竖子成名。微博伯光君23.5.31岭南藏剑楼,0,0,0,广东,广州,广东,中国,star 3
6,4907540830227817,爱采野花的猹猹,2023-05-31 19:26:14,#女子偷偷卖掉所有黄金首饰帮老公还账#两夫妻 需要偷偷做吗，除非黄金首饰是偷偷买的 ,0,0,0,广东,广州,广东,中国,star 5
6,4907540716717927,施美柃娜,2023-05-31 19:25:47,时间是一把戳穿虚伪的刀，它验证了谎言，揭露了现实，淡化了承诺。  #女子偷偷卖掉所有黄金首饰帮老公还账# ,0,0,2,广东,广州,广东,中国,star 4
6,4907540678708745,秦時萌月,2023-05-31 19:25:38,#女子偷偷卖掉所有黄金首饰帮老公还账#这个热搜里是谁破防了我不说～好好的一场双向奔赴的感情，又戳了某些东西的肺管子～ ,0,0,1,浙江,杭州,浙江,中国,star 5
7,4907539747573305,快乐哈哩,2023-05-31 19:21:56,#哈哩情感#每个人都是自己人生中的主角，不要让别人的期望和看法左右自己的选择。做自己的主角，才能活出真正的自我。#女子偷偷卖掉所有黄金首饰帮老公还账# ,0,0,0,河南,南阳,河南,中国,star 5
7,4907538857854109,芦芽琴声远,2023-05-31 19:18:24,【#女子偷偷卖掉所有黄金首饰帮老公还账# 网友:他们一定非常爱彼此】#琼州老兵# 是的，这一定是真爱，这样的老婆不好找， 相濡以沫，风雨同舟，互相支持！这样的生活会更美好更和谐！ ,0,0,2,海南,海口,海南,中国,star 5
7,4907538518905996,奇门师子宸,2023-05-31 19:17:03,总结来说，眼神有情，是真的可以担事的。之前一个小姐姐来看复合，俩人都已经快领证了。他们之间的问题主要是现实层面。对象做生意失败，负担较重，不想拖累她就分了，但是她并不想放手，而且也一直在努力帮衬，也是帮了许多。但无论她怎么努力，对方都不太愿意的。所以也挺遗憾的。小姐姐最大的特点就是眼神非常有情。脸型也比较圆一些，下巴并不会很尖，下庭相对饱满。后来遇到过一些类似案例，她们的眼神都是非常有情。#女子偷偷卖掉所有黄金首饰帮老公还账#面相 北京,0,0,1,北京,北京,北京,中国,star 4
7,4907537856465054,来微博冲浪吖,2023-05-31 19:14:25,#女子偷偷卖掉所有黄金首饰帮老公还账#在我的观念就是这样的，夫妻就是要能共患难，这是一个很正面的热搜，我觉得真的很棒，希望他们早日解决困难，幸福快乐。 ,0,3,3,中国台湾,台南市,台湾,中国,star 5
7,4907537742960659,李映文,2023-05-31 19:13:58,#女子偷偷卖掉所有黄金首饰帮老公还账#致敬，点赞，这是男人背后的贤内助！  一个女性对家庭很重要，她的为人处世、价值观、追求等。 ,0,0,0,北京,北京,北京,中国,star 5
7,4907537608480342,初见与你的故事ING,2023-05-31 19:13:26,#女子偷偷卖掉所有黄金首饰帮老公还账# 爱是相互的，能同甘共苦的人，一定是不错的人！ ,0,0,0,重庆,重庆,重庆,中国,star 5
7,4907536698839646,孤单坠爱0108,2023-05-31 19:09:49,#女子偷偷卖掉所有黄金首饰帮老公还账#首先羡慕这样的感情，这个故事告诉我们，百万以下的珠宝，买黄金最保值，也最容易变现 ,0,0,3,湖南,益阳,湖南,中国,star 5
